cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.04958376454839774,-0.03810178155985779,-0.11139128227590038,6.0,-23944.71121732846,False,0.125,0.0625323553436624,0.050416235451602266,0.036898218440142204,0.06247619803707527,0.11139128227590038,0.06252808057463287,0.0007311665188475952,True,False,0.4827911553,0.0706201452,0.4887455444,0.4754159361,0.1008859218,0.4839222063,-0.0163893759,0.0672572812,-0.0107185291,0.8122297184,0.05855267,0.8564378023,0.0768102551,0.0130172284,0.0695584565,0.7955106743,0.0791108964,0.7347088456,0.5,0.0,0.5,0.059331084,0.0419901384,0.0112544556,8.8714215287,0.7610521722,9.0,2.0956475236,1.0488044707,3.0,1.0,0.0,1.0,1.9293182003,1.1176158797,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.055461183138972636,-0.015453200656066375,-0.08129324530136484,6.0,-21344.986241447717,False,0.10680004681646915,0.05757381562560634,0.04453881686102737,0.022046799343933624,0.049696756118400805,0.08129324530136484,0.057355904993434424,0.005004438837216101,True,False,0.4881639494,0.0716944728,0.4367329165,0.4830913562,0.1024206754,0.4096184522,-0.0112724292,0.0682804502,-0.0602543652,0.8080755492,0.0547684057,0.7842146754,0.0722368355,0.0144427205,0.052299805,0.7953171881,0.0741960726,0.7899774313,0.5,0.0,0.5,0.0608260214,0.0397540518,0.0632670835,8.6931647621,1.2742268958,9.0,1.8753966644,1.1543572607,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.059358031843174085,-0.011438331602351658,-0.08271349051613441,6.0,-15022.397410788919,False,0.1,0.06045007340062231,0.04064196815682592,-0.011438331602351658,0.04222090720846497,0.08271349051613441,0.059358031843174085,0.011438331602351658,True,False,0.4898293624,0.0738495114,0.4516663723,0.4854705177,0.105499302,0.4309519604,-0.0096863215,0.070332868,-0.0460320264,0.8088587022,0.0604296834,0.8048905134,0.0411103575,0.0082033294,0.0370951556,0.7990111895,0.0779140932,0.848679781,0.5,0.0,0.5,0.0600623884,0.0441554266,0.0483336277,8.5858129246,1.4974803977,9.0,0.5947588213,0.6880124023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121016094,0.0092747021,0.0228597018,0.0121016094,0.0092747021,0.0228597018,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05992917788162153,-0.020180026287513524,-0.07910398788823143,6.0,-20840.257458412852,False,0.10680004681646915,0.06323558984094141,0.04007082211837847,-0.05768002628751352,0.0702328713479022,0.07910398788823143,0.04902775755687169,0.039937686606467106,True,False,0.4908023649,0.069837325,0.542096192,0.4868605213,0.0997676071,0.5601374172,-0.0087596525,0.0665117381,0.0400916114,0.8093520904,0.0585209326,0.8101658821,0.073076275,0.0168038527,0.0477933437,0.7997032464,0.075055326,0.7424100637,0.5,0.0,0.5,0.0581612862,0.0397380579,0.042096192,8.7303005502,1.1468352341,9.0,1.5417030323,1.2512500157,0.1250913167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06658814412631757,-0.014327903347984151,-0.059054573823919876,6.0,-21322.719064482506,False,0.125,0.06811218505184236,0.033411855873682436,-0.08932790334798416,0.09537204217940667,0.059054573823919876,0.04467377329226357,0.05141520915417786,True,False,0.4957043889,0.0700491092,0.4206208467,0.4938634127,0.100070156,0.3866012096,-0.0040910582,0.0667134373,-0.0755991936,0.8079114938,0.0575063996,0.7619684339,0.082449526,0.0176038481,0.0611834079,0.7983922664,0.0730817775,0.7856099606,0.5,0.0,0.5,0.058846064,0.0382422636,0.0793791533,8.6343651531,1.4661259997,9.0,1.5390440681,1.2724404524,0.0,1.0,0.0,1.0,1.3930400183,1.3063210176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.02743596999081013,-0.11536462344725483,-0.000841601650515796,6.0,-30947.9684184083,False,0.09013878188659974,0.11858216051524585,0.022564030009189873,-0.04036462344725483,0.046243251143213274,0.000841601650515796,0.11120790683299475,0.041164672357344105,True,True,0.008228098,0.0194505154,0.0,0.4242147277,0.0916314441,0.4510891028,-0.0505235149,0.0610876294,-0.0326072648,1.2707799137,0.1747256974,1.3118803501,0.0968596724,0.017786583,0.0749850422,1.2744721856,0.1928137222,1.2900500298,0.28,0.0,0.28,0.271771902,0.0194505154,0.28,8.974125974,0.4474037332,9.0,2.4048976462,1.0525582404,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03363377000084342,0.013091640457845102,0.0003502842417395513,6.0,-17101.04520121544,False,0.0625,0.03609184858589432,0.01636622999915658,0.0505916404578451,0.053172996611072824,0.0003502842417395513,0.01905203172596768,0.030653574366782135,True,True,0.5102436645,0.0630696023,0.5532858439,0.5146338064,0.0900994318,0.5761226341,0.009755871,0.0600662879,0.0507484227,0.4853689488,0.0353226759,0.4763166904,0.0404886311,0.0078181624,0.0641005039,0.48446028,0.0463160614,0.4769540429,0.5,0.0,0.5,0.0530892406,0.0355561517,0.0532858439,8.0957520535,2.187372917,9.0,1.5164020117,1.2883644958,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03144952326600948,0.005969913194478597,-0.011982651151383564,6.0,-11450.40331217329,False,0.05,0.032011128958674376,0.018550476733990524,0.005969913194478597,0.019487433145695034,0.011982651151383564,0.03144952326600948,0.005969913194478597,True,True,0.4367109598,0.0614313299,0.4333401507,0.5167299426,0.0877590426,0.511914501,0.0111532951,0.0585060284,0.0079430006,0.487982664,0.0329004521,0.4677148759,0.0207393039,0.0040082651,0.0174324848,0.4867501357,0.0439518932,0.3898407817,0.425,0.0,0.425,0.0514762392,0.0355126972,0.0083401507,8.0373292389,2.3481256797,9.0,0.3005125862,0.3669474372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035236055,0.0057639081,0.0032479586,0.0035236055,0.0057639081,0.0032479586,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03340260058188708,0.018035318011594366,7.772971414721219e-05,6.0,-16229.675246844385,False,0.0625,0.03796059037228509,0.016597399418112925,-0.019464681988405633,0.025580217206938215,7.772971414721219e-05,0.03754327127246628,0.005613305939856754,True,True,0.5223862965,0.0623694428,0.4160262328,0.5319804235,0.0890992041,0.3800374754,0.0213202823,0.0593994694,-0.0799750164,0.4816574872,0.0378329961,0.4533821344,0.0408584935,0.0088923972,0.0420975164,0.4822183562,0.0461956438,0.4553257227,0.5,0.0,0.5,0.0545587035,0.037609062,0.0839737672,7.9418190035,2.4332625072,9.0,1.2210774382,1.13079995,0.2175133536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.030087435351217214,0.02490374571217789,0.042160192687670905,6.0,-17857.854434904257,False,0.09013878188659974,0.039057013666056115,0.01991256464878279,-0.050096254287822106,0.05390867207195971,0.042160192687670905,0.03741067524316651,0.011220146806562838,True,True,0.0258714153,0.0411660346,0.0,0.4673446873,0.1227152298,0.3870325647,-0.0217702084,0.0818101532,-0.0753116235,0.921458112,0.1161030183,0.8790714741,0.0868616978,0.0163773805,0.0703588799,0.9345542661,0.1252408923,0.8960767388,0.28,0.0,0.28,0.2541285847,0.0411660346,0.28,8.625699915,1.297288562,9.0,1.9592287051,1.1771469507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
