cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06703186356272299,0.0037064017755496993,-0.01424274103130944,6.0,-21532.13436342976,False,0.125,0.06713425464554819,0.032968136437277015,0.0787064017755497,0.08533226646820748,0.01424274103130944,0.051401649784848576,0.043184239558073545,True,True,0.4819203172,0.0829616769,0.443810918,0.4741718818,0.1185166813,0.4197298829,-0.0172187455,0.0790111208,-0.0535134114,0.7979150973,0.057878537,0.7940078974,0.0945971418,0.0130276241,0.1041124165,0.7794585997,0.0664474833,0.7808475494,0.5,0.0,0.5,0.0741774321,0.0413185591,0.056189082,8.4219603961,1.7973749638,9.0,1.7616679028,1.2769647439,3.0,1.0,0.0,1.0,1.6129999737,1.306738344,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06834070596739876,0.00249504201753123,-0.009902082783489771,6.0,-20329.579090386946,False,0.10680004681646915,0.06838623638417089,0.031659294032601246,0.03999504201753123,0.05100896278720818,0.009902082783489771,0.06311332927283916,0.026332204520128612,True,True,0.4868056558,0.0865051466,0.4662994167,0.4811509369,0.1235787809,0.4518563095,-0.0125660421,0.0823858539,-0.0320957936,0.793388133,0.0608742701,0.825199306,0.0873100289,0.0138547889,0.0894082487,0.7757843916,0.0676204754,0.8063189387,0.5,0.0,0.5,0.0773830683,0.0408545206,0.0337005833,8.4337382801,1.6948548325,9.0,1.624030839,1.2810920302,2.7466951385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07548514831514314,0.006700041429296594,-0.029113979340482137,6.0,-15819.205717723304,False,0.1,0.07578191190062077,0.02451485168485687,0.006700041429296594,0.02541394318646401,0.029113979340482137,0.07548514831514314,0.006700041429296594,True,True,0.4893006631,0.0889765395,0.4570899934,0.484715233,0.1271093421,0.4386999905,-0.0101898447,0.0847395614,-0.040866673,0.7896281731,0.0628789926,0.8124123812,0.0477541775,0.0086219398,0.0397255793,0.7799321636,0.0648954037,0.8005001545,0.5,0.0,0.5,0.080047967,0.0402942101,0.0429100066,8.5575508034,1.4455464631,9.0,0.575043052,0.6029700545,0.4593236595,0.0,0.0,0.0,0.0,0.0,0.0,0.0141505599,0.0083391576,0.0199566746,0.0141505599,0.0083391576,0.0199566746,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06850872596939145,0.00543220790125228,-0.02956948453312913,6.0,-21065.913468330087,False,0.10680004681646915,0.06872375438399446,0.03149127403060856,-0.032067792098747716,0.04494489548502018,0.02956948453312913,0.06605409457693469,0.018968684884645134,True,True,0.4975184425,0.0843350924,0.4583960498,0.4964549178,0.1204787034,0.4405657854,-0.0023633881,0.0803191356,-0.0396228097,0.7930991298,0.0649070922,0.8142246604,0.0894640861,0.0187487831,0.0611372814,0.7825356489,0.0656941069,0.8008046746,0.5,0.0,0.5,0.0739756417,0.0405730251,0.0416039502,8.55633207,1.5014575326,9.0,1.6301676126,1.0872319858,0.781603421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06757714186575259,0.011617564684469004,-0.02811235320844167,6.0,-21824.388988137933,False,0.125,0.06856849066402054,0.03242285813424742,-0.06338243531553099,0.07119392415172102,0.02811235320844167,0.06103225230328348,0.031252233371876346,True,True,0.5042563544,0.0784627429,0.4772766124,0.5060805063,0.1120896327,0.4675380178,0.0040536709,0.0747264218,-0.0216413215,0.7980470067,0.0650279807,0.8404639363,0.1009251502,0.0186917152,0.068258144,0.7928271242,0.0624357004,0.8360137939,0.5,0.0,0.5,0.0676648687,0.0399497701,0.0227233876,8.6377084432,1.3380805166,9.0,1.6806875162,1.1484572162,0.2650745763,1.0,0.0,1.0,1.4908168785,1.2022667568,0.0150745763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.038364204067112294,-0.09963507316157093,-0.01045527890397735,6.0,-30657.69243963701,False,0.09013878188659974,0.10676591196451528,0.011635795932887709,-0.02463507316157093,0.027244789899497454,0.01045527890397735,0.1041820234745096,0.02334664734756058,True,True,0.0061045466,0.0145644785,0.0,0.4092978359,0.0933966035,0.4269956015,-0.0604681094,0.0622644023,-0.048669599,1.2707799137,0.1747256974,1.3118803501,0.112328491,0.0206119843,0.1007220745,1.2841195039,0.1776459351,1.3467273712,0.28,0.0,0.28,0.2738954534,0.0145644785,0.28,9.0,0.0,9.0,2.3665968109,1.0888191127,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.036235848156521824,0.02197510732412354,0.018575196942529404,6.0,-17204.615996855442,False,0.0625,0.04237855629359328,0.013764151843478178,0.05947510732412354,0.06104703323820362,0.018575196942529404,0.015803614130743337,0.039321594753211925,True,True,0.5234755483,0.0702573645,0.5032468878,0.5335364976,0.1003676636,0.5046384111,0.022357665,0.0669117757,0.0030922741,0.4759738295,0.0426907163,0.5203948021,0.0469845637,0.0053769651,0.0517862625,0.4768897679,0.0438453381,0.5174463391,0.5,0.0,0.5,0.0651777216,0.0352003302,0.0032468878,7.9419262107,2.3475835774,9.0,1.3764367455,1.3108786486,1.9457557585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03456660704914431,0.021444236206374884,0.017657841795235923,6.0,-12218.30922588003,False,0.05,0.040678072586649835,0.01543339295085569,0.021444236206374884,0.026420539064340106,0.017657841795235923,0.03456660704914431,0.021444236206374884,True,True,0.4546926896,0.0643327952,0.4308120463,0.542418128,0.0919039931,0.5083029233,0.028278752,0.0612693287,0.0055352822,0.488220663,0.0256094765,0.4656191766,0.0251860801,0.0032389438,0.0227208361,0.4888339621,0.0275299857,0.4637269378,0.425,0.0,0.425,0.0595739916,0.0383575791,0.0058120463,7.952167105,2.3305875545,9.0,0.3682779257,0.50159135,0.2910689053,0.0,0.0,0.0,0.0,0.0,0.0,0.0013568903,0.0021934066,0.0052360065,0.0013568903,0.0021934066,0.0052360065,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03842754760742998,0.022747917139164974,0.016186652897145343,6.0,-17178.129813254265,False,0.0625,0.04465584115534734,0.011572452392570022,-0.014752082860835024,0.018749549410885642,0.016186652897145343,0.04439078836944297,0.0048581948531260105,True,True,0.5397902843,0.0691123058,0.5075801551,0.5568432633,0.0987318655,0.510828793,0.0378955089,0.0658212436,0.0072191954,0.4720281937,0.049192046,0.516546011,0.0511386393,0.008933739,0.0406614207,0.4771235982,0.0434626142,0.516505301,0.5,0.0,0.5,0.0658967661,0.0449154067,0.0075801551,7.9535481461,2.2703148633,9.0,1.3381167923,1.1176353248,0.4477790764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.01592429882554103,0.07475750298149744,0.1348799215510179,6.0,-20107.524195019272,False,0.09013878188659974,0.07643472735029364,0.034075701174458975,-0.0002424970185025549,0.034076564018911994,0.1348799215510179,0.07103521404299397,0.028218184048229594,True,False,0.0316516252,0.0486619606,0.0,0.4576292065,0.145719799,0.4975740104,-0.0282471957,0.0971465327,-0.0016173264,0.921458112,0.1161030183,0.8790714741,0.1151910268,0.0134880451,0.1032610461,0.9487470086,0.1082308049,0.8693619967,0.28,0.0,0.28,0.2483483748,0.0486619606,0.28,8.5276318088,1.5048927451,9.0,2.0440271425,1.1166183296,2.497810152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
