cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05784097570307609,-0.007638989957034786,-0.05334830885714751,6.0,-22963.39016825932,False,0.125,0.058343231294191424,0.04215902429692391,0.06736101004296521,0.07946627588906555,0.05334830885714751,0.050856174536681745,0.028593393456217822,True,False,0.4818681294,0.0700531393,0.5284560254,0.4740973276,0.1000759132,0.5406514648,-0.0172684482,0.0667172755,0.0271009766,0.8122008934,0.055355721,0.8301413655,0.0790401809,0.013369927,0.0658086166,0.7949242971,0.0773241101,0.6985599399,0.5,0.0,0.5,0.0598631892,0.0406522525,0.0284560254,8.696283205,1.2270015423,9.0,1.9330237685,1.1668933618,3.0,1.0,0.0,1.0,1.7798944443,1.2195018593,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.04426929712825008,-0.05530765089355407,-0.1328589740986128,6.0,-21720.625332254906,False,0.10680004681646915,0.07084283249272677,0.05573070287174992,-0.017807650893554072,0.058506612215423755,0.1328589740986128,0.06087044729956805,0.03624217931006704,True,False,0.4875385288,0.0739738931,0.4555001223,0.4821978982,0.1056769901,0.4364287462,-0.0118680678,0.0704513267,-0.0423808359,0.8051763125,0.0568629355,0.8102067113,0.0740243547,0.0150233438,0.0488207079,0.7917929663,0.0763796567,0.7776872516,0.5,0.0,0.5,0.063777284,0.0394953562,0.0444998777,8.6755417293,1.2418919338,9.0,2.0276809441,0.9856041374,1.0461304571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07088163630412356,0.007029957705684047,-0.04430137725876674,6.0,-15066.352207931148,False,0.1,0.07122939470818036,0.029118363695876448,0.007029957705684047,0.029954956345637395,0.04430137725876674,0.07088163630412356,0.007029957705684047,True,True,0.4905851828,0.0736694185,0.4555648625,0.4865502612,0.1052420264,0.4365212321,-0.0089664926,0.070161351,-0.0423191786,0.8084630169,0.0609741328,0.8102965355,0.0427645735,0.0082679188,0.0366127864,0.7985798782,0.0781427121,0.856985867,0.5,0.0,0.5,0.0605636121,0.0429868689,0.0444351375,8.5675110047,1.5302638921,9.0,0.5172835544,0.6229664738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116376621,0.009092948,0.022105661,0.0116376621,0.009092948,0.022105661,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06218376342191218,-0.008715377698129856,-0.0464940806089853,6.0,-20532.93253831481,False,0.10680004681646915,0.0627915459415788,0.037816236578087824,-0.046215377698129854,0.059715399058456485,0.0464940806089853,0.05516429865087699,0.02999463945591367,True,True,0.4922904351,0.0725693158,0.5922197551,0.4889863358,0.1036704511,0.6317425072,-0.0073424428,0.0691136341,0.0878283381,0.8061608688,0.059794854,0.7377798557,0.0745805437,0.016493497,0.0526098423,0.797173001,0.0757245953,0.7264176011,0.5,0.0,0.5,0.0610683805,0.0399549233,0.0922197551,8.6429961435,1.4069197658,9.0,1.5320500375,1.2017303944,0.3404631142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06678852815977909,0.002564807076826857,-0.03346435952145884,6.0,-21392.270448419513,False,0.125,0.06683775676285782,0.03321147184022091,-0.07243519292317314,0.07968600275839603,0.03346435952145884,0.05496970677391939,0.03802127123440597,True,True,0.4959182508,0.070862796,0.4237159505,0.4941689296,0.1012325657,0.3910227865,-0.0038873802,0.0674883771,-0.0726514757,0.8085346065,0.0592271365,0.7662367225,0.0837044418,0.0172695919,0.0614752248,0.7987176293,0.0741296853,0.7567436099,0.5,0.0,0.5,0.0584773481,0.0402317821,0.0762840495,8.5884810246,1.5179800145,9.0,1.5824885277,1.2124307908,0.0,1.0,0.0,1.0,1.4090499711,1.2509201588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.042046971830133346,-0.08595801398760078,0.002239594285137795,6.0,-30202.953189980406,False,0.09013878188659974,0.09569079375141894,0.007953028169866656,-0.010958013987600781,0.013539893929538258,0.002239594285137795,0.09484485436393136,0.012695731938775682,True,True,0.007981418,0.0197712266,0.0,0.4254628607,0.0910524473,0.4380849656,-0.0496914262,0.0607016315,-0.0412766896,1.2707799137,0.1747256974,1.3118803501,0.098051004,0.0180495696,0.0919412822,1.275128595,0.1942278112,1.2988260984,0.28,0.0,0.28,0.272018582,0.0197712266,0.28,8.974125974,0.4474037332,9.0,2.3872843101,1.0809381439,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03507509406712279,0.01781634692739132,-0.002375121112471401,6.0,-16641.08199485164,False,0.0625,0.03934062075837999,0.014924905932877215,0.05531634692739132,0.057294424288029534,0.002375121112471401,0.017370267097263442,0.03529813398218673,True,True,0.510421822,0.0627182288,0.5578763155,0.5148883172,0.0895974697,0.5826804508,0.0099255448,0.0597316464,0.0551203005,0.4853401977,0.0360347631,0.4723169208,0.0404057673,0.0077701638,0.0637877733,0.4844384611,0.0470436547,0.4807025492,0.5,0.0,0.5,0.0527201467,0.0355355699,0.0578763155,8.1391087311,2.1421117936,9.0,1.4938813717,1.2614203315,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.030695959804591267,0.01385252167560093,-0.0022858580493786787,6.0,-11196.076230734814,False,0.05,0.033676910563442075,0.019304040195408736,0.01385252167560093,0.023760015249131253,0.0022858580493786787,0.030695959804591267,0.01385252167560093,True,True,0.438285716,0.0610483941,0.4398788387,0.5189795943,0.0872119915,0.5212554839,0.0126530629,0.0581413277,0.0141703226,0.4878867964,0.0330820941,0.4731395841,0.0209972339,0.0040979288,0.019405501,0.4867252997,0.0440521924,0.3955501616,0.425,0.0,0.425,0.0513222603,0.0356292333,0.0148788387,7.9375954406,2.3905002107,9.0,0.3219502213,0.3877173693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033916359,0.0053720515,0.0044604895,0.0033916359,0.0053720515,0.0044604895,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03379070068961506,0.02766272252919313,0.007717141784585453,6.0,-16626.571069467787,False,0.0625,0.04366964243982633,0.016209299310384943,-0.009837277470806868,0.018960838910008444,0.007717141784585453,0.04363019406920793,0.001855757609585472,True,True,0.5227538535,0.060742323,0.4136369221,0.5325055049,0.0867747471,0.3766241744,0.0216703366,0.0578498314,-0.0822505504,0.4823037965,0.0377655556,0.451407969,0.0406381689,0.0087339124,0.0447485298,0.4824484793,0.0461585357,0.4538250864,0.5,0.0,0.5,0.0533822127,0.036847076,0.0863630779,8.0731232115,2.245986578,9.0,1.3017317003,1.092338284,0.1800310206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.0313329884238691,0.022086249649163833,0.03552619170246799,6.0,-17209.377155739134,False,0.09013878188659974,0.038334822122132045,0.018667011576130904,-0.05291375035083616,0.05610991264806976,0.03552619170246799,0.03575728534844888,0.013819375226293954,True,True,0.0271664807,0.0426720049,0.0,0.4682967234,0.1252637751,0.3694152907,-0.0211355177,0.0835091834,-0.0870564729,0.921458112,0.1161030183,0.8790714741,0.0866442809,0.0158610161,0.0702857077,0.9346959521,0.1262333614,0.8966064453,0.28,0.0,0.28,0.2528335193,0.0426720049,0.28,8.5270315268,1.5129492225,9.0,1.9018953475,1.2015688355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
