cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05854888308863145,0.06293247020295012,0.039517002062927485,6.0,-21654.85295151328,False,0.125,0.08595619533676115,0.04145111691136855,0.13793247020295013,0.14402625257045212,0.039517002062927485,0.009079624349135097,0.08547530601553897,True,True,0.4825066997,0.0843626364,0.4536194546,0.4750095711,0.120518052,0.433742078,-0.016660286,0.080345368,-0.044171948,0.7952060543,0.0577681372,0.807598412,0.0966158604,0.0126404486,0.09767095,0.7765286102,0.0665944435,0.7905541062,0.5,0.0,0.5,0.0764014081,0.0398232948,0.0463805454,8.53160092,1.6602745971,9.0,1.7036609421,1.3181694533,3.0,1.0,0.0,1.0,1.5757306779,1.350354955,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0693309262268827,-0.00034625997300573937,-0.02387015857490571,6.0,-20639.116982669733,False,0.10680004681646915,0.06933179088590137,0.03066907377311731,0.03715374002699426,0.048176679878281226,0.02387015857490571,0.06503814912752325,0.024019500109544394,True,True,0.4863155232,0.0858627184,0.4448109383,0.4804507474,0.1226610263,0.4211584833,-0.0130328351,0.0817740175,-0.0525610112,0.7929977655,0.0605139991,0.7953924537,0.0875225178,0.0146439344,0.0776960999,0.7749032098,0.0675736316,0.7742981315,0.5,0.0,0.5,0.0773075499,0.0397896224,0.0551890617,8.3981393606,1.7697198737,9.0,1.6503812454,1.2515474135,2.7341281563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06875096294610909,0.032938233746249955,0.013400621003494706,6.0,-14958.545625450854,False,0.1,0.07623399601450698,0.031249037053890913,0.032938233746249955,0.045402968615697877,0.013400621003494706,0.06875096294610909,0.032938233746249955,True,True,0.4891254271,0.0846220763,0.4633698499,0.4844648958,0.1208886804,0.4476712141,-0.0103567361,0.0805924536,-0.0348858573,0.7935245343,0.0608260908,0.8211297393,0.0473409678,0.0090715301,0.041972667,0.7837031792,0.0631328398,0.8081096411,0.5,0.0,0.5,0.0759302717,0.0389068886,0.0366301501,8.5072649723,1.5829983039,9.0,0.6784512848,0.7050928871,0.9962082957,0.0,0.0,0.0,0.0,0.0,0.0,0.0144534735,0.0076228524,0.0221605317,0.0144534735,0.0076228524,0.0221605317,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06663832171492455,0.008828372266900876,-0.03229849561062448,6.0,-20644.771100237504,False,0.10680004681646915,0.06722057778585937,0.033361678285075455,-0.02867162773309912,0.04398936024611285,0.03229849561062448,0.06549525341989444,0.015132014318278104,True,True,0.4994752327,0.083685016,0.4651179668,0.4992503324,0.1195500228,0.4501685239,-0.0004997784,0.0797000152,-0.033220984,0.7931082114,0.0655666973,0.8235578537,0.0899294622,0.0191966388,0.0663743988,0.7829679054,0.0665947755,0.8077192307,0.5,0.0,0.5,0.0734561896,0.0400954548,0.0348820332,8.5697226359,1.4187148989,9.0,1.5974166048,1.1624349295,0.4173840628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06960282420588797,0.01870264400868956,-0.006099036815571705,6.0,-22189.98596074257,False,0.125,0.07207178387102345,0.03039717579411204,-0.05629735599131044,0.06397953256995934,0.006099036815571705,0.06690384576992411,0.02679957931658113,True,True,0.5030373723,0.0809728284,0.4654711762,0.5043391033,0.1156754691,0.4506731089,0.0028927356,0.0771169794,-0.0328845941,0.7947405859,0.0648046153,0.8240485787,0.1028213512,0.018572448,0.0723038614,0.7890165561,0.0620774121,0.8120571971,0.5,0.0,0.5,0.0708630349,0.0392970082,0.0345288238,8.5852893817,1.4710293235,9.0,1.7251414392,1.1223235375,0.9778446283,1.0,0.0,1.0,1.5312648218,1.1783641609,0.7278446283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.043039178999784246,-0.08002558988791057,0.029212352497583804,6.0,-30320.6777680057,False,0.09013878188659974,0.09086509762215371,0.006960821000215757,-0.005025589887910575,0.008585428511059522,0.029212352497583804,0.09045915665734863,0.008579448859034085,True,True,0.0061007346,0.0148353252,0.0,0.4076771334,0.0938099109,0.413352875,-0.0615485777,0.0625399406,-0.05776475,1.2707799137,0.1747256974,1.3118803501,0.11253327,0.0203963084,0.1082638353,1.2844247464,0.1786953346,1.3421435356,0.28,0.0,0.28,0.2738992654,0.0148353252,0.28,9.0,0.0,9.0,2.3894269405,1.0542982664,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03487579230290778,0.02481893886080935,0.024666177245319536,6.0,-16953.30756184816,False,0.0625,0.04280538067734188,0.015124207697092225,0.062318938860809345,0.06412793306510102,0.024666177245319536,0.013009270525840614,0.04078062647039214,True,True,0.5241324851,0.0687557301,0.5035028149,0.5344749787,0.0982224715,0.5050040213,0.0229833192,0.0654816477,0.0033360142,0.4762962075,0.0425495386,0.5201672912,0.0475405801,0.0056317508,0.0522788167,0.4771637604,0.0439490911,0.518222034,0.5,0.0,0.5,0.0638748663,0.035067488,0.0035028149,7.7555522481,2.4862745125,9.0,1.3943093439,1.3126575573,2.0565556443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.035788919028461895,0.01746915797411956,0.012129714226168264,6.0,-11997.176041814642,False,0.05,0.03982484407440344,0.014211080971538108,0.01746915797411956,0.02251946497375898,0.012129714226168264,0.035788919028461895,0.01746915797411956,True,True,0.4543343912,0.0640874501,0.4280009273,0.5419062731,0.0915535001,0.5042870389,0.0279375154,0.0610356668,0.002858026,0.4882111768,0.0256315403,0.4632900059,0.0251447167,0.0034069157,0.0231752489,0.4887328458,0.0276332907,0.4613590539,0.425,0.0,0.425,0.059463461,0.0378391937,0.0030009273,7.869230519,2.3645782863,9.0,0.3377615552,0.4553460318,0.2183132879,0.0,0.0,0.0,0.0,0.0,0.0,0.0014383422,0.0022612234,0.005285534,0.0014383422,0.0022612234,0.005285534,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.036868999409120244,0.023101318804529262,0.021755797635509316,6.0,-17458.57892825752,False,0.0625,0.04350855143461117,0.013131000590879759,-0.014398681195470737,0.01948705202657619,0.021755797635509316,0.043355990810013754,0.0036403446018487356,True,True,0.5386212972,0.069173602,0.5090489459,0.5551732817,0.0988194314,0.5129270656,0.0367821878,0.065879621,0.0086180437,0.4722509171,0.0486485376,0.5152426958,0.051313772,0.0092406583,0.0390237644,0.4775787633,0.0427339245,0.5152058005,0.5,0.0,0.5,0.0660987537,0.0436754688,0.0090489459,8.0579595126,2.174359225,9.0,1.3694794504,1.1215609389,0.5234274565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.017658445371288283,0.06571466792784685,0.13076266026466263,6.0,-19868.532323362946,False,0.09013878188659974,0.06804585419992872,0.032341554628711716,-0.009285332072153152,0.03364808386063165,0.13076266026466263,0.06447305190416472,0.02175922452572327,True,False,0.0321091234,0.0500676071,0.0,0.4575689182,0.1473238793,0.4962246846,-0.0282873879,0.0982159195,-0.0025168769,0.921458112,0.1161030183,0.8790714741,0.1144818058,0.013636288,0.0965336636,0.9486223286,0.1089022948,0.8720293641,0.28,0.0,0.28,0.2478908766,0.0500676071,0.28,8.3693864737,1.7551026099,9.0,2.0507849015,1.1250855666,2.1249470137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
