cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.059217096108862693,0.00038469364276269325,-0.05784068081978044,6.0,-22957.234070640305,False,0.125,0.05921834564360156,0.04078290389113731,0.07538469364276269,0.08570937688145287,0.05784068081978044,0.04714286070143254,0.03583801257952777,True,False,0.4836265367,0.0707569972,0.5000514858,0.4766093381,0.1010814246,0.5000735512,-0.0155937746,0.0673876164,4.90341e-05,0.8107835213,0.0572519624,0.8720606565,0.0780863368,0.0134920359,0.0716070011,0.7934772418,0.0783964899,0.7119819522,0.5,0.0,0.5,0.0600787356,0.0408067211,5.14858e-05,8.828226264,0.9320099684,9.0,1.9371051952,1.193026982,3.0,1.0,0.0,1.0,1.7981321081,1.2505367815,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05937148993942364,-0.004837307121566345,-0.050396530834665144,6.0,-20817.44263196278,False,0.10680004681646915,0.05956822439703436,0.04062851006057636,0.03266269287843365,0.05212990826592001,0.050396530834665144,0.057289750270573744,0.016317410080975904,True,False,0.4860570986,0.0738069733,0.4176607698,0.4800815694,0.1054385333,0.3823725283,-0.0132789538,0.0702923555,-0.0784183145,0.8063826482,0.0572899831,0.7578886747,0.0732951625,0.015614346,0.0457815342,0.7930118916,0.0757461469,0.7848537564,0.5,0.0,0.5,0.0632792315,0.0404674273,0.0823392302,8.7309665607,1.1419897713,9.0,1.788544774,1.2763608789,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.05978603464275495,-0.02381249234018888,-0.07425589857442705,6.0,-14946.639326069764,False,0.1,0.06435374681987249,0.04021396535724506,-0.02381249234018888,0.046735402011807495,0.07425589857442705,0.05978603464275495,0.02381249234018888,True,False,0.4892420147,0.0754282118,0.443939835,0.4846314495,0.1077545883,0.41991405,-0.0102457003,0.0718363922,-0.0533906333,0.807680881,0.0615368969,0.7941863537,0.0427314069,0.0084331436,0.0375730619,0.7976479204,0.0783880767,0.8600593805,0.5,0.0,0.5,0.0614977948,0.044979669,0.056060165,8.5192006831,1.620759896,9.0,0.5872003915,0.7050992169,0.499930626,0.0,0.0,0.0,0.0,0.0,0.0,0.011974766,0.0089665165,0.0220691953,0.011974766,0.0089665165,0.0220691953,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05868399287508654,-0.005272357090378901,-0.06330175942560994,6.0,-20326.52123982764,False,0.10680004681646915,0.058920359546184686,0.04131600712491346,-0.042772357090378896,0.059468369540561526,0.06330175942560994,0.05309628661834065,0.025541987322733842,True,False,0.4917507796,0.0715794251,0.4965589065,0.4882153995,0.1022563216,0.4950841521,-0.0078564003,0.0681708811,-0.0032772319,0.8079346222,0.0603857572,0.8673344851,0.0742598746,0.0169369726,0.0442205779,0.7981143641,0.0766699652,0.7617793679,0.5,0.0,0.5,0.0597050997,0.0403356517,0.0034410935,8.6228207039,1.3528408064,9.0,1.5187193301,1.2149286009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06056990597244138,-0.010283759903201085,-0.06867416948857115,6.0,-21824.15308951955,False,0.125,0.061436709118059665,0.03943009402755863,-0.08528375990320108,0.09395771399011879,0.06867416948857115,0.04228566883603245,0.044568951506025696,True,False,0.4938326176,0.0709114191,0.3950601347,0.4911894537,0.1013020273,0.3500859067,-0.0058736975,0.0675346848,-0.0999427289,0.8080072355,0.0578669303,0.7268205285,0.0831100214,0.0173950362,0.0622302219,0.798177518,0.0728534161,0.7659945488,0.5,0.0,0.5,0.0595184421,0.0390387117,0.1049398653,8.5458964166,1.6790698706,9.0,1.6297298133,1.2307003035,0.0,1.0,0.0,1.0,1.4727101495,1.2704505948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.025738106626756973,-0.12282413609751731,-0.0129683802905786,6.0,-30882.429894189034,False,0.09013878188659974,0.12549190627618884,0.02426189337324303,-0.04782413609751732,0.053626369106331194,0.0129683802905786,0.1164727913880586,0.046715173199995165,True,True,0.0079935161,0.0195675607,0.0,0.424498591,0.0913337379,0.4674895424,-0.0503342727,0.0608891586,-0.0216736384,1.2707799137,0.1747256974,1.3118803501,0.0983615202,0.0179105207,0.0864100009,1.2748414268,0.1938549364,1.3062734604,0.28,0.0,0.28,0.2720064839,0.0195675607,0.28,8.974125974,0.4474037332,9.0,2.4265485442,1.0635580933,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.032560198075163777,0.005240890674715178,-0.013494029704613405,6.0,-16438.137860704148,False,0.0625,0.032979287951049145,0.017439801924836226,0.042740890674715176,0.04616200198047606,0.013494029704613405,0.022903624055301917,0.02372883138487041,True,True,0.511084836,0.0629979518,0.5488341542,0.51583548,0.089997074,0.5697630774,0.0105569867,0.0599980493,0.0465087183,0.485326126,0.0365239431,0.4802031815,0.0412104591,0.0077714843,0.0671694875,0.4843120736,0.0476511885,0.4772149622,0.5,0.0,0.5,0.0528193694,0.036079492,0.0488341542,7.9000493883,2.4228472327,9.0,1.4910103146,1.2626180944,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03080408584464221,0.020001517151869198,0.002532176523468784,6.0,-11357.897691748782,False,0.05,0.03672808725077586,0.019195914155357794,0.020001517151869198,0.027722622686830758,0.002532176523468784,0.03080408584464221,0.020001517151869198,True,True,0.4384714977,0.060261625,0.4485310102,0.5192449967,0.0860880357,0.5336157288,0.0128299978,0.0573920238,0.0224104859,0.4885694202,0.0323519834,0.4803270996,0.0209302194,0.0040953103,0.0192278437,0.4872715256,0.043601741,0.3958367109,0.425,0.0,0.425,0.0510628057,0.0347208088,0.0235310102,7.8783826523,2.47809917,9.0,0.3186995217,0.3789820376,0.155010238,0.0,0.0,0.0,0.0,0.0,0.0,0.0035210292,0.0055822653,0.0042142844,0.0035210292,0.0055822653,0.0042142844,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03136922704689,0.033021536702037384,0.023467382163611845,6.0,-17231.691829847274,False,0.0625,0.04554613366338944,0.018630772953110004,-0.004478463297962615,0.0191614804840736,0.023467382163611845,0.04490830365873443,0.007595693133495907,True,True,0.5229890851,0.0610920351,0.4169034146,0.5328415502,0.0872743359,0.3812905923,0.0218943668,0.0581828906,-0.0791396052,0.4816459965,0.0374478572,0.4541071355,0.0408455017,0.0088325067,0.0454939604,0.4821891923,0.0457364319,0.4514466822,0.5,0.0,0.5,0.0539473725,0.036748004,0.0830965854,8.1950779739,2.1014731382,9.0,1.3298016436,1.0734084168,0.438590771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03490543371125635,0.0039865735893751504,0.026505122102939982,6.0,-17787.426510862268,False,0.09013878188659974,0.03513235078320855,0.01509456628874365,-0.07101342641062484,0.07259994946294733,0.026505122102939982,0.022679080657399694,0.02683172324114823,True,True,0.0253325388,0.0394783278,0.0,0.4663682655,0.1214676828,0.3811164051,-0.0224211563,0.0809784552,-0.0792557299,0.921458112,0.1161030183,0.8790714741,0.0863259378,0.016422247,0.0736372173,0.9340829168,0.1255015406,0.893874824,0.28,0.0,0.28,0.2546674612,0.0394783278,0.28,8.6288453038,1.2396808564,9.0,1.9625945254,1.1825323971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.039083657474359254,-0.11293056304536446,-0.03143376988227383,6.0,-26743.449526125045,False,0.075,0.11950248679971506,-0.039083657474359254,-0.03793056304536446,0.054463381225474845,0.03143376988227383,0.11293056304536446,0.039083657474359254,True,True,0.0074456882,0.0177174281,0.0,0.4232831812,0.0885250245,0.4752559289,-0.0511445458,0.059016683,-0.0164960474,1.2707799137,0.1747256974,1.3118803501,0.0536989168,0.0095986624,0.0509220846,1.2702067145,0.1910541285,1.2786345482,0.0,0.0,0.0,0.0074456882,0.0177174281,0.0,8.9733366976,0.461051599,9.0,1.0826950176,1.3900783386,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0375,0.0,0.0034111546089966374,-0.03304645471381301,-0.09265184775807533,6.0,-15330.901729876276,False,0.0375,0.03322204305756305,0.0034111546089966374,0.004453545286186987,0.005609816519512678,0.09265184775807533,0.03304645471381301,0.0034111546089966374,True,False,0.0041806949,0.013380418,0.0022773317,0.4389085889,0.0663297512,0.5032533309,-0.0407276074,0.0442198341,0.0021688873,1.1413779688,0.023411709,1.1148432493,0.0302036559,0.0054632162,0.0294134021,1.1363006703,0.0700875015,1.1152415276,0.0,0.0,0.0,0.0041806949,0.013380418,0.0022773317,7.0061786363,3.2098999525,6.4645073158,0.462287532,0.5598260472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-2.4097273676860444e-06,-4.827673982169418e-05,-0.00021033109946285342,6.0,1785.6506352656238,False,0.0,4.833684302680645e-05,-2.4097273676860444e-06,-4.827673982169418e-05,4.833684302680645e-05,0.00021033109946285342,0.0,4.833684302680645e-05,True,True,0.5592039505,0.0463921903,0.519463357,0.5845770722,0.0662745576,0.5278047957,0.0563847148,0.0441830384,0.0185365304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2.22511e-05,8.4289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0375,0.0,-0.02765794116303026,0.019933321998977183,0.024792310771099963,6.0,-12238.831915822197,False,0.0375,0.03409250702562883,-0.02765794116303026,-0.017566678001022816,0.03276507111802541,0.024792310771099963,0.019933321998977183,0.02765794116303026,True,True,0.0331546366,0.0438622577,0.0155096023,0.5140412425,0.0977178669,0.5221565748,0.0093608284,0.0651452446,0.0147710498,0.5528748882,0.0696618143,0.5274428725,0.023014662,0.0055085556,0.0198817104,0.5571973966,0.0757942653,0.5446586609,0.0,0.0,0.0,0.0331546366,0.0438622577,0.0155096023,7.7087162986,2.5294099856,9.0,1.1026717714,0.963682824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.03979462054444305,0.030402283809974687,0.05977108991459579,6.0,-16910.464722738165,False,0.075,0.050079044371258305,-0.03979462054444305,-0.04459771619002531,0.05977096380051316,0.05977108991459579,0.030402283809974687,0.03979462054444305,True,False,0.0254154384,0.0424889264,0.0,0.4608156015,0.1247329549,0.4631182319,-0.0261229323,0.0831553033,-0.0245878454,0.921458112,0.1161030183,0.8790714741,0.0447108772,0.0086945659,0.0398126468,0.9245961809,0.1245576482,0.901589036,0.0,0.0,0.0,0.0254154384,0.0424889264,0.0,8.7037493043,1.1973103717,9.0,1.6432353943,1.3265278399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.0635874738531274,-0.051760204423769884,0.03328681963648009,6.0,-26666.013202387952,False,0.09013878188659974,0.0819907652910534,-0.1135874738531274,0.023239795576230113,0.11594051196523097,0.03328681963648009,0.007795109101988297,0.0816193718862177,True,True,0.2209598005,0.0595679857,0.2361181324,0.4156568578,0.0850971225,0.4373116177,-0.0562287614,0.056731415,-0.0417922549,1.2707799137,0.1747256974,1.3118803501,0.0970210309,0.0168579046,0.0887356177,1.2748464133,0.1881224124,1.287422657,0.28,0.0,0.28,0.0698870848,0.0463668574,0.0438818676,8.97416854,0.4466676985,9.0,1.5107167245,1.4358561406,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0375,0.0,0.03706597847925475,0.0011413011271840948,0.02236995222694767,6.0,-20963.427416201896,False,0.0625,0.037083545257802525,-0.01293402152074525,0.03864130112718409,0.04074848543812175,0.02236995222694767,0.028968002107093344,0.023152627989300126,True,True,0.4761801766,0.0502450333,0.3896597639,0.4659716808,0.071778619,0.3423710912,-0.0226855461,0.0478524127,-0.1050859392,0.8554774638,0.0510699739,0.757976532,0.0534757759,0.0092172994,0.0609446317,0.8573517688,0.0714701618,0.846542716,0.5,0.0,0.5,0.045215442,0.0323652772,0.1103402361,8.7777481076,1.1190959831,9.0,1.4844505195,1.2725273361,0.0955121026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.041391890802202354,-0.02880863877765381,-0.010018578894376887,6.0,-16432.077902656194,False,0.05,0.05043041039296411,-0.008608109197797649,-0.02880863877765381,0.030067211579768206,0.010018578894376887,0.041391890802202354,0.02880863877765381,True,True,0.3767394287,0.0547024248,0.3560683437,0.4310563267,0.0781463212,0.4015262052,-0.0459624489,0.0520975475,-0.0656491965,1.1711637112,0.1041002443,1.0183349848,0.0312110225,0.0058371899,0.0377400629,1.1657508073,0.1239168732,0.9587513804,0.425,0.0,0.425,0.0610744897,0.0398916625,0.0689316563,8.8721183466,0.8750688641,9.0,0.8763425964,0.9813765408,0.2439457315,0.0,0.0,0.0,0.0,0.0,0.0,0.0032449091,0.0041060449,0.0111337919,0.0032449091,0.0041060449,0.0111337919,0.0,0.0,0.0
0.05,0.0375,0.0,0.039012192985728826,0.0012489646099291154,0.013073888903797718,6.0,-21939.931238786732,False,0.0625,0.03903218049446642,-0.010987807014271177,-0.036251035390070886,0.03787967093092334,0.013073888903797718,0.03195913315454053,0.022408144103494003,True,True,0.4870765284,0.055194052,0.5100037701,0.4815378978,0.0788486457,0.5142911002,-0.0123080681,0.0525657638,0.0095274001,0.8521179024,0.0579785882,0.8934048414,0.050239423,0.0087095571,0.0607827306,0.8526111412,0.0753664175,0.8394779563,0.5,0.0,0.5,0.0449643289,0.0345196845,0.0100037701,8.7553001259,1.1480589284,9.0,1.9057193849,1.1299407891,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.075,0.0,-0.03558865660888139,0.01424813657764717,0.020504524233933674,6.0,-18361.707008908525,False,0.09013878188659974,0.03833486500772064,-0.0855886566088814,-0.06075186342235283,0.10495812045478535,0.020504524233933674,-0.007885868571141685,0.03751499636197296,False,True,0.255061013,0.0897269136,0.2943681109,0.4643728757,0.1281813051,0.5205258727,-0.0237514162,0.0854542034,0.0136839151,0.921458112,0.1161030183,0.8790714741,0.0731705924,0.0175782272,0.0768111646,0.9274337975,0.1241335206,0.9080052972,0.28,0.0,0.28,0.078370321,0.0503086959,0.0143681109,8.6430061516,1.4097969407,9.0,2.2805052981,0.9766902128,1.9772094846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.075,0.0,0.04768549263247071,0.004542784717904587,0.052121116588669546,6.0,-25714.1456184055,False,0.125,0.04790138933887665,-0.052314507367529295,0.07954278471790459,0.09520431860890656,0.052121116588669546,0.03542272327523382,0.0322455233538061,True,False,0.432846541,0.0490480635,0.3709566645,0.4040664872,0.0700686621,0.3156523779,-0.0639556752,0.0467124414,-0.1228984147,1.4102122267,0.0882865786,1.2213029861,0.1168264583,0.0171159509,0.1276257783,1.400361772,0.1182627061,1.4413952827,0.5,0.0,0.5,0.0710042108,0.0432862753,0.1290433355,8.9121858885,0.7500146019,9.0,2.0739402229,1.2370934809,1.9481456193,1.0,0.0,1.0,1.9975771267,1.2627692274,1.6981456193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.0375,0.0,0.07528534505120177,0.002956264541446913,0.009912525666672852,6.0,-23403.691447493024,False,0.10680004681646915,0.07534336519905072,-0.024714654948798237,0.040456264541446914,0.04740805321763057,0.009912525666672852,0.06945385143475491,0.029202486202317073,True,True,0.4292390622,0.0559840271,0.4396354232,0.398912946,0.0799771815,0.4137648903,-0.0673913693,0.053318121,-0.0574900731,1.6062610221,0.1056824239,1.5732219219,0.1176340684,0.0151039956,0.1318232268,1.5939899286,0.1379202678,1.7140328884,0.5,0.0,0.5,0.0768367077,0.0473016062,0.0603645768,8.8707428213,0.8471929556,9.0,1.8761797246,1.2833603736,0.0982589795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.06474181659705225,-0.004918982445466806,0.08744503178046299,6.0,-19005.14802558122,False,0.1,0.06492841600243425,-0.03525818340294776,-0.004918982445466806,0.03559966130702245,0.08744503178046299,0.06474181659705225,0.004918982445466806,True,False,0.4175350695,0.0590075875,0.4737968737,0.3821929565,0.0842965536,0.4625669625,-0.078538029,0.0561977024,-0.0249553584,1.9861368732,0.1463725884,2.0782186985,0.0701037075,0.0098533617,0.0748359412,1.8763278123,0.154363287,1.8220553398,0.5,0.0,0.5,0.0881195061,0.0501728291,0.0262031263,8.973324226,0.4612672535,9.0,1.1979090922,1.3104248237,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057277198,0.005267952,0.007263575,0.0057277198,0.005267952,0.007263575,0.0,0.0,0.0
0.1,0.0375,0.0,0.05019512216919813,0.010414090393286331,0.05296439552620439,6.0,-23959.237224073044,False,0.10680004681646915,0.05126405727505641,-0.049804877830801876,-0.027085909606713667,0.05669367120732405,0.05296439552620439,0.0506557887185663,0.007873667353923147,True,False,0.4330880512,0.0545461923,0.4410634145,0.4044115018,0.0779231319,0.4158048779,-0.0637256655,0.0519487546,-0.0561300814,1.6070679311,0.1035684071,1.5769439936,0.1196987985,0.0182362515,0.1303428262,1.5950751328,0.1377527008,1.3597376347,0.5,0.0,0.5,0.0739271541,0.0445788276,0.0589365855,8.885277911,0.7700918379,9.0,1.9724424046,1.2490111001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.075,0.0,0.05931300955590221,-0.0018005664028974567,0.011552197106442286,6.0,-26124.31391752878,False,0.125,0.05934033318030654,-0.04068699044409779,-0.07680056640289745,0.08691235925461906,0.011552197106442286,0.0463700678029833,0.03702825885585929,True,True,0.4465742987,0.0548562327,0.5089435608,0.4236775695,0.0783660467,0.5127765154,-0.0508816203,0.0522440312,0.008517677,1.4129127626,0.0872796629,1.4917662144,0.1142020804,0.0165029836,0.1218400076,1.4058215451,0.1170610624,1.4129443169,0.5,0.0,0.5,0.0633080793,0.0430766633,0.0089435608,8.8807341036,0.8147609606,9.0,2.0775444691,1.2015371172,3.0,1.0,0.0,1.0,1.9917936208,1.2290032323,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.125,0.017757106993736487,-0.02713662790200097,-0.14818998147821194,6.0,-3112.933055477076,False,0.0,0.0324301005653492,0.017757106993736487,-0.02713662790200097,0.0324301005653492,0.02318998147821194,0.0,0.0324301005653492,False,True,0.8863450668,0.0491480906,0.9919339113,0.5519331957,0.0702388333,0.7027627304,0.0346221304,0.0468258889,0.1351751536,0.6786415124,0.0115224165,0.6889231801,0.0121976865,0.0022603658,0.0102701653,0.6798134234,0.0411432276,0.6876632571,0.85,0.0,0.85,0.0503589609,0.0346478534,0.1419339113,1.306371121,1.5032256067,0.9590207971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.1,0.011915764198620594,-0.0220266183297025,-0.12227776604613198,6.0,-1993.2619904147455,False,0.0,0.025043109860389032,0.011915764198620594,-0.0220266183297025,0.025043109860389032,0.022277766046131978,0.0,0.025043109860389032,False,True,0.8880216492,0.05035369,0.8779786866,0.5544095326,0.0721517234,0.5399695523,0.0362730217,0.0481011489,0.0266463682,0.5429132271,0.0092179315,0.5511385798,0.0099194698,0.0016191567,0.0112388125,0.5436041502,0.032938954,0.5498964787,0.85,0.0,0.85,0.0507062345,0.0375502023,0.0279786866,0.8650174886,1.3211479369,0.9027160136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.010824284203474087,0.02347935688400654,0.11760023389466179,6.0,-2364.5560030996444,False,0.0,0.025854309664041,0.010824284203474087,0.02347935688400654,0.025854309664041,0.017600233894661782,0.0,0.025854309664041,False,True,0.8969978474,0.0463542391,0.8493605253,0.5672966325,0.0666150454,0.4990864648,0.0448644216,0.0444100303,-0.0006090235,0.5429132271,0.0092179315,0.5511385798,0.0122116285,0.0023108711,0.011469081,0.5456472186,0.0327597648,0.5565598011,0.85,0.0,0.85,0.0548259344,0.0367645219,0.0006394747,0.9361933821,1.4932741823,0.484732082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
