cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0676937206550713,-0.001295614625043947,-0.0361181984228108,6.0,-21711.47658206708,False,0.125,0.06770611813849214,0.032306279344928704,0.07370438537495605,0.0804737976524819,0.0361181984228108,0.05493234529908341,0.03957974069300762,True,True,0.4815590354,0.0841060726,0.4426153278,0.4736557649,0.1201515323,0.4180218969,-0.0175628234,0.0801010216,-0.0546520688,0.7954618168,0.0570750624,0.7923527956,0.0952528872,0.0127239537,0.1004487947,0.775435277,0.0670689376,0.7726250291,0.5,0.0,0.5,0.0765578345,0.0394055656,0.0573846722,8.3811080195,1.9249761837,9.0,1.7493064694,1.2568142459,2.8153309,1.0,0.0,1.0,1.5945018471,1.3082037196,2.3153309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06902998567875654,0.005694060567230208,-0.020299346137662006,6.0,-20550.17539148292,False,0.10680004681646915,0.06926442989408503,0.030970014321243466,0.04319406056723021,0.05314949346271869,0.020299346137662006,0.06263547157521442,0.029569561192265375,True,True,0.4886868593,0.0888729596,0.4658539375,0.4838383705,0.1269613708,0.4512199108,-0.0107744197,0.0846409139,-0.0325200595,0.789664554,0.0634219876,0.8245803118,0.0892046697,0.0126819675,0.0789436698,0.7710075009,0.0713551664,0.800137639,0.5,0.0,0.5,0.0799772631,0.0403735987,0.0341460625,8.4083289112,1.862561897,9.0,1.6321565304,1.3135238486,1.9635905729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06824522950311428,0.03544690448463123,0.010807787005077563,6.0,-15215.924356985277,False,0.1,0.0769018490510814,0.03175477049688573,0.03544690448463123,0.047590424318894806,0.010807787005077563,0.06824522950311428,0.03544690448463123,True,True,0.4913044533,0.0866775041,0.4666699817,0.4875777904,0.1238250059,0.4523856882,-0.0082814731,0.0825500039,-0.0317428745,0.7906654096,0.0628783924,0.8257142305,0.0482292664,0.0082899804,0.0393657722,0.7805233453,0.0657898774,0.8120769858,0.5,0.0,0.5,0.0778464879,0.0390963754,0.0333300183,8.5623802952,1.5066534983,9.0,0.6571016743,0.685790978,0.8777687081,0.0,0.0,0.0,0.0,0.0,0.0,0.0148957154,0.0070079164,0.0207631447,0.0148957154,0.0070079164,0.0207631447,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.04885787191086533,0.07292593529296154,0.04434335862427341,6.0,-21305.243965149923,False,0.10680004681646915,0.0877797453061453,0.051142128089134674,0.03542593529296154,0.062213456397041275,0.04434335862427341,0.07135305640519127,0.051127536882284184,True,True,0.4998601496,0.085136887,0.4622024111,0.4998002137,0.1216241242,0.4460034445,-0.0001331909,0.0810827495,-0.0359977037,0.7908428494,0.0666339263,0.8195084929,0.0910056467,0.0191970589,0.0645940006,0.7806203558,0.0681781252,0.8048275709,0.5,0.0,0.5,0.0750992824,0.040104948,0.0377975889,8.5681964241,1.525759759,9.0,2.0142191402,0.8898021868,1.4335523067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06733688902115358,0.013059712171358711,-0.024308476981573495,6.0,-22272.634394966306,False,0.125,0.06859163728214897,0.03266311097884643,-0.061940287828641284,0.07002483898668647,0.024308476981573495,0.06170533851973809,0.02995436367560517,True,True,0.5031917182,0.0821032822,0.4896008968,0.5045595974,0.1172904032,0.4851441383,0.0030397316,0.0781936021,-0.0099039078,0.794375778,0.0667297273,0.8576301336,0.102016967,0.018449427,0.0776470825,0.7880919943,0.0651229506,0.8453398943,0.5,0.0,0.5,0.071416917,0.0406295458,0.0103991032,8.6982318391,1.1635404234,9.0,1.7734396191,1.1106351092,0.9697255638,1.0,0.0,1.0,1.559572794,1.1588945574,0.7197255638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.024172329756067642,-0.11369347682924565,-0.008889527956013351,6.0,-30891.600657574785,False,0.09013878188659974,0.11623471168010996,0.02582767024393236,-0.03869347682924565,0.04652154016544034,0.008889527956013351,0.10800708691897831,0.042953199818343606,True,True,0.0064018925,0.0151856633,0.0,0.4058558105,0.0988035337,0.4540740103,-0.062762793,0.0658690225,-0.0306173265,1.2707799137,0.1747256974,1.3118803501,0.1130931828,0.0191640972,0.1063828096,1.2821547467,0.1769543583,1.3371660709,0.28,0.0,0.28,0.2735981075,0.0151856633,0.28,9.0,0.0,9.0,2.3696349563,1.1107734134,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03810077780338506,0.015103923245028171,0.009567696380009242,6.0,-17076.961261360084,False,0.0625,0.04098533599489727,0.01189922219661494,0.05260392324502817,0.0539329605125959,0.009567696380009242,0.02141826829569115,0.034943605278053576,True,True,0.5239980701,0.0702231696,0.495572206,0.5342829573,0.1003188138,0.49367458,0.0228553049,0.0668792092,-0.0042169467,0.4756887943,0.0429956742,0.5195747018,0.0471578434,0.0053995274,0.0513877124,0.4764080552,0.0444662559,0.5170992613,0.5,0.0,0.5,0.0653076993,0.0352435149,0.004427794,7.9114737941,2.3223570702,9.0,1.3944555359,1.3123834362,1.7403453919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03631553735581294,0.013702852284697309,0.009790956295153327,6.0,-11661.79615355181,False,0.05,0.03881477056711374,0.013684462644187066,0.013702852284697309,0.01936576047038653,0.009790956295153327,0.03631553735581294,0.013702852284697309,True,True,0.4559996288,0.0652047335,0.4289155475,0.544285184,0.0931496193,0.5055936393,0.029523456,0.0620997462,0.0037290929,0.4876617769,0.0259790358,0.4640477002,0.0254930376,0.0033249825,0.0232848506,0.4881618738,0.0279729906,0.462308526,0.425,0.0,0.425,0.0607764384,0.0389725391,0.0039155475,7.7452537446,2.5661231888,9.0,0.3077590184,0.4192848941,0.2433783701,0.0,0.0,0.0,0.0,0.0,0.0,0.0013600582,0.0020593371,0.0047547776,0.0013600582,0.0020593371,0.0047547776,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03767444972250607,0.016490040030851118,0.01179267435178392,6.0,-16843.178366686065,False,0.0625,0.04112524263895242,0.012325550277493935,-0.02100995996914888,0.024358522277598642,0.01179267435178392,0.040033583796515525,0.009412637808822745,True,True,0.5398449594,0.0696023939,0.5088114745,0.5569213706,0.0994319913,0.5125878206,0.0379475804,0.0662879942,0.0083918804,0.4715455997,0.0491321084,0.5154533982,0.0505691836,0.0084410632,0.0402462184,0.4763943533,0.0441385665,0.515294373,0.5,0.0,0.5,0.0666866794,0.044553348,0.0088114745,7.874705873,2.4506932738,9.0,1.3284586395,1.1289897046,0.5189778663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.020993355616091006,0.06335988202830507,0.12225694501007485,6.0,-20032.498223289625,False,0.09013878188659974,0.06674725185851771,0.029006644383908996,-0.011640117971694924,0.03125504382990903,0.12225694501007485,0.06436362697053398,0.01767821127440065,True,False,0.0327477754,0.0501932756,0.0,0.456681785,0.1496269709,0.493818792,-0.02887881,0.099751314,-0.0041208053,0.921458112,0.1161030183,0.8790714741,0.1143620009,0.0134880148,0.1004958972,0.9487959695,0.1088681618,0.8680403829,0.28,0.0,0.28,0.2472522246,0.0501932756,0.28,8.6090040497,1.3814380102,9.0,2.0829242998,1.1331298377,1.7449903687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
