cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05459200170391099,0.0010738859498806669,-0.0389734231493933,6.0,-22714.852892804738,False,0.125,0.05460256295333738,0.04540799829608901,0.07607388594988067,0.08859527319655984,0.0389734231493933,0.043029269793200396,0.033614309782251134,True,True,0.4836800478,0.0733504103,0.5048879327,0.4766857826,0.1047863005,0.506982761,-0.0155428116,0.0698575336,0.004655174,0.8085880345,0.0584195825,0.8648943305,0.0800972654,0.012945348,0.074071832,0.7909748063,0.0807309664,0.7102234364,0.5,0.0,0.5,0.0621798745,0.0421934443,0.0048879327,8.7562135963,1.0990099815,9.0,1.9477615564,1.2052722265,3.0,1.0,0.0,1.0,1.8100405963,1.2513166845,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05814312200861977,-0.014028450773809221,-0.08360625802944277,6.0,-21489.848655921953,False,0.10680004681646915,0.05981153791721488,0.041856877991380236,0.023471549226190776,0.047988663851609666,0.08360625802944277,0.05936681952748078,0.00728016532875172,True,False,0.4882062361,0.0760274339,0.4398947867,0.4831517659,0.1086106199,0.4141354095,-0.0112321561,0.0724070799,-0.0572430603,0.8030342396,0.0574378444,0.7885879874,0.0734472367,0.0149694883,0.0416997485,0.7885652781,0.0763419181,0.7625578046,0.5,0.0,0.5,0.0651375801,0.0409433661,0.0601052133,8.6899414956,1.2837796207,9.0,1.8503061379,1.1297808957,1.2174339331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.060509890405326394,0.009740439457420558,-0.02057303519116956,6.0,-14983.623643815326,False,0.1,0.061288848885325674,0.03949010959467361,0.009740439457420558,0.04067363908753443,0.02057303519116956,0.060509890405326394,0.009740439457420558,True,True,0.4906140701,0.0730798656,0.4499300448,0.4865915287,0.1043998079,0.4284714926,-0.0089389809,0.069599872,-0.0476856716,0.8081378547,0.0603806943,0.8024838567,0.0427752058,0.0091529912,0.0407691933,0.7985294861,0.0781544362,0.8591037989,0.5,0.0,0.5,0.0602142334,0.0424618478,0.0500699552,8.6334017564,1.4207721487,9.0,0.6074572651,0.6861163129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115489923,0.008577922,0.0245029331,0.0115489923,0.008577922,0.0245029331,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.060513347132844536,0.003078769249545339,-0.03407065765557101,6.0,-20640.487695133466,False,0.10680004681646915,0.06059161659266148,0.03948665286715547,-0.03442123075045466,0.05238336454474152,0.03407065765557101,0.057741440607603285,0.018364913227965754,True,True,0.4907695959,0.0727090808,0.5551854318,0.4868137084,0.1038701154,0.5788363311,-0.008790861,0.0692467436,0.0525575541,0.8055192548,0.059507511,0.7911009789,0.074833986,0.0169499029,0.0513488874,0.7949435822,0.0754800172,0.7206466198,0.5,0.0,0.5,0.0617226109,0.0395237914,0.0551854318,8.6737668623,1.3547172668,9.0,1.6948178904,1.0900820767,0.3867438517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.05630957477516038,-0.028462334182509385,-0.10523226275808861,6.0,-21602.75867576325,False,0.125,0.063094157245154,0.043690425224839624,-0.10346233418250939,0.1123089838384292,0.10523226275808861,0.027970259310622678,0.05655561221110374,True,False,0.4954930014,0.0731433456,0.4112511788,0.4935614306,0.1044904937,0.3732159697,-0.0042923796,0.0696603292,-0.0845226869,0.805302886,0.0604437243,0.7490628958,0.0825234006,0.0177522233,0.0607929304,0.7951614797,0.0754292456,0.779317677,0.5,0.0,0.5,0.061589074,0.0397120638,0.0887488212,8.5163272605,1.6257395329,9.0,1.6028419631,1.2544090728,0.0,1.0,0.0,1.0,1.4556870701,1.2903038642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.0576564505877531,-0.04355197831215363,0.0360157823015003,6.0,-29784.46653602444,False,0.09013878188659974,0.07225677206518649,-0.007656450587753098,0.03144802168784637,0.032366638745503995,0.0360157823015003,0.06821948082829968,0.023814775766266765,True,True,0.0079148501,0.0197263447,0.0,0.4242425638,0.0913153237,0.4214935694,-0.0505049574,0.0608768825,-0.0523376204,1.2707799137,0.1747256974,1.3118803501,0.1000213113,0.017656363,0.0835878775,1.2740763084,0.1943338382,1.3068263531,0.28,0.0,0.28,0.2720851499,0.0197263447,0.28,8.974125974,0.4474037332,9.0,2.331270818,1.0470856444,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03116298861829839,0.018166607412663977,0.002120990696410955,6.0,-16549.523921383672,False,0.0625,0.036071560605413965,0.018837011381701612,0.05566660741266398,0.05876737341952601,0.002120990696410955,0.014030426447040329,0.033231079101110214,True,True,0.511370847,0.0629503195,0.5442999424,0.5162440672,0.0899290279,0.5632856321,0.0108293781,0.0599526853,0.0421904214,0.4854356985,0.0372197736,0.4841691852,0.040927986,0.0078902833,0.0681814402,0.4840418686,0.0482536611,0.4757153392,0.5,0.0,0.5,0.0523498867,0.0367631372,0.0442999424,7.9712259494,2.4016152957,9.0,1.5009102786,1.2813663697,2.9194912272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.030265976080521565,0.013492167148538535,0.00011934572411198552,6.0,-11552.234117409267,False,0.05,0.033137107334087056,0.019734023919478438,0.013492167148538535,0.02390544445139328,0.00011934572411198552,0.030265976080521565,0.013492167148538535,True,True,0.4392368994,0.0613287486,0.4335012217,0.5203384277,0.087612498,0.5121446024,0.0135589518,0.058408332,0.0080964016,0.4882635108,0.0327087354,0.4678484201,0.021379999,0.0038744217,0.0179773569,0.4869993572,0.0437715116,0.3983853161,0.425,0.0,0.425,0.0518361493,0.0357339941,0.0085012217,8.0021965162,2.3577328529,9.0,0.3328929787,0.393509185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035084562,0.0056721833,0.0051825424,0.0035084562,0.0056721833,0.0051825424,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.0337421105183294,0.015402717202922654,-0.00706606175748085,6.0,-16605.55601765741,False,0.0625,0.03709142379936856,0.016257889481670604,-0.022097282797077344,0.027433717892626695,0.00706606175748085,0.03623531873641711,0.007923092548659515,True,True,0.5243442058,0.0613080692,0.4144492816,0.5347774369,0.087582956,0.377784688,0.0231849579,0.0583886373,-0.0814768746,0.481234547,0.0384283671,0.4520790577,0.0406097509,0.0087638261,0.0441646613,0.4815804518,0.0469036445,0.4603924155,0.5,0.0,0.5,0.0542542505,0.0375206078,0.0855507184,8.1160762507,2.1392928644,9.0,1.2516327841,1.1342759895,0.0706105732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03284431829069507,0.02315348233833783,0.043465130151211895,6.0,-17928.413052326086,False,0.09013878188659974,0.040184984613313074,0.017155681709304933,-0.051846517661662164,0.05461116010992649,0.043465130151211895,0.037483611595292496,0.014484883504725285,True,True,0.0245388691,0.0396749297,0.0,0.4628300382,0.1230124819,0.3744499646,-0.0247799745,0.0820083213,-0.0837000236,0.921458112,0.1161030183,0.8790714741,0.087064173,0.0159448399,0.0719321147,0.9344678915,0.1265579425,0.894652307,0.28,0.0,0.28,0.2554611309,0.0396749297,0.28,8.5748979384,1.4250731173,9.0,1.9738860959,1.1675037703,0.0590619061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
