cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06590374892676089,0.026487565306543767,-0.0167593442631014,6.0,-22333.26162447196,False,0.125,0.07102742595976541,0.03409625107323912,0.10148756530654376,0.107062039253413,0.0167593442631014,0.03683045995748245,0.06073230160129155,True,True,0.4844347782,0.0837718694,0.4675375861,0.4777639689,0.1196740991,0.453625123,-0.0148240207,0.0797827327,-0.0309165847,0.7954968216,0.0588818773,0.8269197941,0.0952009493,0.012988948,0.0989131406,0.7762946979,0.0687686241,0.8067910075,0.5,0.0,0.5,0.0750752821,0.0402952137,0.0324624139,8.591792072,1.5240806499,9.0,1.8007484999,1.2656032771,2.7589841444,1.0,0.0,1.0,1.6536284131,1.2907583987,2.2589841444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.059789522315917165,0.04425700255608606,0.011513906977834795,6.0,-20660.229397984873,False,0.10680004681646915,0.07438729228850158,0.04021047768408284,0.08175700255608606,0.09111031765139438,0.011513906977834795,0.04044300320542956,0.06243262565150194,True,True,0.4887823765,0.0848826151,0.4479537709,0.4839748235,0.1212608787,0.4256482441,-0.010683451,0.0808405858,-0.0495678373,0.7923620685,0.0608018545,0.7997454405,0.087375996,0.0144152063,0.0776616782,0.7744586255,0.0687464936,0.7783310413,0.5,0.0,0.5,0.0765307071,0.0383919821,0.0520462291,8.5260268712,1.628544038,9.0,1.6737779595,1.3116571255,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.0692100534405484,0.01883250711933175,-0.020779572041666805,6.0,-15213.754577107904,False,0.1,0.07172652801888048,0.03078994655945161,0.01883250711933175,0.03609271579603794,0.020779572041666805,0.0692100534405484,0.01883250711933175,True,True,0.4907398461,0.0896299255,0.4688230189,0.4867712087,0.1280427508,0.4554614555,-0.0088191942,0.0853618338,-0.029692363,0.7897330628,0.0642815618,0.8287063837,0.0477208473,0.0089631451,0.0383606888,0.7798418943,0.0668400691,0.8153421283,0.5,0.0,0.5,0.0798754439,0.0417035666,0.0311769811,8.52088279,1.553645339,9.0,0.5574913534,0.6117748557,0.5155318744,0.0,0.0,0.0,0.0,0.0,0.0,0.0143786103,0.0075967733,0.022005624,0.0143786103,0.0075967733,0.022005624,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06578434045773553,0.013326263970536123,-0.02081699196511592,6.0,-20737.39091220379,False,0.10680004681646915,0.06712055393746143,0.03421565954226448,-0.024173736029463877,0.041893685341998194,0.02081699196511592,0.06627496106656355,0.010620654240542494,True,True,0.4981556362,0.0842466612,0.452795333,0.4973651946,0.1203523732,0.4325647615,-0.001756537,0.0802349155,-0.0449568257,0.7924123996,0.0643610997,0.8064556718,0.0896099453,0.0200828718,0.0612270087,0.7818537704,0.0662330072,0.7914803028,0.5,0.0,0.5,0.0744298397,0.0395107652,0.047204667,8.5517972548,1.5444572647,9.0,1.6663492659,1.0358037898,0.634811905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06241713866321613,0.0254498632465331,0.005890726814489951,6.0,-21932.91661098695,False,0.125,0.06740619213522142,0.037582861336783874,-0.049550136753466895,0.06219073498960432,0.005890726814489951,0.06520362887849276,0.0170903926007032,True,True,0.5064499475,0.0808044888,0.464744468,0.5092142107,0.1154349839,0.4496349543,0.0061428071,0.076956656,-0.0335766971,0.7937355802,0.0674765929,0.8230390549,0.1009146316,0.019345183,0.0712262467,0.7887829745,0.065079626,0.8106624484,0.5,0.0,0.5,0.070333885,0.0403002711,0.035255532,8.5516587318,1.4894083794,9.0,1.7025338817,1.1077290313,0.9642922405,1.0,0.0,1.0,1.4923058631,1.1556621806,0.7142922405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.040999656619332234,-0.11541229991157426,-0.03885821804492884,6.0,-30385.436612112742,False,0.09013878188659974,0.12247845040570328,0.009000343380667769,-0.04041229991157426,0.04140241738247846,0.03885821804492884,0.11877135568354345,0.02990544904988934,True,True,0.006401944,0.0154927866,0.0,0.4060871804,0.0970148456,0.4158852659,-0.0626085464,0.0646765638,-0.0560764894,1.2707799137,0.1747256974,1.3118803501,0.1136954608,0.0200432528,0.1084759459,1.2820570974,0.1778089414,1.3477660418,0.28,0.0,0.28,0.273598056,0.0154927866,0.28,9.0,0.0,9.0,2.3877964669,1.103822797,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03463970778067599,0.03173089844197925,0.03303473115026671,6.0,-17441.7306733851,False,0.0625,0.04697615641009624,0.015360292219324015,0.06923089844197924,0.07091442643176823,0.03303473115026671,0.008673227159353241,0.04616854342198899,True,True,0.5250890648,0.0692901791,0.4974666258,0.5358415211,0.0989859702,0.496380894,0.0238943474,0.0659906468,-0.0024127373,0.4757985051,0.043176883,0.5211606622,0.0480809943,0.0053267313,0.0531023256,0.4765531981,0.0449393794,0.5181035399,0.5,0.0,0.5,0.0645056744,0.03563156,0.0025333742,8.03124905,2.181699476,9.0,1.4023889135,1.3188959496,2.1632021107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03519955720818201,0.016174337100424995,0.006816248470707202,6.0,-11675.81084299956,False,0.05,0.03873781109317178,0.01480044279181799,0.016174337100424995,0.021924011664658034,0.006816248470707202,0.03519955720818201,0.016174337100424995,True,True,0.4555373516,0.0651557988,0.4294623086,0.543624788,0.0930797126,0.5063747265,0.029083192,0.0620531417,0.0042498177,0.4876345162,0.0252802779,0.4645006955,0.0251458817,0.0032523801,0.0235236995,0.4879922149,0.0272850853,0.4625093639,0.425,0.0,0.425,0.0605574791,0.038866434,0.0044623086,7.6809487514,2.5064622986,9.0,0.3017790881,0.4145269341,0.2544320298,0.0,0.0,0.0,0.0,0.0,0.0,0.0013539176,0.0021266225,0.0051335516,0.0013539176,0.0021266225,0.0051335516,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.037636268159909905,0.020156723454179293,0.01579225540466367,6.0,-17292.395487037484,False,0.0625,0.042694053232422306,0.012363731840090098,-0.017343276545820706,0.02129908698415198,0.01579225540466367,0.0422030486004355,0.006456382132602505,True,True,0.5405325062,0.0697809547,0.5084559483,0.5579035804,0.0996870782,0.5120799262,0.0386023869,0.0664580521,0.0080532841,0.471313676,0.0497577108,0.515768826,0.0507655082,0.009029492,0.0416683331,0.4763146547,0.0442991184,0.516474545,0.5,0.0,0.5,0.0669369085,0.0450745603,0.0084559483,8.0115781064,2.2936867725,9.0,1.3407358481,1.109056255,0.549390573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.015400668237908213,0.05690716196792587,0.12189802980859839,6.0,-19787.14056629923,False,0.09013878188659974,0.058954267575959785,0.03459933176209179,-0.018092838032074128,0.03904439199729152,0.12189802980859839,0.0558923745589114,0.01875228336987837,True,False,0.031272055,0.0487656652,0.0008587799,0.4542786515,0.1475798436,0.5012268284,-0.030480899,0.0983865624,0.0008178856,0.921458112,0.1161030183,0.8790714741,0.1133153548,0.0133295352,0.0951708332,0.9484501602,0.109633513,0.8725684881,0.28,0.0,0.28,0.248727945,0.0487656652,0.2791412201,8.5933454116,1.3533963334,9.0,2.0779276871,1.1421185867,2.3677577943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
