cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.062094334174734055,0.007015523908032594,-0.03311570961568607,6.0,-22586.603625581072,False,0.125,0.06248939039795253,0.03790566582526595,0.08201552390803259,0.09035145634446519,0.03311570961568607,0.045466152994967694,0.042869019631266506,True,True,0.4835690098,0.070329492,0.4914580972,0.4765271569,0.1004707029,0.4877972817,-0.0156485621,0.0669804686,-0.0081351455,0.8107652348,0.0562942011,0.8602195382,0.0817275706,0.0132933992,0.0770266503,0.7928820149,0.0787693949,0.7211190462,0.5,0.0,0.5,0.0598992184,0.0403521811,0.0085419028,8.6650190741,1.3200695204,9.0,1.894942739,1.2327822271,3.0,1.0,0.0,1.0,1.7549689086,1.2770176556,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.053034540805288584,-0.03679657505236179,-0.10600099325783303,6.0,-20996.706744213534,False,0.10680004681646915,0.06454959685398441,0.04696545919471142,0.0007034249476382121,0.046970726671269024,0.10600099325783303,0.06257792804601861,0.01583203636552261,True,False,0.4870525,0.0741810866,0.4510765489,0.4815035714,0.1059729808,0.4301093556,-0.0123309524,0.0706486539,-0.0465937629,0.8049231684,0.0577807025,0.8040728569,0.0740364335,0.0149956135,0.0603274256,0.7904805557,0.0772353451,0.7763622999,0.5,0.0,0.5,0.0637855574,0.0400234186,0.0489234511,8.6487846085,1.3550842281,9.0,1.8935389291,1.0706488119,1.5543367598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06384032597287605,-0.0007043704307124074,-0.03717111623908376,6.0,-14812.266025043255,False,0.1,0.06384421162507008,0.03615967402712396,-0.0007043704307124074,0.03616653374946962,0.03717111623908376,0.06384032597287605,0.0007043704307124074,True,True,0.4898717126,0.0750510019,0.4501763359,0.485531018,0.107215717,0.428823337,-0.009645988,0.0714771447,-0.0474511087,0.8065939645,0.0608039334,0.8028251529,0.0432822066,0.0087052216,0.0361143351,0.7964580613,0.0782787374,0.8592844009,0.5,0.0,0.5,0.0621355539,0.0432944343,0.0498236641,8.6215696967,1.4361639149,9.0,0.5346489732,0.6088826961,0.1710109644,0.0,0.0,0.0,0.0,0.0,0.0,0.0119224898,0.0090508875,0.0265605191,0.0119224898,0.0090508875,0.0265605191,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0614564169852834,0.014530772477126865,-0.023287565197084525,6.0,-20779.455273204607,False,0.10680004681646915,0.06315088706780815,0.0385435830147166,-0.022969227522873135,0.04486862160363145,0.023287565197084525,0.06264553121327732,0.007973202396612894,True,True,0.4924023899,0.0722062565,0.5197086623,0.4891462713,0.103151795,0.5281552318,-0.0072358191,0.0687678633,0.0187701546,0.8058793352,0.0598712109,0.8430062532,0.0761368359,0.0172674449,0.0560902804,0.794841936,0.0765831,0.7329826355,0.5,0.0,0.5,0.0608155044,0.0396603275,0.0197086623,8.6812430938,1.3299919702,9.0,1.5883705575,1.157420908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07039543308546921,-0.015527357275294936,-0.06417980258986374,6.0,-21297.793280416918,False,0.125,0.07208755664638265,0.029604566914530797,-0.09052735727529493,0.09524511954659842,0.06417980258986374,0.04699993210319841,0.05465914567151747,True,False,0.4980314328,0.0719641449,0.442184693,0.4971877612,0.1028059212,0.4174067043,-0.0018748259,0.0685372808,-0.0550621971,0.8062531141,0.0610011707,0.7917567492,0.0847467129,0.0174137403,0.0593319125,0.7972394395,0.075486267,0.7726833224,0.5,0.0,0.5,0.0598317881,0.0400358655,0.057815307,8.5329041422,1.6656110359,9.0,1.5659429875,1.2754543546,0.0,1.0,0.0,1.0,1.4183928085,1.29571537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.041652333650124225,-0.07692414265980821,0.011765091722549212,6.0,-30371.911518509794,False,0.09013878188659974,0.08747708627090751,0.008347666349875778,-0.0019241426598082118,0.008566554643737598,0.011765091722549212,0.08710931319074232,0.008013000554409207,True,True,0.0078802166,0.0191029966,0.0,0.4224837713,0.0914426529,0.4664811604,-0.0516774858,0.0609617686,-0.0223458931,1.2707799137,0.1747256974,1.3118803501,0.1010313887,0.0182724995,0.0862891302,1.2737825882,0.1940516431,1.3036708832,0.28,0.0,0.28,0.2721197834,0.0191029966,0.28,8.974125974,0.4474037332,9.0,2.3156427442,1.1188099343,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.031815645683591166,0.012934447090329359,-0.0026817141328103014,6.0,-16738.55960525593,False,0.0625,0.03434436244562334,0.018184354316408836,0.050434447090329355,0.05361253766808589,0.0026817141328103014,0.017691848292675318,0.029436945082418186,True,True,0.5124427287,0.0639762094,0.5408184161,0.5177753267,0.0913945849,0.5583120231,0.0118502178,0.0609297232,0.038874682,0.4841820349,0.0369029256,0.4872195125,0.0414038725,0.0075993629,0.0622071922,0.4831592557,0.0480077579,0.4791078568,0.5,0.0,0.5,0.054350637,0.0359692246,0.0408184161,7.9488497485,2.3124089578,9.0,1.5279394952,1.2394152672,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.029944013345855874,0.00999469859168074,-0.010387481926354969,6.0,-11219.82573959555,False,0.05,0.03156798909014224,0.02005598665414413,0.00999469859168074,0.022408404686852484,0.010387481926354969,0.029944013345855874,0.00999469859168074,True,True,0.4398044734,0.0611836532,0.4404657069,0.5211492477,0.0874052188,0.522093867,0.0140994985,0.0582701459,0.0147292446,0.4884701197,0.0327389622,0.4736267328,0.0214168934,0.0039004684,0.0185199473,0.4872517414,0.0438121739,0.4017545581,0.425,0.0,0.425,0.0521180844,0.0353032169,0.0154657069,7.8544831605,2.4877408918,9.0,0.3051024309,0.365834618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033022594,0.0055500688,0.0053818742,0.0033022594,0.0055500688,0.0053818742,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03361438155330234,0.010737973096292687,-0.012649437698910212,6.0,-16684.716856660703,False,0.0625,0.03528782670309548,0.016385618446697663,-0.02676202690370731,0.03137984346480257,0.012649437698910212,0.03333428910041749,0.011578250454947253,True,True,0.5242828231,0.062806677,0.4166437343,0.5346897473,0.0897238244,0.3809196204,0.0231264982,0.0598158829,-0.0793869197,0.4807892332,0.039547944,0.4538924992,0.0412566836,0.0086136772,0.0444600508,0.4813323522,0.0477239542,0.4544860721,0.5,0.0,0.5,0.0553941182,0.0382861051,0.0833562657,8.0947143896,2.215266967,9.0,1.2303022856,1.1579809409,0.0734359458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.030045086572975773,0.018603041030154945,0.04736814020235899,6.0,-18173.59708053332,False,0.09013878188659974,0.035338086574505385,0.01995491342702423,-0.05639695896984505,0.05982320244626175,0.04736814020235899,0.032144681182353065,0.014679912616637548,True,True,0.0259668032,0.0407092718,0.0,0.4650365268,0.1252434638,0.370371867,-0.0233089821,0.0834956426,-0.0864187554,0.921458112,0.1161030183,0.8790714741,0.0880541594,0.016219823,0.074299641,0.9352855959,0.1256133329,0.8941866755,0.28,0.0,0.28,0.2540331968,0.0407092718,0.28,8.6555990472,1.2777347392,9.0,2.001264769,1.2041993035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
