cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06680908412205917,0.0180887358440233,-0.015590406368119591,6.0,-21419.815634225466,False,0.125,0.06921456556002668,0.03319091587794083,0.0930887358440233,0.09882889070436282,0.015590406368119591,0.042594025791233364,0.054556439148454136,True,True,0.4809989888,0.0864325941,0.4649633,0.4728556983,0.1234751345,0.4499475714,-0.0180962011,0.0823167563,-0.0333682857,0.7941183952,0.0589842249,0.823342979,0.0972410182,0.0121729181,0.1010043174,0.7732070136,0.069228385,0.8015719652,0.5,0.0,0.5,0.0782870956,0.041264542,0.0350367,8.3456524621,1.9369884593,9.0,1.706341001,1.3036788221,3.0,1.0,0.0,1.0,1.5759163787,1.3379822788,2.9821032447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0664134740334864,0.031902957281009205,0.0064361515229960364,6.0,-20350.415268947534,False,0.10680004681646915,0.07367868223896563,0.03358652596651361,0.0694029572810092,0.07710269259791698,0.0064361515229960364,0.05098299736392201,0.053190997323426734,True,True,0.4882958613,0.0891202345,0.4568631232,0.4832798018,0.1273146208,0.4383758903,-0.0111467988,0.0848764138,-0.0410827398,0.789518072,0.0633731848,0.812097609,0.0886285178,0.0138336271,0.0833110884,0.7708840775,0.0713444045,0.7931451797,0.5,0.0,0.5,0.0804019358,0.040186214,0.0431368768,8.3964072288,1.8222401572,9.0,1.6199983051,1.2888579512,2.5870499456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07314602698128055,0.009968732968821548,-0.01388602058418272,6.0,-15407.428114871433,False,0.1,0.07382219788214038,0.02685397301871946,0.009968732968821548,0.02864457197958773,0.01388602058418272,0.07314602698128055,0.009968732968821548,True,True,0.4904490015,0.0913923512,0.4772803734,0.4863557164,0.1305605017,0.4675433906,-0.0090961891,0.0870403344,-0.0216377396,0.7876577008,0.0649942072,0.8404691815,0.0488023966,0.0088562025,0.0376420058,0.777688907,0.0675247011,0.8274881244,0.5,0.0,0.5,0.0821961142,0.0410801927,0.0227196266,8.501150771,1.5402781215,9.0,0.6204118337,0.6788303612,0.7916652131,0.0,0.0,0.0,0.0,0.0,0.0,0.0145562556,0.007520748,0.0203201537,0.0145562556,0.007520748,0.0203201537,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06960536237473815,0.02384553316297887,-0.0038735497249376603,6.0,-20467.230505492356,False,0.10680004681646915,0.0735765990186101,0.03039463762526186,-0.01365446683702113,0.033320841240495315,0.0038735497249376603,0.07354625737742913,0.0021128059348378245,True,True,0.4996312781,0.0858871565,0.4747502917,0.4994732544,0.1226959379,0.4639289882,-0.0003511637,0.0817972919,-0.0240473412,0.7918178481,0.0668861157,0.8369486928,0.091482855,0.0188057608,0.0686226189,0.7809695832,0.0686595765,0.821246326,0.5,0.0,0.5,0.074946837,0.0419489122,0.0252497083,8.515806152,1.54860689,9.0,1.6631765831,1.0552601173,0.9715149672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06896785320564418,0.0035320921672467895,-0.02970089844956895,6.0,-22292.088924811225,False,0.125,0.0690582395581672,0.031032146794355828,-0.07146790783275321,0.07791441448575069,0.02970089844956895,0.057293537864863416,0.03855503818958907,True,True,0.5038088711,0.0819745316,0.4746839146,0.5054412444,0.1171064736,0.4638341637,0.0036274963,0.0780709824,-0.0241105575,0.7933968186,0.0655791861,0.8368563652,0.1023918166,0.0184261664,0.0751079768,0.7870306659,0.0644514129,0.8270310163,0.5,0.0,0.5,0.072323458,0.03877691,0.0253160854,8.5928749274,1.3756791303,9.0,1.7555217607,1.1001561467,0.8151046925,1.0,0.0,1.0,1.5350855955,1.1585016186,0.5651046925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.04467376874669026,-0.08141430244448743,0.0016774627051449424,6.0,-30667.012325925087,False,0.09013878188659974,0.09286567857155426,0.005326231253309742,-0.00641430244448743,0.008337386593716935,0.0016774627051449424,0.09252134260215558,0.007989707106632929,True,True,0.0061907933,0.0153654985,0.0,0.4026261463,0.0983365679,0.40320329,-0.0649159024,0.0655577119,-0.06453114,1.2707799137,0.1747256974,1.3118803501,0.1134410119,0.0200782661,0.1116413251,1.2821077158,0.1790172603,1.3388310671,0.28,0.0,0.28,0.2738092067,0.0153654985,0.28,9.0,0.0,9.0,2.4179820365,1.0364496252,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03698312126515902,0.019717946278732554,0.018677783482866344,6.0,-16891.642949847155,False,0.0625,0.04191119974379689,0.013016878734840982,0.05721794627873256,0.05867991571528951,0.018677783482866344,0.017755729244887688,0.03796422978208145,True,True,0.5251944849,0.0714147169,0.4941774238,0.5359921213,0.1020210241,0.491682034,0.0239947475,0.0680140161,-0.0055453107,0.4747561723,0.0437821067,0.5184072256,0.048256048,0.0051880345,0.0510518365,0.4750713818,0.0460445193,0.5146946907,0.5,0.0,0.5,0.066310514,0.0365751226,0.0058225762,7.844138667,2.378940507,9.0,1.367660738,1.3053368729,2.0569171503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03384267956731134,0.01683127228945752,0.011130735583707215,6.0,-11757.41194839896,False,0.05,0.03779707246834829,0.016157320432688665,0.01683127228945752,0.02333132508981089,0.011130735583707215,0.03384267956731134,0.01683127228945752,True,True,0.4545952623,0.0657631173,0.4298421176,0.5422789461,0.0939473104,0.5069173109,0.0281859641,0.0626315403,0.0046115406,0.4876617398,0.0256694786,0.4648153782,0.0248077219,0.0036145572,0.0225854814,0.4876036036,0.0275940875,0.46295771,0.425,0.0,0.425,0.0609635365,0.0385242048,0.0048421176,7.7481128728,2.4687726979,9.0,0.325094849,0.4358226733,0.3132571085,0.0,0.0,0.0,0.0,0.0,0.0,0.0017058432,0.0024286355,0.0052110783,0.0017058432,0.0024286355,0.0052110783,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03798167290836554,0.023483821420378814,0.020875045354690053,6.0,-17220.939326173026,False,0.0625,0.04465531710135212,0.012018327091634466,-0.014016178579621185,0.018463300031612624,0.020875045354690053,0.04447563117891972,0.004001946608716271,True,True,0.5390772845,0.0715112118,0.5100805364,0.5558246921,0.102158874,0.5144007662,0.0372164614,0.068105916,0.0096005108,0.4709362765,0.0494740387,0.5143277645,0.0504303686,0.0093229021,0.0398114398,0.4753140061,0.0444634072,0.5143237114,0.5,0.0,0.5,0.0680613468,0.0448167451,0.0100805364,7.8974405883,2.3560084987,9.0,1.3384896566,1.1044974022,0.5930629437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.013193754312151673,0.06934616193005051,0.13800937310084263,6.0,-20236.982511906284,False,0.09013878188659974,0.07059012202339791,0.03680624568784833,-0.005653838069949485,0.037237959215771534,0.13800937310084263,0.06501807255099629,0.027488462471218538,True,False,0.031464975,0.0492683617,0.0,0.4525224185,0.149405681,0.4777650433,-0.031651721,0.0996037874,-0.0148233045,0.921458112,0.1161030183,0.8790714741,0.1147485997,0.0133054133,0.0974659696,0.9478234017,0.1086135548,0.8696731925,0.28,0.0,0.28,0.248535025,0.0492683617,0.28,8.5610802159,1.4060167337,9.0,2.079342847,1.1120783852,2.6932780461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
