cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.055195550373915214,-0.025601258999153997,-0.07620827644352161,6.0,-23205.356271382516,False,0.125,0.060843843102003144,0.04480444962608479,0.049398741000846,0.06669088632463234,0.07620827644352161,0.05951719569862458,0.012636323025025927,True,False,0.4809478683,0.0742771356,0.491834379,0.4727826691,0.1061101937,0.4883348271,-0.0181448873,0.0707401292,-0.0077767819,0.8086710054,0.0572992063,0.8607442379,0.0816903403,0.0133984745,0.0823400319,0.7905916884,0.079472333,0.7495410442,0.5,0.0,0.5,0.0634921294,0.0429979779,0.008165621,8.6617296471,1.406556212,9.0,1.9369495148,1.1508883607,2.7943269827,1.0,0.0,1.0,1.7791527564,1.2082538188,2.5443269827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05886337159180561,0.002515504770108319,-0.04783596909656677,6.0,-20995.19491753055,False,0.10680004681646915,0.058917096664749403,0.041136628408194396,0.04001550477010832,0.05738869939979845,0.04783596909656677,0.05423223961928395,0.02302365012937768,True,True,0.4873465479,0.0762684446,0.4400781956,0.4819236399,0.1089549208,0.4143974222,-0.0120509067,0.0726366139,-0.0570683852,0.8039717487,0.0579618941,0.788841784,0.0758777674,0.0157360343,0.0466361828,0.7881781016,0.0778142728,0.7901012897,0.5,0.0,0.5,0.0651785052,0.0415782149,0.0599218044,8.7357734815,1.1751862479,9.0,1.7850646819,1.2631510562,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06390389877628783,-0.005460717927055021,-0.045232343622710225,6.0,-14741.792013052313,False,0.1,0.06413678912362936,0.03609610122371218,-0.005460717927055021,0.03650682078504421,0.045232343622710225,0.06390389877628783,0.005460717927055021,True,True,0.4901229677,0.0765765642,0.4528224949,0.4858899538,0.1093950917,0.4326035641,-0.0094066975,0.0729300611,-0.0449309573,0.8044747253,0.0610625364,0.8064934015,0.0432231486,0.0086781336,0.0309313573,0.7941688798,0.0782058693,0.8228749633,0.5,0.0,0.5,0.064282534,0.0427701037,0.0471775051,8.6380710037,1.4001813458,9.0,0.5787019206,0.6889213839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012145632,0.008914629,0.0209166316,0.012145632,0.008914629,0.0209166316,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05357130398722568,-0.036472269858282134,-0.09535224431103735,6.0,-20934.61238207384,False,0.10680004681646915,0.06480826397541518,0.04642869601277433,-0.07397226985828213,0.08733567725410459,0.09535224431103735,0.0373541060884797,0.05296019106685417,True,False,0.4923194681,0.0728132866,0.5626098249,0.4890278115,0.1040189809,0.589442607,-0.0073147923,0.0693459873,0.0596284047,0.8053350455,0.0612726576,0.7803352475,0.0762989716,0.0174059961,0.0718869194,0.7946870416,0.0776932069,0.6775566339,0.5,0.0,0.5,0.0613292324,0.0399936313,0.0626098249,8.6006128749,1.4560409729,9.0,1.5593904096,1.2544905928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.05681019040882295,-0.031651971875636294,-0.08099075110153708,6.0,-21995.563970576615,False,0.125,0.06503264609334908,0.043189809591177054,-0.1066519718756363,0.1150652108914056,0.08099075110153708,0.02645696920167659,0.05940769174580281,True,False,0.4960309791,0.0712337069,0.4148431048,0.4943299702,0.1017624384,0.3783472925,-0.0037800199,0.0678416256,-0.081101805,0.8068854978,0.0595431938,0.7540074587,0.0855558798,0.0174681733,0.0594328828,0.7972922577,0.0750354043,0.7623522878,0.5,0.0,0.5,0.0596876132,0.0390817471,0.0851568952,8.6269559976,1.4747233084,9.0,1.625409207,1.2771848223,0.0,1.0,0.0,1.0,1.4834862866,1.3081683726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.05121738056803298,-0.0893218131644991,-0.014712067423677514,6.0,-29862.821249118424,False,0.09013878188659974,0.1029641023815796,-0.0012173805680329788,-0.014321813164499098,0.01437345983979654,0.014712067423677514,0.10273053198554148,0.006931390712695719,True,True,0.0079258311,0.0193075572,0.0,0.4205507705,0.0932000124,0.4733454809,-0.052966153,0.0621333416,-0.0177696794,1.2707799137,0.1747256974,1.3118803501,0.1016436592,0.0179430134,0.0849532411,1.2732553265,0.1945113,1.2978459597,0.28,0.0,0.28,0.2720741689,0.0193075572,0.28,8.974125974,0.4474037332,9.0,2.3570810776,1.1024262831,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03261727449035166,0.015105882964229865,0.001050574890709699,6.0,-16467.320592775948,False,0.0625,0.03594543497174509,0.017382725509648346,0.05260588296422986,0.05540341206631618,0.001050574890709699,0.017030289813743407,0.031655071065594884,True,True,0.5130308691,0.0645177867,0.5453794807,0.5186155272,0.0921682667,0.5648278296,0.0124103515,0.0614455112,0.0432185531,0.4835462308,0.0372984295,0.4832242131,0.0415194148,0.0076650521,0.0624967888,0.482127884,0.0484665588,0.4806542993,0.5,0.0,0.5,0.0548350352,0.0364069672,0.0453794807,7.9789974136,2.3398921724,9.0,1.4807816724,1.2481872896,2.1866684113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03014497415350929,0.022169567671013635,0.009920975375776223,6.0,-11528.115944065454,False,0.05,0.03741936928163536,0.019855025846490713,0.022169567671013635,0.029760910303357105,0.009920975375776223,0.03014497415350929,0.022169567671013635,True,True,0.4400477772,0.0614047362,0.4333306652,0.5214968246,0.0877210517,0.5119009502,0.0143312164,0.0584807011,0.0079339668,0.4882935558,0.0325987454,0.4677069783,0.02114132,0.0039320063,0.0188407563,0.4868117633,0.04370306,0.4008802176,0.425,0.0,0.425,0.0519935123,0.0359673728,0.0083306652,7.8657582212,2.4437717151,9.0,0.3597385514,0.4308991366,0.2849108785,0.0,0.0,0.0,0.0,0.0,0.0,0.0034546695,0.0055830112,0.0048685264,0.0034546695,0.0055830112,0.0048685264,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03508893748365434,0.014419487640396444,-0.010377564432433761,6.0,-16769.303850157885,False,0.0625,0.03793619851201947,0.014911062516345663,-0.023080512359603553,0.027478170174671038,0.010377564432433761,0.03672284257116134,0.009517772377875447,True,True,0.5245824143,0.0627805924,0.4145314556,0.5351177347,0.0896865606,0.3779020794,0.0234118231,0.0597910404,-0.0813986138,0.4803538567,0.0391835244,0.4521469772,0.0411204134,0.0089454194,0.0440730751,0.480522829,0.0472762984,0.4524116218,0.5,0.0,0.5,0.0556861444,0.0380098829,0.0854685444,8.0473258285,2.2708818658,9.0,1.2562829832,1.1427177184,0.0155783675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03230178381609392,0.011810235560578218,0.020795708761746523,6.0,-17359.56684629255,False,0.09013878188659974,0.03439312288376869,0.01769821618390608,-0.06318976443942179,0.06562143846337025,0.020795708761746523,0.0277445157955906,0.020325568748899424,True,True,0.0257980381,0.0415020684,0.0,0.4621029011,0.127133853,0.398369614,-0.0252647326,0.084755902,-0.0677535906,0.921458112,0.1161030183,0.8790714741,0.0898883899,0.0158149763,0.077050142,0.9346665025,0.1267101339,0.8974099755,0.28,0.0,0.28,0.2542019619,0.0415020684,0.28,8.5962893165,1.4116349156,9.0,1.9429728586,1.2180749354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
