cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.060567173791880896,-0.009715783652586274,-0.040270793859894884,6.0,-22072.12402540793,False,0.125,0.06134149487190353,0.03943282620811911,0.06528421634741373,0.07626910702804673,0.040270793859894884,0.054283209225056486,0.02856767735305952,True,True,0.4823675759,0.0853482671,0.4587427974,0.4748108227,0.1219260959,0.4410611391,-0.0167927848,0.0812840639,-0.0392925739,0.7953560126,0.0589525088,0.8147058487,0.0962088827,0.0131934354,0.1000699326,0.7755019277,0.0687025898,0.7947247624,0.5,0.0,0.5,0.0767127261,0.0413568221,0.0412572026,8.5574290411,1.4917068792,9.0,1.7860474702,1.2090055767,2.4700179323,1.0,0.0,1.0,1.616470521,1.2642683103,1.9700179323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06995730980961207,0.017381115416593113,-0.017738436366999677,6.0,-20045.578349461768,False,0.10680004681646915,0.07208417557913092,0.03004269019038794,0.054881115416593115,0.0625659656941779,0.017738436366999677,0.05940015329525769,0.04083809688786761,True,True,0.4880166675,0.0892076435,0.4371903885,0.4828809535,0.1274394908,0.4102719836,-0.0114126976,0.0849596605,-0.0598186776,0.78997687,0.063455997,0.7848473191,0.0887921495,0.0143259597,0.0793873668,0.7709415156,0.0708654332,0.7626987696,0.5,0.0,0.5,0.0801247485,0.0410076651,0.0628096115,8.3014081856,2.0483630569,9.0,1.6139600771,1.2677005667,2.2781205513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07304727572971512,0.012124133408922148,-0.011244272405389832,6.0,-15447.759503480918,False,0.1,0.0740466008838378,0.02695272427028489,0.012124133408922148,0.029554085276106014,0.011244272405389832,0.07304727572971512,0.012124133408922148,True,True,0.4926422922,0.0926163185,0.4638066806,0.4894889888,0.1323090265,0.448295258,-0.0070073408,0.0882060176,-0.034469828,0.7857804475,0.0661307354,0.821736455,0.0489338346,0.009454173,0.0383585244,0.7760006001,0.0685107859,0.8094763756,0.5,0.0,0.5,0.083202218,0.0413437933,0.0361933194,8.5467437856,1.4985630857,9.0,0.5884368489,0.6243724952,0.7058580751,0.0,0.0,0.0,0.0,0.0,0.0,0.0143571015,0.0069841304,0.0209790347,0.0143571015,0.0069841304,0.0209790347,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06841804932571209,0.024096625436383846,-0.0061823848884976496,6.0,-20382.47702995386,False,0.10680004681646915,0.07253741676512167,0.031581950674287915,-0.013403374563616153,0.03430845461523657,0.0061823848884976496,0.07252270590991179,0.0014608074689697649,True,True,0.5024549876,0.0854595827,0.47822395,0.5035071251,0.1220851181,0.4688913571,0.0023380834,0.0813900788,-0.0207390953,0.7901045169,0.068486521,0.8417823315,0.0896197828,0.0200542737,0.0662842393,0.7799150346,0.0711302385,0.829682529,0.5,0.0,0.5,0.0748136063,0.0413798448,0.02177605,8.5817825872,1.42877149,9.0,1.6430840262,1.0145350811,0.9885600374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06893021868518433,0.01100070928377686,-0.017277034804608737,6.0,-22469.18598090428,False,0.125,0.06980251179387106,0.031069781314815678,-0.06399929071622314,0.07114239610197365,0.017277034804608737,0.06174460051841359,0.032557563784089104,True,True,0.5040249981,0.0846470739,0.4858958271,0.5057499972,0.1209243913,0.4798511816,0.0038333315,0.0806162609,-0.0134325456,0.7906031229,0.067439076,0.8524664044,0.1017206142,0.018882881,0.0786866918,0.7846642997,0.0664679837,0.8387414813,0.5,0.0,0.5,0.0743318683,0.040695222,0.0141041729,8.7606961511,1.0989686917,9.0,1.7610961693,1.1203884103,0.849216114,1.0,0.0,1.0,1.5613302284,1.1752813964,0.599216114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03215355775435736,-0.0477451171811956,0.010569721096554444,6.0,-30232.394722014084,False,0.09013878188659974,0.05756255285260456,0.017846442245642642,0.0272548828188044,0.032577970137714504,0.010569721096554444,0.057561923599489896,0.00026915132431613826,True,True,0.0068360524,0.0165408561,0.0,0.4068198953,0.0973299125,0.4329972342,-0.0621200698,0.0648866084,-0.0446685106,1.2707799137,0.1747256974,1.3118803501,0.1123729265,0.0190318815,0.1134592742,1.2812942481,0.177449833,1.3435646296,0.0,0.0,0.0,0.0068360524,0.0165408561,0.0,9.0,0.0,9.0,2.4138437747,1.0282115081,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03669467122493881,0.01934931922746056,0.012400922241987042,6.0,-16939.35313360047,False,0.0625,0.04148367209966503,0.013305328775061194,0.05684931922746056,0.05838558786582686,0.012400922241987042,0.017746145443474713,0.03749625811693173,True,True,0.5255522344,0.0724153637,0.4963734328,0.536503192,0.1034505195,0.4948191897,0.0243354614,0.068967013,-0.0034538736,0.4741553873,0.0442684011,0.5202453732,0.047919108,0.0053435424,0.0506305993,0.4746241358,0.0464404295,0.5172002316,0.5,0.0,0.5,0.0672048767,0.0371538172,0.0036265672,7.7672570381,2.520621379,9.0,1.3803639181,1.3142324082,2.0425262936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.035815540040370956,0.020269901358861354,0.01823200270400897,6.0,-11989.754510178962,False,0.05,0.041153636649528126,0.014184459959629046,0.020269901358861354,0.02474000415206693,0.01823200270400897,0.035815540040370956,0.020269901358861354,True,True,0.455726938,0.0661221987,0.4324868822,0.5438956257,0.0944602839,0.5106955459,0.0292637505,0.0629735226,0.007130364,0.4872697589,0.0258957176,0.4670074284,0.0251556366,0.0034041624,0.0228983611,0.4875180642,0.0281301102,0.4649342299,0.425,0.0,0.425,0.0615081126,0.0391540799,0.0074868822,7.8575160662,2.3567405821,9.0,0.3540050326,0.4743972011,0.30472376,0.0,0.0,0.0,0.0,0.0,0.0,0.0014512767,0.0021789187,0.0054989387,0.0014512767,0.0021789187,0.0054989387,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03740517380292904,0.02348457483442057,0.01884469055427407,6.0,-16903.25369855355,False,0.0625,0.04416641577466785,0.01259482619707096,-0.01401542516557943,0.01884308333331841,0.01884469055427407,0.044014883942995575,0.0036554444142209695,True,True,0.5399329566,0.0705300535,0.5130739906,0.5570470808,0.1007572192,0.5186771294,0.0380313872,0.0671714795,0.0124514196,0.4710114427,0.0494396502,0.5116745234,0.0503560449,0.0088600569,0.0400335453,0.4756797356,0.0449424909,0.5105016828,0.5,0.0,0.5,0.0676571217,0.0446278315,0.0130739906,7.9723388327,2.2749652505,9.0,1.3126294527,1.1584508344,0.3901111471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.025844214513703594,0.0533800385708199,0.10680608049661777,6.0,-19459.406788606677,False,0.09013878188659974,0.05930726719089785,0.02415578548629641,-0.021619961429180094,0.0324179688546214,0.10680608049661777,0.058750667666654446,0.008106231576686653,True,False,0.0314135536,0.0488720906,0.0088530924,0.4523549804,0.1491692797,0.5126472749,-0.0317633464,0.0994461864,0.0084315166,0.921458112,0.1161030183,0.8790714741,0.1144661695,0.0138663322,0.0981995389,0.9477794929,0.1094705864,0.8692811131,0.0,0.0,0.0,0.0314135536,0.0488720906,0.0088530924,8.6146015663,1.3080376774,9.0,2.0348493901,1.1464297838,1.255949008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
