cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06059655272752348,-0.005747136510139142,-0.06692932716763574,6.0,-22900.35939472427,False,0.125,0.060868479367614456,0.03940344727247653,0.06925286348986086,0.07967804439430062,0.06692932716763574,0.05192552408810227,0.03176022242840277,True,False,0.4806601606,0.0725940128,0.4639802285,0.472371658,0.1037057325,0.4485431835,-0.0184188947,0.069137155,-0.0343045443,0.8085521972,0.0561596976,0.8219774961,0.0845768267,0.0145883719,0.0848963559,0.7898070004,0.0776630585,0.7535882592,0.5,0.0,0.5,0.0630124501,0.0409066157,0.0360197715,8.6295510858,1.4181332163,9.0,1.9557234693,1.180622552,3.0,1.0,0.0,1.0,1.8089038494,1.2284061597,2.5200579583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0595478050139271,-0.004529101813250109,-0.06665005805550184,6.0,-20526.962207891123,False,0.10680004681646915,0.05971979441702279,0.04045219498607291,0.03297089818674989,0.0521867819129738,0.06665005805550184,0.057346621110704786,0.016667900059597625,True,False,0.4896896497,0.0741451999,0.4400302477,0.4852709282,0.1059217141,0.4143289253,-0.0098193812,0.0706144761,-0.0571140498,0.805831632,0.059383692,0.788775444,0.0771827536,0.0143002545,0.0704472438,0.7889547292,0.0802967292,0.771694541,0.5,0.0,0.5,0.0623330935,0.0414535818,0.0599697523,8.5846419536,1.516876954,9.0,1.7862292839,1.1932559818,1.3320866322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.061343866816170066,-0.0006757545516573416,-0.045125262086658235,6.0,-14672.680422110418,False,0.1,0.061347588707088535,0.03865613318382994,-0.0006757545516573416,0.03866203922376682,0.045125262086658235,0.061343866816170066,0.0006757545516573416,True,True,0.48829775,0.0765984258,0.49869596,0.4832825,0.1094263226,0.4981370857,-0.011145,0.0729508818,-0.0012419429,0.8041584416,0.060215019,0.8703168035,0.043129534,0.0088640047,0.0459137596,0.7927518018,0.0774636354,0.7460353971,0.5,0.0,0.5,0.065450921,0.0414781682,0.00130404,8.6666386605,1.3367226859,9.0,0.556684186,0.5953655633,0.556972188,0.0,0.0,0.0,0.0,0.0,0.0,0.0133958474,0.0082232727,0.0205880502,0.0133958474,0.0082232727,0.0205880502,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05558013223062441,0.026788256910976263,-0.01359436891055088,6.0,-20202.303810685593,False,0.10680004681646915,0.06169896115091535,0.04441986776937559,-0.010711743089023736,0.04569317337036311,0.01359436891055088,0.0614472844614153,0.00556713924920794,True,True,0.4986513778,0.0742861119,0.4428762011,0.4980733969,0.106123017,0.418394573,-0.0012844021,0.070748678,-0.054403618,0.8030788648,0.062982214,0.7927139401,0.0797113102,0.0163914341,0.0465492345,0.7884637084,0.0797123085,0.7689463496,0.5,0.0,0.5,0.0621350822,0.0407366758,0.0571237989,8.450438293,1.7240385971,9.0,1.6548952714,1.0671770432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.05244033384037455,-0.009601409818064746,-0.07496861408606925,6.0,-22024.408453249674,False,0.125,0.05331205945922895,0.04755966615962545,-0.08460140981806474,0.09705318329874175,0.07496861408606925,0.0361914211814608,0.03914532815867652,True,False,0.500804627,0.0736346644,0.4905852044,0.5011494671,0.1051923777,0.486550292,0.0007663114,0.0701282518,-0.008966472,0.8034025814,0.0620089547,0.859002471,0.0844073983,0.018080712,0.0689710602,0.7945413858,0.0764794587,0.7004058957,0.5,0.0,0.5,0.0619811919,0.0397623323,0.0094147956,8.6164087634,1.4745153976,9.0,1.7144140659,1.2168814591,0.0,1.0,0.0,1.0,1.5513821076,1.257129666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.032367183247074126,-0.11569400867845502,-0.011311075482372202,6.0,-30457.846697530553,False,0.09013878188659974,0.12013633170461008,0.017632816752925877,-0.04069400867845502,0.044349955681651315,0.011311075482372202,0.11421731687244349,0.037244364968407405,True,True,0.0072984718,0.017991254,0.0,0.4158313991,0.0940821309,0.4701277185,-0.0561124006,0.0627214206,-0.0199148543,1.2707799137,0.1747256974,1.3118803501,0.0994292091,0.0199127818,0.0976360589,1.2741692777,0.1934826518,1.2878586054,0.0,0.0,0.0,0.0072984718,0.017991254,0.0,8.9742171882,0.4458264927,9.0,2.3735112029,1.1308984126,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.030721505947038735,0.009810563958906027,-0.012147417893214163,6.0,-17092.99704915441,False,0.0625,0.03224993167195432,0.019278494052961268,0.047310563958906024,0.05108766773948289,0.012147417893214163,0.018690866382287376,0.02628135473534806,True,True,0.5149072922,0.0669115844,0.4649309631,0.5212961318,0.0955879777,0.4499013759,0.0141974212,0.0637253185,-0.0333990827,0.4824630575,0.038946101,0.4939788282,0.0399435135,0.0067355713,0.0416021124,0.4829884257,0.0503320114,0.4990185499,0.5,0.0,0.5,0.056409256,0.0389536048,0.0350690369,8.1166529107,2.2137727884,9.0,1.5435767976,1.2413889455,1.7952095732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.030990889894331238,0.022427087635566723,0.0042262944142006376,6.0,-11385.20350533596,False,0.05,0.0382545358912633,0.019009110105668765,0.022427087635566723,0.029399328679798595,0.0042262944142006376,0.030990889894331238,0.022427087635566723,True,True,0.4436525018,0.0646396482,0.4248495792,0.5266464312,0.0923423546,0.4997851131,0.0177642875,0.0615615697,-0.0001432579,0.4888841829,0.0315045134,0.4606803656,0.0215585856,0.0040688253,0.0168328006,0.4882982629,0.0428871052,0.4811938107,0.425,0.0,0.425,0.0553760264,0.0382059635,0.0001504208,7.8446057411,2.5102534768,9.0,0.3350887654,0.4229009043,0.2573057012,0.0,0.0,0.0,0.0,0.0,0.0,0.0018907497,0.0034006715,0.009458604,0.0018907497,0.0034006715,0.009458604,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03206141104126837,0.02647401802331896,0.0016956167222071568,6.0,-16124.139591865785,False,0.0625,0.041578933467035714,0.017938588958731634,-0.011025981976681039,0.021056240224228626,0.0016956167222071568,0.04153353964700607,0.001942367793894148,True,True,0.5241797542,0.0658844351,0.4540824849,0.534542506,0.0941206216,0.4344035499,0.0230283373,0.0627470811,-0.0437309667,0.4802698495,0.0426428039,0.4849443138,0.040623384,0.007437231,0.0353789069,0.4812479032,0.0506794814,0.4967101812,0.5,0.0,0.5,0.0568163045,0.0411986268,0.0459175151,8.0102281926,2.3048703398,9.0,1.2049010587,1.1198601912,0.2240507099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.032681149613301035,0.017749640694408365,0.03376456617437625,6.0,-17838.922442051058,False,0.09013878188659974,0.03719015037382296,0.017318850386698968,-0.057250359305591636,0.05981259248131789,0.03376456617437625,0.0328968338675376,0.017346630978930598,True,True,0.0276182126,0.043614074,0.0,0.4623802261,0.1292351317,0.4669480491,-0.0250798492,0.0861567545,-0.0220346339,0.921458112,0.1161030183,0.8790714741,0.0911024795,0.0174954956,0.0719094798,0.9369358027,0.1265159253,0.8968911767,0.0,0.0,0.0,0.0276182126,0.043614074,0.0,8.6235006887,1.3855474551,9.0,2.0247695512,1.128276193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
