cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06387076902048226,0.024463909052679405,0.01375039437001635,6.0,-21519.410052368232,False,0.125,0.06839559913770452,0.03612923097951774,0.0994639090526794,0.10582244816300096,0.01375039437001635,0.03641826978477817,0.05789358865443288,True,True,0.4827014771,0.0851997567,0.4570511751,0.4752878244,0.1217139381,0.4386445358,-0.0164747837,0.0811426254,-0.0409036428,0.7948877507,0.0591669502,0.8123584986,0.0971175493,0.0131192532,0.1033193395,0.7751517196,0.0699428972,0.7918930054,0.5,0.0,0.5,0.076883708,0.0405848849,0.0429488249,8.4508766198,1.8046933853,9.0,1.7515726132,1.2594134796,3.0,1.0,0.0,1.0,1.60126544,1.3068360231,2.8094571197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06508534623467448,0.027048537281044574,-0.0024917169641767156,6.0,-19784.240861042283,False,0.10680004681646915,0.070482094630704,0.03491465376532553,0.06454853728104457,0.07338628422719712,0.0024917169641767156,0.05144393321165697,0.04817932543369707,True,True,0.4898833786,0.0884573145,0.4456889259,0.4855476837,0.1263675921,0.4224127512,-0.0096348776,0.0842450614,-0.0517248325,0.789454241,0.0640760211,0.7966083288,0.0886638427,0.0131337646,0.0774478614,0.7710560062,0.0724204133,0.7735996842,0.5,0.0,0.5,0.079417136,0.0402487394,0.0543110741,8.5423568752,1.6099449705,9.0,1.6169973687,1.2998616778,2.6147919036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06327979690726061,0.04720931388486938,0.023610564052697642,6.0,-15193.854178173211,False,0.1,0.07894968026600406,0.03672020309273939,0.04720931388486938,0.059808800628771586,0.023610564052697642,0.06327979690726061,0.04720931388486938,True,True,0.4918324925,0.0900478783,0.4608249063,0.4883321322,0.1286398261,0.4440355804,-0.0077785785,0.0857598841,-0.0373096131,0.7879174389,0.0652503641,0.8175959587,0.0482113396,0.0092242674,0.03995125,0.7782916528,0.0677953256,0.8036367893,0.5,0.0,0.5,0.0806419296,0.0408926368,0.0391750937,8.4561938196,1.7086372422,9.0,0.792614463,0.8722372767,0.70435642,0.0,0.0,0.0,0.0,0.0,0.0,0.0141343251,0.0070816155,0.0225980525,0.0141343251,0.0070816155,0.0225980525,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.07309590425191594,0.0033165988970060016,-0.02209394731930973,6.0,-20629.658075882602,False,0.10680004681646915,0.07317110800479165,0.02690409574808407,-0.034183401102994,0.043500980207234946,0.02209394731930973,0.06960636353094708,0.022560257149388245,True,True,0.499884254,0.088720316,0.472095498,0.4998346486,0.1267433086,0.4601364257,-0.0001102343,0.0844955391,-0.0265757162,0.7875592973,0.0682406383,0.8332561255,0.0915792059,0.0200998949,0.0603066906,0.7766734978,0.0705458895,0.8163737655,0.5,0.0,0.5,0.0786858254,0.040985958,0.027904502,8.5583929261,1.3964190698,9.0,1.5973251832,1.1671447021,0.7895713174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07144820341217985,0.0019363997714198708,-0.02960638491227437,6.0,-22362.185437755867,False,0.125,0.07147443889183729,0.028551796587820158,-0.07306360022858013,0.07844421436125186,0.02960638491227437,0.0583204025925958,0.04131980223017201,True,True,0.5046389087,0.0832965754,0.49814703,0.5066270124,0.1189951078,0.4973529,0.0044180082,0.0793300719,-0.0017647333,0.791340072,0.0670526116,0.869550705,0.1029821962,0.0195516712,0.0751729608,0.7853208228,0.0658704811,0.8573433757,0.5,0.0,0.5,0.0735789369,0.0393189394,0.00185297,8.5961318173,1.4555662392,9.0,1.729472185,1.145151882,0.7009643531,1.0,0.0,1.0,1.5318394796,1.1941476451,0.4509643531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.036914412480195107,-0.08845489018468335,0.013093371397269996,6.0,-30379.894249191675,False,0.09013878188659974,0.09584853387685371,0.013085587519804896,-0.013454890184683349,0.018768768489710826,0.013093371397269996,0.09407534926009069,0.018351297173070047,True,True,0.0059261795,0.0149905322,0.0,0.4038918392,0.0979089297,0.4417351168,-0.0640721072,0.0652726198,-0.0388432555,1.2707799137,0.1747256974,1.3118803501,0.1135967374,0.0207871356,0.1139055416,1.2829686956,0.1796430594,1.3404784203,0.0,0.0,0.0,0.0059261795,0.0149905322,0.0,9.0,0.0,9.0,2.4157567192,1.039230884,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03773887747301421,0.019867277789848477,0.018234341976507345,6.0,-16902.68622561107,False,0.0625,0.04264893433255028,0.012261122526985795,0.05736727778984847,0.05866293281655291,0.018234341976507345,0.01827073530450228,0.03853714871568731,True,True,0.5259619885,0.072324277,0.4973421914,0.537088555,0.1033203957,0.4962031306,0.0247257033,0.0688802638,-0.0025312463,0.4740238741,0.044371777,0.5210564733,0.0481469263,0.0053570804,0.0535776727,0.4747283878,0.0467981902,0.517636776,0.5,0.0,0.5,0.0671943283,0.0372793258,0.0026578086,7.8708176026,2.4262525362,9.0,1.3827945708,1.3226150152,1.971028946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03307273471927496,0.026134188484949094,0.024886377913951208,6.0,-12145.05321807245,False,0.05,0.04215212437799999,0.016927265280725044,0.026134188484949094,0.031137246468672938,0.024886377913951208,0.03307273471927496,0.026134188484949094,True,True,0.4556530645,0.066636208,0.4309800466,0.5437900921,0.0951945829,0.5085429237,0.0291933947,0.0634630553,0.0056952825,0.4871878494,0.0258367447,0.4657584131,0.0248158422,0.00331516,0.0231739972,0.4872711761,0.0278299058,0.4638970494,0.425,0.0,0.425,0.0620700619,0.0390807113,0.0059800466,7.7968208182,2.4297090008,9.0,0.3576687464,0.4860331241,0.3087655063,0.0,0.0,0.0,0.0,0.0,0.0,0.0015131925,0.0022421068,0.0050650398,0.0015131925,0.0022421068,0.0050650398,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03653127338654775,0.024917689997093182,0.025485288132225614,6.0,-17440.328320928245,False,0.0625,0.04422019007234059,0.013468726613452255,-0.012582310002906816,0.01843152521082197,0.025485288132225614,0.04417563270749411,0.0019846120342541045,True,True,0.5406168701,0.0721430828,0.5185743388,0.5580241001,0.1030615469,0.5265347697,0.0386827334,0.0687076979,0.0176898465,0.4700142461,0.0501830159,0.5068064928,0.0513330781,0.0091759174,0.0395765118,0.4747608592,0.0457936327,0.5063660145,0.5,0.0,0.5,0.0690040441,0.045747092,0.0185743388,7.9250315228,2.2892193887,9.0,1.3804423129,1.0940029551,0.5728423134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.020007897125091514,0.06131009928934634,0.12043653144643647,6.0,-19551.537240765992,False,0.09013878188659974,0.06449220280187173,0.02999210287490849,-0.013689900710653659,0.03296876728551811,0.12043653144643647,0.0621114706209255,0.017361147414375007,True,False,0.032371546,0.0501909541,0.0014543699,0.453016478,0.1516330899,0.5020776712,-0.031322348,0.1010887266,0.0013851142,0.921458112,0.1161030183,0.8790714741,0.1154938053,0.0138526271,0.1062808409,0.947916441,0.1091197042,0.8690096736,0.0,0.0,0.0,0.032371546,0.0501909541,0.0014543699,8.6254343605,1.3360556309,9.0,2.0588584388,1.1301968154,2.3809996694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
