cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.062023501097565874,0.00030067869567596873,-0.04778032498520076,6.0,-21690.162495936594,False,0.125,0.06202422991120316,0.03797649890243413,0.07530067869567597,0.08433508570527459,0.04778032498520076,0.049438393660647124,0.0374546436150803,True,True,0.4815974517,0.0718389569,0.4726090049,0.4737106453,0.1026270814,0.4608700071,-0.0175262365,0.0684180542,-0.026086662,0.8076960756,0.0565206105,0.8339702487,0.0827639431,0.0140199718,0.0809505358,0.7893856692,0.0786165004,0.7601230145,0.5,0.0,0.5,0.0629814245,0.0391513689,0.0273909951,8.6453210229,1.2583837807,9.0,1.8141511245,1.2203790646,2.422265123,1.0,0.0,1.0,1.6574670022,1.2618496832,1.922265123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.056094952118303364,-0.015061849672326828,-0.06631392805134999,6.0,-21132.80262383459,False,0.10680004681646915,0.05808186437009851,0.04390504788169664,0.02243815032767317,0.04930642777185683,0.06631392805134999,0.0578119088763403,0.005593403327156356,True,False,0.4871421371,0.0778064988,0.444400757,0.4816316244,0.1111521412,0.42057251,-0.0122455837,0.0741014275,-0.05295166,0.8040644709,0.0602567389,0.7948245406,0.0777334679,0.0143655504,0.0808822066,0.7870919253,0.0810234227,0.7567707896,0.5,0.0,0.5,0.0657056365,0.0436112971,0.055599243,8.6536470103,1.4709840114,9.0,1.8342265934,1.1793757251,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06839350134608822,-0.0036546978474227138,-0.04339384556152459,6.0,-15064.979480860038,False,0.1,0.06849107856307511,0.03160649865391178,-0.0036546978474227138,0.03181709561722571,0.04339384556152459,0.06839350134608822,0.0036546978474227138,True,True,0.488626628,0.0771692897,0.4875497293,0.4837523258,0.1102418424,0.482213899,-0.0108317828,0.0734945616,-0.0118574006,0.8035169725,0.0608964712,0.8547711372,0.0435080429,0.0086209722,0.0461721458,0.7921438879,0.0776688996,0.7371702194,0.5,0.0,0.5,0.0662129228,0.0412347148,0.0124502707,8.7025425882,1.3249659014,9.0,0.5276675787,0.6298705475,0.2063994458,0.0,0.0,0.0,0.0,0.0,0.0,0.0134157839,0.0081699455,0.021762594,0.0134157839,0.0081699455,0.021762594,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.061639505059613124,-0.0016716309292084458,-0.0750722673359449,6.0,-20144.448469935105,False,0.10680004681646915,0.06166216776888044,0.03836049494038688,-0.039171630929208445,0.054826492152294105,0.0750722673359449,0.057127918273301236,0.02320827196748116,True,False,0.4975395431,0.073865353,0.4602383647,0.4964850616,0.1055219329,0.4431976639,-0.0023432923,0.0703479552,-0.0378682241,0.8044041101,0.0624036496,0.8167816997,0.0792643958,0.0158791795,0.0528980531,0.790106134,0.0798721652,0.7786758542,0.5,0.0,0.5,0.0615461974,0.040917109,0.0397616353,8.6185219667,1.4574448794,9.0,1.4807716485,1.2338610196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06295928179695431,-0.020306907977448763,-0.0684312086613954,6.0,-21870.45444540066,False,0.125,0.06615316829897776,0.03704071820304569,-0.09530690797744876,0.10225175555079397,0.0684312086613954,0.03818328065109419,0.0540210954601316,True,False,0.5015391508,0.0737242383,0.4989917097,0.5021987869,0.1053203405,0.4985595853,0.0014658579,0.0702135603,-0.0009602765,0.8026099835,0.0619819679,0.8707295656,0.0853149345,0.0171042412,0.0754698962,0.794014462,0.0772846606,0.7230815887,0.5,0.0,0.5,0.0622561455,0.0395196742,0.0010082903,8.6222777985,1.4316129506,9.0,1.664514288,1.243079321,0.0,1.0,0.0,1.0,1.5185712222,1.2753992145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.056784121759364835,-0.07463133052486927,0.01960154748938825,6.0,-29856.761481482747,False,0.09013878188659974,0.09377777977695279,-0.006784121759364832,0.00036866947513072845,0.006794131675775835,0.01960154748938825,0.09359518401243935,0.005849231536900536,True,True,0.0069848917,0.0178050703,0.003084083,0.4159103416,0.0923481318,0.5044058328,-0.0560597722,0.0615654212,0.0029372219,1.2707799137,0.1747256974,1.3118803501,0.0991549782,0.0185213659,0.0995780304,1.2747423901,0.1931250908,1.2936565876,0.0,0.0,0.0,0.0069848917,0.0178050703,0.003084083,8.9742171882,0.4458264927,9.0,2.3876723063,1.0396942736,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.02999177459982459,0.012160155002230508,-0.004367118490001524,6.0,-17000.96349185808,False,0.0625,0.032363187626143305,0.02000822540017541,0.049660155002230505,0.05353933207007521,0.004367118490001524,0.01669732667852137,0.02772318876167916,True,True,0.5150904104,0.0672670269,0.4533430289,0.5215577292,0.0960957527,0.4333471842,0.0143718195,0.0640638351,-0.0444352105,0.4822191173,0.0392651615,0.4843290448,0.0403598955,0.006827163,0.0401102155,0.482802268,0.0502432124,0.495726496,0.5,0.0,0.5,0.0568854769,0.0389437532,0.0466569711,8.1454472225,2.1430936712,9.0,1.5321369775,1.2535012038,2.8143062534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.029176631697344246,0.020505528318262325,0.003744360118910587,6.0,-11307.776653212379,False,0.05,0.03566163945773569,0.020823368302655756,0.020505528318262325,0.02922480725478111,0.003744360118910587,0.029176631697344246,0.020505528318262325,True,True,0.4430691698,0.065593722,0.4269873974,0.5258130997,0.0937053172,0.5028391392,0.0172087331,0.0624702115,0.0018927595,0.4886721657,0.0316026718,0.4624505341,0.0216011432,0.0040447841,0.0153607223,0.4881630852,0.0430373256,0.4802736342,0.425,0.0,0.425,0.0563967199,0.0380583926,0.0019873974,7.7893957189,2.5211448169,9.0,0.3403846131,0.4202098954,0.1331498967,0.0,0.0,0.0,0.0,0.0,0.0,0.0018959145,0.0035158909,0.0091699046,0.0018959145,0.0035158909,0.0091699046,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.030703620785693896,0.026632654629477587,0.02308186204699732,6.0,-16993.323594262267,False,0.0625,0.04064493353377181,0.019296379214306107,-0.010867345370522412,0.02214609324879943,0.02308186204699732,0.04054248940624167,0.002883951232165736,True,True,0.5249207773,0.0666874387,0.4734204961,0.5356011104,0.0952677696,0.4620292801,0.0237340736,0.0635118464,-0.0253138132,0.4797068257,0.0432380777,0.5010593534,0.0409087864,0.0074950397,0.0377971046,0.4806579571,0.0510184823,0.51009655,0.5,0.0,0.5,0.0577787761,0.0415917378,0.0265795039,8.1333071641,2.161354394,9.0,1.3120084972,1.0849249075,0.491707103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02663990073989964,0.027164279017558676,0.05257358396063583,6.0,-18338.012237421757,False,0.09013878188659974,0.038047107195889204,0.023360099260100364,-0.04783572098244132,0.0532348611283219,0.05257358396063583,0.03737920451987796,0.0070977063504077615,True,False,0.0276307259,0.0456283155,0.0,0.4624109714,0.130946306,0.4829045762,-0.0250593524,0.0872975373,-0.0113969492,0.921458112,0.1161030183,0.8790714741,0.0906350246,0.0174334862,0.0753225833,0.9365649084,0.1257990439,0.8981816173,0.0,0.0,0.0,0.0276307259,0.0456283155,0.0,8.6164801076,1.4019664158,9.0,2.0332787547,1.1448200553,0.0110436192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
