cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06378457374362859,0.03866683178518025,0.015081950037697078,6.0,-21781.901452974478,False,0.125,0.07458951486609776,0.03621542625637142,0.11366683178518025,0.11929671306038209,0.015081950037697078,0.02782755992379472,0.06920420967432135,True,True,0.4809574078,0.0835703841,0.4593824266,0.4727962968,0.119386263,0.4419748951,-0.0181358021,0.079590842,-0.0386834033,0.7961847665,0.0570711479,0.8155936003,0.0961544552,0.0125735428,0.0985116959,0.7756460259,0.0672928445,0.793466568,0.5,0.0,0.5,0.0756952049,0.0402102645,0.0406175734,8.5272995892,1.6626005599,9.0,1.7510195344,1.3028078121,3.0,1.0,0.0,1.0,1.6162577051,1.3435236023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06860689867881954,0.01729903879206307,-0.009930760513221134,6.0,-20290.008261858547,False,0.10680004681646915,0.07075424573447953,0.031393101321180464,0.05479903879206307,0.06315426718042048,0.009930760513221134,0.05816454297866158,0.04028708514572061,True,True,0.4877997879,0.0874842653,0.4594982047,0.4825711256,0.1249775218,0.4421402924,-0.0116192496,0.0833183479,-0.0385731384,0.7906220937,0.0616362066,0.8157542944,0.087458658,0.0152469522,0.0786186084,0.7716028033,0.070334009,0.7895669937,0.5,0.0,0.5,0.0787439326,0.0400216807,0.0405017953,8.3625696594,1.8152213465,9.0,1.6624046823,1.2755736382,2.963516112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06655330105898528,0.006349434426007786,-0.027084015177303893,6.0,-14924.849159282043,False,0.1,0.066855494907884,0.03344669894101472,0.006349434426007786,0.034044044818162374,0.027084015177303893,0.06655330105898528,0.006349434426007786,True,True,0.4911153811,0.089454124,0.4858565287,0.4873076873,0.1277916057,0.479795041,-0.0084615418,0.0851944038,-0.0134699726,0.7888918126,0.0643808202,0.8524116278,0.0477254348,0.0093212018,0.0384789407,0.7785805434,0.0674387093,0.8393680453,0.5,0.0,0.5,0.0799784855,0.0410416692,0.0141434713,8.4312971722,1.6457165057,9.0,0.5354992796,0.5521230809,0.6621676148,0.0,0.0,0.0,0.0,0.0,0.0,0.0152649391,0.007049738,0.0219378662,0.0152649391,0.007049738,0.0219378662,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06462730527461473,0.04172059428009354,0.025362961118437017,6.0,-21057.735129518962,False,0.10680004681646915,0.07692396618832403,0.035372694725385276,0.00422059428009354,0.03562360100007378,0.025362961118437017,0.07516151024502299,0.016372047881365426,True,True,0.4990039908,0.0872277715,0.4731414595,0.4985771297,0.1246111022,0.4616306564,-0.0009485802,0.0830740681,-0.0255795624,0.7900067691,0.0678082529,0.8347107768,0.0918167185,0.018937003,0.0641907677,0.7792204461,0.069720171,0.8152476549,0.5,0.0,0.5,0.0769105156,0.0411636825,0.0268585405,8.5426968634,1.4717520537,9.0,1.870079901,0.9937435813,1.2017039737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06455766491135624,0.04500286559268781,0.01729651135208347,6.0,-22690.247913484724,False,0.125,0.07869529852767877,0.035442335088643764,-0.029997134407312186,0.04643260911456583,0.01729651135208347,0.07864785128469769,0.0027323064726634955,True,True,0.5047838992,0.0799176189,0.4646952216,0.5068341417,0.114168027,0.4495646022,0.0045560945,0.076112018,-0.0336235985,0.7940953583,0.0649289461,0.8229705691,0.1024859171,0.0189332002,0.0745224282,0.7883329978,0.0638548119,0.8103934526,0.5,0.0,0.5,0.070615186,0.0377254159,0.0353047784,8.7027998997,1.1883855331,9.0,1.9123564526,0.9225434771,1.0391267666,1.0,0.0,1.0,1.694636613,1.0003991972,0.7891267666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03681858569328809,-0.11071155206743205,-0.025775073201571352,6.0,-30337.213503065028,False,0.09013878188659974,0.11667328748961228,0.013181414306711915,-0.035711552067432054,0.038066581593178286,0.025775073201571352,0.11254085619310865,0.03077680459300076,True,True,0.0061550703,0.0151658748,0.0,0.4055650028,0.0964701254,0.4409628361,-0.0629566648,0.0643134169,-0.0393581092,1.2707799137,0.1747256974,1.3118803501,0.1136456206,0.0196929449,0.113325581,1.2810176249,0.178110724,1.3449704647,0.0,0.0,0.0,0.0061550703,0.0151658748,0.0,9.0,0.0,9.0,2.3649200359,1.1050423466,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.03780340630803019,0.021660932177052016,0.02279655653239791,6.0,-16940.694862207896,False,0.0625,0.04356941026992291,0.012196593691969813,0.05916093217705201,0.060405072582894445,0.02279655653239791,0.017246165740192946,0.04001078952645972,True,True,0.5245501465,0.0718827403,0.5017546902,0.5350716379,0.102689629,0.5025067003,0.0233810919,0.0684597527,0.0016711336,0.4745883726,0.0434667535,0.5217214227,0.0475499648,0.0058179136,0.0531416424,0.4750263697,0.0454821997,0.5185405016,0.5,0.0,0.5,0.066803442,0.0361543661,0.0017546902,7.742297536,2.5357910307,9.0,1.368110572,1.3139170332,2.0561019972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03475643583094556,0.01918090640962005,0.011217089507824443,6.0,-12027.603187963106,False,0.05,0.039697821128687145,0.015243564169054445,0.01918090640962005,0.024500477939637912,0.011217089507824443,0.03475643583094556,0.01918090640962005,True,True,0.454629957,0.065831837,0.4322772619,0.54232851,0.0940454815,0.5103960885,0.0282190067,0.0626969877,0.0069307256,0.4875806927,0.0254939646,0.4668336511,0.0246173827,0.0033852668,0.0234346781,0.4875600695,0.0274275493,0.4650707245,0.425,0.0,0.425,0.0612969075,0.0381373079,0.0072772619,7.9717150021,2.2032022687,9.0,0.3170111838,0.4334985387,0.307722059,0.0,0.0,0.0,0.0,0.0,0.0,0.0016189641,0.0023688942,0.005282254,0.0016189641,0.0023688942,0.005282254,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03932664650965343,0.01461932433609324,0.014018380642837855,6.0,-17364.76799750635,False,0.0625,0.04195604568758982,0.010673353490346572,-0.02288067566390676,0.02524768887575234,0.014018380642837855,0.040232911809378685,0.011900528436917465,True,True,0.5395381863,0.0711519934,0.5152998452,0.5564831233,0.1016457049,0.5218569217,0.0376554155,0.0677638032,0.0145712811,0.4708183742,0.0495044409,0.5097033978,0.0499262318,0.0095126641,0.0400784686,0.4753903684,0.044900649,0.5093235373,0.5,0.0,0.5,0.0679093791,0.0448797346,0.0152998452,8.0247418811,2.3065857628,9.0,1.3631588104,1.1133575629,0.4941929787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03500731034562875,0.04385508656091668,0.08993326923327483,6.0,-18843.052427110473,False,0.09013878188659974,0.05611399464394475,0.014992689654371255,-0.031144913439083315,0.034565682058948055,0.08993326923327483,0.0559081995992601,0.004801417756241742,True,False,0.0298050259,0.0465986427,0.0,0.4508747429,0.1458248932,0.4835098921,-0.0327501714,0.0972165955,-0.0109934052,0.921458112,0.1161030183,0.8790714741,0.1128511671,0.0129441282,0.0991475806,0.9465454479,0.1103388522,0.8669029474,0.0,0.0,0.0,0.0298050259,0.0465986427,0.0,8.4415869049,1.6042866342,9.0,2.03229716,1.1725088645,1.0134868335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
