cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.054984544949263546,-0.018167410942752534,-0.06851908619385139,6.0,-22418.21747989552,False,0.125,0.05790816007818266,0.04501545505073646,0.05683258905724746,0.07250058187611212,0.06851908619385139,0.05488808252506236,0.0184567982153561,True,False,0.4803855323,0.072761383,0.5016667155,0.4719793319,0.1039448329,0.5023810221,-0.0186804454,0.0692965552,0.0015873481,0.8079685493,0.0565463774,0.8696660399,0.0828190994,0.0143783628,0.0802387223,0.78853561,0.0776454168,0.7867754102,0.5,0.0,0.5,0.0630740395,0.0412384741,0.0016667155,8.6656981044,1.2480988938,7.5885313435,1.8715243994,1.1491054784,2.218929111,1.0,0.0,1.0,1.7088700896,1.2087203523,1.968929111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.05475843362142546,-0.02629516181438025,-0.0773805858254389,6.0,-20806.64539730869,False,0.10680004681646915,0.060744724771098435,0.045241566378574544,0.011204838185619747,0.04660845124173178,0.0773805858254389,0.06050476683110727,0.005393957566559198,True,False,0.4873346258,0.0737179373,0.4408869643,0.4819066083,0.105311339,0.4155528061,-0.0120622611,0.0702075594,-0.0562981293,0.8060836655,0.0569260698,0.7899608612,0.077309468,0.0145500894,0.0723258927,0.7894629206,0.0791364351,0.7250209451,0.5,0.0,0.5,0.0630774739,0.0401992322,0.0591130357,8.7059977392,1.1511045747,9.0,1.7932743374,1.1672181266,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06548964572774403,-0.004977212448448128,-0.03590178262298275,6.0,-14615.456930910022,False,0.1,0.06567850745337023,0.034510354272255975,-0.004977212448448128,0.03486742313038925,0.03590178262298275,0.06548964572774403,0.004977212448448128,True,True,0.4884190998,0.0767472645,0.4889050273,0.4834558568,0.1096389493,0.484150039,-0.0110294288,0.0730926329,-0.0105666406,0.802619582,0.0601162301,0.856660068,0.0436979203,0.0086648179,0.0472421013,0.791202056,0.0770850727,0.7294560075,0.5,0.0,0.5,0.0665203039,0.0399913619,0.0110949727,8.6655014173,1.3001430726,9.0,0.5160630647,0.5902434585,0.4770348098,0.0,0.0,0.0,0.0,0.0,0.0,0.0134832637,0.0080435414,0.0218562079,0.0134832637,0.0080435414,0.0218562079,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06160783316449154,-0.0005232879419038461,-0.04797081835317588,6.0,-20445.506087200865,False,0.10680004681646915,0.0616100554901062,0.038392166835508466,-0.03802328794190384,0.054034515823114825,0.04797081835317588,0.057501473095616276,0.02212192417779435,True,True,0.494639476,0.0750932581,0.4239664152,0.4923421085,0.1072760829,0.3913805932,-0.005105261,0.0715173886,-0.0724129379,0.8038188118,0.0620254638,0.766582191,0.079671513,0.0164454216,0.0435704626,0.7897909657,0.0798003803,0.795556426,0.5,0.0,0.5,0.0632970773,0.0407579763,0.0760335848,8.6093192195,1.4306082787,9.0,1.4535062941,1.2170441032,0.0663153407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.059762191424953426,-0.0002351328102820244,-0.04431275703136587,6.0,-21728.785097177548,False,0.125,0.05976265398517077,0.04023780857504658,-0.07523513281028202,0.08531943769096739,0.04431275703136587,0.04766867345379353,0.036045421103197674,True,True,0.5009665027,0.0753315401,0.5065849774,0.5013807181,0.1076164859,0.5094071105,0.0009204787,0.0717443239,0.006271407,0.802632608,0.0652055901,0.8623824716,0.086274113,0.0172218627,0.0732003301,0.7942796979,0.0790030457,0.7369546294,0.5,0.0,0.5,0.0627425202,0.0417031321,0.0065849774,8.6386525825,1.426334252,9.0,1.6900893351,1.2351081504,0.1108774953,1.0,0.0,1.0,1.5359198383,1.2699945009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.03171794864907275,-0.11852973780094422,-0.00427541548171817,6.0,-30429.947818163542,False,0.09013878188659974,0.1227001508135414,0.018282051350927253,-0.043529737800944227,0.04721304347970901,0.00427541548171817,0.11621665556456547,0.039357540307455134,True,True,0.0069431985,0.0174053136,0.0,0.4162264276,0.0921991098,0.4686987773,-0.0558490483,0.0614660732,-0.0208674818,1.2707799137,0.1747256974,1.3118803501,0.1005719831,0.0194166133,0.1001731232,1.2746925662,0.1936156656,1.2935624123,0.0,0.0,0.0,0.0069431985,0.0174053136,0.0,8.9742171882,0.4458264927,9.0,2.4144498266,1.061495668,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.0327292261752638,0.012921670675663495,-0.0011888785748033943,6.0,-16839.79573464486,False,0.0625,0.03518766572368612,0.017270773824736206,0.05042167067566349,0.053297509343591815,0.0011888785748033943,0.018430378534812945,0.029974872245689073,True,True,0.5146097592,0.0665106199,0.4630488481,0.5208710846,0.0950151712,0.4472126402,0.0139140564,0.0633434475,-0.0351915732,0.4825977388,0.0384643988,0.492410332,0.040504674,0.0065418369,0.0427962057,0.4828954519,0.0496492561,0.5029226542,0.5,0.0,0.5,0.0565410828,0.0379501459,0.0369511519,8.0494846227,2.2474845011,9.0,1.498055847,1.2792576655,2.7017648642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.030221055896804534,0.02209818684593909,0.008215946829896126,6.0,-11602.433225832006,False,0.05,0.03743851067277943,0.01977894410319547,0.02209818684593909,0.029656980488838816,0.008215946829896126,0.030221055896804534,0.02209818684593909,True,True,0.443671688,0.0646641416,0.4171418585,0.5266738401,0.0923773451,0.4887740836,0.01778256,0.0615848968,-0.0074839443,0.4888147086,0.0314365162,0.4543042183,0.0215690449,0.0037799465,0.0161196068,0.4882520267,0.0428073384,0.4759997129,0.425,0.0,0.425,0.0558660824,0.037537501,0.0078581415,7.980989045,2.3367411403,9.0,0.3400262105,0.4252017533,0.2402676008,0.0,0.0,0.0,0.0,0.0,0.0,0.0018920871,0.0034153975,0.0092841972,0.0018920871,0.0034153975,0.0092841972,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03268540076267063,0.017998233944875094,0.0033272262222937923,6.0,-16482.664436242096,False,0.0625,0.037313159182128276,0.01731459923732937,-0.019501766055124905,0.02607899971276024,0.0033272262222937923,0.03694726097706156,0.005212653301702301,True,True,0.5236669348,0.0659364956,0.4595930872,0.5338099068,0.0941949937,0.4422758389,0.0225399379,0.0627966625,-0.038482774,0.4802908927,0.0426055133,0.4895315766,0.0403091338,0.0073881164,0.0358102322,0.48110171,0.0503980008,0.5033823252,0.5,0.0,0.5,0.0570044265,0.0407215006,0.0404069128,8.0133138118,2.36259958,9.0,1.2309935225,1.1201694234,0.2538318301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.03260063593995337,0.021794558945337494,0.042337967764747374,6.0,-17959.728609722275,False,0.09013878188659974,0.03921484748550184,0.017399364060046635,-0.0532054410546625,0.05597818170961977,0.042337967764747374,0.036217748338390934,0.015035922605818052,True,True,0.0282080633,0.0455099276,0.0,0.4631657229,0.1311217531,0.4841758232,-0.0245561847,0.0874145021,-0.0105494512,0.921458112,0.1161030183,0.8790714741,0.0907628594,0.0169463308,0.0736871436,0.9368434232,0.1266067448,0.8992218971,0.0,0.0,0.0,0.0282080633,0.0455099276,0.0,8.5153016059,1.4712944745,9.0,1.9872757626,1.1142408152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
