cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06073721952561295,0.02206726931311272,-0.004923576898377302,6.0,-22014.66562892414,False,0.125,0.06462177814514194,0.039262780474387055,0.09706726931311271,0.10470730968984096,0.004923576898377302,0.035349414032622734,0.05409614716585794,True,True,0.4821838007,0.0839014852,0.4448450822,0.4745482867,0.1198592646,0.4212072603,-0.0169678088,0.0799061764,-0.0525284931,0.795399342,0.0581338316,0.7954397798,0.0958169101,0.0133882131,0.0941208228,0.775307287,0.06854021,0.7750040293,0.5,0.0,0.5,0.0760005743,0.0397591359,0.0551549178,8.5637973169,1.5630704277,9.0,1.7659920056,1.2628498665,3.0,1.0,0.0,1.0,1.6202857553,1.3132273577,2.9921589404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06520011380964326,0.033301295366237646,0.010802124703078583,6.0,-20120.7308497075,False,0.10680004681646915,0.07321223336205387,0.034799886190356746,0.07080129536623764,0.07889141591072507,0.010802124703078583,0.04935590350244645,0.05407426285504989,True,True,0.4887805192,0.0871774988,0.4643142283,0.4839721703,0.124539284,0.4490203261,-0.0106852198,0.0830261893,-0.0339864492,0.7906901326,0.0628977097,0.8224413991,0.0894449236,0.0138241159,0.0868316665,0.7713567764,0.0712857685,0.8025591373,0.5,0.0,0.5,0.078553335,0.0394356008,0.0356857717,8.3596868076,1.9121427828,9.0,1.6160322651,1.3150828475,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06672285675997539,0.004007488576306949,-0.021173895279885224,6.0,-15038.517775296721,False,0.1,0.06684309671837042,0.03327714324002462,0.004007488576306949,0.033517580862979166,0.021173895279885224,0.06672285675997539,0.004007488576306949,True,True,0.4910619293,0.0904678169,0.4753967583,0.4872313276,0.1292397385,0.4648525119,-0.0085124482,0.0861598256,-0.0234316587,0.7886364824,0.0653113466,0.8378480673,0.0483472809,0.009199442,0.0420746952,0.7782698383,0.068214924,0.8226102591,0.5,0.0,0.5,0.0807313023,0.0417943996,0.0246032417,8.4976677773,1.6187316191,9.0,0.5703357591,0.6042257542,0.4689955945,0.0,0.0,0.0,0.0,0.0,0.0,0.0152954562,0.0068312537,0.0240942547,0.0152954562,0.0068312537,0.0240942547,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06705259425274042,-0.0053450715297878,-0.043124834932418254,6.0,-20879.65700186343,False,0.10680004681646915,0.06726529703852638,0.03294740574725959,-0.042845071529787795,0.05404841995717531,0.043124834932418254,0.06090652051946405,0.02854848409098615,True,True,0.4996468353,0.0883859709,0.4580932446,0.499495479,0.1262656728,0.4401332065,-0.0003363473,0.0841771152,-0.0399111956,0.7881008448,0.0671544646,0.8138044477,0.0916447703,0.0195557437,0.0597365052,0.7767946957,0.0689811016,0.7978606224,0.5,0.0,0.5,0.0783452254,0.0409173586,0.0419067554,8.5017792484,1.5363762984,9.0,1.6097843948,1.1597931984,0.3941411854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06349105521629912,0.035654532559270605,0.008891404542940018,6.0,-23124.726896519092,False,0.125,0.07281730415566914,0.036508944783700883,-0.03934546744072939,0.053674657496334495,0.008891404542940018,0.07218556370860166,0.009571007082362984,True,True,0.5035273793,0.0818927945,0.4839154118,0.5050391132,0.1169897064,0.4770220169,0.0033594088,0.0779931376,-0.0153186554,0.7931982718,0.0658169038,0.849707365,0.10255539,0.0191294318,0.0716161281,0.7871297397,0.064726106,0.8373088241,0.5,0.0,0.5,0.0720329249,0.0391168752,0.0160845882,8.7307237387,1.0775213903,9.0,1.9387855718,0.9592881605,0.9651223987,1.0,0.0,1.0,1.7177253833,1.0398532897,0.7151223987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.043416773428350715,-0.09238986690999601,-0.010859680810267077,6.0,-30324.80912912357,False,0.09013878188659974,0.1020828277555805,0.006583226571649288,-0.017389866909996013,0.018594255651707157,0.010859680810267077,0.10095630869646884,0.015123738193938906,True,True,0.0062440247,0.0151543482,0.0,0.4047010093,0.0989520193,0.4182864241,-0.0635326605,0.0659680129,-0.0544757172,1.2707799137,0.1747256974,1.3118803501,0.1146270714,0.0198089984,0.0979530066,1.2829807991,0.1778419998,1.3463855982,0.0,0.0,0.0,0.0062440247,0.0151543482,0.0,9.0,0.0,9.0,2.3723934321,1.1245029141,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.037581906622735514,0.017814728574334946,0.015061377310657894,6.0,-16769.464980456356,False,0.0625,0.04159043471253021,0.012418093377264489,0.05531472857433495,0.05669151824019892,0.015061377310657894,0.019376688153587448,0.03680092683310927,True,True,0.5263599523,0.0713257851,0.499009655,0.5376570747,0.1018939787,0.4985852214,0.0251047164,0.0679293191,-0.0009431858,0.474285472,0.0441910768,0.5224528313,0.0481645517,0.0054294211,0.0545255654,0.4744394346,0.0460451281,0.5203110576,0.5,0.0,0.5,0.0666235345,0.0366540497,0.000990345,7.894236721,2.3907550978,9.0,1.4099494858,1.3208872256,2.0729719801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.035394358671978966,0.019767057096527704,0.016706693360015883,6.0,-11751.462450675084,False,0.05,0.0405400687229077,0.014605641328021036,0.019767057096527704,0.02457765865293483,0.016706693360015883,0.035394358671978966,0.019767057096527704,True,True,0.4552047331,0.064928025,0.4296943058,0.5431496187,0.0927543215,0.5067061512,0.0287664125,0.0618362143,0.0044707675,0.4878623783,0.0256253729,0.4646928906,0.0247224665,0.0032459172,0.02305503,0.4878375911,0.0277205201,0.4624391496,0.425,0.0,0.425,0.0603577557,0.0385346034,0.0046943058,7.7393458973,2.5406333304,9.0,0.3167320116,0.4471645819,0.2653381779,0.0,0.0,0.0,0.0,0.0,0.0,0.0017306201,0.0024101641,0.0059772142,0.0017306201,0.0024101641,0.0059772142,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03616304993281071,0.025196057401486286,0.024399668850071537,6.0,-17628.052641398866,False,0.0625,0.04407502114601822,0.01383695006718929,-0.012303942598513713,0.018516160256095485,0.024399668850071537,0.04404807438714034,0.001540984038497399,True,True,0.539905322,0.0709141326,0.5128977183,0.5570076029,0.1013059037,0.5184253119,0.0380050686,0.0675372692,0.0122835413,0.4710128596,0.0498326538,0.5118306279,0.0506146357,0.0090524212,0.0413603485,0.4753681213,0.0451304444,0.5113013983,0.5,0.0,0.5,0.0676962169,0.0451494314,0.0128977183,8.0444997648,2.1977262589,9.0,1.4059286457,1.0920003905,0.5349394134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.014868263058618611,0.061920620490671936,0.13278330643411818,6.0,-19987.633352096113,False,0.09013878188659974,0.06368067594121551,0.03513173694138139,-0.013079379509328061,0.037487452685764776,0.13278330643411818,0.05976849894098957,0.021976237682347566,True,False,0.0317117185,0.0489458843,0.0,0.4534078568,0.1491907699,0.4929843443,-0.0310614288,0.0994605133,-0.0046771038,0.921458112,0.1161030183,0.8790714741,0.1137157112,0.0128316173,0.097568877,0.9480288929,0.1096328037,0.8699262738,0.0,0.0,0.0,0.0317117185,0.0489458843,0.0,8.5375488699,1.4895795177,9.0,2.1031622315,1.1244967612,2.1555782421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
