cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.049303698795237216,-0.03634392697390121,-0.10931884883016019,6.0,-22673.796621118883,False,0.125,0.06125141421041427,0.05069630120476279,0.03865607302609879,0.06375270141447431,0.10931884883016019,0.061249315220530495,0.0005070776980213576,True,False,0.4808647817,0.0713016509,0.4796496921,0.4726639739,0.1018595013,0.4709281316,-0.0182240174,0.0679063342,-0.0193812456,0.8089385309,0.0554446587,0.8437670469,0.0840859532,0.015029962,0.0928215757,0.7890825125,0.0773987378,0.7502685189,0.5,0.0,0.5,0.062114227,0.0398986819,0.0203503079,8.6960894248,1.2522597959,9.0,1.9702261058,1.0463461494,1.5390523737,1.0,0.0,1.0,1.7834513507,1.1312510779,1.0390523737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06069652154927376,-0.00390964737649778,-0.04875273860920489,6.0,-21280.265943178594,False,0.10680004681646915,0.06082230734516745,0.039303478450726244,0.03359035262350222,0.05170179114593541,0.04875273860920489,0.05820469294576621,0.01765125462620384,True,True,0.4873846269,0.0753459785,0.4079352051,0.4819780385,0.1076371121,0.3684788644,-0.012014641,0.0717580747,-0.087680757,0.8053550063,0.0582787386,0.7445013523,0.0779762214,0.0130558801,0.075122349,0.7881747067,0.0788782122,0.7299798131,0.5,0.0,0.5,0.0644400316,0.0410322609,0.0920647949,8.6239658764,1.4605565118,9.0,1.8210098232,1.2034973248,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06537539434261495,-0.0008709237917989557,-0.050295940648665306,6.0,-14638.170547719246,False,0.1,0.06538119526059105,0.03462460565738505,-0.0008709237917989557,0.034635557237910036,0.050295940648665306,0.06537539434261495,0.0008709237917989557,True,False,0.4888582314,0.0763388966,0.4821357844,0.4840831876,0.1090555665,0.4744796921,-0.0106112082,0.072703711,-0.0170135386,0.8028173258,0.060022131,0.8472286463,0.0433078077,0.0088040099,0.0460705347,0.7912163081,0.0770648113,0.7352061272,0.5,0.0,0.5,0.0659927216,0.0399590645,0.0178642156,8.5768936893,1.571344762,9.0,0.5247510076,0.595912669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138713522,0.0081944407,0.0236143665,0.0138713522,0.0081944407,0.0236143665,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06219982719566541,0.007172267798481963,-0.016239619776135267,6.0,-20205.05517259122,False,0.10680004681646915,0.06261197911377486,0.0378001728043346,-0.030327732201518035,0.04846260831326097,0.016239619776135267,0.06075786439645066,0.015124213782087717,True,True,0.4969630569,0.0741411272,0.4568263076,0.4956615099,0.1059158959,0.4383232966,-0.0028923267,0.0706105973,-0.0411178023,0.8031368142,0.0623981962,0.8120464683,0.0806725787,0.015972248,0.0478130579,0.7882052845,0.0800848081,0.7686405182,0.5,0.0,0.5,0.0630514091,0.0391235168,0.0431736924,8.5186737165,1.6748179909,9.0,1.4918535546,1.2001710383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06113490055602929,0.0013540887278330332,-0.040249194337637816,6.0,-22317.363874090763,False,0.125,0.061149894703739556,0.038865099443970715,-0.07364591127216696,0.08327194126413544,0.040249194337637816,0.04972037368152325,0.03559766935135114,True,True,0.5012590025,0.074154794,0.5056688912,0.501798575,0.1059354201,0.508098416,0.00119905,0.0706236134,0.005398944,0.8030412616,0.0633534649,0.8637381792,0.0866300152,0.017452048,0.0721847266,0.7939018947,0.0772923781,0.7745386958,0.5,0.0,0.5,0.0624906518,0.0399429219,0.0056688912,8.6511002301,1.317933337,9.0,1.7812386897,1.1668647703,1.0871364332,1.0,0.0,1.0,1.6138413739,1.2192011224,0.5871364332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.046440750718557695,-0.09537598962461802,-0.0012642603054541606,6.0,-30405.357310470365,False,0.09013878188659974,0.1060816794935792,0.0035592492814423074,-0.02037598962461802,0.02068451615653576,0.0012642603054541606,0.10511831377635744,0.014264039855304687,True,True,0.0068587779,0.0164527143,0.0178255518,0.4194056447,0.0888867844,0.525465074,-0.0537295702,0.0592578563,0.016976716,1.2707799137,0.1747256974,1.3118803501,0.1004200999,0.0186566021,0.1001384854,1.275090422,0.1933579751,1.2905433178,0.0,0.0,0.0,0.0068587779,0.0164527143,0.0178255518,8.9742171882,0.4458264927,9.0,2.3868243178,1.0611838181,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.032144642240509204,0.013969880752297633,0.0021978423564308347,6.0,-16251.396949224663,False,0.0625,0.03504904553627309,0.0178553577594908,0.05146988075229763,0.05447900903444506,0.0021978423564308347,0.017333785341028782,0.030462689946143626,True,True,0.5150633119,0.0658169769,0.4643987335,0.521519017,0.0940242528,0.4491410479,0.0143460114,0.0626828352,-0.0339059681,0.4829111223,0.0389344416,0.4935352802,0.0401122063,0.0068935748,0.0416816138,0.4831952363,0.0502265539,0.5008972883,0.5,0.0,0.5,0.055548172,0.0383820064,0.0356012665,7.8387299272,2.4094963472,9.0,1.4903551289,1.2708848649,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.029736880150649483,0.019865899586936915,0.006635484954519821,6.0,-11482.77512190695,False,0.05,0.035762214801272466,0.02026311984935052,0.019865899586936915,0.028376891873977378,0.006635484954519821,0.029736880150649483,0.019865899586936915,True,True,0.4443758904,0.0644078062,0.4187087506,0.5276798435,0.0920111518,0.4910125008,0.018453229,0.0613407678,-0.0059916661,0.4892536045,0.0309783046,0.4555996656,0.0219762415,0.0038892697,0.015828412,0.4886845967,0.0425243351,0.4800953567,0.425,0.0,0.425,0.0558936557,0.0374124296,0.0062912494,7.8258716401,2.4867583054,9.0,0.3373651044,0.4099798578,0.2571353875,0.0,0.0,0.0,0.0,0.0,0.0,0.0019090594,0.0034704973,0.0099025989,0.0019090594,0.0034704973,0.0099025989,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03126343085139358,0.01986630435364225,0.009464619839947286,6.0,-16496.97328191836,False,0.0625,0.03704149237370726,0.01873656914860642,-0.01763369564635775,0.02572948203149232,0.009464619839947286,0.036930527293300215,0.0028650150279223496,True,True,0.5252037048,0.0674767187,0.4759892102,0.5360052925,0.0963953124,0.4656988718,0.0240035284,0.0642635416,-0.0228674188,0.4790613374,0.0434600888,0.5032034516,0.0411606369,0.0074440682,0.0374408998,0.4799876193,0.0510581614,0.5111859441,0.5,0.0,0.5,0.058520561,0.0419961693,0.0240107898,8.0604780509,2.3130700339,9.0,1.2842452181,1.1297197715,0.6080689465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02746233048072498,0.020522172262265555,0.044690278083860425,6.0,-17836.367664591493,False,0.09013878188659974,0.03428321965327437,0.022537669519275022,-0.05447782773773444,0.05895574834044876,0.044690278083860425,0.032308839577730224,0.011466387178843697,True,True,0.0280757431,0.044594687,0.0,0.4632174696,0.1304887681,0.4757503718,-0.0245216869,0.0869925121,-0.0161664188,0.921458112,0.1161030183,0.8790714741,0.0913196282,0.0175780474,0.0755161047,0.9372191119,0.1264984809,0.8992063403,0.0,0.0,0.0,0.0280757431,0.044594687,0.0,8.5925635642,1.3825101435,9.0,2.0427030954,1.1297944702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
