cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06609256979022397,0.024317893351887682,0.003435251830153178,6.0,-21722.028917565625,False,0.125,0.0704243403841982,0.03390743020977603,0.09931789335188768,0.10494645188517698,0.003435251830153178,0.038283319821046574,0.059109856555644526,True,True,0.4819970023,0.0852990999,0.4576826174,0.4742814319,0.121855857,0.4395465963,-0.0171457121,0.081237238,-0.0403022692,0.7942407056,0.0582984758,0.8132345676,0.0958820451,0.0136274752,0.0975408852,0.7736819341,0.0683487255,0.7907391191,0.5,0.0,0.5,0.0774853322,0.0399508156,0.0423173826,8.4795416178,1.6768170471,9.0,1.760386831,1.2786386707,3.0,1.0,0.0,1.0,1.6212863359,1.3102410785,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06890122604824145,0.026479165770008365,-0.002507002409654957,6.0,-20274.466724589092,False,0.10680004681646915,0.07381412582173177,0.031098773951758557,0.06397916577000837,0.07113696222027469,0.002507002409654957,0.05521677250369386,0.048986051127864604,True,True,0.4890725795,0.0872345374,0.457199333,0.4843893992,0.1246207677,0.4388561901,-0.0104070672,0.0830805118,-0.04076254,0.7908583647,0.0624172062,0.8125640154,0.0883970009,0.0143249128,0.0787523836,0.7718501689,0.0698359796,0.7928689122,0.5,0.0,0.5,0.0784395254,0.0397053383,0.042800667,8.5392126059,1.5650531112,9.0,1.6345109212,1.2921818639,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07471762992106575,0.017410564426074603,-0.01185694364368032,6.0,-15181.185864449299,False,0.1,0.07671930640103464,0.02528237007893426,0.017410564426074603,0.03069732871835406,0.01185694364368032,0.07471762992106575,0.017410564426074603,True,True,0.4904174029,0.0903816488,0.4686277736,0.4863105756,0.1291166411,0.4551825337,-0.009126283,0.0860777607,-0.0298783109,0.7888564354,0.0645600391,0.8284350038,0.0486711093,0.0087416114,0.0441989079,0.7784584369,0.0670052952,0.8167963028,0.5,0.0,0.5,0.080773394,0.0416692624,0.0313722264,8.4895263087,1.4670820197,9.0,0.6150105878,0.6129523596,0.9650811478,0.0,0.0,0.0,0.0,0.0,0.0,0.0153384167,0.0069839983,0.0203958835,0.0153384167,0.0069839983,0.0203958835,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06729003977959652,-0.01608453337924921,-0.06900078719003044,6.0,-20522.081920972185,False,0.10680004681646915,0.069185704213861,0.03270996022040348,-0.053584533379249205,0.06277932553868551,0.06900078719003044,0.057357970888952545,0.03868752826260597,True,False,0.4972661242,0.0861458768,0.4817623014,0.4960944632,0.1230655382,0.4739461448,-0.0026036912,0.0820436922,-0.0173692368,0.7916070626,0.0657254412,0.8467085361,0.0888310323,0.0186904428,0.0679439306,0.7796065869,0.0676672076,0.8302186131,0.5,0.0,0.5,0.0759800692,0.0406892522,0.0182376986,8.5174763521,1.5149151858,9.0,1.5336559051,1.2005150253,0.5966434924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.07466406655771214,-0.0007011163274259969,-0.04333919855222016,6.0,-22534.613556363,False,0.125,0.07466735832369491,0.025335933442287864,-0.07570111632742599,0.07982836924684433,0.04333919855222016,0.05931058344971411,0.04535933299656808,True,True,0.5028635717,0.0835718756,0.460647439,0.5040908167,0.1193883938,0.4437820558,0.0027272111,0.0795922625,-0.0374786295,0.792374111,0.0664978334,0.8173495531,0.1015652922,0.0190590444,0.0721807107,0.7853571709,0.0645440265,0.8024978638,0.5,0.0,0.5,0.0736398965,0.0396184815,0.039352561,8.6583437633,1.3219901016,9.0,1.6561670385,1.216675746,0.2290675904,1.0,0.0,1.0,1.4830324453,1.2499568037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.030429758676756652,-0.11663844513977634,-0.012003978320836328,6.0,-30898.410891331474,False,0.09013878188659974,0.12054251157890424,0.01957024132324335,-0.04163844513977634,0.04600819991162603,0.012003978320836328,0.11392844571874261,0.039380278742814634,True,True,0.0060705561,0.0152168913,0.0,0.4032446259,0.0996927057,0.4536566362,-0.0645035827,0.0664618038,-0.0308955759,1.2707799137,0.1747256974,1.3118803501,0.1141410826,0.0203215755,0.1052826345,1.2828862158,0.1769649907,1.3483786583,0.0,0.0,0.0,0.0060705561,0.0152168913,0.0,9.0,0.0,9.0,2.3885036503,1.0809583115,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.036369642566345235,0.022973629224690345,0.018553545000822142,6.0,-17058.468091486146,False,0.0625,0.0430178862818393,0.013630357433654768,0.060473629224690344,0.06199069668405502,0.018553545000822142,0.015311536518261984,0.04020068891955942,True,True,0.5252939316,0.0713586082,0.4922045744,0.536134188,0.1019408688,0.4888636777,0.0240894586,0.0679605792,-0.0074242149,0.4746631627,0.0435762739,0.5167562366,0.0478750326,0.0055174356,0.0513640828,0.4748697523,0.0455827125,0.5128959417,0.5,0.0,0.5,0.0663655294,0.0364341933,0.0077954256,7.8932568793,2.3449406258,9.0,1.3950651626,1.3113740531,2.2356603868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.035101252375878536,0.014809469009954933,0.01006876027692738,6.0,-11808.309420858752,False,0.05,0.038097484047006754,0.014898747624121467,0.014809469009954933,0.021006976296556356,0.01006876027692738,0.035101252375878536,0.014809469009954933,True,True,0.4552747375,0.0659537107,0.4349776458,0.5432496249,0.0942195867,0.5142537798,0.0288330833,0.0628130578,0.0095025199,0.4876809279,0.0257994283,0.469072789,0.0250931223,0.0034208075,0.022844933,0.4878213788,0.0278310834,0.4670854211,0.425,0.0,0.425,0.0613765417,0.0387217228,0.0099776458,7.8914478545,2.3468515539,9.0,0.302648276,0.4167056451,0.2588764865,0.0,0.0,0.0,0.0,0.0,0.0,0.0016279422,0.0023850607,0.0056934738,0.0016279422,0.0023850607,0.0056934738,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03796739523204666,0.016861060684603732,0.015565011169922002,6.0,-17141.89114035535,False,0.0625,0.041542971344336085,0.012032604767953342,-0.020638939315396267,0.023890361938789944,0.015565011169922002,0.04049055259639957,0.009291588591545007,True,True,0.5401728986,0.0715480987,0.5056614035,0.5573898552,0.1022115695,0.5080877193,0.0382599035,0.0681410463,0.0053918129,0.4704351894,0.0498847839,0.5182495713,0.0506025172,0.0091663762,0.0384585075,0.4749497609,0.0450556475,0.5187383294,0.5,0.0,0.5,0.0684962371,0.0451802801,0.0056614035,7.9351029681,2.3320465076,9.0,1.3283382322,1.1485894713,0.4186204253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.017214523693634933,0.06383178740918159,0.12412467640295392,6.0,-19523.405684296424,False,0.09013878188659974,0.0661123052831292,0.032785476306365066,-0.011168212590818405,0.034635479339962076,0.12412467640295392,0.06266015717270336,0.021084155495105415,True,False,0.0316775359,0.0485931933,0.0,0.4528801436,0.1489993788,0.4836339778,-0.0314132376,0.0993329192,-0.0109106814,0.921458112,0.1161030183,0.8790714741,0.1144303711,0.0136425738,0.0931469798,0.9483012362,0.1092931833,0.8695114851,0.0,0.0,0.0,0.0316775359,0.0485931933,0.0,8.5547319276,1.3870251569,9.0,2.0508835244,1.1189031806,2.234485148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
