cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05699384546932374,-0.030830983697260724,-0.08917047769500404,6.0,-22559.373880544343,False,0.125,0.06479851832505054,0.043006154530676265,0.04416901630273927,0.06164763846789311,0.08917047769500404,0.06409366659381543,0.009531520323785663,True,False,0.4822402113,0.070409893,0.4720266057,0.4746288733,0.1005855614,0.4600380082,-0.0169140845,0.067057041,-0.0266413279,0.8084512055,0.0550484018,0.8331603408,0.0844943742,0.0145570871,0.0910871699,0.7888234758,0.0771397005,0.7509507537,0.5,0.0,0.5,0.0618305949,0.0380780863,0.0279733943,8.5735864698,1.5257139468,9.0,1.9034692233,1.1211077906,2.1313541442,1.0,0.0,1.0,1.7338654074,1.192355101,1.6313541442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06002293490797314,0.0010150336609513534,-0.04355723400235408,6.0,-20708.545417122157,False,0.10680004681646915,0.06003151679159577,0.039977065092026864,0.03851503366095135,0.055511922604755536,0.04355723400235408,0.055844823165301476,0.022025865112087022,True,True,0.4881794553,0.0753052926,0.4398816125,0.4831135075,0.1075789894,0.4141165894,-0.0112576617,0.0717193263,-0.0572556071,0.8043736809,0.0576674306,0.788569808,0.0781530161,0.0141765219,0.0706944838,0.7860507147,0.0791498187,0.7260785103,0.5,0.0,0.5,0.0647681904,0.0401956947,0.0601183875,8.4712215104,1.719638889,9.0,1.7463795304,1.2533585171,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06379264043105143,-0.026939315342337133,-0.08616178337878229,6.0,-15437.800701948558,False,0.1,0.06924758251577666,0.03620735956894858,-0.026939315342337133,0.045129808309686104,0.08616178337878229,0.06379264043105143,0.026939315342337133,True,False,0.4860152698,0.0775879177,0.4841036153,0.480021814,0.1108398824,0.477290879,-0.0133187906,0.0738932549,-0.015139414,0.8033690604,0.0583862226,0.8499695063,0.0438188233,0.0083033327,0.0492648631,0.7913781679,0.075464875,0.7373558879,0.5,0.0,0.5,0.0674034942,0.0408928676,0.0158963847,8.6420240522,1.3241673123,9.0,0.5938899943,0.6677349918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143534962,0.0082235155,0.0236044333,0.0143534962,0.0082235155,0.0236044333,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.06019735603768938,-0.014091734471950288,-0.053825510542505985,6.0,-20046.605405104474,False,0.10680004681646915,0.06182474144188789,0.039802643962310626,-0.051591734471950285,0.06516101236333491,0.053825510542505985,0.05141660256485969,0.0343312049751178,True,False,0.4977104971,0.0742922447,0.4597903352,0.4967292816,0.1061317782,0.4425576217,-0.0021804789,0.0707545188,-0.0382949188,0.80252346,0.0618639801,0.8161597848,0.0799955622,0.0159721523,0.0526367277,0.7872972139,0.078924911,0.755035162,0.5,0.0,0.5,0.0632108691,0.0391019881,0.0402096648,8.497456274,1.6674446103,9.0,1.4631899828,1.239075075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.060514793851973135,-0.03375129012941643,-0.08824654358747841,6.0,-21428.871653631035,False,0.125,0.06929061884805798,0.03948520614802687,-0.10875129012941642,0.11569755662659728,0.08824654358747841,0.02816106100392865,0.06330990841471702,True,False,0.5017229016,0.0767345549,0.5027375134,0.502461288,0.1096207927,0.5039107334,0.0016408587,0.0730805284,0.0026071556,0.7995907644,0.0637828238,0.8680792451,0.0858428953,0.0176987892,0.0759040192,0.7904509672,0.0771851402,0.7278444171,0.5,0.0,0.5,0.0653245484,0.0402971919,0.0027375134,8.6053086884,1.4441750197,9.0,1.6248975491,1.2935901584,0.0,1.0,0.0,1.0,1.4889697389,1.3024021707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.05059913128913008,-0.055277256975881144,0.04412236556713819,6.0,-30063.498169863855,False,0.09013878188659974,0.07493895666468958,-0.0005991312891300768,0.019722743024118854,0.019731841036685946,0.04412236556713819,0.07406080599187712,0.011438716791046185,True,True,0.0067581888,0.0166670294,0.0,0.4164889538,0.091594676,0.4643642213,-0.0556740308,0.0610631173,-0.0237571858,1.2707799137,0.1747256974,1.3118803501,0.1009197839,0.0188313422,0.1011314988,1.273901781,0.1923945155,1.2883353233,0.0,0.0,0.0,0.0067581888,0.0166670294,0.0,8.9742171882,0.4458264927,9.0,2.3510348429,1.0808568187,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.032647820202505534,0.015385364231487677,-0.004871059209110647,6.0,-16239.953099338238,False,0.0625,0.03609140613097069,0.01735217979749447,0.05288536423148767,0.055659319916988664,0.004871059209110647,0.016887037623111823,0.03189698350669346,True,True,0.5160943113,0.0672800806,0.4657524288,0.5229918732,0.0961144009,0.4510748982,0.0153279155,0.0640762673,-0.0326167345,0.4819612778,0.0390229718,0.4946635664,0.0402447212,0.0066389388,0.0402022302,0.4823136944,0.0500482825,0.5051608682,0.5,0.0,0.5,0.0571326225,0.0390064039,0.0342475712,7.8594998704,2.4581106467,9.0,1.4771319527,1.2486638362,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.031653970824527526,0.011865663584936311,-0.014223997743459874,6.0,-11400.844028788759,False,0.05,0.033804849375066344,0.018346029175472477,0.011865663584936311,0.021848815959181197,0.014223997743459874,0.031653970824527526,0.011865663584936311,True,True,0.4441428831,0.0650012659,0.414453618,0.5273469758,0.0928589513,0.48493374,0.0182313172,0.0619059675,-0.0100441733,0.488854749,0.0314197601,0.4520826638,0.02174769,0.0039082438,0.0156341437,0.488200476,0.0428548792,0.4784223735,0.425,0.0,0.425,0.0564807761,0.0374371002,0.010546382,7.9433797606,2.3570276418,9.0,0.2961611632,0.3676043118,0.175476886,0.0,0.0,0.0,0.0,0.0,0.0,0.001978309,0.0035389293,0.0089436345,0.001978309,0.0035389293,0.0089436345,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03308387104427718,0.007437960118250236,-0.008498284029369104,6.0,-16733.700261929826,False,0.0625,0.03390967080340125,0.016916128955722823,-0.030062039881749762,0.03449466133619168,0.008498284029369104,0.030929872906371888,0.013899954531966118,True,True,0.5244477161,0.0668412067,0.4683612168,0.5349253087,0.0954874382,0.4548017383,0.0232835391,0.0636582921,-0.0301321745,0.4792885903,0.0426839326,0.4968386889,0.040825896,0.0074091545,0.0369907767,0.4798258182,0.0502513072,0.5015220046,0.5,0.0,0.5,0.058465624,0.040585817,0.0316387832,8.1286913154,2.1269244019,9.0,1.2707148266,1.1732098239,0.0923844515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.028567837711950605,0.023997684521040567,0.05120106887464937,6.0,-18199.370729249564,False,0.09013878188659974,0.0373096530928356,0.021432162288049398,-0.051002315478959434,0.05532245262600522,0.05120106887464937,0.03581386565370802,0.010458357464051908,True,False,0.0299062513,0.0465277735,0.0,0.4653581194,0.1334437162,0.4836858506,-0.0230945871,0.0889624775,-0.0108760996,0.921458112,0.1161030183,0.8790714741,0.0920729107,0.0172864234,0.0713134557,0.9377251309,0.1258770058,0.9010791779,0.0,0.0,0.0,0.0299062513,0.0465277735,0.0,8.598747428,1.4066931469,9.0,2.0151567031,1.1542902606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
