cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.046502621503231666,0.060266698309668305,0.03917081303440928,6.0,-24302.33858382293,False,0.125,0.07612206468443562,0.05349737849676834,0.1352666983096683,0.14546150410890613,0.03917081303440928,0.001042078216784352,0.07611493154967364,True,True,0.4855538877,0.0851635939,0.4659590527,0.4793626967,0.121662277,0.4513700753,-0.0137582022,0.0811081847,-0.0324199498,0.7939705163,0.0608196196,0.8247263432,0.0963221713,0.0126131239,0.0989319459,0.7748502461,0.0705300867,0.8095974922,0.5,0.0,0.5,0.0764956533,0.0401240939,0.0340409473,8.5598453424,1.6413276645,9.0,1.7912469795,1.310421588,3.0,1.0,0.0,1.0,1.6626903129,1.3395750384,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.06497436955754264,0.00529199100513562,-0.017400863978170793,6.0,-21620.790632618126,False,0.10680004681646915,0.06518952268730428,0.035025630442457364,0.042791991005135616,0.055298727671395875,0.017400863978170793,0.05897925591630303,0.02776906983962181,True,True,0.4877238115,0.0860657798,0.4570220457,0.4824625878,0.1229511141,0.4386029225,-0.0116916081,0.0819674094,-0.040931385,0.7924662922,0.0615949861,0.8123180866,0.0883296023,0.014030689,0.078290239,0.773402459,0.0697675578,0.7902495265,0.5,0.0,0.5,0.077380715,0.0396263576,0.0429779543,8.4199383334,1.7375760741,9.0,1.6133973379,1.2792505265,2.4245396601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06762902258098748,0.03686557750448354,0.014340447825216854,6.0,-15076.085076144136,False,0.1,0.07702438250319699,0.03237097741901253,0.03686557750448354,0.04906068674408565,0.014340447825216854,0.06762902258098748,0.03686557750448354,True,True,0.4907230023,0.0897957177,0.4666174065,0.4867471462,0.1282795967,0.4523105808,-0.0088352359,0.0855197311,-0.0317929462,0.7888077265,0.064442139,0.8256410956,0.0491210042,0.0089059049,0.0387588404,0.7782942043,0.0670539522,0.8125339746,0.5,0.0,0.5,0.0805942522,0.0406681708,0.0333825935,8.3844009712,1.7719358721,9.0,0.7263581187,0.7725427392,0.9713694551,0.0,0.0,0.0,0.0,0.0,0.0,0.0154289593,0.0068413668,0.0216281163,0.0154289593,0.0068413668,0.0216281163,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.07158787238855481,0.0235860121276552,-0.008759879600268139,6.0,-22458.4754805161,False,0.10680004681646915,0.07537322761568531,0.028412127611445195,-0.0139139878723448,0.03163618266986086,0.008759879600268139,0.07531141542910107,0.0030519087914390565,True,True,0.4998478074,0.0869869896,0.4558461111,0.499782582,0.1242671281,0.4369230159,-0.0001449453,0.082844752,-0.0420513228,0.7895504693,0.067687024,0.8106866479,0.0904514138,0.0194116592,0.0600831062,0.7783587118,0.0698016731,0.7911085486,0.5,0.0,0.5,0.0767774321,0.0408899186,0.0441538889,8.484088553,1.591486889,9.0,1.6539908228,1.0673328478,0.627112512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.0679227551551576,0.01690715826465874,-0.007191452106715716,6.0,-24440.07144785184,False,0.125,0.06999537605051998,0.03207724484484241,-0.05809284173534125,0.06636058994405773,0.007191452106715716,0.06448249908292132,0.027227926481367563,True,True,0.5035059913,0.0820459535,0.4817517245,0.5050085589,0.117208505,0.473931035,0.0033390393,0.0781390033,-0.01737931,0.7936012,0.0661561286,0.8466937542,0.1019599611,0.0188223262,0.0756466463,0.7869199834,0.064864245,0.8336623907,0.5,0.0,0.5,0.0721681424,0.0391866008,0.0182482755,8.6138789671,1.3750546486,9.0,1.8260572219,1.0013936236,1.0158556593,1.0,0.0,1.0,1.5969848662,1.0723486572,0.7658556593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.05437622624616343,-0.06443196122209598,0.021722697233079808,6.0,-32411.612833404197,False,0.09013878188659974,0.08431044779681598,-0.004376226246163427,0.01056803877790402,0.011438304059994766,0.021722697233079808,0.0837731356683438,0.009503333520028462,True,True,0.0055068261,0.0141149226,0.0,0.4030133854,0.0962488869,0.4274827465,-0.0646577431,0.0641659246,-0.0483448356,1.2707799137,0.1747256974,1.3118803501,0.1146586317,0.0200746574,0.1082023531,1.2829766407,0.1789939084,1.3426742554,0.0,0.0,0.0,0.0055068261,0.0141149226,0.0,9.0,0.0,9.0,2.2697786906,1.1280497494,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.0368739334866537,0.018239456142578072,0.013520242549969716,6.0,-18681.794378275295,False,0.0625,0.04113836082241477,0.013126066513346302,0.05573945614257807,0.05726413007444691,0.013520242549969716,0.01855547310377612,0.03671592500605468,True,True,0.5266098949,0.0712829233,0.5000337773,0.5380141355,0.1018327476,0.5000482532,0.025342757,0.0678884984,3.21688e-05,0.4745537838,0.04449609,0.5232521892,0.0477356094,0.0051812079,0.055361446,0.4748266796,0.0463616144,0.5213104486,0.5,0.0,0.5,0.0661037839,0.0376779964,3.37773e-05,7.8446797649,2.4768411099,9.0,1.3830562386,1.3111545015,2.3361482375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03490753062261016,0.021796169253176886,0.017174807650881235,6.0,-12009.314758034729,False,0.05,0.04115347723196181,0.015092469377389846,0.021796169253176886,0.026511424443446712,0.017174807650881235,0.03490753062261016,0.021796169253176886,True,True,0.4556841515,0.0657361568,0.4346333459,0.5438345021,0.0939087954,0.5137619227,0.0292230014,0.0626058636,0.0091746151,0.4877413514,0.0256315075,0.4687872529,0.0249906047,0.0032889496,0.0240321569,0.4876951436,0.0275172269,0.4666047692,0.425,0.0,0.425,0.0612576984,0.0388619846,0.0096333459,7.7610090366,2.4875074509,9.0,0.3337197272,0.4735970442,0.3244670536,0.0,0.0,0.0,0.0,0.0,0.0,0.0016892757,0.0022938562,0.0060659681,0.0016892757,0.0022938562,0.0060659681,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03840527296169081,0.0169822831984574,0.014022904823178731,6.0,-18936.179080460297,False,0.0625,0.04199241519482522,0.011594727038309195,-0.020517716801542598,0.023567231442008663,0.014022904823178731,0.04091358828842709,0.009457337218248565,True,True,0.5400401438,0.0705907822,0.5092495383,0.5572002054,0.1008439746,0.5132136261,0.0381334703,0.0672293164,0.0088090841,0.4710499468,0.0497182458,0.5150647759,0.0496803864,0.0088064704,0.0422802083,0.4749967207,0.0450591946,0.5149035454,0.5,0.0,0.5,0.0674704203,0.0451000447,0.0092495383,7.9025582365,2.4062010083,9.0,1.3490528573,1.1241325899,0.4453833848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.013991577288698624,0.0642824062296891,0.1339980289617102,6.0,-22572.982666996046,False,0.09013878188659974,0.06578747590312611,0.03600842271130138,-0.010717593770310896,0.03756957974719935,0.1339980289617102,0.06124732569169924,0.024015767348126056,True,False,0.0319787321,0.0494089606,0.0,0.4536310487,0.1498832601,0.4948895969,-0.0309126342,0.0999221734,-0.0034069354,0.921458112,0.1161030183,0.8790714741,0.1142260426,0.0131276514,0.0945395231,0.9486150364,0.1095578002,0.870526135,0.0,0.0,0.0,0.0319787321,0.0494089606,0.0,8.6181573323,1.3131266081,9.0,2.0828739679,1.1073659216,2.7070032357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
