cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.058334245614841934,-0.03399846989655941,-0.0884474905533547,6.0,-24568.076933901346,False,0.125,0.06751873937478366,0.04166575438515807,0.041001530103440584,0.058456484322166206,0.0884474905533547,0.0670664784298092,0.007801771451657624,True,False,0.4811805744,0.0732364072,0.4772836141,0.4731151062,0.1046234389,0.4675480202,-0.0179232625,0.0697489592,-0.0216346532,0.8067740681,0.0559018899,0.8404736519,0.0851519827,0.0146442622,0.0960536376,0.7871255938,0.077535677,0.7642371655,0.5,0.0,0.5,0.0641827164,0.0399790074,0.0227163859,8.5394644755,1.5389128543,9.0,1.9302918532,1.1129757187,2.2592058526,1.0,0.0,1.0,1.7553541484,1.1785005949,1.7592058526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.053891293441453686,-0.03961329213980908,-0.08233330224764268,6.0,-22997.120389022635,False,0.10680004681646915,0.06688411188725413,0.04610870655854632,-0.0021132921398090837,0.04615711022334816,0.08233330224764268,0.06436914593494451,0.018168584825256597,True,False,0.4886659819,0.0755895796,0.424660591,0.4838085456,0.1079851137,0.3923722729,-0.0107943029,0.0719900758,-0.0717518181,0.8041415449,0.0585645633,0.7675399184,0.0787477683,0.015480721,0.0741480067,0.7870922601,0.0795731309,0.7601406574,0.5,0.0,0.5,0.0644427823,0.0411019746,0.075339409,8.6054110293,1.5336396644,9.0,1.8851214454,1.1001599865,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06614117073952903,0.007855147121538673,-0.029391827473204197,6.0,-14540.443595857603,False,0.1,0.06660598924343478,0.03385882926047097,0.007855147121538673,0.03475807323760543,0.029391827473204197,0.06614117073952903,0.007855147121538673,True,True,0.4888386535,0.0781871853,0.4787512002,0.4840552194,0.111695979,0.4696445717,-0.0106298538,0.074463986,-0.0202369522,0.8024023356,0.0609831188,0.8425163031,0.0442783236,0.0088284118,0.0450609624,0.7906720541,0.0778964085,0.7290294766,0.5,0.0,0.5,0.0670834311,0.0416848279,0.0212487998,8.6097044285,1.4510135575,9.0,0.5423585724,0.6157936195,0.4761947601,0.0,0.0,0.0,0.0,0.0,0.0,0.0139417683,0.0079305545,0.022623167,0.0139417683,0.0079305545,0.022623167,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.05259648184165244,-0.035516268551058126,-0.10165889482127888,6.0,-22288.762648780797,False,0.10680004681646915,0.06346491340819867,0.04740351815834756,-0.07301626855105812,0.08705440257051349,0.10165889482127888,0.03677702613979453,0.05172277624241593,True,False,0.4963862777,0.0734932695,0.4350721095,0.4948375396,0.104990385,0.4072458707,-0.0034416403,0.06999359,-0.0618360862,0.8040722311,0.061984475,0.7819185853,0.0795203584,0.0163748963,0.0461006649,0.7878727223,0.0790532041,0.765427649,0.5,0.0,0.5,0.0618961886,0.0397892132,0.0649278905,8.5553603841,1.5784749831,9.0,1.4905055442,1.309330996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06288346976622662,-0.0025343040097279765,-0.04549021717040702,6.0,-24135.432998835633,False,0.125,0.06293451729101972,0.037116530233773384,-0.07753430400972797,0.08596048577612583,0.04549021717040702,0.04878619340714451,0.039757525067518354,True,True,0.5027464074,0.0771650306,0.5128662049,0.5039234391,0.1102357579,0.5183802927,0.0026156261,0.0734905053,0.0122535285,0.7993966363,0.0655426257,0.8530976772,0.0863659829,0.0178697112,0.0742644891,0.7904312813,0.0794210376,0.7518385649,0.5,0.0,0.5,0.0650700752,0.0415676557,0.0128662049,8.6651611631,1.2551255429,9.0,1.7230887429,1.1850294443,0.7890202143,1.0,0.0,1.0,1.547971488,1.2345598755,0.5390202143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.054034032552150994,-0.0769727528333168,0.01620456368902971,6.0,-32852.5862191331,False,0.09013878188659974,0.09404510275705903,-0.0040340325521509915,-0.0019727528333167987,0.004490564816721088,0.01620456368902971,0.0940178901104739,0.0022622315886409623,True,True,0.0069273765,0.0168979789,0.0,0.4160951764,0.0910389192,0.4330274537,-0.0559365491,0.0606926128,-0.0446483642,1.2707799137,0.1747256974,1.3118803501,0.1006027814,0.0190237201,0.0996383801,1.2750550777,0.1932709309,1.2955127954,0.0,0.0,0.0,0.0069273765,0.0168979789,0.0,8.9742171882,0.4458264927,9.0,2.3857554916,1.0359751239,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.02972583768617329,0.01984714554448758,0.004138540126467009,6.0,-18906.68904657406,False,0.0625,0.03574261619424064,0.020274162313826713,0.05734714554448758,0.06082546144196551,0.004138540126467009,0.011872382822246084,0.03371321904729404,True,True,0.5164489567,0.0662733964,0.470203299,0.5234985096,0.0946762806,0.4574332843,0.015665673,0.0631175204,-0.0283778105,0.4822034549,0.0392016825,0.4983750582,0.0400799109,0.0067041601,0.0435825363,0.4820840284,0.0501148373,0.5022563338,0.5,0.0,0.5,0.0564240461,0.0384585267,0.029796701,8.080424781,2.2012677404,9.0,1.5086126818,1.2627336046,2.0922050539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.029349583574287994,0.0214403753988173,0.011545349926314433,6.0,-11477.760503555892,False,0.05,0.03634677087756663,0.02065041642571201,0.0214403753988173,0.029767925621338252,0.011545349926314433,0.029349583574287994,0.0214403753988173,True,True,0.4443183025,0.0651153899,0.4180986913,0.527597575,0.0930219856,0.4901409876,0.0183983833,0.062014657,-0.006572675,0.4888430635,0.031027429,0.4550952315,0.0220484751,0.0040275122,0.0167867206,0.4882200234,0.0425259761,0.4748391211,0.425,0.0,0.425,0.0564099057,0.0378303231,0.0069013087,7.7903065399,2.5643233302,9.0,0.3449476482,0.4135046138,0.303119253,0.0,0.0,0.0,0.0,0.0,0.0,0.0018496648,0.0034039194,0.0096593093,0.0018496648,0.0034039194,0.0096593093,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03172002172633069,0.030402245964921693,0.0130545722029074,6.0,-18055.592934146138,False,0.0625,0.04393695867980041,0.01827997827366931,-0.007097754035078306,0.01960958230121928,0.0130545722029074,0.04361736496001757,0.005289783736138943,True,True,0.5258236043,0.0669027771,0.4570424289,0.5368908633,0.0955753958,0.4386320412,0.0245939089,0.0637169305,-0.0409119725,0.4788434483,0.0432848141,0.4874078035,0.0411238459,0.0073237549,0.039467331,0.479556454,0.0507200791,0.4986702502,0.5,0.0,0.5,0.0585927435,0.0413488879,0.0429575711,7.9233675289,2.45578878,9.0,1.2112131826,1.1000107194,0.4452473391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02720964827091354,0.04489100150633288,0.05653966205220665,6.0,-20973.440308209712,False,0.09013878188659974,0.05249349459950641,0.02279035172908646,-0.03010899849366712,0.03776177858929745,0.05653966205220665,0.05244476825156006,0.0022612514916670943,True,False,0.0289512198,0.0461372693,0.0,0.4640444954,0.1324266773,0.4522316121,-0.0239703364,0.0882844515,-0.031845592,0.921458112,0.1161030183,0.8790714741,0.0927303965,0.0179315146,0.0682862848,0.9377808905,0.1261584415,0.8952451348,0.0,0.0,0.0,0.0289512198,0.0461372693,0.0,8.545680649,1.4679027255,9.0,2.0048543129,1.1174344044,0.090134716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.035326504696229354,-0.10669300981341541,0.03385542814999276,6.0,-26765.07598558059,False,0.075,0.11238932456909896,-0.035326504696229354,-0.03169300981341541,0.04745954914541393,0.03385542814999276,0.10669300981341541,0.035326504696229354,True,True,0.0065930513,0.0168155904,0.0,0.4177722827,0.091188674,0.481058124,-0.0548184782,0.0607924494,-0.0126279173,1.2707799137,0.1747256974,1.3118803501,0.0566308631,0.0092049241,0.0559582934,1.2705732626,0.1916520068,1.2880432606,0.0,0.0,0.0,0.0065930513,0.0168155904,0.0,8.973319326,0.4613519819,9.0,1.1287780223,1.4105556965,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0375,0.0,0.004498964630601777,-0.04338727402468179,-0.1036660516463297,6.0,-15282.772604361562,False,0.0375,0.04361990635065867,0.004498964630601777,-0.005887274024681789,0.0074094991861190385,0.1036660516463297,0.04338727402468179,0.004498964630601777,True,False,0.002518404,0.0115396547,0.0,0.4354462628,0.0584825519,0.3751246296,-0.0430358248,0.0389883679,-0.0832502469,1.1413779688,0.023411709,1.1148432493,0.0326265817,0.0052301582,0.037225537,1.1356934071,0.0701651492,1.1126306057,0.0,0.0,0.0,0.002518404,0.0115396547,0.0,7.1402576734,3.0299834197,9.0,0.3504920907,0.4034328923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.2866166845913145e-05,-2.9152557225517062e-05,-0.00012664064329063565,6.0,1791.4012801067265,False,0.0,3.186549610619489e-05,-1.2866166845913145e-05,-2.9152557225517062e-05,3.186549610619489e-05,0.00012664064329063565,0.0,3.186549610619489e-05,True,True,0.5678936921,0.0443291339,0.554732994,0.5969909887,0.0633273341,0.5781899914,0.0646606591,0.0422182228,0.0521266609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,7.4789e-06,2.54188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0375,0.0,-0.030954815398575763,0.014915813924439636,0.015132794138698724,6.0,-12076.079313360138,False,0.0375,0.03436105500982777,-0.030954815398575763,-0.022584186075560363,0.03831769900523044,0.015132794138698724,0.014915813924439636,0.030954815398575763,True,True,0.031173066,0.0424471566,0.0262399281,0.5049639794,0.101203914,0.5374856116,0.0033093196,0.067469276,0.0249904078,0.5528748882,0.0696618143,0.5274428725,0.0236095842,0.0056494421,0.0211500768,0.5573060889,0.0763883212,0.5424730182,0.0,0.0,0.0,0.031173066,0.0424471566,0.0262399281,7.5819868603,2.6635338197,9.0,1.1287113695,0.9805282363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
