cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06866519681424699,0.023937979063574016,-0.0023037615204761774,6.0,-23159.904870247425,False,0.125,0.07271819645169551,0.03133480318575302,0.09893797906357402,0.10378147036862644,0.0023037615204761774,0.040569370013253184,0.060349501339407405,True,True,0.4827607277,0.085755207,0.4680478113,0.4753724682,0.1225074386,0.4543540161,-0.0164183546,0.0816716257,-0.0304306559,0.7936165524,0.059028467,0.8276289105,0.0956774123,0.0134521227,0.0954145864,0.7740962303,0.0691895948,0.8021991253,0.5,0.0,0.5,0.0776550018,0.0402597656,0.0319521887,8.3386932479,1.9629088903,9.0,1.7361946649,1.285762992,3.0,1.0,0.0,1.0,1.6001354817,1.3286339988,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.0635795772038883,0.04857550814054837,0.022653887429613606,6.0,-22176.908151441876,False,0.10680004681646915,0.08001214050716099,0.03642042279611171,0.08607550814054837,0.09346357738874081,0.022653887429613606,0.042475413638290015,0.0678069455498022,True,True,0.4893117831,0.0866462086,0.4587090798,0.4847311187,0.123780298,0.4410129711,-0.0101792542,0.0825201987,-0.0393246859,0.7911656596,0.0625404146,0.814659059,0.0885086791,0.0141251227,0.0847172588,0.7725278487,0.0707594156,0.7884601951,0.5,0.0,0.5,0.0778452468,0.0395211461,0.0412909202,8.4313827098,1.8008294893,9.0,1.6318364754,1.2806773949,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07107510202393177,0.035104134392931675,0.004830780591590811,6.0,-15850.397866347328,False,0.1,0.07927149789924068,0.02892489797606823,0.035104134392931675,0.04548571176098011,0.004830780591590811,0.07107510202393177,0.035104134392931675,True,True,0.4909351451,0.0919823987,0.4725333848,0.4870502072,0.1314034267,0.4607619783,-0.0086331952,0.0876022845,-0.0261586811,0.7873620202,0.0653272189,0.8338651061,0.0487389226,0.0090132966,0.0386182033,0.7772724644,0.0677097884,0.8210042119,0.5,0.0,0.5,0.0824645542,0.041743629,0.0274666152,8.4737209498,1.5535306787,9.0,0.6727772099,0.7605586938,0.9930141383,0.0,0.0,0.0,0.0,0.0,0.0,0.0147072735,0.0071889056,0.0211669886,0.0147072735,0.0071889056,0.0211669886,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0685176601431022,0.0037916907707606674,-0.017763716221602294,6.0,-22105.62518126615,False,0.10680004681646915,0.06862249390969938,0.0314823398568978,-0.03370830922923933,0.04612361471046298,0.017763716221602294,0.06548643588361461,0.020507885938047345,True,True,0.5000570817,0.0866476372,0.4486216336,0.5000815453,0.1237823389,0.4266023338,5.43636e-05,0.0825215592,-0.0489317775,0.7896882661,0.0671176712,0.8006708026,0.089792915,0.0189477448,0.0574709252,0.778417691,0.0686970115,0.782487154,0.5,0.0,0.5,0.0764960805,0.040696019,0.0513783664,8.5948950884,1.4432799918,9.0,1.5276245821,1.2161527022,0.4997823474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06525068517652194,0.0317281110239925,-0.005608443049333944,6.0,-23995.24689081775,False,0.125,0.07255566790510838,0.03474931482347807,-0.0432718889760075,0.05549748873825835,0.005608443049333944,0.07123741475561304,0.013767922286719159,True,True,0.5059306835,0.0810407148,0.4743220195,0.508472405,0.1157724497,0.4633171707,0.00564827,0.0771816331,-0.0244552195,0.7932095681,0.0669073986,0.8363528848,0.1011079182,0.0194051235,0.0733533651,0.7869860431,0.0656724131,0.8230060935,0.5,0.0,0.5,0.0713454738,0.0388920793,0.0256779805,8.6161588,1.3447066341,9.0,1.7939668778,1.0171518402,1.0115031139,1.0,0.0,1.0,1.5681318662,1.0757936631,0.7615031139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.033672450825078006,-0.09523478245552099,-0.004594705435086999,6.0,-33125.738012441216,False,0.09013878188659974,0.1010123642625877,0.016327549174921997,-0.02023478245552099,0.02600067851194957,0.004594705435086999,0.09791824385337189,0.02480957989546179,True,True,0.0063488574,0.0150091349,0.0,0.4047715027,0.0980487719,0.4230014514,-0.0634856649,0.065365848,-0.0513323657,1.2707799137,0.1747256974,1.3118803501,0.1147830969,0.0205409961,0.1120307371,1.2828861525,0.1778917408,1.3497185707,0.0,0.0,0.0,0.0063488574,0.0150091349,0.0,9.0,0.0,9.0,2.402789549,1.0885944854,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.0358180246977722,0.025146107619302496,0.024993135815254492,6.0,-19025.073690401456,False,0.0625,0.043763656401765175,0.014181975302227805,0.06264610761930249,0.0642313258723672,0.024993135815254492,0.013566755186636264,0.04160770091410531,True,True,0.5248943494,0.0708295896,0.4974469292,0.5355633563,0.101185128,0.4963527559,0.0237089042,0.067456752,-0.002431496,0.4748791541,0.0433656599,0.5211441517,0.0473329877,0.0058259334,0.0518882088,0.4749439768,0.0456823477,0.517642796,0.5,0.0,0.5,0.0660220857,0.0357441407,0.0025530708,7.8924303753,2.3525701061,9.0,1.3899179781,1.3180973536,1.9168476011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.0344022540777658,0.019285727223676746,0.012623692253804183,6.0,-11824.798910744703,False,0.05,0.03943924898089744,0.015597745922234202,0.019285727223676746,0.024803809231661172,0.012623692253804183,0.0344022540777658,0.019285727223676746,True,True,0.4554432348,0.0660853245,0.433367691,0.5434903355,0.0944076064,0.5119538442,0.028993557,0.0629384043,0.0079692295,0.4874646973,0.0255667977,0.4677377343,0.0248862128,0.0032013281,0.022311626,0.4874520537,0.0275031163,0.4654987156,0.425,0.0,0.425,0.061414338,0.0390171725,0.008367691,7.807746602,2.4435831673,9.0,0.3126414524,0.4228388406,0.231389886,0.0,0.0,0.0,0.0,0.0,0.0,0.0016001239,0.0023143228,0.0058748049,0.0016001239,0.0023143228,0.0058748049,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03896983967320735,0.012234519285822414,0.005161054136658978,6.0,-18511.97428647807,False,0.0625,0.040845218402043665,0.011030160326792653,-0.025265480714177585,0.02756825987532093,0.005161054136658978,0.03851658331005933,0.013594288375266477,True,True,0.5404244175,0.0709306437,0.5089246514,0.5577491679,0.101329491,0.512749502,0.0384994453,0.067552994,0.008499668,0.4706684584,0.0497877981,0.5153529644,0.050185496,0.0087918803,0.0392681807,0.4749839532,0.0450278944,0.5141875744,0.5,0.0,0.5,0.0680365701,0.0451255458,0.0089246514,7.9105435482,2.3783719188,9.0,1.2902937706,1.1584535527,0.3932918193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.022170060688062616,0.055750480050925866,0.11946816259835824,6.0,-21987.61317931108,False,0.09013878188659974,0.05999689672658964,0.027829939311937387,-0.01924951994907413,0.03383858064954736,0.11946816259835824,0.058684940349842514,0.012478196702908948,True,False,0.0318431402,0.0490652128,0.0129780626,0.4529261068,0.1498790667,0.5185400895,-0.0313825955,0.0999193778,0.0123600597,0.921458112,0.1161030183,0.8790714741,0.1135510008,0.0143598715,0.1001010165,0.9481835826,0.1095613721,0.8690894842,0.0,0.0,0.0,0.0318431402,0.0490652128,0.0129780626,8.5570558662,1.4151539703,9.0,2.0373451304,1.1632433582,0.9886108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
