cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.055121517944221626,0.012119234012811418,-0.025578341233170782,6.0,-24097.393558377098,False,0.125,0.056438086196578564,0.04487848205577838,0.08711923401281141,0.0979991790098765,0.025578341233170782,0.03682567394769046,0.0427682979767821,True,True,0.4809898483,0.0712306125,0.4735952565,0.4728426404,0.1017580178,0.4622789379,-0.0181049064,0.0678386785,-0.0251473747,0.8079569179,0.0555127452,0.8353419304,0.0849190196,0.0143982976,0.0856108442,0.7885899713,0.0776160358,0.7616080046,0.5,0.0,0.5,0.0627608637,0.0386815202,0.0264047435,8.6261880443,1.3676952284,9.0,1.8533636628,1.2331684536,3.0,1.0,0.0,1.0,1.6995785561,1.2635535073,2.6527693978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.059219103490069785,-0.03976768464675006,-0.08308804324116974,6.0,-23294.570432439417,False,0.10680004681646915,0.07133281825591188,0.04078089650993022,-0.002267684646750062,0.04084389689795459,0.08308804324116974,0.0694119407644019,0.016442428033904166,True,False,0.48722362,0.0754920525,0.4265924923,0.4817480286,0.1078457893,0.3951321319,-0.0121679809,0.0718971928,-0.0699119121,0.8051092231,0.0580430468,0.7702058554,0.077957912,0.0147677057,0.0722058192,0.7880350733,0.0793664027,0.7569921613,0.5,0.0,0.5,0.0643638565,0.041467817,0.0734075077,8.6408330908,1.3672915678,9.0,1.8806317639,1.1382143735,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06069782887226776,0.008163062063080527,-0.04178150252682237,6.0,-14726.439744337365,False,0.1,0.06124428146409105,0.039302171127732245,0.008163062063080527,0.04014095461743847,0.04178150252682237,0.06069782887226776,0.008163062063080527,True,True,0.4894129866,0.0766046356,0.4999076951,0.4848756951,0.1094351937,0.4998681359,-0.0100828699,0.0729567958,-8.79094e-05,0.8034187575,0.060031684,0.8720082045,0.0435383018,0.0087770943,0.046950575,0.7915775084,0.0770015364,0.7300219536,0.5,0.0,0.5,0.0656312857,0.0409009705,9.23049e-05,8.5902092165,1.4867052943,9.0,0.558420645,0.6041267557,0.1239303918,0.0,0.0,0.0,0.0,0.0,0.0,0.0137180954,0.0079755185,0.0219810324,0.0137180954,0.0079755185,0.0219810324,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.0603576931433567,-0.00753676051909356,-0.06419802720309864,6.0,-21900.796570196737,False,0.10680004681646915,0.060826424197956724,0.03964230685664331,-0.045036760519093555,0.05999851907314424,0.06419802720309864,0.053868335888992286,0.028249889721209193,True,False,0.4965670279,0.0741583204,0.4449976876,0.4950957541,0.1059404577,0.4214252681,-0.0032694972,0.0706269718,-0.0523831546,0.8033762948,0.0625003156,0.7956510782,0.0800860931,0.0162930973,0.0550889932,0.7891600154,0.0796356592,0.7903199196,0.5,0.0,0.5,0.0626438721,0.0398370063,0.0550023124,8.5483922779,1.5601142245,9.0,1.5109999119,1.2121055842,0.5594384209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06152310507621946,-0.028752897806363763,-0.07289884380876188,6.0,-23726.23060039749,False,0.125,0.06791039383248149,0.03847689492378054,-0.10375289780636376,0.11065773920604655,0.07289884380876188,0.03196674537715732,0.059916181290822684,True,False,0.5003512015,0.0753063399,0.4989995397,0.5005017164,0.1075804855,0.498570771,0.0003344776,0.0717203237,-0.0009528194,0.8026813817,0.0641430549,0.8707405329,0.085272703,0.0170824977,0.0733869895,0.7934717649,0.0781397898,0.7242937088,0.5,0.0,0.5,0.0631318781,0.0410552571,0.0010004603,8.5507190129,1.6089410312,9.0,1.631951812,1.257661758,0.0,1.0,0.0,1.0,1.4812880867,1.2769421407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.05536537011520476,-0.07825275506452219,0.022683799454012776,6.0,-33083.47908389823,False,0.09013878188659974,0.09585832192971933,-0.005365370115204757,-0.003252755064522189,0.006274361480095569,0.022683799454012776,0.09582140955116938,0.0026599539110245163,True,True,0.0074173834,0.01751656,0.0,0.416611419,0.0942217611,0.4873899673,-0.0555923873,0.0628145074,-0.0084066885,1.2707799137,0.1747256974,1.3118803501,0.10169591,0.0189849848,0.1005547494,1.2744912499,0.1926829467,1.2930625677,0.0,0.0,0.0,0.0074173834,0.01751656,0.0,8.9742171882,0.4458264927,9.0,2.3637519453,1.0676980695,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.029915089611639134,0.03192183415268766,0.024026682983767127,6.0,-19221.789734906637,False,0.0625,0.04374832662107313,0.02008491038836087,0.06942183415268766,0.0722689053634532,0.024026682983767127,0.004778971197698715,0.043486521089133603,True,True,0.5155801241,0.0672457977,0.4664445432,0.5222573202,0.0960654252,0.4520636331,0.0148382135,0.0640436168,-0.0319575779,0.482426669,0.0394679445,0.4952405393,0.0404907006,0.0066794279,0.0429354981,0.4827606025,0.0506441239,0.5062434673,0.5,0.0,0.5,0.056470811,0.0396961594,0.0335554568,7.9385948795,2.3562115125,9.0,1.5776853219,1.2549492589,2.177527656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.0320448695559156,0.012229573456055255,-0.0006990669829452697,6.0,-11613.199315374713,False,0.05,0.03429921473988432,0.0179551304440844,0.012229573456055255,0.021724391272970982,0.0006990669829452697,0.0320448695559156,0.012229573456055255,True,True,0.4440100059,0.0651395373,0.4124472456,0.5271571512,0.0930564819,0.4820674937,0.0181047675,0.0620376546,-0.0119550042,0.488858132,0.0311497101,0.4504253566,0.0219026147,0.0039151178,0.0161591023,0.4882320489,0.0425955869,0.4729482234,0.425,0.0,0.425,0.056365651,0.0377816495,0.0125527544,7.9412500949,2.4286409193,9.0,0.3022830508,0.3633522974,0.2604218096,0.0,0.0,0.0,0.0,0.0,0.0,0.001864653,0.0034259517,0.0099333596,0.001864653,0.0034259517,0.0099333596,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.03179957657835473,0.03453054187313178,0.024209613220946242,6.0,-18525.213277596446,False,0.0625,0.04694221333314774,0.018200423421645275,-0.0029694581268682185,0.018441070855413945,0.024209613220946242,0.04615798638656285,0.008544687551492588,True,True,0.5247700235,0.0666163308,0.4659052728,0.5353857479,0.0951661869,0.4512932468,0.0235904986,0.0634441246,-0.0324711688,0.4793478749,0.0427611822,0.4947910011,0.0411079576,0.0077645812,0.0383265689,0.4803590739,0.0507193925,0.5029010177,0.5,0.0,0.5,0.0581260394,0.0408980824,0.0340947272,8.0346423948,2.2644350443,9.0,1.2846720759,1.1016627846,0.4777159772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.031765280640302436,0.02992582462196611,0.05191228531964098,6.0,-20788.10603982687,False,0.09013878188659974,0.04364158605575473,0.018234719359697567,-0.04507417537803389,0.048622898680937214,0.05191228531964098,0.04251999858933483,0.009830450316481453,True,False,0.02794242,0.0441814725,0.0,0.4632299751,0.1298632999,0.4527419247,-0.0245133499,0.0865755333,-0.0315053836,0.921458112,0.1161030183,0.8790714741,0.0921267729,0.0170623487,0.0702896267,0.9373597674,0.126519692,0.8995956182,0.0,0.0,0.0,0.02794242,0.0441814725,0.0,8.6393699936,1.2579694837,9.0,2.007062591,1.1690148304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
