cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.00522434160052259,-0.0037609203474322627,-0.014346513226976443,6.0,-15741.531254023746,False,0.125,0.006437256171590576,0.09477565839947741,0.07123907965256773,0.11856404132281981,0.014346513226976443,0.0064360254888774305,0.00012586868236774405,True,True,0.186409608,0.0359257861,0.1647006733,0.5282042019,0.0513225516,0.497191438,0.0188028012,0.0342150344,-0.0018723747,0.4662084246,0.1060017417,0.2763006091,0.1545016063,0.0143590259,0.1370865703,0.4772414302,0.1181120844,0.2778230906,0.1666666667,0.0,0.1666666667,0.03401055,0.0228851114,0.0019659934,6.2033121082,2.725886218,7.4882918936,1.9060136442,0.7607305231,1.1060828114,1.0,0.0,1.0,1.5629759959,0.8479964801,0.8560828114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.014702909884358064,0.0001563472065198061,-0.002317869603703097,6.0,-15444.659497527316,False,0.10680004681646915,0.014703741140150033,0.08529709011564195,0.03765634720651981,0.09323944480279747,0.002317869603703097,0.013711866350656795,0.005308928771255692,True,True,0.3049467365,0.0487794937,0.2873561253,0.5388127982,0.069684991,0.5136833536,0.0258751988,0.0464566606,0.0091222357,0.4894402981,0.0676886007,0.3778788149,0.1348371721,0.0169677519,0.1124717295,0.492842448,0.0847934088,0.3587360382,0.2777777778,0.0,0.2777777778,0.0459468804,0.0317249981,0.0095783475,7.0818077018,2.8209252171,9.0,1.6106196291,1.0221173885,0.9217564164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.05714679423909311,0.07023613845784195,0.05630213698352793,6.0,-15820.27366457052,False,0.1,0.0905476186173573,0.0428532057609069,0.07023613845784195,0.08227704655282522,0.05630213698352793,0.05714679423909311,0.07023613845784195,True,False,0.4915376491,0.0914333002,0.4620277055,0.4879109273,0.1306190003,0.4457538649,-0.0080593818,0.0870793335,-0.03616409,0.7866593577,0.064758526,0.819265902,0.0494270496,0.0086643127,0.0395227671,0.7770065854,0.0675147388,0.8080581427,0.5,0.0,0.5,0.0824436348,0.0404315082,0.0379722945,8.4974925872,1.6311662044,9.0,0.9180030881,1.0139407139,1.3861867835,0.0,0.0,0.0,0.0,0.0,0.0,0.0143117129,0.0075936054,0.0199782659,0.0143117129,0.0075936054,0.0199782659,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.014113399729906927,0.005535421453147067,0.0010520226259456884,6.0,-16000.178307601303,False,0.10680004681646915,0.0151601102436657,0.08588660027009308,-0.03196457854685293,0.09164192483592148,0.0010520226259456884,0.01515840419307814,0.00022743113104564154,True,True,0.3214284842,0.045946205,0.3115046819,0.5623581521,0.0656374357,0.5481812917,0.0415721014,0.0437582905,0.0321208611,0.4960801972,0.0605251902,0.3987806141,0.1465108338,0.0288681737,0.1058883592,0.5132465535,0.0823187957,0.3838714957,0.2777777778,0.0,0.2777777778,0.0498392577,0.0391469835,0.0337269042,7.2303641241,2.7567984329,9.0,1.6668566464,0.8230515277,0.4597477002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.006628696164671406,-0.0037595936166767187,-0.014239742560092417,6.0,-15833.576282982605,False,0.125,0.007620640196603284,0.0933713038353286,-0.07875959361667671,0.12215266663717707,0.014239742560092417,0.003047200761731094,0.0069848925921442186,True,True,0.2200507728,0.0369158032,0.2113209686,0.5762630087,0.0527368616,0.5637918599,0.0508420058,0.0351579078,0.0425279066,0.474584041,0.0922502216,0.3137655258,0.1732930147,0.033297206,0.1374069601,0.515951586,0.1167430452,0.316713959,0.1666666667,0.0,0.1666666667,0.054203458,0.035701883,0.0446543019,6.4144250533,2.6849546412,9.0,1.9112153878,0.6884911526,0.8643178943,1.0,0.0,1.0,1.5632213191,0.7754448864,0.4336096836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.07868978403939042,-0.022867239549122762,0.0563287547162572,6.0,-30584.355620172642,False,0.09013878188659974,0.08194505937982391,-0.028689784039390417,0.05213276045087724,0.059505700739134325,0.0563287547162572,0.06267593204511233,0.05278939570632843,True,False,0.2478008106,0.0628926377,0.1923441689,0.454001158,0.0898466253,0.3747773841,-0.0306658947,0.0598977502,-0.0834817439,0.8260069215,0.1135716968,0.8527222276,0.1479519067,0.0250932741,0.1524181515,0.8613465744,0.1106677958,0.9176770449,0.28,0.0,0.28,0.0609414778,0.0357548313,0.0876558311,8.9793719545,0.3566922505,9.0,2.3449367066,1.0818181162,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.0040993933827714575,-0.0054790111321802795,-0.010207787662590414,6.0,-8157.226290051076,False,0.0625,0.006842849486381083,0.04590060661722854,0.03202098886781972,0.05596614526571041,0.010207787662590414,0.006566921385525334,0.0019235728760813493,True,True,0.1963677787,0.0291523245,0.1758650775,0.5781444458,0.0416461779,0.5488548726,0.0520962972,0.0277641186,0.0325699151,0.2799322202,0.0617451321,0.1710623652,0.0827689493,0.005642987,0.0781576261,0.3038569473,0.0729737264,0.184031859,0.1416666667,0.0,0.1416666667,0.0547011121,0.0291523245,0.0341984108,2.7935994828,2.7259838372,1.7582542964,1.0747777153,0.6392199888,0.6297137657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03340137756339492,0.025579670854992118,0.0219427959457202,6.0,-12290.089745586778,False,0.05,0.042071030224873206,0.016598622436605086,0.025579670854992118,0.030493176742391125,0.0219427959457202,0.03340137756339492,0.025579670854992118,True,True,0.4558517611,0.0668297176,0.4336659187,0.5440739445,0.0954710251,0.5123798838,0.0293826297,0.0636473501,0.0082532559,0.4871876875,0.0260331146,0.4679850042,0.024977531,0.0032796071,0.0239819307,0.4872858231,0.027980066,0.4663673043,0.425,0.0,0.425,0.0621753031,0.0393989087,0.0086659187,7.9674023698,2.2402136628,9.0,0.361777949,0.4952437868,0.3597257333,0.0,0.0,0.0,0.0,0.0,0.0,0.0016351712,0.0023338288,0.0049194572,0.0016351712,0.0023338288,0.0049194572,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.00364739859785501,-0.0037548566830619425,-0.008186133602873458,6.0,-8760.090562748945,False,0.0625,0.005234736406159304,0.04635260140214499,-0.04125485668306194,0.06205261361688252,0.008186133602873458,0.0006650048684468428,0.00519232450516256,True,True,0.2154856091,0.0298675464,0.1955884042,0.6054556321,0.0426679235,0.5770310536,0.0703037547,0.0284452823,0.0513540357,0.2821242752,0.057618035,0.180555895,0.0873516521,0.0128983091,0.0694086775,0.3146553534,0.0734137587,0.1913245022,0.1416666667,0.0,0.1416666667,0.0738189425,0.0298675464,0.0539217375,3.1785667186,3.014535964,1.9821185736,1.1192729617,0.7254385637,0.340723549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.01873267210717996,0.031250935655660825,0.06566486581724318,6.0,-16630.095526520963,False,0.09013878188659974,0.03643533976278211,0.03126732789282004,-0.04374906434433917,0.05377384517181426,0.06566486581724318,0.0363933671043012,0.0017483747999036672,True,False,0.2995832184,0.0739907508,0.3186665095,0.5279760262,0.1057010725,0.5552378707,0.0186506842,0.0704673817,0.0368252471,0.5989477444,0.0754669564,0.5713964105,0.1644213371,0.0223757297,0.1283877194,0.6605526245,0.0735691598,0.5790708065,0.28,0.0,0.28,0.0658158138,0.0390693268,0.0386665095,7.5138828441,2.5523828526,9.0,1.6669588556,0.8890810432,0.526688287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
