cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.003377536891348587,-0.0022500735505310942,-0.017056740430896628,6.0,-18364.705598343164,False,0.125,0.004058397027795615,0.09662246310865141,0.0727499264494689,0.12094813837172459,0.017056740430896628,0.004052073643397526,0.00022646329438427668,True,True,0.1788068088,0.051689501,0.2106493937,0.5173430601,0.0738421442,0.5628324673,0.0115620401,0.0492280962,0.0418883115,0.4682851415,0.1086242949,0.3132138848,0.118447797,0.018723633,0.1301829368,0.4704348387,0.115108484,0.2644306123,0.1666666667,0.0,0.1666666667,0.0429309844,0.0312428895,0.0439827271,7.6074404608,2.4671883601,9.0,1.9784526143,0.9034285986,1.1258581494,1.0,0.0,1.0,1.6993873996,0.9751862753,0.6258581494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.010486307427121616,-0.017354744466222084,-0.04610958135597332,6.0,-17623.1100593309,False,0.10680004681646915,0.020276829114631606,0.08951369257287839,0.020145255533777915,0.0917525611552778,0.04610958135597332,0.01591229321383994,0.012567765259613796,True,True,0.2937309516,0.0540199444,0.2461699174,0.5227902483,0.0771713491,0.4548459137,0.0151934988,0.0514475661,-0.0301027242,0.4902270982,0.0686997756,0.3427784145,0.1065496488,0.0195107786,0.0874316096,0.4915635061,0.0852635601,0.3348066211,0.2777777778,0.0,0.2777777778,0.0451837195,0.0336316761,0.0316078604,7.806718636,2.3373983263,9.0,1.8162732689,0.9219606572,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.058827323062282694,0.03663552286513693,0.00710328124697283,6.0,-14591.168374463814,False,0.1,0.06930234825946482,0.04117267693771731,0.03663552286513693,0.05511216618696465,0.00710328124697283,0.058827323062282694,0.03663552286513693,True,True,0.4888849037,0.0770261874,0.4953721828,0.484121291,0.1100374105,0.4933888325,-0.010585806,0.0733582737,-0.004407445,0.8025761882,0.0602490352,0.8656787276,0.0445352798,0.0087660092,0.043294318,0.7912318613,0.0771849836,0.7641123533,0.5,0.0,0.5,0.0662428677,0.0408468039,0.0046278172,8.5863333896,1.5452133857,9.0,0.6549068892,0.6488134599,0.9551723821,0.0,0.0,0.0,0.0,0.0,0.0,0.0130184251,0.0080629848,0.0234342644,0.0130184251,0.0080629848,0.0234342644,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.007340880876159331,-0.006336867401760039,-0.028797566259613234,6.0,-17296.401214636204,False,0.10680004681646915,0.009697650256915373,0.09265911912384067,-0.04383686740176004,0.10250552814558632,0.028797566259613234,0.004648458262411319,0.008510949200181537,True,True,0.3033652388,0.0539047865,0.2694545964,0.5365535158,0.0770068378,0.4881097409,0.0243690105,0.0513378919,-0.0079268394,0.4916260339,0.0662545823,0.3625290692,0.1114880903,0.0250399087,0.0770892575,0.4982336285,0.0862018549,0.3547298312,0.2777777778,0.0,0.2777777778,0.0492336332,0.0337119197,0.0083231814,7.7300518097,2.5341854438,9.0,1.7574445221,0.9053180146,0.6258706879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.005257622291986587,0.008031521877095138,0.015477128568975354,6.0,-17685.359935126016,False,0.125,0.009599371637115217,0.09474237770801341,-0.06696847812290486,0.11602109806352405,0.015477128568975354,0.009025010959846352,0.003270644126484158,True,True,0.2056477142,0.0487439716,0.2222825377,0.5556872108,0.0696342452,0.5794512443,0.0371248072,0.0464228301,0.0529674962,0.4720802071,0.099228768,0.3228120506,0.1364793213,0.0292079988,0.1289906055,0.5000625571,0.1176139678,0.2889647484,0.1666666667,0.0,0.1666666667,0.0507968214,0.0362654074,0.055615871,7.4378862749,2.5160892806,3.9824100704,1.9541742006,0.8428965204,0.5801938227,1.0,0.0,1.0,1.6279239437,0.8762707413,0.0801938227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.09405345524141319,0.019557458416962225,0.07890496951616877,6.0,-29544.13519664018,False,0.09013878188659974,0.09606532476695075,-0.044053455241413186,0.09455745841696223,0.10431596167884728,0.07890496951616877,0.03589868104573915,0.08910573113866475,True,False,0.2526343181,0.0602328794,0.2877243996,0.4609061687,0.0860469705,0.5110348566,-0.0260625542,0.057364647,0.007356571,0.8260069215,0.1135716968,0.8527222276,0.125090064,0.0196163787,0.1339377016,0.8502143389,0.1224576497,0.8610717058,0.28,0.0,0.28,0.0542789586,0.0378242642,0.0077243996,8.918134532,0.6849109518,9.0,2.1596254724,1.1949154393,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.0018598612539998498,-0.0008423767861909106,-0.005359661859091425,6.0,-11469.596389059423,False,0.0625,0.002041735177255665,0.04814013874600015,0.03665762321380909,0.06050829941561521,0.005359661859091425,0.001993315074914426,0.0004420153234471814,True,True,0.1791055629,0.0496275671,0.1252814599,0.5534841374,0.0708965244,0.4765925617,0.0356560916,0.0472643496,-0.0156049589,0.2809338184,0.0647474271,0.1477806866,0.0637044949,0.0103409205,0.0531081818,0.2993477131,0.0734376029,0.1665288657,0.1416666667,0.0,0.1416666667,0.0502138267,0.0366488467,0.0163852068,5.4986118685,3.4238745335,1.2429663893,1.2047374948,0.8140382284,0.7523839072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03096039993740984,0.020316315393697482,0.004221003517406248,6.0,-11233.600847819715,False,0.05,0.03703105501414396,0.019039600062590162,0.020316315393697482,0.027843473952069497,0.004221003517406248,0.03096039993740984,0.020316315393697482,True,True,0.4448485222,0.0643403883,0.4160931482,0.5283550317,0.0919148404,0.4872759259,0.0189033544,0.0612765603,-0.008482716,0.4887711847,0.0311370481,0.4534374177,0.0217985013,0.0040598635,0.0165000968,0.4882154736,0.0427543386,0.4723751843,0.425,0.0,0.425,0.0563159469,0.0369074994,0.0089068518,7.6248810461,2.6488529616,9.0,0.3245412107,0.4026260304,0.2598577044,0.0,0.0,0.0,0.0,0.0,0.0,0.0017882636,0.0032944075,0.0094498834,0.0017882636,0.0032944075,0.0094498834,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.0027410001271158785,-0.0017475116856892033,-0.0020882508811653397,6.0,-11494.242085193817,False,0.0625,0.0032506735899609455,0.04725899987288412,-0.0392475116856892,0.06143110158953339,0.0020882508811653397,0.0011442930902791808,0.0030426094248208898,True,True,0.1896058289,0.0508058951,0.1369882823,0.5684845175,0.0725798502,0.4933165938,0.045656345,0.0483865668,-0.0044556041,0.2816306444,0.062945212,0.1530081928,0.0652543873,0.0123936744,0.0618563183,0.3027701271,0.0758994652,0.1975405663,0.1416666667,0.0,0.1416666667,0.0579246276,0.0390402328,0.0046783843,5.4935169617,3.4166534427,5.1407830188,1.1970949563,0.8457235912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.01722491003266875,-0.010732979465175804,-0.0026146418994520046,6.0,-17023.80066716499,False,0.09013878188659974,0.020295181049535333,0.03277508996733125,-0.0857329794651758,0.09178425949117264,0.0026146418994520046,0.0006242822519617148,0.02028557727803928,True,True,0.2910534678,0.0705145699,0.2921078659,0.5157906683,0.1007350999,0.5172969513,0.0105271122,0.0671567333,0.0115313008,0.5989477444,0.0754669564,0.5713964105,0.1225113491,0.026892993,0.0937589332,0.6369775226,0.0844835495,0.5923439264,0.28,0.0,0.28,0.0585495525,0.0408219748,0.0121078659,7.7432765328,2.408568522,9.0,1.8734918168,1.087150273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
