cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.00515792684909756,-0.006585760551121657,-0.02050601234089644,6.0,-15651.306422337273,False,0.125,0.008365192849979714,0.09484207315090244,0.06841423944887834,0.11694240889826749,0.02050601234089644,0.008077797809951043,0.00217385233143879,True,True,0.186277147,0.0351996332,0.1719987124,0.5280149719,0.0502851903,0.5076172082,0.018676648,0.0335234602,0.0050781388,0.4660898914,0.1061522562,0.2820418775,0.1550015832,0.0144507913,0.1431557387,0.4769274808,0.1182264453,0.284059763,0.1666666667,0.0,0.1666666667,0.0332320086,0.0227863715,0.0053320457,6.1226157872,2.8336989844,5.5134834689,1.8909375522,0.7685475322,1.2045848921,1.0,0.0,1.0,1.5498702498,0.8523920959,0.8998211067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.01456521075999035,-0.002116826270135636,-0.0073682824238505695,6.0,-15185.077290518793,False,0.10680004681646915,0.01471823080199774,0.08543478924000966,0.03538317372986436,0.09247200763302715,0.0073682824238505695,0.014381099137236304,0.0031321407289354366,True,True,0.3040981441,0.0478580322,0.2796775906,0.5376005234,0.0683686175,0.5027140183,0.0250670156,0.0455790783,0.0018093456,0.4894557905,0.0675984398,0.3712786138,0.1344171954,0.0166352112,0.1110770404,0.4915920369,0.0843527274,0.351016134,0.2777777778,0.0,0.2777777778,0.0452665733,0.0305628906,0.0018998128,6.9183316776,2.9035628782,9.0,1.6169840493,1.0067367971,1.1263560986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06647925476189244,0.04224761490605102,0.022491445204510113,6.0,-15071.78522993329,False,0.1,0.07876771089060912,0.033520745238107566,0.04224761490605102,0.053930523143838456,0.022491445204510113,0.06647925476189244,0.04224761490605102,True,True,0.4925870067,0.0900162683,0.4566383574,0.4894100096,0.128594669,0.4380547963,-0.0070599936,0.0857297793,-0.0412968025,0.7873742565,0.0648558468,0.8117857575,0.0487834468,0.0093698918,0.0382473245,0.7773092063,0.067831386,0.799154222,0.5,0.0,0.5,0.0807426175,0.0404785219,0.0433616426,8.5041082081,1.5675346987,9.0,0.7455461299,0.7717127473,0.8428639533,0.0,0.0,0.0,0.0,0.0,0.0,0.0147928776,0.006596124,0.0206483824,0.0147928776,0.006596124,0.0206483824,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.01588943327997945,0.005224386239797672,0.004937567792118254,6.0,-16292.982549013948,False,0.10680004681646915,0.016726275782178942,0.08411056672002055,-0.032275613760202326,0.09009052490445814,0.004937567792118254,0.01671214447178616,0.0006874072269427242,True,True,0.3216505697,0.0456303335,0.302853502,0.562675417,0.0651861907,0.5358224632,0.0417836114,0.0434574605,0.0238816421,0.4960236882,0.0605658466,0.3912686706,0.1480489517,0.0298692258,0.1022990942,0.5130103471,0.0834714642,0.3756326735,0.2777777778,0.0,0.2777777778,0.049729743,0.0391650592,0.0250757243,7.353555036,2.7278356206,9.0,1.6836527387,0.828763684,0.5887653181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.00748418063464821,-0.0029857909496940963,-0.010501802223007969,6.0,-15741.889245243912,False,0.125,0.008057785512615637,0.09251581936535179,-0.0779857909496941,0.12099983645812001,0.010501802223007969,0.004195869937902111,0.006879141140544203,True,True,0.2201370108,0.0365603255,0.2188685248,0.5763862059,0.0522290364,0.5745740831,0.0509241373,0.0348193576,0.0497160554,0.4746278688,0.0920860097,0.319986105,0.1737035638,0.0328276426,0.1406648904,0.5157508998,0.1167916519,0.3227169514,0.1666666667,0.0,0.1666666667,0.0541790588,0.0355016153,0.0522018582,6.3790392342,2.7090388186,9.0,1.8919669611,0.6929378329,0.713545903,1.0,0.0,1.0,1.5402342731,0.7830938872,0.2202313911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.07363340171874576,-0.023632616912616547,0.056705539455369415,6.0,-30625.35700935564,False,0.09013878188659974,0.07733290651988117,-0.023633401718745756,0.05136738308738345,0.0565433083754888,0.056705539455369415,0.0605079882402355,0.04815767633443502,True,False,0.2498384238,0.0622421925,0.2279484472,0.456912034,0.0889174179,0.4256406389,-0.0287253106,0.0592782786,-0.0495729074,0.8260069215,0.1135716968,0.8527222276,0.1490521658,0.0243427684,0.150450021,0.8626898762,0.1107215243,0.9142281413,0.28,0.0,0.28,0.0576326835,0.0382398352,0.0520515528,8.9440685103,0.5126166935,9.0,2.3421426262,1.0725591167,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.0038948037235942198,-0.0059333193308630594,-0.011007206256967791,6.0,-8199.190158136116,False,0.0625,0.007097448437806129,0.04610519627640578,0.03156668066913694,0.05587615280379605,0.011007206256967791,0.006675834577393212,0.002409773230533916,True,True,0.1964288041,0.0290669514,0.1756445753,0.5782316249,0.0415242163,0.5485398695,0.0521544166,0.0276828109,0.032359913,0.2799388755,0.0617186934,0.1709573567,0.0829783133,0.005689927,0.0783413425,0.3034708891,0.0730684884,0.1838656068,0.1416666667,0.0,0.1416666667,0.0547621374,0.0290669514,0.0339779086,2.7780478876,2.7097483989,1.7004175924,1.0765347335,0.6448907635,0.6196194651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03530558695876575,0.0208957417923272,0.017928712527384445,6.0,-11978.64972668827,False,0.05,0.041025802802072985,0.014694413041234256,0.0208957417923272,0.02554521089515616,0.017928712527384445,0.03530558695876575,0.0208957417923272,True,True,0.4555318432,0.0663936978,0.4311260092,0.5436169189,0.0948481397,0.5087514417,0.0290779459,0.0632320932,0.0058342945,0.4872304303,0.0256520382,0.4658793509,0.0249388023,0.0035564145,0.0226112828,0.4871420605,0.0277395416,0.4636956751,0.425,0.0,0.425,0.0617202689,0.0391270362,0.0061260092,7.7518962013,2.5347790729,9.0,0.346882008,0.4762127238,0.2434829622,0.0,0.0,0.0,0.0,0.0,0.0,0.0017365485,0.0024540449,0.0059266376,0.0017365485,0.0024540449,0.0059266376,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.0037221314778199638,-0.0031712842615705156,-0.008063590732732958,6.0,-8800.698124039756,False,0.0625,0.004889918875182192,0.04627786852218004,-0.04067128426157052,0.061610019302396395,0.008063590732732958,0.001074934625313662,0.004770306295948391,True,True,0.2155356212,0.0297826315,0.1962379335,0.6055270778,0.0425466164,0.5779589526,0.0703513852,0.0283644109,0.0519726351,0.2821127655,0.0576064747,0.1808717549,0.0874840036,0.0129397556,0.0693261847,0.3142432093,0.0734571333,0.1912599355,0.1416666667,0.0,0.1416666667,0.0738689545,0.0297826315,0.0545712668,3.0959496241,2.8568643036,2.0921447279,1.1102131043,0.709121845,0.3712284398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.016829527112533063,0.03385166807763767,0.07818992919195618,6.0,-17220.927285009388,False,0.09013878188659974,0.03780434385715534,0.03317047288746694,-0.04114833192236233,0.05285324485375597,0.07818992919195618,0.037501632379525314,0.0047745139376670865,True,False,0.3002702464,0.0724294416,0.3156025182,0.5289574949,0.1034706309,0.5508607402,0.0193049966,0.0689804206,0.0339071602,0.5989477444,0.0754669564,0.5713964105,0.1637988259,0.0227369512,0.1335603297,0.6601570088,0.0740419464,0.5794801116,0.28,0.0,0.28,0.0643423687,0.0389482541,0.0356025182,7.7261268118,2.2664734066,9.0,1.6603877941,0.9034975044,0.6008370241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
