cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0052420230695019165,0.0005855244372368976,-0.0062827676658873495,6.0,-18115.010048444416,False,0.125,0.005274622709520737,0.09475797693049809,0.0755855244372369,0.12121157410252927,0.0062827676658873495,0.003842303793259395,0.003613633391490668,True,True,0.1781030357,0.0510121581,0.1910101361,0.5163376701,0.0728745116,0.5347763849,0.0108917801,0.0485830078,0.0231842566,0.4679559536,0.1088156917,0.2972250283,0.1171176358,0.0186090634,0.1230564564,0.4696191974,0.1160691042,0.2707539499,0.1666666667,0.0,0.1666666667,0.0400691312,0.0335782004,0.0243434695,7.5286155967,2.531331303,6.4939267138,1.9613008707,0.9391431068,0.6673355661,1.0,0.0,1.0,1.6875357997,1.0180909524,0.1673355661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,-0.0375,0.0,-0.011831000457997747,0.0025297327117177327,-0.013707443674838782,6.0,-17626.94354961689,False,0.10680004681646915,0.012098434585923818,0.08816899954200226,0.04002973271171773,0.09683053227783661,0.013707443674838782,0.010189462472618952,0.0065228041476781806,True,True,0.2935427462,0.0540419407,0.2367987493,0.5225213835,0.0772027725,0.4414585307,0.0150142556,0.051468515,-0.0390276462,0.4902854897,0.0692351343,0.3349068463,0.1052677128,0.0200265976,0.0936223418,0.4900626527,0.0840908528,0.3272733986,0.2777777778,0.0,0.2777777778,0.0455840976,0.033032645,0.0409790285,7.7886813664,2.4230096804,9.0,1.8115205992,1.0210253059,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.060639187887427164,-0.013861360348100276,-0.06867143500714097,6.0,-14968.84881560403,False,0.1,0.06220328301903831,0.03936081211257284,-0.013861360348100276,0.041730214963035445,0.06867143500714097,0.060639187887427164,0.013861360348100276,True,False,0.4882379513,0.0774133668,0.4795740133,0.4831970733,0.110590524,0.470820019,-0.0112019511,0.073727016,-0.0194533207,0.802421211,0.060556554,0.8436616659,0.0434790418,0.0087191513,0.0467314497,0.7909470071,0.0770024113,0.757579267,0.5,0.0,0.5,0.0670752158,0.0403991407,0.0204259867,8.5830098026,1.5277942829,9.0,0.5534664192,0.5982274793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137178669,0.007883901,0.0214632146,0.0137178669,0.007883901,0.0214632146,0.0,0.0,0.0
-0.1,0.0375,0.0,-0.009878780670927607,0.01131584719181049,0.016091798138090585,6.0,-16811.785694560727,False,0.10680004681646915,0.015021275086113638,0.0901212193290724,-0.02618415280818951,0.09384798363119684,0.016091798138090585,0.013223049791471455,0.007126686426731916,True,True,0.3056199506,0.0531999125,0.2451330502,0.5397745325,0.0759998749,0.4533646749,0.026516355,0.0506665833,-0.0310902167,0.492541221,0.0652411092,0.341905117,0.1122885038,0.024008365,0.0729964748,0.4984338446,0.0845304733,0.3606859744,0.2777777778,0.0,0.2777777778,0.0489638078,0.0347557592,0.0326447275,7.802837617,2.381519863,9.0,1.6523145081,0.8669511816,0.7023381823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.075,0.0,-0.00533219406570928,0.00790153835736473,0.010959565560269965,6.0,-17390.06166234466,False,0.125,0.00953239749314365,0.09466780593429072,-0.06709846164263526,0.11603532666916884,0.010959565560269965,0.009006678266986262,0.0031219142464662154,True,True,0.2054987947,0.0494140892,0.2183123487,0.5554744686,0.070591556,0.5737795457,0.0369829791,0.0470610373,0.0491863638,0.4727700703,0.0985630296,0.3195264637,0.1345978546,0.0280798824,0.1296110898,0.4989443713,0.1173160322,0.2905285656,0.1666666667,0.0,0.1666666667,0.0512891522,0.0363195436,0.051645682,7.6116678892,2.5011299686,5.0313939529,1.914410298,0.8460673393,0.3682419268,1.0,0.0,1.0,1.5935838207,0.8823247455,0.1172226745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.07232063430024266,-0.07539567742327954,-0.0019821589200243275,6.0,-30499.624833720056,False,0.09013878188659974,0.10447383557477279,-0.022320634300242656,-0.00039567742327954736,0.022324141107519953,0.0019821589200243275,0.1028492656293185,0.018352407994989217,True,True,0.2535807027,0.0608964876,0.2560612845,0.4622581468,0.0869949823,0.4658018351,-0.0251612355,0.0579966549,-0.0227987766,0.8260069215,0.1135716968,0.8527222276,0.1244603411,0.0188562135,0.1289831549,0.8493245167,0.1217958618,0.8622127771,0.28,0.0,0.28,0.0554451346,0.0364992948,0.0239387155,8.9432757264,0.649291367,9.0,2.3954820589,1.0384371352,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.0375,0.0,-0.0021970706249719923,0.0006808603610607831,-0.0018879284940731544,6.0,-11639.635538603543,False,0.0625,0.002300150030406417,0.04780292937502801,0.03818086036106078,0.061179229765866934,0.0018879284940731544,0.001349140283341124,0.0018629306638318218,True,True,0.1788827038,0.0499605858,0.1255343507,0.5531657673,0.0713722655,0.4769538343,0.0354438449,0.0475815103,-0.0153641105,0.2809140113,0.0648232719,0.1478924602,0.0637917988,0.010185753,0.0521118976,0.2991861095,0.0738193337,0.1649549305,0.1416666667,0.0,0.1416666667,0.050659114,0.03625945,0.016132316,5.4775106656,3.4642491128,1.307302994,1.2260318099,0.8259424672,0.6758854184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03269254657946618,0.014644746247552541,-0.00031289884830010273,6.0,-11464.163680130243,False,0.05,0.035822774801873875,0.017307453420533823,0.014644746247552541,0.022671932792753955,0.00031289884830010273,0.03269254657946618,0.014644746247552541,True,True,0.4447428996,0.0641007053,0.4167438324,0.5282041423,0.0915724361,0.4882054748,0.0188027615,0.0610482907,-0.0078630168,0.489119969,0.0309147338,0.4539752305,0.0219423786,0.003821214,0.0174116399,0.4884786997,0.0424846583,0.4748173654,0.425,0.0,0.425,0.0555695002,0.0375594615,0.0082561676,7.8112639968,2.4751548868,9.0,0.3300416722,0.41905037,0.2220276277,0.0,0.0,0.0,0.0,0.0,0.0,0.0018037602,0.0033516207,0.0097583719,0.0018037602,0.0033516207,0.0097583719,0.0,0.0,0.0
-0.05,0.0375,0.0,-0.002165092929954263,0.0044175743069854575,0.013680524969383804,6.0,-11656.66673388428,False,0.0625,0.004919612805198798,0.04783490707004574,-0.03308242569301454,0.05816034064664461,0.013680524969383804,0.004382618928154685,0.0022350036876158086,True,True,0.1898494058,0.0507306832,0.140772319,0.5688324845,0.0724724045,0.4987223605,0.045888323,0.0483149364,-0.0008517597,0.2816160024,0.0629053134,0.1547207236,0.0652296229,0.012318654,0.0595419109,0.3025747854,0.0756596652,0.2016452104,0.1416666667,0.0,0.1416666667,0.058028879,0.0390874374,0.0008943477,5.6606268295,3.3919905532,4.0277012692,1.1385533511,0.7500247461,0.4024481538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.075,0.0,-0.01658886792441804,0.00046042687627307266,-0.0015082592776406816,6.0,-16471.634495785507,False,0.09013878188659974,0.016595256307818215,0.03341113207558197,-0.07453957312372693,0.08168507640958302,0.0015082592776406816,0.00958494661075316,0.0135473735606276,True,True,0.2913056626,0.0701609259,0.3086454952,0.5161509466,0.1002298941,0.540922136,0.0107672978,0.0668199294,0.027281424,0.5989477444,0.0754669564,0.5713964105,0.1218955508,0.0250253734,0.0974319279,0.636016476,0.0846065973,0.5951160789,0.28,0.0,0.28,0.0588167454,0.0398868899,0.0286454952,7.4261733761,2.6970233886,9.0,1.7990079056,1.0753977532,0.8646115098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
