time_s,raw_gait_gate_action,learned_gait_blend,gait_blend,desired_gait_blend,gait_gate_error,prior_component_l2,residual_component_l2,applied_action_l2,policy_residual_0,ema_residual_0,prior_component_0,residual_component_0,applied_action_0,policy_residual_1,ema_residual_1,prior_component_1,residual_component_1,applied_action_1,policy_residual_2,ema_residual_2,prior_component_2,residual_component_2,applied_action_2,policy_residual_3,ema_residual_3,prior_component_3,residual_component_3,applied_action_3,policy_residual_4,ema_residual_4,prior_component_4,residual_component_4,applied_action_4,policy_residual_5,ema_residual_5,prior_component_5,residual_component_5,applied_action_5,policy_residual_6,ema_residual_6,prior_component_6,residual_component_6,applied_action_6,policy_residual_7,ema_residual_7,prior_component_7,residual_component_7,applied_action_7,policy_residual_8,ema_residual_8,prior_component_8,residual_component_8,applied_action_8,policy_residual_9,ema_residual_9,prior_component_9,residual_component_9,applied_action_9,policy_residual_10,ema_residual_10,prior_component_10,residual_component_10,applied_action_10
0.02,0.0,0.5,0.0,0.0,0.0,1.4728288650512695,0.0,1.4728288650512695,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.5841156244277954,0.0,-0.5841156244277954,0.0,0.0,-0.6532781720161438,0.0,-0.6532781720161438,0.0,0.0,-0.5622892379760742,0.0,-0.5622892379760742,0.0,0.0,-0.5036876797676086,0.0,-0.5036876797676086,0.0,0.0,-0.0840899869799614,0.0,-0.0840899869799614,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.04,0.0,0.5,0.0,0.0,0.0,1.6338447332382202,0.0,1.6338447332382202,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.6823553442955017,0.0,-0.6823553442955017,0.0,0.0,-0.7529911398887634,0.0,-0.7529911398887634,0.0,0.0,-0.6598924398422241,0.0,-0.6598924398422241,0.0,0.0,-0.5991506576538086,0.0,-0.5991506576538086,0.0,0.0,-0.1344791054725647,0.0,-0.1344791054725647,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.06,0.0,0.5,0.0,0.0,0.0,1.7829080820083618,0.0,1.7829080820083618,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.7824494242668152,0.0,-0.7824494242668152,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.7597042918205261,0.0,-0.7597042918205261,0.0,0.0,-0.6977800726890564,0.0,-0.6977800726890564,0.0,0.0,-0.19536221027374268,0.0,-0.19536221027374268,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.08,0.0,0.5,0.0,0.0,0.0,1.857900857925415,0.0,1.857900857925415,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.7980207204818726,0.0,-0.7980207204818726,0.0,0.0,-0.2657792270183563,0.0,-0.2657792270183563,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.1,0.0,0.5,0.0,0.0,0.0,1.8716524839401245,0.0,1.8716524839401245,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.3446197211742401,0.0,-0.3446197211742401,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.12,0.0,0.5,0.0,0.0,0.0,1.8893839120864868,0.0,1.8893839120864868,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.43064045906066895,0.0,-0.43064045906066895,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.14,0.0,0.5,0.0,0.0,0.0,1.9124096632003784,0.0,1.9124096632003784,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.5224848985671997,0.0,-0.5224848985671997,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.16,0.0,0.5,0.0,0.0,0.0,1.9409059286117554,0.0,1.9409059286117554,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.6187047362327576,0.0,-0.6187047362327576,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.18,0.0,0.5,0.0,0.0,0.0,1.9747233390808105,0.0,1.9747233390808105,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.7177826762199402,0.0,-0.7177826762199402,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
0.2,0.0,0.5,0.0,0.0,0.0,2.006070852279663,0.0,2.006070852279663,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,-0.800000011920929,0.0,-0.800000011920929,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005,0.0,0.0,0.19200000166893005,0.0,0.19200000166893005
