time_s,segment_index,segment_label,world_x_m,world_y_m,world_z_m,relative_forward_m,relative_lateral_m,relative_z_m
0.02,0,head,-0.006601167609823154,-0.011392354612195217,0.08914961650514758,0.0079857277304629,-0.010341035943016927,0.0017895815836192763
0.02,1,seg1,-0.1497259952957324,-0.001539801320650205,0.08776271370824595,0.00015170311979018032,-0.0011357760254862733,0.001935990313743946
0.02,2,seg2,-0.32547478079992526,0.005881621338145553,0.08778140729818444,0.0004205823477702014,0.005471716005079306,0.0019528914102417555
0.02,3,seg3,-0.5009279038753026,0.008371994940810314,0.08782033975823603,0.0003731916219752887,0.007101700178830832,0.00199000126628901
0.02,4,seg4,-0.6750286984939049,0.007280305211341141,0.08789239202402518,-0.0010425748775814967,0.005093244700341764,0.002060229158395724
0.02,5,seg5,-0.8510513771652335,0.0011219310830566209,0.08794060707545963,-0.0005586260015811866,-0.0020420976759904447,0.0021066069492069184
0.02,6,seg6,-1.0188773266012914,-0.0033006223111240406,0.08813117088837315,-0.008261650552380935,-0.007428564985387764,0.0022953011430032477
0.04,0,head,-0.027071466263635602,-0.034537006416914054,0.08804401936262174,0.028351159676800276,-0.03357801543077449,0.0006839844410934381
0.04,1,seg1,-0.15426609942370859,-0.006451665777467436,0.08660235410499025,0.00466954995092596,-0.006068120087121265,0.0007756307104882371
0.04,2,seg2,-0.32837402648838165,0.018243567901858056,0.08633984387276589,0.0033756976788572044,0.017820426131465054,0.0005113279848232011
0.04,3,seg3,-0.5014637916503979,0.025639116637096632,0.0862923058883913,0.0009871538335053465,0.02436622211790095,0.00046196739644428775
0.04,4,seg4,-0.6707161037350249,0.017841994840593907,0.08646009681063023,-0.005307366813572581,0.015674327401014154,0.0006279339450007693
0.04,5,seg5,-0.8459822244527119,-0.003620771841002743,0.08663109325612445,-0.005649172838734708,-0.006761829993031835,0.0007970931298717371
0.04,6,seg6,-0.999470537842925,-0.02106433838608668,0.0871643467441218,-0.02774856635623838,-0.02510434420763122,0.0013284769987518957
0.06,0,head,-0.045538269352842414,-0.05506338551199394,0.0883819087242108,0.046724956066490644,-0.05418768940368951,0.0010218738026824964
0.06,1,seg1,-0.16409523474854024,-0.012354703326522404,0.08736414123629135,0.014471891935345238,-0.012015543491112838,0.0015374178417893458
0.06,2,seg2,-0.33501176661008875,0.026272137515861212,0.08733367726640376,0.010049674195077832,0.025818898574766026,0.001505161378461073
0.06,3,seg3,-0.500927515830107,0.036451390367734225,0.0873269912412852,0.0004997753397989979,0.03518081028321477,0.0014966527493381898
0.06,4,seg4,-0.6637288583259336,0.021753147981439076,0.08724442960179724,-0.012276855006796015,0.019617036065842777,0.0014122667361677749
0.06,5,seg5,-0.8375029160363884,-0.010459958046501228,0.08682306413242397,-0.014159320568297402,-0.0135626038302644,0.0009890640061712558
0.06,6,seg6,-0.9816991080824111,-0.03418855464709384,0.08703650646711723,-0.04557916060353331,-0.038148065952189385,0.0012006367217473335
0.08,0,head,-0.0649242435926055,-0.07656545282555356,0.08751585117010058,0.06601350226068317,-0.07577719800486239,0.00015581624857227694
0.08,1,seg1,-0.1776025164766199,-0.01715603657457144,0.08615376945335573,0.027957324496921714,-0.016877906007716156,0.00032704605885372495
0.08,2,seg2,-0.3432942113178613,0.036250878769831546,0.0858963221052121,0.01837715693142983,0.03576008555716989,6.780621726941438e-05
0.08,3,seg3,-0.5007381669302393,0.04956989534014336,0.08607197966612394,0.0003697487289356837,0.04830003734876018,0.00024164117417692366
0.08,4,seg4,-0.6543962373268686,0.028598624478625753,0.08641604413505971,-0.021578426142458734,0.026504643602681597,0.0005838812694302503
0.08,5,seg5,-0.8254181645129012,-0.014903076577155894,0.08645548796157121,-0.02626403980433419,-0.017951031095291173,0.0006214878353184988
