cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok
-0.25,-0.15,0.0,-0.0655795984604615,0.07227738059837054,0.036377959495242175,6.0,-7385.424387085621,False,0.2888219493557882,0.036377959495242175,0.019047636219633502,0.09571776760268483,True,True
-0.25,-0.075,0.0,-0.0622649631692433,0.06968773264755976,0.03863800762855699,6.0,-7451.595644976244,False,0.23702106242386414,0.03863800762855699,0.03961439574563904,0.08464044759884536,True,True
-0.25,0.0,0.0,-0.07695311989812771,0.02730817867993808,-0.01820852354209701,6.0,-7812.231587541295,False,0.1751883538817783,0.01820852354209701,0.07695311989812771,0.02730817867993808,True,True
-0.25,0.075,0.0,-0.0678143830209985,0.06141474626421469,0.03326559057140854,6.0,-7455.410103925274,False,0.18269142878932526,0.03326559057140854,0.08260179605518302,0.03933833869998214,True,True
-0.25,0.15,0.0,-0.07684502038697129,0.045147900722975705,0.008265773607627406,6.0,-7273.514077422671,False,0.2024268008134974,0.008265773607627406,0.08912246464649848,0.0008224313341145439,True,True
-0.125,-0.15,0.0,0.08775442526004039,-0.031234930779586455,-0.05253668876772485,6.0,-8292.20418279956,False,0.24365875140174986,0.05253668876772485,-0.03218367556137106,0.08741093227329165,False,False
-0.125,-0.075,0.0,-0.037459384511407026,0.03909887801449877,0.028208337174203162,6.0,-5991.882455314991,False,0.143812076420199,0.028208337174203162,0.012004950439639325,0.05279970563277696,True,True
-0.125,0.0,0.0,-0.030812470890038968,0.03048130723456781,0.025548512604251766,6.0,-5513.331411883151,False,0.09899697334044043,0.025548512604251766,0.030812470890038968,0.03048130723456781,True,True
-0.125,0.075,0.0,-0.03767249554488878,0.03924428263846013,0.028727707614763693,6.0,-5959.446584197994,False,0.09436399927088611,0.028727707614763693,0.052494915265965385,0.014269355682935502,True,True
-0.125,0.15,0.0,0.0936761026237452,0.02587473944145768,0.03547120948611834,6.0,-8099.897547908346,False,0.25144844037582886,0.03547120948611834,-0.04009245407812523,0.08852857996111306,False,True
0.0,-0.15,0.0,0.0978965124091475,-0.030760615407824973,-0.0709084959260835,6.0,-7831.731493480292,False,0.15427818374545052,0.0709084959260835,0.030760615407824973,0.0978965124091475,True,False
0.0,-0.075,0.0,0.06370875207461782,0.04407165517575725,0.033156220986212036,6.0,-7053.014430383403,False,0.1350439341740293,0.033156220986212036,-0.04407165517575725,0.06370875207461782,False,True
0.0,0.0,0.0,-2.409727367683958e-06,-4.827673982169548e-05,-0.00021033109946285342,6.0,1788.555424580481,False,4.833684302680765e-05,0.00021033109946285342,0.0,4.833684302680765e-05,True,True
0.0,0.075,0.0,0.056659894866886246,-0.028408476476426206,-0.011946708622971794,6.0,-6778.2183103595835,False,0.11791376804047182,0.011946708622971794,-0.028408476476426206,0.056659894866886246,False,True
0.0,0.15,0.0,0.09575047296379656,0.03256392682899806,0.0527871721937981,6.0,-7650.541552989003,False,0.15152354389538167,0.0527871721937981,0.03256392682899806,0.09575047296379656,True,False
0.125,-0.15,0.0,0.10732707537482516,-0.05301562916248161,-0.07741978494973956,6.0,-7858.572886834081,False,0.0985814407054208,0.07741978494973956,0.10943685379043841,0.0485111644516742,True,False
