cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.07004505901981065,0.021989741367622873,-0.01810518522397649,6.0,-20118.017969848454,False,0.291547594742265,0.07341565921861426,0.17995494098018935,0.17198974136762288,0.24892619773516256,0.01810518522397649,0.04874951399401421,0.05489393321534826,True,True,0.4954261997,0.0430438031,0.4826693596,0.4934659995,0.0614911472,0.4752419423,-0.0043560003,0.0409940981,-0.0165053718,0.832540821,0.0353453284,0.8479717374,0.083258257,0.0174584196,0.083702229,0.8190956193,0.0466328587,0.8233321309,0.5,0.0,0.5,0.0361474674,0.0238127955,0.0173306404,8.1658985138,2.0110843151,9.0,1.935955227,1.1471357834,3.0,1.0,0.0,1.0,1.7299211995,1.1890265213,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.05927746130800895,0.05965885740950876,0.030691024032763803,6.0,-18130.997565333255,False,0.26100766272276377,0.08410110990070581,0.19072253869199104,0.13465885740950875,0.23346968677743246,0.030691024032763803,0.0396346640300643,0.07417607494168536,True,True,0.5018908789,0.0444430434,0.4843752708,0.5027012556,0.0634900621,0.4776789583,0.0018008371,0.042326708,-0.0148806944,0.8289708992,0.0401061429,0.8503479362,0.0750485604,0.0169716195,0.0618580431,0.8146639826,0.0482361724,0.8253695369,0.5,0.0,0.5,0.0367385485,0.0250806417,0.0156247292,7.9261114866,2.2989860053,9.0,1.8080901375,1.13751995,2.9562346329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.07319040278905715,0.04584549653750394,0.01413079262809728,6.0,-12442.914757815179,False,0.25,0.0863634448895753,0.17680959721094286,0.04584549653750394,0.18265662653915993,0.01413079262809728,0.07319040278905715,0.04584549653750394,True,True,0.5032926389,0.0444051131,0.5105260722,0.5047037698,0.0634358758,0.515037246,0.0031358466,0.0422905839,0.0100248307,0.8279447389,0.040307465,0.8565545082,0.0426347895,0.0098405825,0.0371814817,0.8194032596,0.0426088879,0.8370752335,0.5,0.0,0.5,0.0376848722,0.0237172077,0.0105260722,7.8238427345,2.4393007488,9.0,0.8009518417,0.4908604349,1.0617940194,0.0,0.0,0.0,0.0,0.0,0.0,0.0132460514,0.0080622552,0.0266564884,0.0132460514,0.0080622552,0.0266564884,0.0,0.0,0.0
-0.25,0.075,0.0,-0.07985053216696264,-0.018907681837525368,-0.05505791461275722,6.0,-17740.937664856432,False,0.26100766272276377,0.08205856396389241,0.17014946783303736,-0.09390768183752536,0.19434375243872312,0.05505791461275722,0.07104985620143976,0.04105515623610451,True,False,0.5101286615,0.0433213007,0.4992380044,0.5144695164,0.0618875724,0.4989114349,0.0096463443,0.0412583816,-0.0007257101,0.8270102737,0.0435695676,0.8710733652,0.0894809887,0.0164250309,0.0750475228,0.8156419394,0.0454274073,0.8448924422,0.5,0.0,0.5,0.0363594067,0.0256382219,0.0007619956,7.9904840803,2.2126081802,9.0,1.5678051495,1.0268946218,0.384971935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.07392856142015897,0.03134714456771839,0.006466576279781237,6.0,-19029.46001570339,False,0.291547594742265,0.08029991074841648,0.17607143857984103,-0.1186528554322816,0.2123196919407351,0.006466576279781237,0.0795211912507558,0.011155976347428048,True,True,0.51513585,0.0405527302,0.5208196475,0.5216226428,0.0579324717,0.5297423536,0.0144150952,0.0386216478,0.0198282357,0.8271582776,0.0444299214,0.8413699865,0.1053121371,0.0149635744,0.095580861,0.8194487898,0.0422830545,0.8181260824,0.5,0.0,0.5,0.0345007998,0.0261402505,0.0208196475,8.1227834732,1.9937179738,9.0,1.7751222869,0.9413421336,1.0054770303,1.0,0.0,1.0,1.5051230977,1.0087898939,0.7554770303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.05769047965576856,-0.1440618602371881,-0.19144037874633765,6.0,-24480.095758095642,False,0.19525624189766635,0.15518379753670083,0.18269047965576857,0.005938139762811906,0.18278696031363253,0.19144037874633765,0.07373884152780687,0.13654520961223335,True,False,0.0045829546,0.0140668768,0.0,0.4350176894,0.0629344888,0.3692367002,-0.0433215404,0.0419563259,-0.0871755332,1.6932013059,0.2317866677,1.7491738796,0.0962502487,0.0228891622,0.1201136783,1.691113236,0.2432543987,1.7551624775,0.0,0.0,0.0,0.0045829546,0.0140668768,0.0,8.9882729006,0.1336870494,9.0,2.103932885,1.1779625384,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03601148446682029,0.03471778336110102,0.027460481188231595,6.0,-14442.530683439316,False,0.1457737973711325,0.050021510323183783,0.08898851553317971,0.10971778336110102,0.14126906201455597,0.027460481188231595,0.013017440997566692,0.04829800953338814,True,True,0.5170944086,0.0344704218,0.5096739723,0.5244205838,0.0492434597,0.5138199604,0.0162803892,0.0328289731,0.0092133069,0.4970076523,0.0274550459,0.514688313,0.0439568081,0.0071190741,0.0439835638,0.4930996516,0.0297683246,0.5033729076,0.5,0.0,0.5,0.0321623322,0.021119024,0.0096739723,6.7609868665,3.0928712722,9.0,1.4351213427,1.2010883975,2.0657742704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03325500685815543,0.022553643212909827,0.02302507387502876,6.0,-9817.60296413182,False,0.125,0.04018161648454674,0.09174499314184456,0.022553643212909827,0.09447650813176967,0.02302507387502876,0.03325500685815543,0.022553643212909827,True,True,0.4476661972,0.0319078971,0.435705461,0.5323802817,0.0455827101,0.5152935158,0.0215868545,0.0303884734,0.0101956772,0.4993416235,0.0223251301,0.4696764648,0.02527918,0.0038087873,0.0216716379,0.4967304672,0.024252774,0.4620499015,0.425,0.0,0.425,0.030725926,0.0242443367,0.010705461,6.4993630945,3.2559162948,9.0,0.4124463265,0.2773069721,0.4407795264,0.0,0.0,0.0,0.0,0.0,0.0,0.0075416952,0.0077665831,0.0208172471,0.0075416952,0.0077665831,0.0208172471,0.0,0.0,0.0
-0.125,0.075,0.0,-0.04037695201669456,0.02017699148304697,0.01914103352776945,6.0,-13780.02413539451,False,0.1457737973711325,0.045137669849754154,0.08462304798330544,-0.05482300851695303,0.10082967079602471,0.01914103352776945,0.04500392719147546,0.00347214297081523,True,True,0.5306161293,0.0332759967,0.5208910784,0.5437373276,0.0475371381,0.5298443977,0.0291582184,0.0316914254,0.0198962651,0.4923176085,0.0322480718,0.5047588944,0.0553667026,0.0079895214,0.047300078,0.4899443141,0.0274586414,0.4933817685,0.5,0.0,0.5,0.0353391732,0.0282096113,0.0208910784,6.86887663,3.0954745355,9.0,1.2653683359,0.9915005537,0.5602377826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.01888095547749701,0.06525632621470624,0.12671992977457328,6.0,-15658.530070838558,False,0.19525624189766635,0.06793289770636449,0.106119044522503,-0.08474367378529375,0.13580405685029168,0.12671992977457328,0.06221859157393861,0.027271330245127342,True,False,0.0205322417,0.0313040178,0.0230333274,0.497264086,0.0730148912,0.5329047535,-0.0018239427,0.0486765941,0.0219365023,0.921458112,0.1161030183,0.8790714741,0.1052943562,0.0112246828,0.103948541,0.930247345,0.0956027121,0.8540251255,0.0,0.0,0.0,0.0205322417,0.0313040178,0.0230333274,7.9214280566,2.2937498106,9.0,1.623219164,0.8343884052,1.076726017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.15,0.0,0.1138995419470331,-0.15485692023995637,-0.2207027705632315,6.0,-22615.407341810216,False,0.15,0.19223363754022904,0.1138995419470331,-0.004856920239956375,0.11400304965202138,0.2207027705632315,0.15485692023995637,0.1138995419470331,True,False,0.0040987164,0.0128994193,0.0,0.4230193199,0.0656902122,0.3801812083,-0.0513204534,0.0437934748,-0.0798791945,1.6932013059,0.2317866677,1.7491738796,0.0548813076,0.0132939253,0.0697191134,1.6919983816,0.2378143454,1.7550668716,0.0,0.0,0.0,0.0040987164,0.0128994193,0.0,8.9888328126,0.193098721,9.0,1.1030223892,1.3255276129,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.08093147186026296,-0.061158481587204105,0.07405621788173833,6.0,-21694.807527418394,False,0.075,0.10144093358955703,-0.08093147186026296,0.013841518412795892,0.08210658176687362,0.07405621788173833,0.061158481587204105,0.08093147186026296,True,False,0.006003955,0.0105437836,0.0,0.4725446692,0.0479226931,0.3768949769,-0.0183035539,0.0319484621,-0.0820700154,1.015920825,0.1390719994,1.0495043993,0.0272521409,0.0054786367,0.0267137773,1.0208669925,0.1366980458,1.058570385,0.0,0.0,0.0,0.006003955,0.0105437836,0.0,8.7690244046,1.0767279236,9.0,1.1621291471,1.3571710207,0.7670126282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.1196441509669093e-06,-0.0001650103213085637,-0.0007166143955462297,6.0,1758.3571985616215,False,0.0,0.00016503980828268098,3.1196441509669093e-06,-0.0001650103213085637,0.00016503980828268098,0.0007166143955462297,0.0,0.00016503980828268098,True,True,0.5467932846,0.0116673518,0.5334709985,0.5668475494,0.0166676454,0.5478157122,0.0445650329,0.0111117636,0.0318771414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,5.46367e-05,0.0001812956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.02735853024260229,0.03365368311443891,0.051244500612025755,6.0,-10980.58068682177,False,0.075,0.043371183569306186,-0.02735853024260229,-0.041346316885561084,0.04957829259904598,0.051244500612025755,0.03365368311443891,0.02735853024260229,True,False,0.0251162202,0.0300557543,0.0328400373,0.5247323968,0.0541437825,0.5469143391,0.0164882646,0.036095855,0.031276226,0.5528748882,0.0696618143,0.5274428725,0.0279612751,0.0045572099,0.0232573897,0.5554195764,0.0645017705,0.5233860016,0.0,0.0,0.0,0.0251162202,0.0300557543,0.0328400373,6.2238303131,3.3692489538,9.0,0.6876487395,0.5349972586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15,0.0,-0.01948288679180722,0.07041482837544023,0.11991368271410097,6.0,-15893.175029950336,False,0.15,0.07306046080394703,-0.01948288679180722,-0.07958517162455976,0.0819352330823133,0.11991368271410097,0.07041482837544023,0.01948288679180722,True,False,0.0191608033,0.0309872624,0.0174678616,0.4873373201,0.0785834834,0.524954088,-0.0084417866,0.0523889889,0.0166360587,0.921458112,0.1161030183,0.8790714741,0.0498880006,0.0049512203,0.0464842357,0.9221379185,0.1031607579,0.8646284342,0.0,0.0,0.0,0.0191608033,0.0309872624,0.0174678616,7.959247521,2.2836615745,9.0,1.1886182338,0.9859137831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,-0.15,0.0,0.07243079182601739,-0.15084955067192612,-0.16152159660795573,6.0,-22960.61495065062,False,0.19525624189766635,0.16733740329784574,-0.05256920817398261,-0.0008495506719261303,0.05257607235600326,0.16152159660795573,0.16225489782623814,0.04092865345772934,True,False,0.0042544139,0.013374363,0.0,0.4237778255,0.0673644856,0.3719884567,-0.050814783,0.0449096571,-0.0853410289,1.6932013059,0.2317866677,1.7491738796,0.0990077046,0.0233300704,0.1216580719,1.692350082,0.2386744284,1.7507221699,0.0,0.0,0.0,0.0042544139,0.013374363,0.0,8.9904831117,0.1262636573,9.0,1.5984731428,1.3838613241,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,-0.075,0.0,0.06155365688496817,0.031740553019981084,0.08022781641662369,6.0,-18377.07813447656,False,0.1457737973711325,0.06925543575725028,-0.06344634311503183,0.10674055301998109,0.1241732020754951,0.08022781641662369,0.03645144552689483,0.05888639487119617,True,False,0.4890974546,0.0320163593,0.4671182225,0.4844249351,0.0457376561,0.4530260321,-0.0103833766,0.0304917707,-0.0313159786,0.8658473911,0.0449593848,0.8636553884,0.0563189633,0.0094721558,0.0658381134,0.8798499409,0.0452553382,0.8735327125,0.5,0.0,0.5,0.0292434276,0.0169921953,0.0328817775,8.0808317446,2.3434282106,9.0,1.4926641352,1.1624116876,1.27320753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.05968335479142664,0.01987952401860518,0.04496658440030288,6.0,-13714.101214409342,False,0.125,0.06290706092614413,-0.06531664520857336,0.01987952401860518,0.06827488276452,0.04496658440030288,0.05968335479142664,0.01987952401860518,True,True,0.4002538075,0.0358185023,0.3857838623,0.4646482965,0.051169289,0.4439769462,-0.0235678024,0.0341128593,-0.0373487025,1.1849480271,0.0850118353,1.0753480196,0.0322576169,0.0050001747,0.0362331346,1.1909871062,0.0846569585,1.0835278034,0.425,0.0,0.425,0.0376111976,0.0219257147,0.0392161377,8.2629686383,2.0748961489,9.0,0.5701609159,0.7343182763,0.9475334621,0.0,0.0,0.0,0.0,0.0,0.0,0.0005020723,0.0011175882,0.0,0.0005020723,0.0011175882,0.0,0.0,0.0,0.0
0.125,0.075,0.0,0.054141492623023445,0.01746660329223745,0.045825630038549336,6.0,-18826.164545138075,False,0.1457737973711325,0.05688922089479959,-0.07085850737697655,-0.057533396707762544,0.09127442031821303,0.045825630038549336,0.05541244016735314,0.012878079387735254,True,True,0.4966746831,0.0343062592,0.4848232368,0.4952495472,0.0490089417,0.4783189096,-0.0031669685,0.0326726278,-0.0144540602,0.8639064229,0.0501404539,0.8880600333,0.0563059343,0.0090136035,0.0598748252,0.8785334343,0.0468885507,0.9011542201,0.5,0.0,0.5,0.0293268036,0.0181084441,0.0151767632,8.1318625452,2.1903058176,9.0,1.5583076565,1.2102905611,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.15,0.0,-0.02139835555270848,0.06893874594680369,0.11770925571615971,6.0,-15829.317919534073,False,0.19525624189766635,0.07218337975654833,-0.14639835555270847,-0.08106125405319631,0.16734218062764117,0.11770925571615971,0.039261318221774165,0.06057218177155794,True,False,0.0189010608,0.02918871,0.0116193186,0.4879385365,0.0758582032,0.5165990265,-0.0080409756,0.0505721354,0.0110660177,0.921458112,0.1161030183,0.8790714741,0.0805442702,0.0084720609,0.0774263889,0.9214567592,0.0948191006,0.8541105986,0.0,0.0,0.0,0.0189010608,0.02918871,0.0116193186,7.9478398253,2.2550871287,9.0,1.7804357641,1.1134958696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.15,0.0,0.07768376316761857,-0.0002855503452353704,0.031378991558972835,6.0,-22133.04155878029,False,0.291547594742265,0.07768428797950276,-0.17231623683238143,0.14971444965476463,0.22827023877742456,0.031378991558972835,0.0667601917995461,0.039723109014402874,True,True,0.4582455643,0.0391212979,0.439628312,0.4403508061,0.0558875684,0.4137547314,-0.0397661293,0.0372583789,-0.0574968457,1.4316069444,0.064645655,1.3765528202,0.1223162597,0.0235314769,0.1331987828,1.4560492563,0.0607709685,1.4135117531,0.5,0.0,0.5,0.0486194646,0.030167143,0.060371688,8.7354000586,1.1427079562,9.0,1.9146548496,1.1891279744,1.2623118609,1.0,0.0,1.0,1.7775767619,1.2268648816,1.0123118609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.075,0.0,0.06758297333450548,-0.026450968476939046,0.007315370539710209,6.0,-19853.09538873198,False,0.26100766272276377,0.07257487180905318,-0.18241702666549453,0.04854903152306095,0.18876699944457165,0.007315370539710209,0.07233337815622,0.005915608388811451,True,True,0.4581967566,0.0441426531,0.4234131258,0.4402810809,0.063060933,0.3905901797,-0.0398126127,0.042040622,-0.0729398802,1.6320073203,0.0818610139,1.5310214758,0.1160315051,0.0220468715,0.1382090449,1.6546853069,0.076344307,1.5682109594,0.5,0.0,0.5,0.0506110115,0.0336839798,0.0765868742,8.6872435146,1.3254061556,9.0,1.7493474897,1.2482556364,0.9553300871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
