cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.05269731182063391,0.08879593521558503,0.06277121275632765,6.0,-20072.72891038156,False,0.291547594742265,0.1032556283402096,0.19730268817936608,0.238795935215585,0.30976095531601466,0.06277121275632765,-0.0004975596773745087,0.1032544295335505,False,False,0.4986124114,0.0472122086,0.5001082963,0.4980177306,0.0674460123,0.500154709,-0.0013215129,0.0449640082,0.0001031393,0.8288601917,0.0388370046,0.8719764948,0.0846608599,0.0154816203,0.0792456567,0.8128783361,0.0500882292,0.8469211459,0.5,0.0,0.5,0.0392659939,0.0262507097,0.0001082963,7.9179015993,2.2626309788,9.0,1.9626388884,1.150281771,3.0,1.0,0.0,1.0,1.7605783753,1.1987221715,2.848934859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.06226473264990937,0.05177093100517554,0.02043242029885432,6.0,-17238.30971564682,False,0.26100766272276377,0.08097608430337526,0.18773526735009063,0.12677093100517553,0.226529025855251,0.02043242029885432,0.044762530016212485,0.06747919779943307,True,True,0.5016489741,0.0450666228,0.4938687777,0.5023556773,0.0643808897,0.491241111,0.0015704516,0.0429205932,-0.0058392594,0.8288681902,0.0401490025,0.8635814786,0.0754019814,0.017695589,0.0631974414,0.811826752,0.0486191551,0.8329262137,0.5,0.0,0.5,0.0380853704,0.0241500345,0.0061312223,7.7468977425,2.4942480383,9.0,1.7721008885,1.1725947798,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.07293975894597872,0.036146588160315754,-0.008827781219551856,6.0,-12570.598061625506,False,0.25,0.08140506293056324,0.1770602410540213,0.036146588160315754,0.1807122154081998,0.008827781219551856,0.07293975894597872,0.036146588160315754,True,True,0.504658066,0.0477925244,0.5047308104,0.50665438,0.0682750349,0.5067583006,0.0044362533,0.0455166899,0.0045055337,0.8262780805,0.041922272,0.8651269078,0.0427286233,0.0102275071,0.0317111127,0.8169097698,0.0446739258,0.8477377892,0.5,0.0,0.5,0.0398875462,0.0267358678,0.0047308104,7.7781307304,2.3302393362,9.0,0.8042128834,0.488941648,0.7141793168,0.0,0.0,0.0,0.0,0.0,0.0,0.0139161091,0.0087011517,0.0261556831,0.0139161091,0.0087011517,0.0261556831,0.0,0.0,0.0
-0.25,0.075,0.0,-0.06807224111520459,0.016412449279839085,-0.014200810324932478,6.0,-17112.334922219656,False,0.26100766272276377,0.07002284271443027,0.1819277588847954,-0.05858755072016091,0.1911287800207799,0.014200810324932478,0.06991746443158159,0.00384013922512765,True,True,0.5098477941,0.0446392479,0.5132796846,0.5140682772,0.0637703541,0.518970978,0.0093788515,0.0425135694,0.0126473187,0.8263972004,0.0442031259,0.8524871469,0.0894680425,0.0174712747,0.0600355417,0.8125119323,0.0466890386,0.8307814002,0.5,0.0,0.5,0.0379026795,0.0255544202,0.0132796846,7.8497035351,2.313378577,9.0,1.6759375768,0.836108255,0.9749904977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.07804818978951829,0.013206788522927499,-0.027650783130136396,6.0,-19138.831237855433,False,0.291547594742265,0.07915768561870663,0.17195181021048173,-0.1367932114770725,0.21972666597587243,0.027650783130136396,0.07372060724705713,0.02883073463571722,True,True,0.5152653573,0.0418266536,0.5330195894,0.5218076533,0.0597523623,0.5471708421,0.0145384355,0.0398349082,0.031447228,0.8261293052,0.0448805922,0.823446393,0.1051698178,0.0168108375,0.089615196,0.8167894789,0.0439677234,0.7994332314,0.5,0.0,0.5,0.0359421443,0.0262804556,0.0330195894,8.123590799,2.0258806605,9.0,1.7376564553,0.9688503369,0.6998407407,1.0,0.0,1.0,1.4753348608,1.0428727899,0.4498407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.02873691811212578,-0.13994737792592993,-0.12179145084436878,6.0,-24529.429206814573,False,0.19525624189766635,0.14286734774232382,0.15373691811212578,0.010052622074070067,0.15406523034474245,0.12179145084436878,0.08911362707673688,0.11166844012591182,True,False,0.0049286038,0.0148836305,0.0,0.4324302955,0.0659002439,0.4230093863,-0.0450464697,0.043933496,-0.0513270758,1.6932013059,0.2317866677,1.7491738796,0.0978838703,0.0228751765,0.101826638,1.6870895259,0.2431749897,1.7660999298,0.0,0.0,0.0,0.0049286038,0.0148836305,0.0,8.9867570353,0.2289922665,9.0,2.1324607866,1.1564887707,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03543836774130122,0.03523013759932376,0.03317284879360375,6.0,-14502.853681134657,False,0.1457737973711325,0.04997039627054187,0.08956163225869879,0.11023013759932376,0.14202805781960212,0.03317284879360375,0.01226239337898565,0.0484424835454789,True,True,0.5191624244,0.0366675122,0.5153718403,0.5273748919,0.0523821603,0.5219597719,0.018249928,0.0349214402,0.0146398479,0.4958034541,0.0288641363,0.5096396804,0.0454364143,0.0076843562,0.0413159914,0.4925614941,0.0322652363,0.4992815554,0.5,0.0,0.5,0.0339605874,0.0236301388,0.0153718403,6.7718474619,3.1399898115,9.0,1.4329076912,1.1944331167,2.3504171621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.034475147618675414,0.018918539081217663,0.014423865412282058,6.0,-9507.090715996814,False,0.125,0.03932488937425026,0.09052485238132459,0.018918539081217663,0.09248059266477571,0.014423865412282058,0.034475147618675414,0.018918539081217663,True,True,0.4490890049,0.0343530285,0.4437288295,0.5344128641,0.0490757549,0.5267554708,0.0229419094,0.03271717,0.0178369805,0.50027979,0.0215559972,0.4763365388,0.0257541293,0.0042268405,0.0206325836,0.4980230423,0.0230911483,0.4690588117,0.425,0.0,0.425,0.0331224561,0.0257548757,0.0187288295,6.4359248603,3.3659452497,9.0,0.3987420478,0.2469124457,0.4501137621,0.0,0.0,0.0,0.0,0.0,0.0,0.0064709342,0.0071858961,0.0186112925,0.0064709342,0.0071858961,0.0186112925,0.0,0.0,0.0
-0.125,0.075,0.0,-0.038504779729016544,0.02482240665500236,0.022566278647848288,6.0,-13987.143096343774,False,0.1457737973711325,0.04581233386465253,0.08649522027098346,-0.050177593344997634,0.09999606994088266,0.022566278647848288,0.04578859908724617,0.0014744923715736236,True,True,0.5307157201,0.0356409366,0.5248445299,0.5438796001,0.0509156238,0.5354921855,0.0292530668,0.0339437492,0.023661457,0.4911733492,0.0324515482,0.5012686849,0.0557935258,0.008603249,0.0469943844,0.4892039301,0.0287586896,0.4894896746,0.5,0.0,0.5,0.0374715229,0.0284537659,0.0248445299,6.8179241764,3.1818767094,9.0,1.2870332594,0.9534711715,0.56443092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.005806798265798627,0.07050737141053826,0.14586709213093677,6.0,-15992.883701175417,False,0.19525624189766635,0.0707460834910546,0.11919320173420138,-0.07949262858946174,0.143269317509759,0.14586709213093677,0.05788268474781417,0.0406768132442603,True,False,0.0214207598,0.0329308384,0.0364396613,0.494980427,0.0782999262,0.552056659,-0.003346382,0.0521999508,0.0347044393,0.921458112,0.1161030183,0.8790714741,0.1065353597,0.0103964593,0.1007138789,0.9319655001,0.0939932486,0.8607819676,0.0,0.0,0.0,0.0214207598,0.0329308384,0.0364396613,7.9054470984,2.3717586848,9.0,1.6584944219,0.8529176005,1.4083968611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.15,0.0,0.05013133570247367,-0.13817206857912737,-0.12110821515662067,6.0,-22362.0279220182,False,0.15,0.14698527597942995,0.05013133570247367,0.011827931420872628,0.051507773986175884,0.12110821515662067,0.13817206857912737,0.05013133570247367,True,False,0.0045126858,0.0138323774,0.0,0.4297958928,0.0636329694,0.3903738484,-0.0468027382,0.0424219796,-0.0730841011,1.6932013059,0.2317866677,1.7491738796,0.0541252733,0.0125286061,0.0712365881,1.6907614446,0.2379360008,1.7532577515,0.0,0.0,0.0,0.0045126858,0.0138323774,0.0,8.968453723,0.3235422136,9.0,0.9753685941,1.3027778102,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.0772481704473241,-0.04861002604774601,0.05657964850637942,6.0,-21716.027000198563,False,0.075,0.09127000859987569,-0.0772481704473241,0.026389973952253988,0.08163155371949918,0.05657964850637942,0.04861002604774601,0.0772481704473241,True,False,0.0062849205,0.0110721064,0.0,0.4745201276,0.0458800502,0.4099384956,-0.0169865816,0.0305867002,-0.0600410029,1.015920825,0.1390719994,1.0495043993,0.0271832982,0.005827852,0.0275823995,1.0201573175,0.1374172959,1.0588184595,0.0,0.0,0.0,0.0062849205,0.0110721064,0.0,8.7316291421,1.2666771757,9.0,1.1648635187,1.3752679954,0.7512229472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.796636321839794e-06,0.00022065437262560467,0.0009583769051403715,6.0,1744.2449482406632,False,0.0,0.0002207590234262023,6.796636321839794e-06,0.00022065437262560467,0.0002207590234262023,0.0009583769051403715,0.0,0.0002207590234262023,True,True,0.549065939,0.0104372647,0.5394793501,0.5700941986,0.0149103781,0.5563990716,0.0467294658,0.0099402521,0.0375993811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,9.76812e-05,0.0003241022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.026781099823590924,0.03052046731822101,0.04675267966851596,6.0,-10765.825869988752,False,0.075,0.040604510009157095,-0.026781099823590924,-0.04447953268177898,0.05191970854454584,0.04675267966851596,0.03052046731822101,0.026781099823590924,True,True,0.0261491673,0.031747027,0.0370598618,0.5240190223,0.0586157815,0.5529426597,0.0160126816,0.0390771877,0.0352951065,0.5528748882,0.0696618143,0.5274428725,0.0284740412,0.0049398356,0.021567354,0.556415821,0.0645109071,0.5250089169,0.0,0.0,0.0,0.0261491673,0.031747027,0.0370598618,6.1169703566,3.3567441137,9.0,0.691673444,0.5333190783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15,0.0,-0.022788981941577056,0.07733846975843305,0.11811527461468607,6.0,-15753.19686746212,False,0.15,0.08062615334064739,-0.022788981941577056,-0.07266153024156695,0.0761513996915334,0.11811527461468607,0.07733846975843305,0.022788981941577056,True,False,0.0196242907,0.0305762833,0.0297265531,0.4852794446,0.0812870489,0.5424665045,-0.0098137036,0.0541913659,0.028311003,0.921458112,0.1161030183,0.8790714741,0.0505463588,0.0052521778,0.0467581525,0.922698529,0.1024129635,0.8662404418,0.0,0.0,0.0,0.0196242907,0.0305762833,0.0297265531,7.8776149422,2.3853916195,9.0,1.1521019688,0.935965445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,-0.15,0.0,0.01569406762178736,-0.11380309950044881,-0.09338705739373616,6.0,-22553.30278528828,False,0.19525624189766635,0.11488015152508411,-0.10930593237821264,0.03619690049955118,0.11514339954528355,0.09338705739373616,0.09747305997912996,0.060798452223154664,True,False,0.0042338485,0.0135690652,0.0,0.4260065908,0.0643097349,0.3744885214,-0.0493289395,0.0428731566,-0.0836743191,1.6932013059,0.2317866677,1.7491738796,0.0985632495,0.0228924059,0.1204880252,1.6902614125,0.2394923477,1.749347806,0.0,0.0,0.0,0.0042338485,0.0135690652,0.0,8.9807397317,0.2023547141,9.0,1.5340106777,1.3903121697,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,-0.075,0.0,0.05698213679204439,0.03074331277247735,0.05973535273110131,6.0,-18414.539002352227,False,0.1457737973711325,0.06474654580449546,-0.06801786320795561,0.10574331277247735,0.125730179000406,0.05973535273110131,0.0330444752619421,0.055679240730064965,True,False,0.4891711439,0.0313936126,0.4463913903,0.4845302055,0.044848018,0.4234162718,-0.0103131963,0.0298986786,-0.0510558188,0.8667869995,0.0456100783,0.8351923227,0.0582033024,0.0088860123,0.0700582638,0.8823339806,0.0450610545,0.8517892957,0.5,0.0,0.5,0.0283294357,0.0173281882,0.0536086097,8.1146742401,2.262548015,9.0,1.4753287504,1.1952517791,1.1500170407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.060015360527238985,-0.017685186196281736,-0.01638695383375473,6.0,-13654.485798136451,False,0.125,0.06256683874075492,-0.06498463947276101,-0.017685186196281736,0.06734811933678536,0.01638695383375473,0.060015360527238985,0.017685186196281736,True,True,0.3980551406,0.0357031611,0.375326035,0.4615073437,0.0510045158,0.4290371928,-0.0256617709,0.0340030105,-0.0473085381,1.1840381547,0.0840728825,1.0552209616,0.0317386228,0.0053159713,0.0388749838,1.1898837803,0.0832713643,1.0624767542,0.425,0.0,0.425,0.0386021038,0.0225968746,0.049673965,8.2051505265,2.1092497644,9.0,0.519237886,0.5549539268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003624714,0.0009346541,0.0,0.0003624714,0.0009346541,0.0,0.0,0.0,0.0
0.125,0.075,0.0,0.05735108170095408,0.010007868653115082,0.032078517491309556,6.0,-18623.479143972192,False,0.1457737973711325,0.05821772932060742,-0.06764891829904593,-0.06499213134688492,0.09381019818783955,0.032078517491309556,0.05432715278343418,0.020925211532811645,True,True,0.4943095973,0.0318758569,0.4697112586,0.4918708533,0.0455369384,0.4567303695,-0.0054194311,0.0303579589,-0.0288464203,0.8662801363,0.0467521702,0.8672245741,0.0570659168,0.0091296551,0.0583820418,0.8821557003,0.0432374498,0.883223772,0.5,0.0,0.5,0.0278317356,0.0165482757,0.0302887414,8.0818140796,2.2828491879,9.0,1.5546536666,1.2063925711,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.15,0.0,-0.01101592586831919,0.07819602178203232,0.1365776963123928,6.0,-16024.817484562049,False,0.19525624189766635,0.07896814829583113,-0.13601592586831918,-0.07180397821796768,0.1538055375392657,0.1365776963123928,0.053019624024058805,0.05852254192719096,True,False,0.0201253957,0.0324139536,0.0262362102,0.4873320142,0.0814307634,0.5374803003,-0.0084453239,0.0542871756,0.0249868669,0.921458112,0.1161030183,0.8790714741,0.0812434099,0.0104176632,0.0724454671,0.924875291,0.0935319817,0.8582984209,0.0,0.0,0.0,0.0201253957,0.0324139536,0.0262362102,7.9621597158,2.1455507011,9.0,1.7540554245,1.1347439863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.15,0.0,0.07843843215895512,0.007161749050503354,0.03306086101335848,6.0,-22247.76200331441,False,0.291547594742265,0.07876470204994995,-0.17156156784104487,0.15716174905050334,0.2326653969216111,0.03306086101335848,0.06357571119236625,0.04649738955470756,True,True,0.4592660494,0.0397611763,0.4395425707,0.4418086421,0.0568016804,0.4136322439,-0.0387942386,0.0378677869,-0.0575785041,1.4315291603,0.0673340011,1.376357317,0.1250325199,0.0230081294,0.1521026939,1.4564488435,0.0627730363,1.4182360172,0.5,0.0,0.5,0.0481502173,0.0303605409,0.0604574293,8.6898053369,1.2375416909,9.0,1.9415219346,1.1694693381,0.4370002911,1.0,0.0,1.0,1.8002450687,1.196969298,0.1870002911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
