terrain,policy_mode,gait_blend,mean_speed_mm_s,mean_lateral_drift_mm,mean_action_l2_per_m,mean_path_efficiency,mean_slip_proxy,mean_propulsion_efficiency_m_per_action_l2,success_rate,termination_rate,model_path
flat,random,0.0,13.856215064315178,168.49403345080012,47531.079196716186,0.04712022090916692,0.952879779090833,4.7156213502235945e-05,1.0,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_flat_random\best_model.zip
flat,random,0.25,11.73186934894851,107.73173758922476,219322.7972185549,0.04153508254296482,0.9584649174570352,3.9472649983531513e-05,0.8,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_flat_random\best_model.zip
flat,random,0.5,16.657119535814356,99.84290008638722,24685.836419123887,0.06096415326751172,0.9390358467324884,5.5736445622491696e-05,1.0,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_flat_random\best_model.zip
flat,random,0.75,9.3093616345037,180.11786477318844,54826.11513272376,0.0382744035036132,0.9617255964963869,3.1524937018941224e-05,0.8,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_flat_random\best_model.zip
flat,random,1.0,9.25890339063985,137.15372354953908,36722.33038797909,0.042781913728932176,0.9572180862710677,3.132648005949459e-05,1.0,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_flat_random\best_model.zip
sand,random,0.0,-3.737009160155555,305.29080703061817,2652412163.2609134,0.006917842497423238,0.9930821575025768,8.456297025253729e-06,0.2,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_sand_random\best_model.zip
sand,random,0.25,-2.4737271867124124,369.5361915390502,3280984218.145755,0.011210477727180038,0.9887895222728199,1.293670522808877e-05,0.2,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_sand_random\best_model.zip
sand,random,0.5,-0.5321934056118245,373.50165993083056,3379476670.2764616,0.011168241966955766,0.9888317580330442,1.5121730875092188e-05,0.2,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_sand_random\best_model.zip
sand,random,0.75,3.936065362421682,454.17985001390645,1705279324.8637288,0.027401010696458644,0.9725989893035415,3.101211807181029e-05,0.6,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_sand_random\best_model.zip
sand,random,1.0,4.879947321217933,444.7448080495141,974420834.0141776,0.021920399372339867,0.9780796006276601,2.2151812058990583e-05,0.6,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_sand_random\best_model.zip
slope,random,0.0,-2.086117105365796,438.88578174735807,4938631714.022131,0.01385919015463985,0.9861408098453601,3.900771485018658e-06,0.4,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_slope_random\best_model.zip
slope,random,0.25,-6.930714911218513,448.682602333011,6401103926.637823,0.001221754202405542,0.9987782457975944,2.7681250541684517e-07,0.0,0.2,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_slope_random\best_model.zip
slope,random,0.5,-6.991616084540504,474.81394816745626,6257644650.795956,0.0017006829585496277,0.9982993170414503,4.305847937244341e-07,0.0,0.2,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_slope_random\best_model.zip
slope,random,0.75,-7.959978401125147,475.8986732907047,7801108845.472336,0.0,1.0,0.0,0.0,0.0,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_slope_random\best_model.zip
slope,random,1.0,-16.41047957780427,481.3606019006936,6801333770.537376,0.0,1.0,0.0,0.0,0.4,D:\inovxio\thirdparty\simulation\worm_project\runs\worm_v6_ppo_slope_random\best_model.zip
