target_compression_mm,target_compression_m,actual_compression_mm,actual_compression_m,compression_mm,compression_m,mean_qpos_m,mean_force_n,std_force_n,max_force_n
0.000,0.000000,0.000,0.000000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000,0.005000,2.672,0.002672,5.000,0.005000,0.002672,9.314454,0.358593,9.960087
10.000,0.010000,7.835,0.007835,10.000,0.010000,0.007835,8.663402,0.237281,9.129266
15.000,0.015000,12.821,0.012821,15.000,0.015000,0.012821,8.714592,0.036992,8.798591
20.000,0.020000,17.670,0.017670,20.000,0.020000,0.017670,9.319216,0.001105,9.323896
25.000,0.025000,22.525,0.022525,25.000,0.025000,0.022525,9.899659,0.006504,9.907868
30.000,0.030000,27.390,0.027390,30.000,0.030000,0.027390,10.439984,0.005675,10.448249
35.000,0.035000,32.261,0.032261,35.000,0.035000,0.032261,10.957103,0.003892,10.964984
40.000,0.040000,37.134,0.037134,40.000,0.040000,0.037134,11.465774,0.003392,11.473738
45.000,0.045000,42.006,0.042006,45.000,0.045000,0.042006,11.976841,0.003947,11.984970
50.000,0.050000,46.875,0.046875,50.000,0.050000,0.046875,12.498531,0.004561,12.506528
