mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
combined,0.000000,0,head,base_link,-0.000020150,0.000000006,0.087359753,-0.000000,0.000000,0.000000,87.359753
combined,0.000000,1,seg1,back1_Link,-0.150997516,0.000000006,0.085826734,-0.000000,0.000000,0.000000,85.826734
combined,0.000000,2,seg2,back2_Link,-0.326492016,0.000000006,0.085828662,-0.000000,0.000000,0.000000,85.828662
combined,0.000000,3,seg3,back3_Link,-0.501993351,0.000000006,0.085830467,-0.000000,0.000000,0.000000,85.830467
combined,0.000000,4,seg4,back4_Link,-0.677496649,0.000000006,0.085832237,-0.000000,0.000000,0.000000,85.832237
combined,0.000000,5,seg5,back5_Link,-0.853001494,0.000000006,0.085833978,-0.000000,0.000000,0.000000,85.833978
combined,0.000000,6,seg6,back6_Link,-1.028507169,0.000000006,0.085835705,-0.000000,0.000000,0.000000,85.835705
combined,0.020000,0,head,base_link,-0.008372394,0.001038811,0.089028722,8.352244,1.038805,1.668970,89.028722
combined,0.020000,1,seg1,back1_Link,-0.155697745,-0.001586480,0.088501853,4.700229,-1.586485,2.675119,88.501853
combined,0.020000,2,seg2,back2_Link,-0.326232796,-0.003937777,0.089683712,-0.259220,-3.937783,3.855050,89.683712
combined,0.020000,3,seg3,back3_Link,-0.498622282,0.002910719,0.090867496,-3.371069,2.910713,5.037029,90.867496
combined,0.020000,4,seg4,back4_Link,-0.674170752,0.007064811,0.092008901,-3.325897,7.064806,6.176665,92.008901
combined,0.020000,5,seg5,back5_Link,-0.849935752,0.000227911,0.093113322,-3.065742,0.227905,7.279343,93.113322
combined,0.020000,6,seg6,back6_Link,-1.025433118,-0.000974330,0.094239277,-3.074051,-0.974335,8.403572,94.239277
combined,0.040000,0,head,base_link,-0.028652606,0.000889926,0.087238165,28.632456,0.889920,-0.121587,87.238165
combined,0.040000,1,seg1,back1_Link,-0.168436162,-0.004003303,0.087615547,17.438646,-4.003308,1.788813,87.615547
combined,0.040000,2,seg2,back2_Link,-0.327161264,-0.007439282,0.089861550,0.669248,-7.439287,4.032888,89.861550
combined,0.040000,3,seg3,back3_Link,-0.491194476,0.007201167,0.092066246,-10.798875,7.201162,6.235779,92.066246
combined,0.040000,4,seg4,back4_Link,-0.666349426,0.015986069,0.094213413,-11.147222,15.986063,8.381177,94.213413
combined,0.040000,5,seg5,back5_Link,-0.841707263,0.000428965,0.096339596,-11.294231,0.428959,10.505618,96.339596
combined,0.040000,6,seg6,back6_Link,-1.016825006,-0.004374927,0.098481397,-11.682163,-4.374932,12.645692,98.481397
combined,0.060000,0,head,base_link,-0.041315023,0.001170358,0.087388478,41.294873,1.170352,0.028725,87.388478
combined,0.060000,1,seg1,back1_Link,-0.182442896,-0.005645690,0.087368310,31.445380,-5.645696,1.541576,87.368310
combined,0.060000,2,seg2,back2_Link,-0.329856521,-0.009783597,0.089265576,3.364505,-9.783603,3.436914,89.265576
combined,0.060000,3,seg3,back3_Link,-0.482779174,0.010071832,0.091021156,-19.214177,10.071826,5.190689,91.021156
combined,0.060000,4,seg4,back4_Link,-0.655653872,0.021666463,0.092639655,-21.842777,21.666458,6.807418,92.639655
combined,0.060000,5,seg5,back5_Link,-0.830466029,-0.000153224,0.094307064,-22.535466,-0.153230,8.473086,94.307064
combined,0.060000,6,seg6,back6_Link,-1.003682593,-0.004448019,0.095963072,-24.824576,-4.448025,10.127367,95.963072
combined,0.080000,0,head,base_link,-0.056250449,0.003897989,0.087769729,56.230299,3.897983,0.409977,87.769729
combined,0.080000,1,seg1,back1_Link,-0.190050931,-0.006518288,0.086475533,39.053415,-6.518294,0.648798,86.475533
combined,0.080000,2,seg2,back2_Link,-0.332499523,-0.013382211,0.087002553,6.007507,-13.382217,1.173891,87.002553
combined,0.080000,3,seg3,back3_Link,-0.477056852,0.008153427,0.087445558,-24.936500,8.153422,1.615091,87.445558
combined,0.080000,4,seg4,back4_Link,-0.643869625,0.022346560,0.087495597,-33.627024,22.346554,1.663360,87.495597
combined,0.080000,5,seg5,back5_Link,-0.818009000,-0.000287892,0.087399545,-34.992494,-0.287898,1.565566,87.399545
combined,0.080000,6,seg6,back6_Link,-0.986589774,0.002354639,0.087416485,-41.917395,2.354633,1.580780,87.416485
combined,0.100000,0,head,base_link,-0.070594873,0.006624277,0.087223414,70.574723,6.624271,-0.136339,87.223414
combined,0.100000,1,seg1,back1_Link,-0.191567273,-0.006264348,0.085567533,40.569757,-6.264354,-0.259202,85.567533
combined,0.100000,2,seg2,back2_Link,-0.334329752,-0.015643048,0.085394881,7.837735,-15.643053,-0.433781,85.394881
combined,0.100000,3,seg3,back3_Link,-0.474788860,0.006178888,0.085278316,-27.204492,6.178883,-0.552151,85.278316
combined,0.100000,4,seg4,back4_Link,-0.636547742,0.021412876,0.084676141,-40.948907,21.412870,-1.156096,84.676141
combined,0.100000,5,seg5,back5_Link,-0.810653287,-0.000776699,0.083723427,-42.348208,-0.776704,-2.110551,83.723427
combined,0.100000,6,seg6,back6_Link,-0.974430387,0.007961736,0.083054961,-54.076782,7.961730,-2.780743,83.054961
combined,0.120000,0,head,base_link,-0.077402504,0.009253036,0.088939409,77.382355,9.253030,1.579656,88.939409
combined,0.120000,1,seg1,back1_Link,-0.190988463,-0.005446644,0.087892212,39.990947,-5.446650,2.065478,87.892212
combined,0.120000,2,seg2,back2_Link,-0.334490123,-0.016234025,0.088233747,7.998107,-16.234031,2.405085,88.233747
combined,0.120000,3,seg3,back3_Link,-0.475783012,0.006194266,0.088514929,-26.210339,6.194260,2.684462,88.514929
combined,0.120000,4,seg4,back4_Link,-0.634775860,0.020445769,0.088481091,-42.720789,20.445764,2.648855,88.481091
combined,0.120000,5,seg5,back5_Link,-0.808181849,-0.001924566,0.088225304,-44.819645,-1.924572,2.391326,88.225304
combined,0.120000,6,seg6,back6_Link,-0.968669282,0.008964510,0.088154074,-59.837887,8.964504,2.318369,88.154074
combined,0.140000,0,head,base_link,-0.077900528,0.012652384,0.087200978,77.880378,12.652379,-0.158774,87.200978
combined,0.140000,1,seg1,back1_Link,-0.190622665,-0.004554262,0.086740317,39.625149,-4.554268,0.913583,86.740317
combined,0.140000,2,seg2,back2_Link,-0.333855271,-0.016673510,0.087761434,7.363255,-16.673515,1.932772,87.761434
combined,0.140000,3,seg3,back3_Link,-0.476436136,0.005826770,0.088507715,-25.557216,5.826765,2.677248,88.507715
combined,0.140000,4,seg4,back4_Link,-0.637157138,0.018510749,0.089061789,-40.339510,18.510743,3.229553,89.061789
combined,0.140000,5,seg5,back5_Link,-0.806608773,-0.002674674,0.089722361,-46.392721,-2.674679,3.888383,89.722361
combined,0.140000,6,seg6,back6_Link,-0.963435375,0.010090270,0.090318438,-65.071794,10.090264,4.482733,90.318438
combined,0.160000,0,head,base_link,-0.078967996,0.013138104,0.086534993,78.947846,13.138098,-0.824759,86.534993
combined,0.160000,1,seg1,back1_Link,-0.189863685,-0.005103640,0.085660279,38.866169,-5.103646,-0.166455,85.660279
combined,0.160000,2,seg2,back2_Link,-0.333136592,-0.017280592,0.086168221,6.644576,-17.280597,0.339559,86.168221
combined,0.160000,3,seg3,back3_Link,-0.477427253,0.005965497,0.086569090,-24.566099,5.965491,0.738623,86.569090
combined,0.160000,4,seg4,back4_Link,-0.640890980,0.017133281,0.086649081,-36.605668,17.133276,0.816844,86.649081
combined,0.160000,5,seg5,back5_Link,-0.807031842,-0.003199122,0.086730033,-45.969653,-3.199128,0.896054,86.730033
combined,0.160000,6,seg6,back6_Link,-0.959945725,0.010448219,0.086983855,-68.561444,10.448213,1.148150,86.983855
combined,0.180000,0,head,base_link,-0.079555115,0.013550001,0.087400222,79.534965,13.549995,0.040469,87.400222
combined,0.180000,1,seg1,back1_Link,-0.189685664,-0.005501953,0.085987213,38.688148,-5.501959,0.160479,85.987213
combined,0.180000,2,seg2,back2_Link,-0.332922056,-0.017344174,0.085807246,6.430040,-17.344180,-0.021416,85.807246
combined,0.180000,3,seg3,back3_Link,-0.478708937,0.006759684,0.085560590,-23.284414,6.759679,-0.269877,85.560590
combined,0.180000,4,seg4,back4_Link,-0.642943925,0.016564740,0.084891176,-34.552724,16.564734,-0.941061,84.891176
combined,0.180000,5,seg5,back5_Link,-0.808184777,-0.003564657,0.084182975,-44.816717,-3.564663,-1.651003,84.182975
combined,0.180000,6,seg6,back6_Link,-0.958503842,0.010466287,0.083822095,-70.003326,10.466281,-2.013610,83.822095
combined,0.200000,0,head,base_link,-0.078216772,0.014501745,0.087872479,78.196623,14.501739,0.512727,87.872479
combined,0.200000,1,seg1,back1_Link,-0.189131530,-0.005817560,0.086484009,38.134014,-5.817565,0.657275,86.484009
combined,0.200000,2,seg2,back2_Link,-0.332295420,-0.017373251,0.086356986,5.803404,-17.373257,0.528324,86.356986
combined,0.200000,3,seg3,back3_Link,-0.479774735,0.007697789,0.086102081,-22.218617,7.697783,0.271614,86.102081
combined,0.200000,4,seg4,back4_Link,-0.643607941,0.016344376,0.085485658,-33.888708,16.344370,-0.346578,85.485658
combined,0.200000,5,seg5,back5_Link,-0.808908755,-0.003726640,0.084842169,-44.092739,-3.726645,-0.991809,84.842169
combined,0.200000,6,seg6,back6_Link,-0.957840229,0.010672468,0.084551620,-70.666939,10.672462,-1.284085,84.551620
combined,0.220000,0,head,base_link,-0.075675986,0.014912130,0.087070824,75.655836,14.912124,-0.288929,87.070824
combined,0.220000,1,seg1,back1_Link,-0.187514363,-0.006448576,0.085976506,36.516847,-6.448582,0.149772,85.976506
combined,0.220000,2,seg2,back2_Link,-0.330660812,-0.017388061,0.086250092,4.168796,-17.388067,0.421430,86.250092
combined,0.220000,3,seg3,back3_Link,-0.480728550,0.008947827,0.086340557,-21.264802,8.947821,0.510090,86.340557
combined,0.220000,4,seg4,back4_Link,-0.644500926,0.016245833,0.086174366,-32.995722,16.245827,0.342129,86.174366
combined,0.220000,5,seg5,back5_Link,-0.810025645,-0.003665955,0.085994178,-42.975849,-3.665961,0.160200,85.994178
combined,0.220000,6,seg6,back6_Link,-0.957828970,0.011373237,0.086132561,-70.678199,11.373231,0.296857,86.132561
combined,0.240000,0,head,base_link,-0.074565165,0.015264438,0.086949142,74.545015,15.264432,-0.410610,86.949142
combined,0.240000,1,seg1,back1_Link,-0.185815238,-0.006576544,0.085888823,34.817722,-6.576550,0.062089,85.888823
combined,0.240000,2,seg2,back2_Link,-0.328974772,-0.016796855,0.086190648,2.482756,-16.796860,0.361986,86.190648
combined,0.240000,3,seg3,back3_Link,-0.482008625,0.010564381,0.086250495,-19.984726,10.564375,0.420028,86.250495
combined,0.240000,4,seg4,back4_Link,-0.647418658,0.015854497,0.086082796,-30.077991,15.854491,0.250560,86.082796
combined,0.240000,5,seg5,back5_Link,-0.811483677,-0.003869720,0.085967371,-41.517817,-3.869726,0.133393,85.967371
combined,0.240000,6,seg6,back6_Link,-0.958103725,0.011696846,0.086157667,-70.403444,11.696840,0.321962,86.157667
combined,0.260000,0,head,base_link,-0.073519435,0.015645455,0.087039715,73.499285,15.645450,-0.320038,87.039715
combined,0.260000,1,seg1,back1_Link,-0.184077761,-0.006613815,0.085966100,33.080245,-6.613821,0.139366,85.966100
combined,0.260000,2,seg2,back2_Link,-0.327186557,-0.016162501,0.086232800,0.694541,-16.162506,0.404138,86.232800
combined,0.260000,3,seg3,back3_Link,-0.483628769,0.012199149,0.086182890,-18.364583,12.199143,0.352423,86.182890
combined,0.260000,4,seg4,back4_Link,-0.650029038,0.015589814,0.085952095,-27.467611,15.589808,0.119858,85.952095
combined,0.260000,5,seg5,back5_Link,-0.812915663,-0.003974631,0.085821907,-40.085831,-3.974636,-0.012071,85.821907
combined,0.260000,6,seg6,back6_Link,-0.958220092,0.011924365,0.086000669,-70.287077,11.924359,0.164964,86.000669
combined,0.280000,0,head,base_link,-0.072178528,0.016026377,0.087109344,72.158379,16.026371,-0.250408,87.109344
combined,0.280000,1,seg1,back1_Link,-0.182178137,-0.006640068,0.086035657,31.180621,-6.640073,0.208923,86.035657
combined,0.280000,2,seg2,back2_Link,-0.325501186,-0.015452172,0.086291292,-0.990830,-15.452177,0.462630,86.291292
combined,0.280000,3,seg3,back3_Link,-0.484827818,0.013766902,0.086191910,-17.165533,13.766896,0.361443,86.191910
combined,0.280000,4,seg4,back4_Link,-0.652045650,0.015367309,0.085941493,-25.450999,15.367304,0.109256,85.941493
combined,0.280000,5,seg5,back5_Link,-0.814307655,-0.004089575,0.085814798,-38.693839,-4.089581,-0.019181,85.814798
combined,0.280000,6,seg6,back6_Link,-0.957986593,0.011908700,0.086031092,-70.520576,11.908695,0.195387,86.031092
combined,0.300000,0,head,base_link,-0.070404702,0.016448266,0.087069489,70.384553,16.448260,-0.290264,87.069489
combined,0.300000,1,seg1,back1_Link,-0.179916758,-0.006640908,0.086020756,28.919242,-6.640914,0.194021,86.020756
combined,0.300000,2,seg2,back2_Link,-0.324574217,-0.014638589,0.086272580,-1.917799,-14.638594,0.443918,86.272580
combined,0.300000,3,seg3,back3_Link,-0.486409701,0.015321558,0.086154738,-15.583650,15.321552,0.324271,86.154738
combined,0.300000,4,seg4,back4_Link,-0.654147754,0.015181970,0.085920993,-23.348895,15.181964,0.088756,85.920993
combined,0.300000,5,seg5,back5_Link,-0.815632780,-0.004151594,0.085836399,-37.368714,-4.151599,0.002421,85.836399
combined,0.300000,6,seg6,back6_Link,-0.957554673,0.011784574,0.086116196,-70.952495,11.784568,0.280491,86.116196
combined,0.320000,0,head,base_link,-0.068148744,0.017013087,0.087064253,68.128594,17.013081,-0.295499,87.064253
combined,0.320000,1,seg1,back1_Link,-0.177660390,-0.006621572,0.086033606,26.662874,-6.621578,0.206872,86.033606
