mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
snake,0.000000,0,head,base_link,-0.000020150,0.000000006,0.087359753,-0.000000,0.000000,0.000000,87.359753
snake,0.000000,1,seg1,back1_Link,-0.150997516,0.000000006,0.085826734,-0.000000,0.000000,0.000000,85.826734
snake,0.000000,2,seg2,back2_Link,-0.326492016,0.000000006,0.085828662,-0.000000,0.000000,0.000000,85.828662
snake,0.000000,3,seg3,back3_Link,-0.501993351,0.000000006,0.085830467,-0.000000,0.000000,0.000000,85.830467
snake,0.000000,4,seg4,back4_Link,-0.677496649,0.000000006,0.085832237,-0.000000,0.000000,0.000000,85.832237
snake,0.000000,5,seg5,back5_Link,-0.853001494,0.000000006,0.085833978,-0.000000,0.000000,0.000000,85.833978
snake,0.000000,6,seg6,back6_Link,-1.028507169,0.000000006,0.085835705,-0.000000,0.000000,0.000000,85.835705
snake,0.020000,0,head,base_link,0.000196252,0.000985498,0.088958009,-0.216402,0.985492,1.598257,88.958009
snake,0.020000,1,seg1,back1_Link,-0.150810047,-0.001681622,0.088430193,-0.187469,-1.681628,2.603459,88.430193
snake,0.020000,2,seg2,back2_Link,-0.326353375,-0.004072753,0.089602422,-0.138641,-4.072758,3.773760,89.602422
snake,0.020000,3,seg3,back3_Link,-0.501644786,0.002983597,0.090800013,-0.348565,2.983592,4.969546,90.800013
snake,0.020000,4,seg4,back4_Link,-0.677050302,0.007130444,0.091990426,-0.446347,7.130439,6.158190,91.990426
snake,0.020000,5,seg5,back5_Link,-0.852418841,0.000283269,0.093148491,-0.582653,0.283264,7.314512,93.148491
snake,0.020000,6,seg6,back6_Link,-1.027833421,-0.000953173,0.094323526,-0.673748,-0.953178,8.487821,94.323526
snake,0.040000,0,head,base_link,-0.000210393,0.001047666,0.086973861,0.190243,1.047660,-0.385891,86.973861
snake,0.040000,1,seg1,back1_Link,-0.151268396,-0.004338154,0.087385682,0.270880,-4.338159,1.558948,87.385682
snake,0.040000,2,seg2,back2_Link,-0.326885280,-0.008192680,0.089654666,0.393264,-8.192685,3.826004,89.654666
snake,0.040000,3,seg3,back3_Link,-0.501342055,0.007787422,0.091955360,-0.651297,7.787416,6.124893,91.955360
snake,0.040000,4,seg4,back4_Link,-0.676391737,0.016359161,0.094246741,-1.104911,16.359156,8.414505,94.246741
snake,0.040000,5,seg5,back5_Link,-0.851109565,0.000619080,0.096473663,-1.891929,0.619074,10.639685,96.473663
snake,0.040000,6,seg6,back6_Link,-1.026172694,-0.004431981,0.098733398,-2.334474,-4.431987,12.897693,98.733398
snake,0.060000,0,head,base_link,-0.001095414,0.001399994,0.086346301,1.075264,1.399988,-1.013451,86.346301
snake,0.060000,1,seg1,back1_Link,-0.152111073,-0.006460705,0.086633352,1.113557,-6.460711,0.806618,86.633352
snake,0.060000,2,seg2,back2_Link,-0.327698482,-0.011688876,0.088747398,1.206466,-11.688882,2.918736,88.747398
snake,0.060000,3,seg3,back3_Link,-0.500736210,0.011924056,0.090790839,-1.257141,11.924050,4.960372,90.790839
snake,0.060000,4,seg4,back4_Link,-0.675169790,0.022804738,0.092867695,-2.326859,22.804733,7.035458,92.867695
snake,0.060000,5,seg5,back5_Link,-0.849354637,0.000259127,0.094979170,-3.646857,0.259121,9.145192,94.979170
snake,0.060000,6,seg6,back6_Link,-1.024020701,-0.004763694,0.097079648,-4.486468,-4.763700,11.243943,97.079648
snake,0.080000,0,head,base_link,-0.002059897,0.002151229,0.087304767,2.039747,2.151224,-0.054986,87.304767
snake,0.080000,1,seg1,back1_Link,-0.152641604,-0.009187490,0.086361366,1.644089,-9.187496,0.534631,86.361366
snake,0.080000,2,seg2,back2_Link,-0.328236653,-0.016952175,0.087011812,1.744637,-16.952180,1.183149,87.011812
snake,0.080000,3,seg3,back3_Link,-0.500358991,0.011384512,0.087421630,-1.634360,11.384506,1.591163,87.421630
snake,0.080000,4,seg4,back4_Link,-0.674096885,0.024447653,0.087938761,-3.399764,24.447647,2.106524,87.938761
snake,0.080000,5,seg5,back5_Link,-0.847733892,0.000413049,0.088681155,-5.267602,0.413043,2.847177,88.681155
snake,0.080000,6,seg6,back6_Link,-1.021318435,0.002092890,0.089272331,-7.188734,2.092885,3.436626,89.272331
snake,0.100000,0,head,base_link,-0.003051763,0.003377029,0.088284560,3.031614,3.377023,0.924807,88.284560
snake,0.100000,1,seg1,back1_Link,-0.152950758,-0.011783176,0.086123947,1.953242,-11.783182,0.297213,86.123947
snake,0.100000,2,seg2,back2_Link,-0.328458770,-0.021533203,0.085389801,1.966753,-21.533208,-0.438861,85.389801
snake,0.100000,3,seg3,back3_Link,-0.499991274,0.009469460,0.084725753,-2.002077,9.469455,-1.104714,84.725753
snake,0.100000,4,seg4,back4_Link,-0.673146148,0.023774130,0.084044270,-4.350501,23.774124,-1.787967,84.044270
snake,0.100000,5,seg5,back5_Link,-0.846857700,0.000267104,0.083296273,-6.143795,0.267098,-2.537705,83.296273
snake,0.100000,6,seg6,back6_Link,-1.019241202,0.008954891,0.082615315,-9.265967,8.954885,-3.220390,82.615315
snake,0.120000,0,head,base_link,-0.003763393,0.007106680,0.087945316,3.743244,7.106674,0.585563,87.945316
snake,0.120000,1,seg1,back1_Link,-0.152949367,-0.011530355,0.086526177,1.951851,-11.530361,0.699443,86.526177
snake,0.120000,2,seg2,back2_Link,-0.328221561,-0.022730159,0.086672914,1.729545,-22.730164,0.844252,86.672914
snake,0.120000,3,seg3,back3_Link,-0.499785960,0.009259733,0.086921589,-2.207392,9.259728,1.091122,86.921589
snake,0.120000,4,seg4,back4_Link,-0.672209190,0.023034976,0.087150867,-5.287459,23.034971,1.318631,87.150867
snake,0.120000,5,seg5,back5_Link,-0.846400356,-0.000719102,0.087251744,-6.601139,-0.719108,1.417765,87.251744
snake,0.120000,6,seg6,back6_Link,-1.018268559,0.010809575,0.087470572,-10.238610,10.809570,1.634867,87.470572
snake,0.140000,0,head,base_link,-0.003964708,0.009826846,0.086589553,3.944559,9.826841,-0.770200,86.589553
snake,0.140000,1,seg1,back1_Link,-0.153124092,-0.011335175,0.085881107,2.126576,-11.335181,0.054373,85.881107
snake,0.140000,2,seg2,back2_Link,-0.328078340,-0.023162792,0.086788699,1.586324,-23.162798,0.960037,86.788699
snake,0.140000,3,seg3,back3_Link,-0.499007087,0.008594918,0.087494565,-2.986264,8.594913,1.664098,87.494565
