mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
worm,0.000000,0,head,base_link,-0.000020150,0.000000006,0.087359753,-0.000000,0.000000,0.000000,87.359753
worm,0.000000,1,seg1,back1_Link,-0.150997516,0.000000006,0.085826734,-0.000000,0.000000,0.000000,85.826734
worm,0.000000,2,seg2,back2_Link,-0.326492016,0.000000006,0.085828662,-0.000000,0.000000,0.000000,85.828662
worm,0.000000,3,seg3,back3_Link,-0.501993351,0.000000006,0.085830467,-0.000000,0.000000,0.000000,85.830467
worm,0.000000,4,seg4,back4_Link,-0.677496649,0.000000006,0.085832237,-0.000000,0.000000,0.000000,85.832237
worm,0.000000,5,seg5,back5_Link,-0.853001494,0.000000006,0.085833978,-0.000000,0.000000,0.000000,85.833978
worm,0.000000,6,seg6,back6_Link,-1.028507169,0.000000006,0.085835705,-0.000000,0.000000,0.000000,85.835705
worm,0.020000,0,head,base_link,-0.003254637,0.000000006,0.087625967,3.234488,0.000000,0.266214,87.625967
worm,0.020000,1,seg1,back1_Link,-0.152446090,0.000000006,0.086072001,1.448574,-0.000000,0.245267,86.072001
worm,0.020000,2,seg2,back2_Link,-0.326427013,0.000000005,0.086039263,-0.065004,-0.000001,0.210600,86.039263
worm,0.020000,3,seg3,back3_Link,-0.501046368,0.000000005,0.085994797,-0.946984,-0.000000,0.164330,85.994797
worm,0.020000,4,seg4,back4_Link,-0.676687149,0.000000006,0.085931569,-0.809500,0.000000,0.099332,85.931569
worm,0.020000,5,seg5,back5_Link,-0.852528184,0.000000006,0.085864663,-0.473310,0.000001,0.030685,85.864663
worm,0.020000,6,seg6,back6_Link,-1.028070543,0.000000007,0.085803243,-0.436625,0.000001,-0.032462,85.803243
worm,0.040000,0,head,base_link,-0.014371724,0.000000005,0.087426278,14.351574,-0.000001,0.066525,87.426278
worm,0.040000,1,seg1,back1_Link,-0.158583908,0.000000005,0.085983329,7.586392,-0.000001,0.156594,85.983329
worm,0.040000,2,seg2,back2_Link,-0.326494486,0.000000005,0.086084857,0.002470,-0.000001,0.256195,86.084857
worm,0.040000,3,seg3,back3_Link,-0.498784738,0.000000005,0.086106531,-3.208614,-0.000001,0.276064,86.106531
worm,0.040000,4,seg4,back4_Link,-0.674721325,0.000000006,0.086061722,-2.775323,0.000000,0.229485,86.061722
worm,0.040000,5,seg5,back5_Link,-0.850998755,0.000000007,0.086010698,-2.002740,0.000001,0.176720,86.010698
worm,0.040000,6,seg6,back6_Link,-1.026580265,0.000000009,0.085972363,-1.926904,0.000003,0.136658,85.972363
worm,0.060000,0,head,base_link,-0.024673642,0.000000003,0.087521035,24.653492,-0.000003,0.161283,87.521035
worm,0.060000,1,seg1,back1_Link,-0.164859424,0.000000003,0.086091478,13.861908,-0.000002,0.264744,86.091478
worm,0.060000,2,seg2,back2_Link,-0.327101816,0.000000004,0.086226904,0.609800,-0.000001,0.398242,86.226904
worm,0.060000,3,seg3,back3_Link,-0.495380005,0.000000005,0.086249695,-6.613347,-0.000001,0.419228,86.249695
