mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
combined,0.000000,0,head,base_link,-0.000019163,0.000000006,0.086860548,-0.000000,0.000000,0.000000,86.860548
combined,0.000000,1,seg1,back1_Link,-0.150996510,0.000000005,0.085329344,-0.000000,0.000000,0.000000,85.329344
combined,0.000000,2,seg2,back2_Link,-0.326490973,0.000000005,0.085333382,-0.000000,0.000000,0.000000,85.333382
combined,0.000000,3,seg3,back3_Link,-0.501992308,0.000000005,0.085337295,-0.000000,0.000000,0.000000,85.337295
combined,0.000000,4,seg4,back4_Link,-0.677495607,0.000000005,0.085341174,-0.000000,0.000000,0.000000,85.341174
combined,0.000000,5,seg5,back5_Link,-0.853000455,0.000000005,0.085345024,-0.000000,0.000000,0.000000,85.345024
combined,0.000000,6,seg6,back6_Link,-1.028506129,0.000000005,0.085348860,-0.000000,0.000000,0.000000,85.348860
combined,0.020000,0,head,base_link,-0.003325437,0.000543801,0.087925007,3.306274,0.543796,1.064460,87.925007
combined,0.020000,1,seg1,back1_Link,-0.152764256,-0.000462058,0.086428495,1.767745,-0.462064,1.099151,86.428495
combined,0.020000,2,seg2,back2_Link,-0.326312324,-0.000956184,0.086472090,-0.178649,-0.956189,1.138708,86.472090
combined,0.020000,3,seg3,back3_Link,-0.500342461,0.000750820,0.086494793,-1.649846,0.750814,1.157497,86.494793
combined,0.020000,4,seg4,back4_Link,-0.675931727,0.001512344,0.086494722,-1.563880,1.512338,1.153548,86.494722
combined,0.020000,5,seg5,back5_Link,-0.851755141,-0.000637923,0.086506104,-1.245314,-0.637928,1.161080,86.506104
combined,0.020000,6,seg6,back6_Link,-1.027293047,-0.000681725,0.086511231,-1.213082,-0.681730,1.162372,86.511231
combined,0.040000,0,head,base_link,-0.017180454,0.002987761,0.087917127,17.161291,2.987755,1.056579,87.917127
combined,0.040000,1,seg1,back1_Link,-0.160698564,-0.002488156,0.086507291,9.702054,-2.488161,1.177947,86.507291
combined,0.040000,2,seg2,back2_Link,-0.326136408,-0.006829929,0.086665885,-0.354565,-6.829934,1.332503,86.665885
combined,0.040000,3,seg3,back3_Link,-0.495882436,0.000929872,0.086662305,-6.109871,0.929867,1.325009,86.662305
combined,0.040000,4,seg4,back4_Link,-0.671582742,0.005972938,0.086570364,-5.912865,5.972933,1.229190,86.570364
combined,0.040000,5,seg5,back5_Link,-0.847593378,-0.002273623,0.086556007,-5.407077,-2.273628,1.210983,86.556007
combined,0.040000,6,seg6,back6_Link,-1.023093417,-0.002372202,0.086500173,-5.412712,-2.372207,1.151313,86.500173
combined,0.060000,0,head,base_link,-0.033267521,0.001984292,0.087114580,33.248358,1.984287,0.254032,87.114580
combined,0.060000,1,seg1,back1_Link,-0.169922636,-0.005717198,0.085605133,18.926126,-5.717204,0.275789,85.605133
combined,0.060000,2,seg2,back2_Link,-0.327243521,-0.011952679,0.085689250,0.752548,-11.952684,0.355868,85.689250
combined,0.060000,3,seg3,back3_Link,-0.490916791,0.001870235,0.085804578,-11.075516,1.870230,0.467282,85.804578
combined,0.060000,4,seg4,back4_Link,-0.666419122,0.011256578,0.085664362,-11.076485,11.256573,0.323188,85.664362
combined,0.060000,5,seg5,back5_Link,-0.841837739,-0.003373343,0.085313807,-11.162716,-3.373349,-0.031218,85.313807
combined,0.060000,6,seg6,back6_Link,-1.016402387,-0.003620250,0.085107843,-12.103742,-3.620256,-0.241017,85.107843
combined,0.080000,0,head,base_link,-0.044607433,0.003359959,0.087378137,44.588270,3.359953,0.517590,87.378137
combined,0.080000,1,seg1,back1_Link,-0.175461920,-0.005281291,0.085924686,24.465410,-5.281296,0.595342,85.924686
combined,0.080000,2,seg2,back2_Link,-0.327542825,-0.013542882,0.086022724,1.051852,-13.542887,0.689343,86.022724
combined,0.080000,3,seg3,back3_Link,-0.487984327,0.003039896,0.085941068,-14.007981,3.039891,0.603772,85.941068
combined,0.080000,4,seg4,back4_Link,-0.663573398,0.014653179,0.085567102,-13.922209,14.653174,0.225928,85.567102
combined,0.080000,5,seg5,back5_Link,-0.838433500,-0.004349230,0.085175080,-14.566955,-4.349235,-0.169944,85.175080
combined,0.080000,6,seg6,back6_Link,-1.011425562,-0.002566200,0.084840323,-17.080568,-2.566206,-0.508536,84.840323
combined,0.100000,0,head,base_link,-0.054750347,0.005176047,0.087679636,54.731184,5.176042,0.819089,87.679636
combined,0.100000,1,seg1,back1_Link,-0.181106096,-0.007312069,0.086484575,30.109586,-7.312074,1.155231,86.484575
combined,0.100000,2,seg2,back2_Link,-0.330212902,-0.018199937,0.086834848,3.721929,-18.199943,1.501467,86.834848
