mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
snake,0.000000,0,head,base_link,-0.000019163,0.000000006,0.086860548,-0.000000,0.000000,0.000000,86.860548
snake,0.000000,1,seg1,back1_Link,-0.150996510,0.000000005,0.085329344,-0.000000,0.000000,0.000000,85.329344
snake,0.000000,2,seg2,back2_Link,-0.326490973,0.000000005,0.085333382,-0.000000,0.000000,0.000000,85.333382
snake,0.000000,3,seg3,back3_Link,-0.501992308,0.000000005,0.085337295,-0.000000,0.000000,0.000000,85.337295
snake,0.000000,4,seg4,back4_Link,-0.677495607,0.000000005,0.085341174,-0.000000,0.000000,0.000000,85.341174
snake,0.000000,5,seg5,back5_Link,-0.853000455,0.000000005,0.085345024,-0.000000,0.000000,0.000000,85.345024
snake,0.000000,6,seg6,back6_Link,-1.028506129,0.000000005,0.085348860,-0.000000,0.000000,0.000000,85.348860
snake,0.020000,0,head,base_link,0.000051806,0.000089338,0.087028826,-0.070969,0.089332,0.168278,87.028826
snake,0.020000,1,seg1,back1_Link,-0.150936071,0.000062945,0.085655593,-0.060440,0.062940,0.326249,85.655593
snake,0.020000,2,seg2,back2_Link,-0.326447934,-0.000006386,0.085843170,-0.043039,-0.006391,0.509788,85.843170
snake,0.020000,3,seg3,back3_Link,-0.501958479,-0.000180037,0.086030865,-0.033828,-0.180043,0.693569,86.030865
snake,0.020000,4,seg4,back4_Link,-0.677470769,-0.000509788,0.086218671,-0.024838,-0.509793,0.877497,86.218671
snake,0.020000,5,seg5,back5_Link,-0.852978436,-0.000380066,0.086406126,-0.022020,-0.380072,1.061102,86.406126
snake,0.020000,6,seg6,back6_Link,-1.028472383,0.001420391,0.086592053,-0.033746,1.420385,1.243193,86.592053
snake,0.040000,0,head,base_link,-0.000020455,-0.002058965,0.088509333,0.001292,-2.058971,1.648785,88.509333
snake,0.040000,1,seg1,back1_Link,-0.151042738,-0.002360330,0.086896810,0.046228,-2.360336,1.567466,86.896810
snake,0.040000,2,seg2,back2_Link,-0.326576348,-0.001715519,0.086823731,0.085375,-1.715524,1.490349,86.823731
snake,0.040000,3,seg3,back3_Link,-0.501958932,0.005006879,0.086853792,-0.033376,5.006874,1.516496,86.853792
snake,0.040000,4,seg4,back4_Link,-0.677471966,0.006524558,0.086794270,-0.023641,6.524553,1.453096,86.794270
snake,0.040000,5,seg5,back5_Link,-0.852774602,-0.002355502,0.086558333,-0.225853,-2.355508,1.213309,86.558333
snake,0.040000,6,seg6,back6_Link,-1.028141565,-0.002619794,0.086469378,-0.364564,-2.619799,1.120518,86.469378
snake,0.060000,0,head,base_link,-0.000282236,-0.000234777,0.088026780,0.263073,-0.234783,1.166232,88.026780
snake,0.060000,1,seg1,back1_Link,-0.151271908,-0.001880100,0.086279350,0.275398,-1.880106,0.950006,86.279350
snake,0.060000,2,seg2,back2_Link,-0.326513235,-0.003203500,0.086039103,0.022262,-3.203506,0.705721,86.039103
snake,0.060000,3,seg3,back3_Link,-0.501626864,0.008269232,0.085828124,-0.365444,8.269227,0.490829,85.828124
snake,0.060000,4,seg4,back4_Link,-0.677465051,0.012142621,0.085586028,-0.030556,12.142615,0.244854,85.586028
snake,0.060000,5,seg5,back5_Link,-0.852461479,-0.002514283,0.085297087,-0.538976,-2.514288,-0.047937,85.297087
snake,0.060000,6,seg6,back6_Link,-1.027689955,-0.002138513,0.085051182,-0.816174,-2.138519,-0.297678,85.051182
snake,0.080000,0,head,base_link,-0.000492807,0.007748404,0.087210068,0.473644,7.748399,0.349521,87.210068
snake,0.080000,1,seg1,back1_Link,-0.151262938,0.001771444,0.085604853,0.266427,1.771439,0.275509,85.604853
snake,0.080000,2,seg2,back2_Link,-0.326376360,-0.004063773,0.085518979,-0.114613,-4.063779,0.185598,85.518979
snake,0.080000,3,seg3,back3_Link,-0.501302710,0.009462752,0.085293565,-0.689597,9.462746,-0.043730,85.293565
snake,0.080000,4,seg4,back4_Link,-0.677213150,0.014927341,0.085111600,-0.282458,14.927336,-0.229574,85.111600
snake,0.080000,5,seg5,back5_Link,-0.851920659,-0.003350109,0.085093306,-1.079796,-3.350114,-0.251718,85.093306
snake,0.080000,6,seg6,back6_Link,-1.026951104,-0.000767169,0.084935158,-1.555025,-0.767174,-0.413701,84.935158
snake,0.100000,0,head,base_link,-0.000144350,0.009290149,0.087365341,0.125187,9.290143,0.504793,87.365341
snake,0.100000,1,seg1,back1_Link,-0.151084533,0.002351580,0.085777700,0.088023,2.351574,0.448356,85.777700
snake,0.100000,2,seg2,back2_Link,-0.326783289,-0.005441935,0.085710379,0.292316,-5.441940,0.376998,85.710379
snake,0.100000,3,seg3,back3_Link,-0.501257104,0.009877919,0.085523371,-0.735204,9.877914,0.186076,85.523371
snake,0.100000,4,seg4,back4_Link,-0.677006204,0.016433757,0.085371240,-0.489403,16.433751,0.030067,85.371240
snake,0.100000,5,seg5,back5_Link,-0.851398740,-0.004694953,0.085369578,-1.601715,-4.694958,0.024554,85.369578
snake,0.100000,6,seg6,back6_Link,-1.026097202,-0.000129836,0.085228749,-2.408928,-0.129841,-0.120111,85.228749
snake,0.120000,0,head,base_link,-0.000657857,0.015083344,0.088144683,0.638694,15.083339,1.284135,88.144683
snake,0.120000,1,seg1,back1_Link,-0.151374022,0.002968862,0.086466782,0.377511,2.968856,1.137438,86.466782
snake,0.120000,2,seg2,back2_Link,-0.326876767,-0.008582812,0.086309251,0.385795,-8.582817,0.975869,86.309251
snake,0.120000,3,seg3,back3_Link,-0.501399894,0.008418919,0.086273263,-0.592414,8.418914,0.935967,86.273263
snake,0.120000,4,seg4,back4_Link,-0.676751462,0.016426153,0.086198689,-0.744145,16.426148,0.857515,86.198689
snake,0.120000,5,seg5,back5_Link,-0.850784078,-0.006615325,0.085985528,-2.216377,-6.615330,0.640504,85.985528
snake,0.120000,6,seg6,back6_Link,-1.024979256,-0.000323709,0.085899721,-3.526873,-0.323714,0.550862,85.899721
snake,0.140000,0,head,base_link,-0.004060483,0.030958898,0.086967052,4.041320,30.958893,0.106504,86.967052
snake,0.140000,1,seg1,back1_Link,-0.153664778,0.007749633,0.085809253,2.668268,7.749627,0.479908,85.809253
