mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
worm,0.000000,0,head,base_link,-0.000019163,0.000000006,0.086860548,-0.000000,0.000000,0.000000,86.860548
worm,0.000000,1,seg1,back1_Link,-0.150996510,0.000000005,0.085329344,-0.000000,0.000000,0.000000,85.329344
worm,0.000000,2,seg2,back2_Link,-0.326490973,0.000000005,0.085333382,-0.000000,0.000000,0.000000,85.333382
worm,0.000000,3,seg3,back3_Link,-0.501992308,0.000000005,0.085337295,-0.000000,0.000000,0.000000,85.337295
worm,0.000000,4,seg4,back4_Link,-0.677495607,0.000000005,0.085341174,-0.000000,0.000000,0.000000,85.341174
worm,0.000000,5,seg5,back5_Link,-0.853000455,0.000000005,0.085345024,-0.000000,0.000000,0.000000,85.345024
worm,0.000000,6,seg6,back6_Link,-1.028506129,0.000000005,0.085348860,-0.000000,0.000000,0.000000,85.348860
worm,0.020000,0,head,base_link,-0.002848343,0.000000005,0.086996399,2.829180,-0.000000,0.135851,86.996399
worm,0.020000,1,seg1,back1_Link,-0.152241607,0.000000006,0.085459225,1.245097,0.000000,0.129881,85.459225
worm,0.020000,2,seg2,back2_Link,-0.326478182,0.000000006,0.085445694,-0.012791,0.000001,0.112313,85.445694
worm,0.020000,3,seg3,back3_Link,-0.501073438,0.000000006,0.085425624,-0.918870,0.000001,0.088328,85.425624
worm,0.020000,4,seg4,back4_Link,-0.676707357,0.000000006,0.085386617,-0.788250,0.000001,0.045443,85.386617
worm,0.020000,5,seg5,back5_Link,-0.852541941,0.000000006,0.085343952,-0.458514,0.000000,-0.001072,85.343952
worm,0.020000,6,seg6,back6_Link,-1.028078892,0.000000005,0.085306713,-0.427237,-0.000000,-0.042146,85.306713
worm,0.040000,0,head,base_link,-0.009492869,0.000000004,0.087106471,9.473706,-0.000001,0.245923,87.106471
worm,0.040000,1,seg1,back1_Link,-0.155160097,0.000000007,0.085591898,4.163587,0.000001,0.262554,85.591898
worm,0.040000,2,seg2,back2_Link,-0.326314579,0.000000008,0.085581307,-0.176394,0.000003,0.247925,85.581307
