mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
combined,0.000000,0,head,base_link,0.232906836,-0.000000007,0.047637428,-0.000000,0.000000,0.000000,47.637428
combined,0.000000,1,seg1,back1_Link,0.083915116,-0.000000003,0.072349564,-0.000000,0.000000,0.000000,72.349564
combined,0.000000,2,seg2,back2_Link,-0.088926580,0.000000002,0.102825967,-0.000000,0.000000,0.000000,102.825967
combined,0.000000,3,seg3,back3_Link,-0.261755582,0.000000007,0.133300368,-0.000000,0.000000,0.000000,133.300368
combined,0.000000,4,seg4,back4_Link,-0.434515992,0.000000013,0.163763945,-0.000000,0.000000,0.000000,163.763945
combined,0.000000,5,seg5,back5_Link,-0.607201756,0.000000018,0.194215742,-0.000000,0.000000,0.000000,194.215742
combined,0.000000,6,seg6,back6_Link,-0.779802335,0.000000023,0.224654097,-0.000000,0.000000,0.000000,224.654097
combined,0.020000,0,head,base_link,0.226057835,0.001024094,0.050547642,6.849001,1.024101,2.910214,50.547642
combined,0.020000,1,seg1,back1_Link,0.080864397,-0.001592507,0.075619637,3.050719,-1.592504,3.270073,75.619637
combined,0.020000,2,seg2,back2_Link,-0.086787457,-0.003932437,0.106388879,-2.139122,-3.932440,3.562911,106.388879
combined,0.020000,3,seg3,back3_Link,-0.255937235,0.002898524,0.137428517,-5.818347,2.898516,4.128149,137.428517
combined,0.020000,4,seg4,back4_Link,-0.428814723,0.007060978,0.169075249,-5.701269,7.060965,5.311304,169.075249
combined,0.020000,5,seg5,back5_Link,-0.601971097,0.000214281,0.200732331,-5.230659,0.214263,6.516589,200.732331
combined,0.020000,6,seg6,back6_Link,-0.775093550,-0.000975608,0.232402857,-4.708784,-0.975632,7.748760,232.402857
combined,0.040000,0,head,base_link,0.206994047,0.000754838,0.051988789,25.912789,0.754846,4.351361,51.988789
combined,0.040000,1,seg1,back1_Link,0.069990040,-0.004048042,0.076567726,13.925076,-4.048039,4.218162,76.567726
combined,0.040000,2,seg2,back2_Link,-0.085697594,-0.007437161,0.106346655,-3.228985,-7.437163,3.520688,106.346655
combined,0.040000,3,seg3,back3_Link,-0.246791911,0.007204287,0.137085135,-14.963671,7.204280,3.784767,137.085135
combined,0.040000,4,seg4,back4_Link,-0.419068081,0.015985694,0.169724010,-15.447912,15.985681,5.960065,169.724010
combined,0.040000,5,seg5,back5_Link,-0.591523877,0.000411661,0.202309485,-15.677879,0.411643,8.093743,202.309485
combined,0.040000,6,seg6,back6_Link,-0.764097175,-0.004375464,0.234957815,-15.705160,-4.375487,10.303717,234.957815
combined,0.060000,0,head,base_link,0.195741402,0.000918343,0.053656661,37.165434,0.918351,6.019232,53.656661
combined,0.060000,1,seg1,back1_Link,0.058156209,-0.005779323,0.078074973,25.758907,-5.779320,5.725410,78.074973
combined,0.060000,2,seg2,back2_Link,-0.086118378,-0.009861458,0.105629155,-2.808202,-9.861460,2.803188,105.629155
combined,0.060000,3,seg3,back3_Link,-0.236496785,0.010059326,0.134184162,-25.258797,10.059319,0.883794,134.184162
combined,0.060000,4,seg4,back4_Link,-0.406512400,0.021677545,0.166066505,-28.003593,21.677532,2.302560,166.066505
combined,0.060000,5,seg5,back5_Link,-0.578405250,-0.000135822,0.198240091,-28.796506,-0.135840,4.024349,198.240091
combined,0.060000,6,seg6,back6_Link,-0.748753865,-0.004417975,0.230175867,-31.048470,-4.417999,5.521770,230.175867
combined,0.080000,0,head,base_link,0.186297757,0.002019283,0.056593856,46.609079,2.019290,8.956427,56.593856
combined,0.080000,1,seg1,back1_Link,0.053317246,-0.007634500,0.078818923,30.597870,-7.634497,6.469359,78.818923
combined,0.080000,2,seg2,back2_Link,-0.086570366,-0.013774613,0.104119056,-2.356214,-13.774615,1.293089,104.119056
combined,0.080000,3,seg3,back3_Link,-0.228524567,0.008104022,0.129544377,-33.231016,8.104015,-3.755991,129.544377
combined,0.080000,4,seg4,back4_Link,-0.392773141,0.022494020,0.158546333,-41.742851,22.494007,-5.217612,158.546333
combined,0.080000,5,seg5,back5_Link,-0.564287696,-0.000098813,0.188887368,-42.914060,-0.098830,-5.328374,188.887368
combined,0.080000,6,seg6,back6_Link,-0.730045207,0.002500793,0.218192281,-49.757128,2.500769,-6.461816,218.192281
combined,0.100000,0,head,base_link,0.175184494,0.003619326,0.057748760,57.722342,3.619333,10.111332,57.748760
combined,0.100000,1,seg1,back1_Link,0.054316254,-0.008689501,0.077473996,29.598862,-8.689498,5.124432,77.473996
combined,0.100000,2,seg2,back2_Link,-0.086234843,-0.017239468,0.102227243,-2.691737,-17.239470,-0.598725,102.227243
combined,0.100000,3,seg3,back3_Link,-0.224014558,0.005091011,0.126523445,-37.741024,5.091004,-6.776923,126.523445
combined,0.100000,4,seg4,back4_Link,-0.382958543,0.020841832,0.154082610,-51.557450,20.841820,-9.681335,154.082610
combined,0.100000,5,seg5,back5_Link,-0.554561422,-0.000871476,0.183560019,-52.640334,-0.871494,-10.655723,183.560019
combined,0.100000,6,seg6,back6_Link,-0.715291861,0.008134222,0.211381109,-64.510474,8.134199,-13.272989,211.381109
combined,0.120000,0,head,base_link,0.169656757,0.005591448,0.059081113,63.250079,5.591455,11.443684,59.081113
combined,0.120000,1,seg1,back1_Link,0.057009287,-0.008556066,0.078147196,26.905828,-8.556063,5.797632,78.147196
combined,0.120000,2,seg2,back2_Link,-0.084195021,-0.018609445,0.103743250,-4.731558,-18.609447,0.917283,103.743250
combined,0.120000,3,seg3,back3_Link,-0.222678744,0.004279212,0.128802972,-39.076838,4.279205,-4.497396,128.802972
combined,0.120000,4,seg4,back4_Link,-0.378638702,0.019204615,0.156667180,-55.877290,19.204603,-7.096765,156.667180
combined,0.120000,5,seg5,back5_Link,-0.549120663,-0.002114621,0.186897610,-58.081093,-2.114639,-7.318132,186.897610
combined,0.120000,6,seg6,back6_Link,-0.706160294,0.009604747,0.214924573,-73.642041,9.604724,-9.729524,214.924573
combined,0.140000,0,head,base_link,0.167602160,0.006638545,0.058752071,65.304676,6.638552,11.114642,58.752071
combined,0.140000,1,seg1,back1_Link,0.059644244,-0.009177709,0.077252132,24.270872,-9.177706,4.902568,77.252132
combined,0.140000,2,seg2,back2_Link,-0.081255220,-0.020188821,0.103029348,-7.671360,-20.188823,0.203380,103.029348
combined,0.140000,3,seg3,back3_Link,-0.220747186,0.003146744,0.128460310,-41.008397,3.146737,-4.840058,128.460310
combined,0.140000,4,seg4,back4_Link,-0.378402305,0.016969870,0.156840584,-56.113687,16.969858,-6.923361,156.840584
combined,0.140000,5,seg5,back5_Link,-0.544554316,-0.002806777,0.186662698,-62.647440,-2.806795,-7.553044,186.662698
combined,0.140000,6,seg6,back6_Link,-0.698290681,0.011065337,0.214397521,-81.511653,11.065314,-10.256576,214.397521
combined,0.160000,0,head,base_link,0.167171983,0.006536618,0.058886591,65.734853,6.536626,11.249162,58.886591
