mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
snake,0.000000,0,head,base_link,0.232906836,-0.000000007,0.047637428,-0.000000,0.000000,0.000000,47.637428
snake,0.000000,1,seg1,back1_Link,0.083915116,-0.000000003,0.072349564,-0.000000,0.000000,0.000000,72.349564
snake,0.000000,2,seg2,back2_Link,-0.088926580,0.000000002,0.102825967,-0.000000,0.000000,0.000000,102.825967
snake,0.000000,3,seg3,back3_Link,-0.261755582,0.000000007,0.133300368,-0.000000,0.000000,0.000000,133.300368
snake,0.000000,4,seg4,back4_Link,-0.434515992,0.000000013,0.163763945,-0.000000,0.000000,0.000000,163.763945
snake,0.000000,5,seg5,back5_Link,-0.607201756,0.000000018,0.194215742,-0.000000,0.000000,0.000000,194.215742
snake,0.000000,6,seg6,back6_Link,-0.779802335,0.000000023,0.224654097,-0.000000,0.000000,0.000000,224.654097
snake,0.020000,0,head,base_link,0.234486874,0.000975077,0.048990686,-1.580038,0.975084,1.353258,48.990686
snake,0.020000,1,seg1,back1_Link,0.085700345,-0.001689426,0.074695386,-1.785229,-1.689423,2.345822,74.695386
snake,0.020000,2,seg2,back2_Link,-0.086928710,-0.004077464,0.106331662,-1.997869,-4.077466,3.505694,106.331662
snake,0.020000,3,seg3,back3_Link,-0.259345832,0.002980965,0.137956397,-2.409750,2.980958,4.656029,137.956397
snake,0.020000,4,seg4,back4_Link,-0.431925267,0.007127221,0.169601724,-2.590725,7.127209,5.837779,169.601724
snake,0.020000,5,seg5,back5_Link,-0.604333943,0.000280468,0.201185064,-2.867813,0.280450,6.969321,201.185064
snake,0.020000,6,seg6,back6_Link,-0.776835945,-0.000962944,0.232801815,-2.966390,-0.962968,8.147718,232.801815
snake,0.040000,0,head,base_link,0.235503438,0.001020058,0.046859632,-2.596602,1.020065,-0.777796,46.859632
snake,0.040000,1,seg1,back1_Link,0.086961651,-0.004348806,0.073483768,-3.046535,-4.348804,1.134204,73.483768
snake,0.040000,2,seg2,back2_Link,-0.085587813,-0.008196493,0.106228932,-3.338767,-8.196495,3.402965,106.228932
snake,0.040000,3,seg3,back3_Link,-0.256987556,0.007785258,0.138808660,-4.768027,7.785250,5.508291,138.808660
snake,0.040000,4,seg4,back4_Link,-0.429024039,0.016358931,0.171489056,-5.491954,16.358919,7.725111,171.489056
snake,0.040000,5,seg5,back5_Link,-0.600881417,0.000597209,0.204065218,-6.320339,0.597191,9.849475,204.065218
snake,0.040000,6,seg6,back6_Link,-0.773045804,-0.004446230,0.236731916,-6.756531,-4.446253,12.077819,236.731916
snake,0.060000,0,head,base_link,0.236081146,0.001405100,0.046112130,-3.174310,1.405107,-1.525298,46.112130
snake,0.060000,1,seg1,back1_Link,0.087988583,-0.006448399,0.072578223,-4.073467,-6.448396,0.228659,72.578223
snake,0.060000,2,seg2,back2_Link,-0.084370698,-0.011689354,0.105186399,-4.555882,-11.689356,2.360431,105.186399
snake,0.060000,3,seg3,back3_Link,-0.254376577,0.011915837,0.137311268,-7.379005,11.915830,4.010899,137.311268
snake,0.060000,4,seg4,back4_Link,-0.425785236,0.022802193,0.169715453,-8.730756,22.802180,5.951509,169.715453
snake,0.060000,5,seg5,back5_Link,-0.597076690,0.000237042,0.202127229,-10.125066,0.237024,7.911486,202.127229
snake,0.060000,6,seg6,back6_Link,-0.768854313,-0.004775423,0.234616850,-10.948021,-4.775446,9.962752,234.616850
snake,0.080000,0,head,base_link,0.236942394,0.002278061,0.046814021,-4.035559,2.278068,-0.823407,46.814021
snake,0.080000,1,seg1,back1_Link,0.089544938,-0.009155639,0.072041318,-5.629822,-9.155636,-0.308246,72.041318
snake,0.080000,2,seg2,back2_Link,-0.082495286,-0.016986858,0.103239576,-6.431294,-16.986861,0.413608,103.239576
snake,0.080000,3,seg3,back3_Link,-0.251841505,0.011333420,0.133584193,-9.914077,11.333413,0.283824,133.584193
snake,0.080000,4,seg4,back4_Link,-0.422709359,0.024421461,0.164359106,-11.806634,24.421449,0.595161,164.359106
snake,0.080000,5,seg5,back5_Link,-0.593597017,0.000392670,0.195488502,-13.604739,0.392652,1.272760,195.488502
snake,0.080000,6,seg6,back6_Link,-0.764418346,0.002083032,0.226366937,-15.383988,2.083008,1.712840,226.366937
snake,0.100000,0,head,base_link,0.238804087,0.003121469,0.047576066,-5.897252,3.121476,-0.061362,47.576066
snake,0.100000,1,seg1,back1_Link,0.091511502,-0.012080731,0.071302527,-7.596386,-12.080728,-1.047037,71.302527
snake,0.100000,2,seg2,back2_Link,-0.080886631,-0.021881504,0.100914978,-8.039949,-21.881507,-1.910990,100.914978
snake,0.100000,3,seg3,back3_Link,-0.249638823,0.009027217,0.130078157,-12.116759,9.027210,-3.222212,130.078157
snake,0.100000,4,seg4,back4_Link,-0.419929329,0.023521073,0.159444714,-14.586663,23.521060,-4.319230,159.444714
snake,0.100000,5,seg5,back5_Link,-0.591096436,0.000548791,0.188775117,-16.105320,0.548773,-5.440626,188.775117
snake,0.100000,6,seg6,back6_Link,-0.760720719,0.009750302,0.218006169,-19.081616,9.750278,-6.647929,218.006169
snake,0.120000,0,head,base_link,0.241265066,0.006369189,0.046971287,-8.358231,6.369197,-0.666142,46.971287
snake,0.120000,1,seg1,back1_Link,0.093125415,-0.012119823,0.071462984,-9.210299,-12.119820,-0.886580,71.462984
