mode,time_s,segment_index,segment_label,body_name,x_m,y_m,z_m,forward_minus_x_mm,lateral_y_mm,delta_z_mm,height_z_mm
worm,0.000000,0,head,base_link,0.232906836,-0.000000007,0.047637428,-0.000000,0.000000,0.000000,47.637428
worm,0.000000,1,seg1,back1_Link,0.083915116,-0.000000003,0.072349564,-0.000000,0.000000,0.000000,72.349564
worm,0.000000,2,seg2,back2_Link,-0.088926580,0.000000002,0.102825967,-0.000000,0.000000,0.000000,102.825967
worm,0.000000,3,seg3,back3_Link,-0.261755582,0.000000007,0.133300368,-0.000000,0.000000,0.000000,133.300368
worm,0.000000,4,seg4,back4_Link,-0.434515992,0.000000013,0.163763945,-0.000000,0.000000,0.000000,163.763945
worm,0.000000,5,seg5,back5_Link,-0.607201756,0.000000018,0.194215742,-0.000000,0.000000,0.000000,194.215742
worm,0.000000,6,seg6,back6_Link,-0.779802335,0.000000023,0.224654097,-0.000000,0.000000,0.000000,224.654097
worm,0.020000,0,head,base_link,0.230550821,-0.000000007,0.048333983,2.356015,0.000001,0.696554,48.333983
worm,0.020000,1,seg1,back1_Link,0.083181000,-0.000000002,0.072741225,0.734116,0.000001,0.391661,72.741225
worm,0.020000,2,seg2,back2_Link,-0.088012898,0.000000003,0.102900642,-0.913682,0.000000,0.074674,102.900642
worm,0.020000,3,seg3,back3_Link,-0.259798544,0.000000008,0.133153241,-1.957039,0.000000,-0.147127,133.153241
worm,0.020000,4,seg4,back4_Link,-0.432801106,0.000000013,0.163597469,-1.714886,-0.000000,-0.166476,163.597469
worm,0.020000,5,seg5,back5_Link,-0.606150028,0.000000018,0.194096238,-1.051728,-0.000000,-0.119504,194.096238
worm,0.020000,6,seg6,back6_Link,-0.778680098,0.000000023,0.224466063,-1.122237,-0.000001,-0.188034,224.466063
worm,0.040000,0,head,base_link,0.222019540,-0.000000005,0.049747894,10.887296,0.000002,2.110466,49.747894
worm,0.040000,1,seg1,back1_Link,0.079126880,-0.000000001,0.073436452,4.788236,0.000002,1.086889,73.436452
worm,0.040000,2,seg2,back2_Link,-0.086906401,0.000000003,0.102767323,-2.020179,0.000001,-0.058645,102.767323
worm,0.040000,3,seg3,back3_Link,-0.256373037,0.000000008,0.132638516,-5.382546,0.000000,-0.661852,132.638516
worm,0.040000,4,seg4,back4_Link,-0.429793246,0.000000012,0.163131903,-4.722747,-0.000000,-0.632042,163.131903
worm,0.040000,5,seg5,back5_Link,-0.603519290,0.000000017,0.193673420,-3.682466,-0.000001,-0.542323,193.673420
worm,0.040000,6,seg6,back6_Link,-0.776445717,0.000000021,0.224089097,-3.356617,-0.000002,-0.565000,224.089097
worm,0.060000,0,head,base_link,0.213435658,-0.000000003,0.051144994,19.471178,0.000004,3.507566,51.144994
worm,0.060000,1,seg1,back1_Link,0.074697808,-0.000000000,0.074160828,9.217308,0.000003,1.811264,74.160828
worm,0.060000,2,seg2,back2_Link,-0.085654714,0.000000004,0.102575850,-3.271866,0.000002,-0.250117,102.575850
worm,0.060000,3,seg3,back3_Link,-0.252313747,0.000000008,0.131982502,-9.441836,0.000001,-1.317866,131.982502
worm,0.060000,4,seg4,back4_Link,-0.425974875,0.000000013,0.162490156,-8.541117,0.000000,-1.273789,162.490156
