cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06473680277285349,0.003943722172774496,-0.029998578474753918,6.0,-19249.05802487915,False,0.291547594742265,0.06485681597046963,0.18526319722714651,0.1539437221727745,0.24087573942436163,0.029998578474753918,0.053482322092492186,0.03668852411071188,True,True,0.4744061347,0.0618777272,0.4518220404,0.4634373353,0.0883967532,0.4311743435,-0.0243751098,0.0589311688,-0.045883771,0.8161921815,0.0453408128,0.8051062822,0.094938088,0.013866812,0.1073246822,0.795533554,0.0512525307,0.7771421671,0.5,0.0,0.5,0.0570735787,0.0350215031,0.0481779596,7.8676666918,2.2699549652,9.0,1.9038548006,1.0743545738,2.5654445205,1.0,0.0,1.0,1.6665523626,1.1368061529,2.0654445205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.06852576856198983,0.027716720726598903,0.008639768767641831,6.0,-16829.58958770403,False,0.26100766272276377,0.07391885797851365,0.18147423143801017,0.1027167207265989,0.2085272677441552,0.008639768767641831,0.057671441248033986,0.04623853835516684,True,True,0.4802082133,0.065386544,0.4554052476,0.471726019,0.0934093486,0.4362932108,-0.0188493207,0.0622728991,-0.0424711928,0.8108120811,0.0493670234,0.8100751042,0.0838604315,0.0120627775,0.0853102803,0.7902629453,0.0538215324,0.7794047594,0.5,0.0,0.5,0.0594214706,0.0337076221,0.0445947524,7.6881092575,2.5420163981,9.0,1.7315022473,1.1086584137,2.5888033597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.0714620600942585,0.015721775906168415,-0.003403629829209646,6.0,-12218.942594168493,False,0.25,0.07317103436852038,0.17853793990574152,0.015721775906168415,0.17922882085041442,0.003403629829209646,0.0714620600942585,0.015721775906168415,True,True,0.4817462458,0.0664444687,0.4719958531,0.4739232083,0.0949206696,0.4599940758,-0.0173845278,0.0632804464,-0.0266706161,0.812005796,0.0490077085,0.8331175447,0.0467622482,0.0077350358,0.0432468913,0.8016642696,0.0498677284,0.8147662282,0.5,0.0,0.5,0.0597241022,0.0343671149,0.0280041469,7.7588378186,2.4660578491,9.0,0.7497973545,0.4105327404,0.7966588098,0.0,0.0,0.0,0.0,0.0,0.0,0.0154891285,0.0066774724,0.026322464,0.0154891285,0.0066774724,0.026322464,0.0,0.0,0.0
-0.25,0.075,0.0,-0.06637779038933028,0.0023689801947427255,-0.032303977646152525,6.0,-17105.464472805932,False,0.26100766272276377,0.0664200506182655,0.18362220961066972,-0.07263101980525727,0.19746488523344194,0.032303977646152525,0.06425911383970834,0.016804446217247238,True,True,0.4898293192,0.0631518001,0.4694487933,0.4854704561,0.0902168572,0.456355419,-0.0096863626,0.0601445715,-0.0290963873,0.8141258393,0.0507991091,0.8295762539,0.0961909297,0.0151856247,0.0808262005,0.8036147203,0.0499658279,0.803945601,0.5,0.0,0.5,0.0550348136,0.0326000289,0.0305512067,7.8832295469,2.2741062566,9.0,1.6557295169,0.9206862773,0.7643025966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.06817028272972393,0.018588586772279602,-0.01279038140514066,6.0,-18844.382207037826,False,0.291547594742265,0.0706592032621446,0.18182971727027608,-0.1314114132277204,0.2243457278601383,0.01279038140514066,0.06801928417829643,0.019133739454513844,True,True,0.4970658353,0.0542883402,0.4955735878,0.4958083361,0.0775547717,0.4936765539,-0.0027944426,0.0517031811,-0.0042156307,0.82150805,0.0480501737,0.8659597635,0.1150942928,0.0156013539,0.1069907546,0.8176094037,0.0445079468,0.8542613983,0.5,0.0,0.5,0.045717478,0.0294235519,0.0044264122,8.0965872529,2.0353628349,9.0,1.8133355134,0.9316962136,0.9719209226,1.0,0.0,1.0,1.5531335914,1.0118025193,0.7219209226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.020410174388670783,-0.12578422437086037,-0.1253091505241851,6.0,-23928.526500025968,False,0.19525624189766635,0.1274293777711988,0.1454101743886708,0.024215775629139624,0.14741276269395567,0.1253091505241851,0.08356384256128724,0.09620462845179174,True,False,0.0023559042,0.0082039663,0.0,0.3963173329,0.0759782666,0.3755243681,-0.0691217781,0.0506521777,-0.0829837546,1.6932013059,0.2317866677,1.7491738796,0.114075403,0.019080095,0.1131473333,1.6890762059,0.2372806732,1.7477670908,0.0,0.0,0.0,0.0023559042,0.0082039663,0.0,8.9654358459,0.3513205843,9.0,2.0933461769,1.135455301,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.036849071823339304,0.02255637243977666,0.01733307712358016,6.0,-13819.242186423398,False,0.1457737973711325,0.04320467604187693,0.0881509281766607,0.09755637243977666,0.1314832002273112,0.01733307712358016,0.01999266052947937,0.03830062084139803,True,True,0.506926998,0.056595416,0.4844903996,0.5098957115,0.0808505943,0.477843428,0.006597141,0.0539003962,-0.014771048,0.4869331711,0.0328606646,0.5103049874,0.0444042103,0.0056432497,0.0488625541,0.4845826741,0.0332061777,0.5010816455,0.5,0.0,0.5,0.0506823047,0.0261214168,0.0155096004,6.6049972301,3.2358042151,9.0,1.380745779,1.1641845376,1.569734438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03245177137804041,0.025178779143826043,0.027206415638254173,6.0,-9657.936430280011,False,0.125,0.04107418148601591,0.09254822862195959,0.025178779143826043,0.09591217618340264,0.027206415638254173,0.03245177137804041,0.025178779143826043,True,True,0.4377952658,0.0525137704,0.4146609324,0.5182789512,0.0750196721,0.4852299034,0.0121859675,0.0500131147,-0.0098467311,0.4909645308,0.0285300995,0.4522539377,0.025508727,0.0033525684,0.0211595949,0.4901315049,0.0312130747,0.4464523494,0.425,0.0,0.425,0.0471906122,0.0263526285,0.0103390676,6.4252516466,3.3111276244,9.0,0.4095651382,0.288071476,0.436207524,0.0,0.0,0.0,0.0,0.0,0.0,0.003894367,0.0046876991,0.0118217641,0.003894367,0.0046876991,0.0118217641,0.0,0.0,0.0
-0.125,0.075,0.0,-0.036532388860833216,0.027180914720369233,0.021886551581926723,6.0,-13559.017156395439,False,0.1457737973711325,0.045534795057352744,0.08846761113916679,-0.04781908527963076,0.10056432338384934,0.021886551581926723,0.04531073025981179,0.004511683082586034,True,True,0.5209915398,0.0532836342,0.4898907225,0.5299879141,0.0761194775,0.485558175,0.0199919427,0.0507463183,-0.0096278833,0.4855645412,0.036433247,0.5148205161,0.0573179439,0.0087338337,0.0459794067,0.4888848565,0.0288067435,0.5099332929,0.5,0.0,0.5,0.0487675808,0.0300252141,0.0101092775,6.592816594,3.2468314838,9.0,1.2744640945,0.9457654167,0.5213270662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.028921841817249577,0.05680943520191065,0.10586690863451143,6.0,-15186.613859386602,False,0.19525624189766635,0.06374782241035447,0.09607815818275042,-0.09319056479808935,0.13384877230358336,0.10586690863451143,0.06215752894498298,0.014150139840852978,True,False,0.0251847027,0.0395475523,0.0164124694,0.4697025738,0.1146588949,0.5234463848,-0.0201982841,0.0764392633,0.0156309232,0.921458112,0.1161030183,0.8790714741,0.1216028365,0.013824469,0.1184928641,0.9454262245,0.1059503565,0.8753878474,0.0,0.0,0.0,0.0251847027,0.0395475523,0.0164124694,7.7087677918,2.4923449312,9.0,1.6358341009,0.8380343306,1.0859031806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
