cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,0.0,0.0,-0.02441478590594348,0.021917692843428843,0.02260087391211855,6.0,-8637.93362892732,False,0.1,0.03280955699810573,0.07558521409405652,0.021917692843428843,0.07869885545052897,0.02260087391211855,0.02441478590594348,0.021917692843428843,True,True,0.4209120324,0.0474541833,0.3977516627,0.5298743321,0.0677916904,0.4967880896,0.0199162214,0.0451944603,-0.0021412736,0.422144641,0.0279766791,0.3798666,0.0221356169,0.0028820511,0.0181794949,0.4229427063,0.0306353323,0.3763476312,0.4,0.0,0.4,0.0438571921,0.0276723564,0.0022483373,5.9482405156,3.5382579383,5.5198313598,0.325773767,0.2192449954,0.347394628,0.0,0.0,0.0,0.0,0.0,0.0,0.0021508205,0.0032271118,0.0080642431,0.0021508205,0.0032271118,0.0080642431,0.0,0.0,0.0
-0.05,0.0,0.0,-0.010408589016150804,0.011053953877094895,0.02264226443961322,6.0,-5617.556775366814,False,0.05,0.015183169024418994,0.0395914109838492,0.011053953877094895,0.041105592320376506,0.02264226443961322,0.010408589016150804,0.011053953877094895,True,True,0.3881552295,0.0256898597,0.3574547282,0.5545074706,0.0366997996,0.5106496117,0.0363383138,0.0244665331,0.0070997411,0.2859653227,0.0129106864,0.2876095474,0.0172988247,0.0040498386,0.0128126284,0.2895916237,0.0109205247,0.2871884406,0.35,0.0,0.35,0.0393566158,0.0238085535,0.0074547282,4.1131921631,3.7109628354,0.5925755025,0.1583656439,0.0780270167,0.11772127,0.0,0.0,0.0,0.0,0.0,0.0,0.0013876915,0.0027384438,0.0077618373,0.0013876915,0.0027384438,0.0077618373,0.0,0.0,0.0
0.0,0.0,0.0,-6.805230392381477e-06,4.29964294120259e-05,0.00018648727553038924,6.0,1789.176011005617,False,0.0,4.3531644844603774e-05,-6.805230392381477e-06,4.29964294120259e-05,4.3531644844603774e-05,0.00018648727553038924,0.0,4.3531644844603774e-05,True,True,0.5651506387,0.023827087,0.5384850172,0.593072341,0.0340386958,0.554978596,0.0620482273,0.0226924638,0.0366523974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,3.7267e-06,1.22929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.029728988517992116,-0.028636777403901085,-0.042349200552321685,6.0,-9636.773786330792,False,0.05,0.0412780544403862,-0.020271011482007887,-0.028636777403901085,0.03508530927018138,0.042349200552321685,0.029728988517992116,0.028636777403901085,True,True,0.3348097117,0.0438837362,0.3068872927,0.4782995882,0.0626910516,0.4384104181,-0.0144669412,0.0417940344,-0.0410597213,0.6829584394,0.0702805935,0.7814751267,0.0132345593,0.0018796285,0.0129515463,0.6849601018,0.0690564443,0.7830587626,0.35,0.0,0.35,0.0402251954,0.0232047584,0.0431127073,6.6978050579,3.3125993087,9.0,0.1400482173,0.2004776261,0.528216805,0.0,0.0,0.0,0.0,0.0,0.0,0.0002871448,0.0006849685,0.0,0.0002871448,0.0006849685,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.041762132916699064,0.015111971392509657,0.04351418957940142,6.0,-12703.902989600245,False,0.1,0.04441224409011629,-0.05823786708330094,0.015111971392509657,0.06016660902677047,0.04351418957940142,0.041762132916699064,0.015111971392509657,True,True,0.3554330934,0.0460002009,0.3172738858,0.4363329906,0.0657145728,0.3818198368,-0.0424446729,0.0438097152,-0.0787867755,0.9971485299,0.1013213366,0.8188462853,0.02925741,0.0050451693,0.0264973845,0.9986414991,0.1035538596,0.8176510334,0.4,0.0,0.4,0.0582550493,0.0266191075,0.0827261142,8.1641425837,2.1668956572,9.0,0.4156801911,0.4817130094,0.926020547,0.0,0.0,0.0,0.0,0.0,0.0,0.0023419586,0.003353511,0.0052294234,0.0023419586,0.003353511,0.0052294234,0.0,0.0,0.0
0.0,0.0,-0.125,0.015071924852124276,-0.02497668748055935,-0.14438209040647712,6.0,-1640.9098584914032,False,0.0,0.02917186720540205,0.015071924852124276,-0.02497668748055935,0.02917186720540205,0.01938209040647712,0.0,0.02917186720540205,False,True,0.8774859718,0.0306466286,0.8692543039,0.539265674,0.043780898,0.5275061484,0.026177116,0.0291872654,0.0183374323,0.6786415124,0.0115224165,0.6889231801,0.0147567971,0.0018562927,0.0133426161,0.6828869979,0.0125323968,0.6898732781,0.85,0.0,0.85,0.0313431428,0.0266889844,0.0192543039,0.5098213448,1.4200515419,0.2028187932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.1,0.011714716471120516,-0.02052530376437314,-0.11961061612959245,6.0,-859.3641419866394,False,0.0,0.023633084365324228,0.011714716471120516,-0.02052530376437314,0.023633084365324228,0.019610616129592445,0.0,0.023633084365324228,False,True,0.8858651795,0.0290917536,0.8734714489,0.5512359707,0.0415596481,0.5335306413,0.0341573138,0.027706432,0.0223537609,0.5429132271,0.0092179315,0.5511385798,0.0119824909,0.0016753087,0.010507782,0.546007782,0.0100603641,0.5513830781,0.85,0.0,0.85,0.0386082313,0.0253386208,0.0234714489,0.3774642841,1.3377944634,0.1247287756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.012006907455716547,0.022575963521257358,0.12329791205011202,6.0,-818.9554548084246,False,0.0,0.02557029439727444,0.012006907455716547,0.022575963521257358,0.02557029439727444,0.023297912050112016,0.0,0.02557029439727444,False,True,0.9049377391,0.0213826083,0.8939247891,0.5784824845,0.0305465833,0.5627496988,0.0523216563,0.0203643889,0.0418331325,0.5429132271,0.0092179315,0.5511385798,0.0135830655,0.0032890875,0.0108361114,0.5495965274,0.0089447121,0.5575172901,0.85,0.0,0.85,0.0549377391,0.0213826083,0.0439247891,0.3686625353,1.3409823578,0.1796772726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.01751643541840867,0.02771097232138131,0.15027672639355005,6.0,-1425.3176309938729,False,0.0,0.032782975715508846,0.01751643541840867,0.02771097232138131,0.032782975715508846,0.025276726393550053,0.0,0.032782975715508846,False,True,0.8978106494,0.0218582418,0.8911898457,0.5683009277,0.0312260597,0.5588426366,0.0455339518,0.0208173731,0.0392284244,0.6786415124,0.0115224165,0.6889231801,0.0174754089,0.0042480052,0.014345414,0.686805466,0.0110796494,0.6968269944,0.85,0.0,0.85,0.0481963976,0.0209940037,0.0411898457,0.4895115236,1.4272447126,0.2883934395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,-0.1,0.03083044008108038,-0.005330567134321615,0.02595518886776989,6.0,-8808.57235022494,False,0.05,0.03128787275553577,-0.019169559918919624,-0.005330567134321615,0.019896908640755214,0.1259551888677699,0.03083044008108038,0.005330567134321615,True,False,0.4883326621,0.0310756486,0.4510124385,0.4833323744,0.0443937838,0.4300177693,-0.0111117504,0.0295958558,-0.0466548204,0.6452065528,0.0215846748,0.6704884171,0.041528751,0.0072656581,0.0418227352,0.6516355533,0.0256417892,0.6681731939,0.5,0.0,0.5,0.0255953241,0.0211353282,0.0489875615,7.5001643417,2.9377670601,9.0,0.0396051499,0.1064100259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
