cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,0.0,0.0,-0.02680575566470436,0.012407490923021876,0.011776242700306158,6.0,-8557.503176507551,False,0.1,0.02953801563681454,0.07319424433529564,0.012407490923021876,0.07423842155393545,0.011776242700306158,0.02680575566470436,0.012407490923021876,True,True,0.4250324145,0.0507072406,0.3997018632,0.5357605922,0.0724389151,0.4995740904,0.0238403948,0.0482926101,-0.0002839398,0.4233489589,0.027793169,0.3812583983,0.0227675226,0.0030478062,0.0189936478,0.424405633,0.0305519173,0.3777196705,0.4,0.0,0.4,0.0473613533,0.0308990007,0.0002981368,5.9870952007,3.5190542357,5.7232450031,0.3141757885,0.1988457327,0.2759232589,0.0,0.0,0.0,0.0,0.0,0.0,0.0019437756,0.0030781411,0.0077847808,0.0019437756,0.0030781411,0.0077847808,0.0,0.0,0.0
-0.05,0.0,0.0,-0.010880747808074262,0.011374400577935054,0.024024057651537294,6.0,-5607.571867951543,False,0.05,0.015740637260614393,0.03911925219192574,0.011374400577935054,0.04073932842552533,0.024024057651537294,0.010880747808074262,0.011374400577935054,True,True,0.3938518147,0.0259035436,0.3634813966,0.5626454496,0.0370050623,0.519259138,0.041763633,0.0246700415,0.0128394254,0.2868881846,0.0119567415,0.2869918048,0.017909048,0.0040127952,0.0134514067,0.2909700878,0.0100894361,0.2872113287,0.35,0.0,0.35,0.0449287064,0.0239872166,0.0134813966,4.045820461,3.6710776944,0.5792493184,0.1565177951,0.0793833542,0.1198684773,0.0,0.0,0.0,0.0,0.0,0.0,0.0009915339,0.0022167427,0.0058425026,0.0009915339,0.0022167427,0.0058425026,0.0,0.0,0.0
0.0,0.0,0.0,1.5431306103849304e-05,-4.98806727413937e-06,-2.137312510375189e-05,6.0,1798.6222605422724,False,0.0,1.6217460442437867e-05,1.5431306103849304e-05,-4.98806727413937e-06,1.6217460442437867e-05,2.137312510375189e-05,0.0,1.6217460442437867e-05,True,True,0.5722168851,0.0240681106,0.5449614059,0.6031669788,0.0343830152,0.5642305799,0.0687779858,0.0229220101,0.0428203866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,3.299e-07,1.9601e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.03030061543414507,-0.030272157129581288,-0.04412032911057451,6.0,-9710.710697708208,False,0.05,0.04283142296218991,-0.019699384565854933,-0.030272157129581288,0.036117436918357074,0.04412032911057451,0.03030061543414507,0.030272157129581288,True,True,0.3372373685,0.0430816973,0.2989033751,0.4817676692,0.0615452819,0.4270048216,-0.0121548872,0.0410301879,-0.0486634523,0.6834797078,0.0690880953,0.7826972604,0.0134705937,0.0021326938,0.0126071349,0.6855486002,0.0679063978,0.7838708162,0.35,0.0,0.35,0.0388544426,0.0225665616,0.0510966249,6.6054608395,3.3121317057,9.0,0.1433917172,0.2197697377,0.525732659,0.0,0.0,0.0,0.0,0.0,0.0,0.0001993485,0.0005292479,0.0,0.0001993485,0.0005292479,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.043761904563558725,0.0027554597788722788,0.038937232174774294,6.0,-12560.81862669586,False,0.1,0.04384856724709491,-0.05623809543644128,0.0027554597788722788,0.05630555866796155,0.038937232174774294,0.043761904563558725,0.0027554597788722788,True,True,0.3561112678,0.0478141503,0.3351142917,0.4373018112,0.068305929,0.407306131,-0.0417987925,0.045537286,-0.0617959127,0.9972042511,0.1000738821,0.8480216861,0.0293450808,0.0048602836,0.0353763066,0.9986254815,0.1024271409,0.8446451426,0.4,0.0,0.4,0.0588539639,0.0273610071,0.0648857083,8.0837753676,2.3047090846,9.0,0.4014380347,0.4847787097,0.8452148535,0.0,0.0,0.0,0.0,0.0,0.0,0.0024781582,0.0036751241,0.0091143828,0.0024781582,0.0036751241,0.0091143828,0.0,0.0,0.0
0.0,0.0,-0.125,0.016898219339838868,-0.02799445485283152,-0.14873297041325162,6.0,-1652.8481190756688,False,0.0,0.03269922505755338,0.016898219339838868,-0.02799445485283152,0.03269922505755338,0.02373297041325162,0.0,0.03269922505755338,False,True,0.8844639874,0.030609097,0.8760478317,0.5492342677,0.0437272814,0.5372111881,0.0328228451,0.0291515209,0.0248074587,0.6786415124,0.0115224165,0.6889231801,0.0150197486,0.00169539,0.0137051744,0.6829232963,0.0126204867,0.6898133755,0.85,0.0,0.85,0.0377675623,0.0264252622,0.0260478317,0.5093715699,1.4182374494,0.2007576355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.1,0.011929634923213661,-0.020725231814042122,-0.11979358822506685,6.0,-843.4159798984232,False,0.0,0.023913415129314816,0.011929634923213661,-0.020725231814042122,0.023913415129314816,0.01979358822506684,0.0,0.023913415129314816,False,True,0.8930913431,0.0291126477,0.8804722304,0.5615590616,0.0415894967,0.5435317578,0.0410393744,0.0277263312,0.0290211719,0.5429132271,0.0092179315,0.5511385798,0.012235084,0.0016269868,0.0107890926,0.5460554612,0.010121102,0.5513640642,0.85,0.0,0.85,0.0454534152,0.0252665224,0.0304722304,0.3812633253,1.338557418,0.123582617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.012418529905218655,0.021566064748273234,0.12222919946392603,6.0,-835.3450595579727,False,0.0,0.02488604094132941,0.012418529905218655,0.021566064748273234,0.02488604094132941,0.022229199463926028,0.0,0.02488604094132941,False,True,0.9081111395,0.0210664563,0.8967851918,0.5830159136,0.0300949376,0.5668359883,0.0553439424,0.0200632918,0.0445573255,0.5429132271,0.0092179315,0.5511385798,0.0141793269,0.0034169208,0.0112888049,0.5499351605,0.0089392884,0.5579084158,0.85,0.0,0.85,0.0581111395,0.0210664563,0.0467851918,0.3707567879,1.3413476124,0.1804657096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.016194135013959787,0.027664205305462024,0.14664215602744854,6.0,-1370.6941936314754,False,0.0,0.03205554966044275,0.016194135013959787,0.027664205305462024,0.03205554966044275,0.02164215602744854,0.0,0.03205554966044275,False,True,0.8999722377,0.0216391408,0.8931646019,0.571388911,0.0309130583,0.561663717,0.0475926073,0.0206087056,0.0411091447,0.6786415124,0.0115224165,0.6889231801,0.0182453681,0.0043115202,0.0148658408,0.6871462357,0.0110734149,0.6972279549,0.85,0.0,0.85,0.0503372521,0.0207758996,0.0431646019,0.4957350747,1.4274697618,0.2908966561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,-0.1,0.03225408998642496,-0.010070436491570871,0.018749026376756166,6.0,-8771.930137378153,False,0.05,0.03378964356105523,-0.01774591001357504,-0.010070436491570871,0.020404191072930705,0.11874902637675618,0.03225408998642496,0.010070436491570871,True,False,0.4929021248,0.0328360296,0.4711688115,0.4898601782,0.0469086137,0.4588125879,-0.0067598812,0.0312724091,-0.0274582747,0.6416469405,0.0229654286,0.6714221835,0.0418372371,0.0069074105,0.0393269733,0.6488994048,0.0264041062,0.6740136743,0.5,0.0,0.5,0.0276305818,0.0191085222,0.0288311885,7.5181225449,2.899021488,9.0,0.0350980718,0.0928088599,0.0205118004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
