cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06345502192040539,0.02924691548631776,-0.004551866324377096,6.0,-19350.13129497716,False,0.291547594742265,0.06987075119377881,0.1865449780795946,0.17924691548631774,0.25870540303224354,0.004551866324377096,0.03936481852062397,0.057726362567039356,True,True,0.4743266174,0.0663848532,0.4686413447,0.4633237391,0.0948355045,0.4552019211,-0.0244508406,0.0632236697,-0.029865386,0.813443413,0.047045355,0.8284538388,0.0962457485,0.0132491661,0.0944425166,0.7922856265,0.0529236051,0.8029896021,0.5,0.0,0.5,0.0601665524,0.0380270598,0.0313586553,7.9707678355,2.2521414285,9.0,1.9138736796,1.1498675782,2.7468376579,1.0,0.0,1.0,1.6995011027,1.1900377915,2.2468376579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.07134675808196989,-0.008061733098797173,-0.03312043255366137,6.0,-17044.597733677172,False,0.26100766272276377,0.07180077596630399,0.17865324191803011,0.06693826690120283,0.190781845109955,0.03312043255366137,0.07065432221616495,0.012779600210402314,True,True,0.4774415805,0.0720641647,0.4731840661,0.4677736865,0.1029488068,0.461691523,-0.021484209,0.0686325378,-0.0255389847,0.8074943326,0.0495632883,0.8347700834,0.0843957298,0.0150243988,0.0787808374,0.7859008153,0.0541882521,0.8033704758,0.5,0.0,0.5,0.0657073324,0.0372111892,0.0268159339,7.5889614168,2.5710159019,9.0,1.7221587985,1.0809156733,1.9230355364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.06645546899452692,-0.0029496711941136657,-0.03958942285087715,6.0,-12433.52789606284,False,0.25,0.06652089836612185,0.18354453100547308,-0.0029496711941136657,0.18356823097195346,0.03958942285087715,0.06645546899452692,0.0029496711941136657,True,True,0.4859155734,0.0715850174,0.4682332874,0.4798793905,0.1022643105,0.454618982,-0.0134137396,0.068176207,-0.030254012,0.8072037071,0.0535559842,0.8278867006,0.0460496121,0.0083973574,0.0404509269,0.7972000802,0.0540852136,0.8096527457,0.5,0.0,0.5,0.0630652122,0.0366819409,0.0317667126,7.8663245239,2.3669767135,9.0,0.7479081733,0.3995250621,0.4866809886,0.0,0.0,0.0,0.0,0.0,0.0,0.0152498082,0.0074092601,0.0264621737,0.0152498082,0.0074092601,0.0264621737,0.0,0.0,0.0
-0.25,0.075,0.0,-0.0625149194742486,0.04477824938867059,0.017141185073333842,6.0,-17062.546273359807,False,0.26100766272276377,0.07689737820749004,0.1874850805257514,-0.03022175061132941,0.1899052648816269,0.017141185073333842,0.07274536837211594,0.024926254343380957,True,True,0.4944102761,0.0663152884,0.4589437418,0.4920146801,0.0947361262,0.4413482025,-0.0053235466,0.0631574175,-0.0391011983,0.8107650542,0.0541263041,0.8149847984,0.0958532047,0.0158304347,0.0756185427,0.8014857922,0.0519823861,0.7934996486,0.5,0.0,0.5,0.0572500871,0.0339321384,0.0410562582,7.9012630663,2.2321399321,9.0,1.6769995546,0.8591363302,1.0279803459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.068802760769879,-0.005684580210269289,-0.049512202855952925,6.0,-18999.523335337948,False,0.291547594742265,0.06903719534949393,0.181197239230121,-0.1556845802102693,0.23889354955683811,0.049512202855952925,0.05607318824009294,0.040273215693749725,True,True,0.4976777811,0.0617123133,0.4833956571,0.4966825444,0.0881604476,0.4762795102,-0.0022116371,0.0587736317,-0.0158136599,0.8137288644,0.049986344,0.848983407,0.1152770831,0.014160724,0.1066355482,0.8099468895,0.0460753551,0.8363948464,0.5,0.0,0.5,0.0534114801,0.0310002597,0.0166043429,8.0952475201,2.0406263519,9.0,1.811772577,0.9622954341,0.4498093354,1.0,0.0,1.0,1.5485620794,1.0356724868,0.1998093354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.06113811136181601,-0.1500830822207568,-0.17901133079355044,6.0,-24477.096157140033,False,0.19525624189766635,0.1620580150124401,0.18613811136181602,-8.308222075681382e-05,0.18613812990357248,0.17901133079355044,0.07615735235076367,0.14304844603383113,True,False,0.002297306,0.0083953367,0.0,0.3876328842,0.0792668712,0.3620911278,-0.0749114105,0.0528445808,-0.0919392481,1.6932013059,0.2317866677,1.7491738796,0.1191722013,0.0189996462,0.1083163843,1.6872481473,0.2385767549,1.7460151911,0.0,0.0,0.0,0.002297306,0.0083953367,0.0,9.0,0.0,9.0,2.1031499772,1.1927749614,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.036526094206700506,0.024444188116482597,0.01964497720310317,6.0,-13277.30812351999,False,0.1457737973711325,0.04395081217305033,0.0884739057932995,0.09944418811648259,0.1331043896964635,0.01964497720310317,0.01874443635535335,0.03975323881636384,True,True,0.5082995525,0.0585278042,0.4859176458,0.5118565036,0.0836111488,0.4798823511,0.0079043357,0.0557407659,-0.0134117659,0.4856861388,0.0337841898,0.511498034,0.0457267027,0.0059161549,0.049429886,0.4826490162,0.0339981451,0.5015244484,0.5,0.0,0.5,0.0530090979,0.0261614597,0.0140823542,6.435817332,3.3109354063,9.0,1.3709312141,1.1420695281,1.6540109517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.03183477481873485,0.02903002401224936,0.03007836557730788,6.0,-9753.982687449827,False,0.125,0.04308358367071301,0.09316522518126516,0.02903002401224936,0.09758330532026274,0.03007836557730788,0.03183477481873485,0.02903002401224936,True,True,0.4417039152,0.0555720605,0.4170361448,0.5238627361,0.0793886579,0.488623064,0.0159084907,0.0529257719,-0.007584624,0.4904568673,0.0278320408,0.4542168677,0.0258571556,0.0035903724,0.0217004456,0.4898270515,0.0307654549,0.44883129,0.425,0.0,0.425,0.0504461665,0.0286785456,0.0079638552,6.4346703248,3.3666992776,9.0,0.4191597863,0.2925426191,0.4338735707,0.0,0.0,0.0,0.0,0.0,0.0,0.003595506,0.0047316407,0.0111113619,0.003595506,0.0047316407,0.0111113619,0.0,0.0,0.0
-0.125,0.075,0.0,-0.037135514231198395,0.02524588584425318,0.022674223744931554,6.0,-13515.37015895769,False,0.1457737973711325,0.04490435579402739,0.0878644857688016,-0.04975411415574682,0.10097346054701217,0.022674223744931554,0.04483234185482628,0.0025421040672234823,True,True,0.5265008796,0.0591006159,0.4873917309,0.5378583994,0.0844294513,0.4819881869,0.0252389329,0.0562863009,-0.0120078754,0.4811099152,0.0408426489,0.5127305388,0.0585560239,0.0094362007,0.0465875268,0.4853094051,0.0324778577,0.5075056553,0.5,0.0,0.5,0.0549019962,0.0343649564,0.0126082691,6.6085244982,3.2151807561,9.0,1.2610489668,0.955818429,0.4810596423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.01672727172009283,0.06377559233936529,0.12702084539914424,6.0,-15541.227743295556,False,0.19525624189766635,0.06593275208448929,0.10827272827990717,-0.0862244076606347,0.13841109841917276,0.12702084539914424,0.05970230555818007,0.02797789321004046,True,False,0.0282239083,0.0442394007,0.0,0.4723115695,0.1224167984,0.4682924896,-0.0184589537,0.0816111989,-0.0211383402,0.921458112,0.1161030183,0.8790714741,0.1220161173,0.0140016758,0.1100598276,0.9470417958,0.1051622678,0.8663862348,0.0,0.0,0.0,0.0282239083,0.0442394007,0.0,7.7280789052,2.4460048207,9.0,1.6176855649,0.8029417181,0.8127206258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
