cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05961377814084836,0.03707860946209513,0.004424620842122658,6.0,-22369.03312478538,False,0.125,0.07020417241068269,0.040386221859151646,0.11207860946209514,0.11913295771957254,0.004424620842122658,0.02544385683542161,0.06543115445418513,True,True,0.4694452855,0.0663494245,0.4468234215,0.4563504078,0.0947848921,0.4240334593,-0.0290997281,0.0631899281,-0.0506443605,0.8127846565,0.0477746849,0.7981796265,0.0976288673,0.0139139171,0.1060336158,0.7913332574,0.0537288136,0.770167172,0.5,0.0,0.5,0.0618091804,0.0389289343,0.0531765785,8.6030940622,1.5259070327,9.0,1.8252677092,1.2752783487,3.0,1.0,0.0,1.0,1.6914258741,1.3209768241,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.06594030772970337,-0.021659759775087148,-0.06510313611714273,6.0,-15429.616867513238,False,0.1,0.06940655139828272,0.034059692270296635,-0.021659759775087148,0.04036344671930022,0.06510313611714273,0.06594030772970337,0.021659759775087148,True,False,0.4786515754,0.0727067971,0.4401217546,0.4695022506,0.103866853,0.4144596495,-0.0203318329,0.0692445687,-0.0570269004,0.805900718,0.0508719787,0.7889019847,0.0457282443,0.0080920973,0.0357448459,0.7948878334,0.0523643784,0.7751621604,0.5,0.0,0.5,0.0666436925,0.0360645509,0.0598782454,8.6279807646,1.2755414699,9.0,0.490230362,0.5996560303,0.235343937,0.0,0.0,0.0,0.0,0.0,0.0,0.0162625043,0.0080658548,0.0199711125,0.0162625043,0.0080658548,0.0199711125,0.0,0.0,0.0
-0.1,0.075,0.0,-0.0709980083329916,0.024646880538993863,-0.010861332193582651,6.0,-23198.96079207325,False,0.125,0.07515441375963874,0.02900199166700841,-0.05035311946100614,0.05810810752474719,0.010861332193582651,0.07158653498978959,0.022881300568599862,True,True,0.4963068678,0.0628588844,0.4412283922,0.4947240969,0.0897984063,0.4160405602,-0.0035172687,0.0598656042,-0.0559729598,0.8147632219,0.052975819,0.7904332876,0.1148008419,0.0150484275,0.1016077399,0.8103944761,0.0483300336,0.7754075527,0.5,0.0,0.5,0.0533733658,0.0334090167,0.0587716078,8.6480376665,1.3653892297,9.0,1.8185174202,1.0795014787,0.3388947138,1.0,0.0,1.0,1.6271744148,1.1458815448,0.0888947138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.10235335563274867,-0.025452371575912843,0.05296031990751874,6.0,-28402.109926654055,False,0.09013878188659974,0.10547052966645355,-0.05235335563274866,0.04954762842408715,0.07208218454278745,0.05296031990751874,0.0779530797151308,0.07104470417313823,True,False,0.0104028565,0.0210784795,0.0,0.4551776132,0.0751856914,0.3730756901,-0.0298815912,0.0501237943,-0.0846162066,0.847186619,0.1164838031,0.8745869398,0.1055953485,0.0181423144,0.1135860905,0.8708973064,0.1102517186,0.9166973233,0.0,0.0,0.0,0.0104028565,0.0210784795,0.0,8.9205715766,0.6498650445,9.0,2.2572624461,1.1555863813,2.9151028743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03341920019566091,0.020685333650255752,0.021030487366661577,6.0,-12056.495926080142,False,0.05,0.03930300204742718,0.016580799804339096,0.020685333650255752,0.026510487554437287,0.021030487366661577,0.03341920019566091,0.020685333650255752,True,True,0.4366167429,0.0566270081,0.4070181249,0.5165953471,0.0808957258,0.474311607,0.0110635647,0.0539304839,-0.0171255954,0.4896704067,0.029533871,0.4459442198,0.0256789722,0.0037536778,0.0208476707,0.4894060362,0.0323412509,0.4416232705,0.425,0.0,0.425,0.0510194018,0.0271769645,0.0179818751,7.8461516792,2.3965898874,9.0,0.3911760451,0.5661037434,0.3451273658,0.0,0.0,0.0,0.0,0.0,0.0,0.003013246,0.0042573782,0.0090982415,0.003013246,0.0042573782,0.0090982415,0.0,0.0,0.0
-0.05,0.075,0.0,-0.016178800084412,0.06696628846828431,0.12651352796271179,6.0,-20401.694102033503,False,0.09013878188659974,0.06889294131758956,0.033821199915588004,-0.008033711531715684,0.03476225085786292,0.12651352796271179,0.064693703612261,0.023684637981564474,True,False,0.02715127,0.042389727,0.0,0.4663239821,0.1234431276,0.4690916371,-0.0224506786,0.0822954184,-0.0206055753,0.921458112,0.1161030183,0.8790714741,0.1227885334,0.0140319967,0.1102217287,0.9453325727,0.1039649147,0.8661847115,0.0,0.0,0.0,0.02715127,0.042389727,0.0,8.5302492178,1.518810267,9.0,2.0966911123,1.1387705923,1.4594649502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.090434151897984,0.0235888826925489,0.09953414793864195,6.0,-25016.01237403763,False,0.075,0.0934599979466642,-0.090434151897984,0.0985888826925489,0.13378379431034543,0.09953414793864195,-0.0235888826925489,0.090434151897984,False,False,0.0097441808,0.0199237515,0.0,0.4546093989,0.0729643666,0.4004089981,-0.0302604007,0.0486429111,-0.0663940012,0.847186619,0.1164838031,0.8745869398,0.0583672111,0.0098086181,0.0677595735,0.8593205404,0.1110976907,0.8990478516,0.0,0.0,0.0,0.0097441808,0.0199237515,0.0,8.9455160546,0.5282303525,9.0,1.352676675,1.4344883828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.447381088909395e-06,9.424091696215453e-06,4.058752053500333e-05,6.0,1797.2385417395926,False,0.0,9.534590516388714e-06,1.447381088909395e-06,9.424091696215453e-06,9.534590516388714e-06,4.058752053500333e-05,0.0,9.534590516388714e-06,True,True,0.5656157415,0.0233837529,0.5386758346,0.5937367736,0.0334053613,0.5552511923,0.0624911824,0.0222702409,0.0368341282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,8.041e-07,2.892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.023337563028042227,0.06863531054151431,0.11826472846362164,6.0,-18787.960253506542,False,0.075,0.07249446669379636,-0.023337563028042227,-0.006364689458485687,0.024189897064493728,0.11826472846362164,0.06863531054151431,0.023337563028042227,True,False,0.0269931039,0.0431720506,0.0004363017,0.4573518903,0.1311073874,0.5006232881,-0.0284320731,0.087404925,0.0004155254,0.921458112,0.1161030183,0.8790714741,0.0598473374,0.0073525054,0.0504667461,0.928520636,0.1073891192,0.8708208799,0.0,0.0,0.0,0.0269931039,0.0431720506,0.0004363017,8.6866741304,1.1318725855,9.0,1.51459227,1.3113109851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.0839498731693958,-0.051932067641415176,0.019234375131728914,6.0,-24835.369020930506,False,0.09013878188659974,0.098714339660812,-0.1339498731693958,0.02306793235858482,0.13592166135461067,0.019234375131728914,-0.0033569189535346453,0.09865724479129528,False,True,0.0064412284,0.014655745,0.0,0.4510215665,0.0678467299,0.3608917892,-0.032652289,0.0452311533,-0.0927388072,0.847186619,0.1164838031,0.8745869398,0.1076248451,0.0167900233,0.1334465891,0.8698706275,0.1076403563,0.912355721,0.0,0.0,0.0,0.0064412284,0.014655745,0.0,8.868976083,0.945296067,9.0,1.5427212864,1.4005423435,0.6193230416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
