cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.0733850169230774,-0.02629630619109843,0.07233626174768615,6.0,-23742.648410371337,False,0.125,0.07795419442272723,0.026614983076922602,0.04870369380890156,0.055501415430744765,0.07233626174768615,0.07448579725312099,0.0229939652009677,True,False,0.0087357186,0.0180340297,0.0,0.4488695635,0.0727202801,0.4797474598,-0.0340869577,0.0484801867,-0.0135016935,1.015920825,0.1390719994,1.0495043993,0.0582744506,0.0102716558,0.0600019358,1.0282388216,0.1338406082,1.07013762,0.0,0.0,0.0,0.0087357186,0.0180340297,0.0,8.8783775419,0.675822622,9.0,1.9482221403,1.2096270934,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.02514557051698973,0.018587756878373614,0.020867679004889023,6.0,-8537.69402728598,False,0.1,0.0312698644447722,0.07485442948301027,0.018587756878373614,0.07712775323446472,0.020867679004889023,0.02514557051698973,0.018587756878373614,True,True,0.4205320002,0.0511353181,0.394972018,0.5293314289,0.0730504545,0.4928171686,0.0195542859,0.048700303,-0.0047885543,0.4218470187,0.0286282435,0.3778838813,0.0228294851,0.0031985174,0.0189971756,0.4234259977,0.031514514,0.3751017451,0.4,0.0,0.4,0.0468706889,0.0289745115,0.005027982,5.795692199,3.592861979,6.1893306085,0.3223935585,0.2188327628,0.3016260134,0.0,0.0,0.0,0.0,0.0,0.0,0.0015153796,0.0026424369,0.0061472929,0.0015153796,0.0026424369,0.0061472929,0.0,0.0,0.0
-0.1,0.075,0.0,-0.02577946246304255,0.027694341162435035,0.04419573651031864,6.0,-10173.018565896331,False,0.125,0.03783592495637927,0.07422053753695745,-0.04730565883756496,0.0880142803772831,0.04419573651031864,0.037240174667895067,0.006687795452122498,True,True,0.0329299952,0.0419462977,0.0196668243,0.5105525672,0.0954212549,0.5280954633,0.0070350448,0.0636141699,0.0187303089,0.5528748882,0.0696618143,0.5274428725,0.0633054278,0.0118448725,0.0464571305,0.5715007498,0.0655200251,0.5305293202,0.0,0.0,0.0,0.0329299952,0.0419462977,0.0196668243,5.8723584097,3.3287432543,9.0,0.9778467552,0.5440773422,0.3574888113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.07106343523885371,-0.029466786544437597,0.07220093703920864,6.0,-23487.147269125315,False,0.09013878188659974,0.07693050979424355,-0.021063435238853706,0.045533213455562396,0.050169132259300565,0.07220093703920864,0.06393674988892073,0.04278311992882004,True,False,0.0083067871,0.0183203789,0.0,0.4455682018,0.0739104836,0.4310544766,-0.0362878655,0.0492736557,-0.0459636822,1.015920825,0.1390719994,1.0495043993,0.0578280043,0.0100258519,0.0542059839,1.0271347427,0.1335814771,1.072484374,0.0,0.0,0.0,0.0083067871,0.0183203789,0.0,8.8272820388,0.8485180548,9.0,1.9162511714,1.1792326187,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.010446710388269533,0.010486611386764847,0.02319933865535691,6.0,-5526.307494409225,False,0.05,0.014802120669465058,0.03955328961173047,0.010486611386764847,0.040919820838885054,0.02319933865535691,0.010446710388269533,0.010486611386764847,True,True,0.3880043156,0.0254285674,0.3587281114,0.5542918794,0.0363265249,0.5124687306,0.0361945862,0.0242176833,0.008312487,0.2858513214,0.01302201,0.2874774635,0.0180381468,0.0039398776,0.0134065449,0.2903294301,0.011166958,0.288212359,0.35,0.0,0.35,0.0393555197,0.0232826783,0.0087281114,3.9942167428,3.6948351898,0.5406499437,0.1582131584,0.0792053891,0.118150398,0.0,0.0,0.0,0.0,0.0,0.0,0.0006698476,0.001659682,0.0036392173,0.0006698476,0.001659682,0.0036392173,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02925803300832866,0.01775857015768797,0.03838441854870537,6.0,-9771.084723991647,False,0.09013878188659974,0.034225711235297586,0.020741966991671343,-0.05724142984231202,0.06088358140809321,0.03838441854870537,0.03100546017760766,0.014493472625177192,True,True,0.0327299285,0.0420700875,0.0089091968,0.5095739773,0.0963317735,0.512727424,0.0063826515,0.0642211824,0.0084849494,0.5528748882,0.0696618143,0.5274428725,0.0586353641,0.0125891633,0.0414569452,0.5692526604,0.0657979956,0.5295813084,0.0,0.0,0.0,0.0327299285,0.0420700875,0.0089091968,5.7497212295,3.2827409795,9.0,0.8304211906,0.5116682347,0.0567270181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.069680631971905,-0.07788781196120874,0.030521143488446183,6.0,-21525.705336708066,False,0.075,0.10450790268735029,-0.069680631971905,-0.0028878119612087416,0.06974044687215138,0.030521143488446183,0.07788781196120874,0.069680631971905,True,True,0.0078310056,0.0175237195,0.0124445559,0.4424814515,0.0745840651,0.517777937,-0.038345699,0.0497227101,0.011851958,1.015920825,0.1390719994,1.0495043993,0.0317400956,0.0056404465,0.0295143146,1.0215309795,0.1351962546,1.0497201681,0.0,0.0,0.0,0.0078310056,0.0175237195,0.0124445559,8.7942317568,1.0602425617,9.0,1.1003699842,1.3473453953,1.7944492484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.447381088909395e-06,9.424091696215453e-06,4.058752053500333e-05,6.0,1797.6314102701458,False,0.0,9.534590516388714e-06,1.447381088909395e-06,9.424091696215453e-06,9.534590516388714e-06,4.058752053500333e-05,0.0,9.534590516388714e-06,True,True,0.5656157415,0.0233837529,0.5386758346,0.5937367736,0.0334053613,0.5552511923,0.0624911824,0.0222702409,0.0368341282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.905e-07,6.556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.026733221895391877,0.035240268394348316,0.0487647570736686,6.0,-10710.69896310987,False,0.075,0.04423281213549467,-0.026733221895391877,-0.03975973160565168,0.047911391236966985,0.0487647570736686,0.035240268394348316,0.026733221895391877,True,True,0.0338439672,0.0428951437,0.0149908197,0.5082001642,0.1006795058,0.5214154567,0.0054667761,0.0671196706,0.0142769711,0.5528748882,0.0696618143,0.5274428725,0.0306733654,0.0068382975,0.0202555433,0.5604098691,0.0668054628,0.52813375,0.0,0.0,0.0,0.0338439672,0.0428951437,0.0149908197,6.1775174158,3.340761103,9.0,0.6660889616,0.5080576529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.07239426642864477,-0.07904404204292502,0.00488922082456041,6.0,-22231.97901698712,False,0.09013878188659974,0.10718624162748362,-0.12239426642864477,-0.004044042042925022,0.12246105801703261,0.00488922082456041,0.02561150465391787,0.10408141632197192,True,True,0.0082707687,0.0173354968,0.0,0.4449293169,0.0746790386,0.4696818739,-0.0367137887,0.0497860257,-0.0202120841,1.015920825,0.1390719994,1.0495043993,0.0574857762,0.009837379,0.0527257919,1.0274159815,0.1314457842,1.0706315041,0.0,0.0,0.0,0.0082707687,0.0173354968,0.0,8.8253593287,0.9421451484,9.0,1.4314667636,1.357295156,1.9642165357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
