cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,0.0,0.0,-0.026528411750465733,0.013091307513592373,0.014716415744402115,6.0,-8409.091641155064,False,0.1,0.02958274771581721,0.07347158824953427,0.013091307513592373,0.07462879211353043,0.014716415744402115,0.026528411750465733,0.013091307513592373,True,True,0.4202890914,0.0510209289,0.3951230637,0.5289844162,0.0728870413,0.4930329481,0.0193229442,0.0485913608,-0.0046447013,0.4217996637,0.0287358782,0.3779915869,0.0228052966,0.0030210561,0.0192479603,0.4234625823,0.031622172,0.375446558,0.4,0.0,0.4,0.0468580262,0.0286200593,0.0048769363,5.7931894222,3.5558692836,4.593372671,0.3147833905,0.1984434206,0.2618157974,0.0,0.0,0.0,0.0,0.0,0.0,0.0014372441,0.0024869093,0.0057313792,0.0014372441,0.0024869093,0.0057313792,0.0,0.0,0.0
-0.05,0.0,0.0,-0.010543057756880135,0.010984062537486622,0.024919547715789008,6.0,-5589.233390774694,False,0.05,0.015225166557129266,0.039456942243119866,0.010984062537486622,0.04095729386817828,0.024919547715789008,0.010543057756880135,0.010984062537486622,True,True,0.388024881,0.0252261551,0.3599958678,0.5543212586,0.0360373645,0.5142798112,0.0362141724,0.0240249097,0.0095198741,0.2858139568,0.0130289866,0.2873468101,0.0180687424,0.0039252459,0.0134102767,0.290303822,0.0112152274,0.2880696356,0.35,0.0,0.35,0.039413353,0.0229964798,0.0099958678,4.0488863397,3.6363417341,0.5536205325,0.1578644156,0.0796249298,0.1234588351,0.0,0.0,0.0,0.0,0.0,0.0,0.0006324759,0.0015805732,0.0036401476,0.0006324759,0.0015805732,0.0036401476,0.0,0.0,0.0
0.0,0.0,0.0,1.5431306103849304e-05,-4.98806727413937e-06,-2.137312510375189e-05,6.0,1798.622256606308,False,0.0,1.6217460442437867e-05,1.5431306103849304e-05,-4.98806727413937e-06,1.6217460442437867e-05,2.137312510375189e-05,0.0,1.6217460442437867e-05,True,True,0.5656170954,0.0233822756,0.5386758307,0.5937387078,0.0334032509,0.5552511867,0.0624924718,0.0222688339,0.0368341245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,3.299e-07,1.9601e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.028856466971737754,-0.02582146954543504,-0.033474965365386446,6.0,-9593.039217727985,False,0.05,0.03872265455230079,-0.02114353302826225,-0.02582146954543504,0.03337360151980972,0.033474965365386446,0.028856466971737754,0.02582146954543504,True,True,0.3353693829,0.0430128342,0.309793574,0.4790991184,0.061446906,0.4425622486,-0.013933921,0.040964604,-0.0382918343,0.6830626605,0.0697174467,0.781050384,0.0137244152,0.0021064214,0.013146095,0.6853108986,0.0685695275,0.7824144959,0.35,0.0,0.35,0.039177487,0.0230061594,0.040206426,6.6990783533,3.2504693929,9.0,0.1429268693,0.1882167942,0.419170089,0.0,0.0,0.0,0.0,0.0,0.0,0.0002441064,0.0006169688,0.0,0.0002441064,0.0006169688,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.037369702661722064,0.0006239662510095341,0.025041615760714953,6.0,-12633.7174734892,False,0.1,0.03737491151705802,-0.06263029733827793,0.0006239662510095341,0.0626334054523902,0.025041615760714953,0.037369702661722064,0.0006239662510095341,True,True,0.3533002826,0.0441315639,0.3405132465,0.433286118,0.0630450913,0.4150189236,-0.0444759213,0.0420300608,-0.0566540509,0.9967580605,0.1005279882,0.8568935394,0.0302110491,0.0051425204,0.0336864144,0.9982203627,0.1030535234,0.8542165756,0.4,0.0,0.4,0.0595205175,0.024202614,0.0594867535,8.0266243798,2.3152839878,9.0,0.4102388093,0.4575861971,0.7083737764,0.0,0.0,0.0,0.0,0.0,0.0,0.0026201289,0.0038910733,0.0083111652,0.0026201289,0.0038910733,0.0083111652,0.0,0.0,0.0
0.0,0.0,-0.125,0.016819509823616758,-0.028035578816031633,-0.1486414545817806,6.0,-1638.8022828375465,False,0.0,0.032693876953592736,0.016819509823616758,-0.028035578816031633,0.032693876953592736,0.023641454581780602,0.0,0.032693876953592736,False,True,0.8790721328,0.0297213962,0.871514455,0.5415316183,0.0424591374,0.5307349358,0.0276877455,0.0283060916,0.0204899572,0.6786415124,0.0115224165,0.6889231801,0.0151838026,0.0014204097,0.0142628783,0.6828178678,0.0126356782,0.6898451447,0.85,0.0,0.85,0.0326870242,0.0256925816,0.021514455,0.5096186829,1.4182699238,0.2006946268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.1,0.01058110203824011,-0.01996518871275357,-0.11698740899045634,6.0,-852.0416609472917,False,0.0,0.022595762449616776,0.01058110203824011,-0.01996518871275357,0.022595762449616776,0.016987408990456337,0.0,0.022595762449616776,False,True,0.8871378633,0.0286653143,0.8755377473,0.5530540904,0.0409504489,0.5364824962,0.0353693936,0.0273002993,0.0243216641,0.5429132271,0.0092179315,0.5511385798,0.0124204271,0.001437749,0.0111673987,0.5460170813,0.0101155829,0.5514456034,0.85,0.0,0.85,0.0400835632,0.0243768146,0.0255377473,0.3849409739,1.3444399493,0.1249614485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.012491272272600246,0.021503303887975073,0.12214147471049246,6.0,-842.3532321553014,False,0.0,0.02486813143536996,0.012491272272600246,0.021503303887975073,0.02486813143536996,0.02214147471049245,0.0,0.02486813143536996,False,True,0.9028256766,0.0201612397,0.8923032032,0.5754652523,0.0288017711,0.5604331475,0.0503101682,0.0192011807,0.040288765,0.5429132271,0.0092179315,0.5511385798,0.0145724137,0.0035361839,0.0114101609,0.5499353383,0.0089402841,0.5578379035,0.85,0.0,0.85,0.0528256766,0.0201612397,0.0423032032,0.3709635828,1.3413744676,0.1802273422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.015892094835936666,0.027835495750895934,0.14684563500757028,6.0,-1398.1308996903438,False,0.0,0.032052667626463645,0.015892094835936666,0.027835495750895934,0.032052667626463645,0.02184563500757028,0.0,0.032052667626463645,False,True,0.8951684939,0.0207935745,0.8891402731,0.5645264199,0.0297051064,0.5559146758,0.0430176133,0.0198034043,0.0372764505,0.6786415124,0.0115224165,0.6889231801,0.0188130844,0.0044971312,0.0150980242,0.6870530786,0.0110636608,0.697052896,0.85,0.0,0.85,0.0455288223,0.0199922966,0.0391402731,0.4961115538,1.4282148338,0.2904945082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,-0.1,0.03384350268795789,-0.008389732632727182,0.026257526117050418,6.0,-8783.558539572949,False,0.05,0.03486789766875055,-0.016156497312042113,-0.008389732632727182,0.018204944906334414,0.12625752611705043,0.03384350268795789,0.008389732632727182,True,False,0.4900517937,0.0327657036,0.4686811311,0.4857882767,0.046808148,0.4552587587,-0.0094744822,0.031205432,-0.0298274942,0.6432599694,0.0222523729,0.6712819338,0.0418041501,0.0065424159,0.0405368917,0.6512091452,0.0264295769,0.672254324,0.5,0.0,0.5,0.0272159026,0.020781068,0.0313188689,7.552722203,2.7959878434,9.0,0.0368561349,0.0971540479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
