cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.07773619115361931,-0.05714097056404644,0.05980359022430807,6.0,-23799.510557490277,False,0.125,0.09647800750468088,0.022263808846380698,0.017859029435953556,0.028541585743305068,0.05980359022430807,0.09647353526132331,0.0009289382409344293,True,False,0.0105264721,0.0211658427,0.0,0.4418018662,0.0889983293,0.4028590731,-0.0387987559,0.0593322195,-0.0647606179,1.015920825,0.1390719994,1.0495043993,0.0617395199,0.0114635868,0.0628047213,1.0262904048,0.1323833035,1.0793670416,0.0,0.0,0.0,0.0105264721,0.0211658427,0.0,8.8402255047,0.8346243718,7.3579010129,1.9829070202,1.1753206439,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.025092414492937896,0.014594131914479556,0.016134089319213302,6.0,-8325.742698811899,False,0.1,0.0290278823103345,0.07490758550706211,0.014594131914479556,0.07631602094472073,0.016134089319213302,0.025092414492937896,0.014594131914479556,True,True,0.4154739442,0.049410944,0.3946633587,0.5221056345,0.0705870628,0.4923762267,0.0147370897,0.0470580419,-0.0050825155,0.4220606237,0.0279401442,0.3776637614,0.0230799854,0.0033044092,0.0189978778,0.4243356868,0.0315281175,0.3742991388,0.4,0.0,0.4,0.044319937,0.0267698994,0.0053366413,5.6889886652,3.5255598344,4.0888211438,0.3175226327,0.2042782679,0.2777922489,0.0,0.0,0.0,0.0,0.0,0.0,0.0016503799,0.0028162965,0.0066944457,0.0016503799,0.0028162965,0.0066944457,0.0,0.0,0.0
-0.1,0.075,0.0,-0.028938616095199664,0.023513367122487087,0.03913168963592861,6.0,-9890.822633257634,False,0.125,0.037287020998494985,0.07106138390480034,-0.051486632877512914,0.08775302642945831,0.03913168963592861,0.03725891314965198,0.0014475240408698706,True,True,0.0283920867,0.0392922399,0.0279375899,0.5005084061,0.0929308791,0.5399108427,0.0003389374,0.0619539194,0.0266072284,0.5528748882,0.0696618143,0.5274428725,0.0661125038,0.0120264204,0.0528947562,0.5723266372,0.0648849757,0.5287559032,0.0,0.0,0.0,0.0283920867,0.0392922399,0.0279375899,5.6451237889,3.3172844029,9.0,0.9755779801,0.5413110805,0.3002805308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.06861816692355552,-0.058666690891720656,0.036817485338123346,6.0,-23533.95824668036,False,0.09013878188659974,0.09027864338886372,-0.018618166923555515,0.01633330910827934,0.02476717840247406,0.036817485338123346,0.08687614808139524,0.024551341036145348,True,True,0.0098313243,0.0196067959,0.0,0.4411581503,0.0872767862,0.4681222225,-0.0392278998,0.0581845241,-0.0212518517,1.015920825,0.1390719994,1.0495043993,0.060627324,0.0095377333,0.059533719,1.024772706,0.1317997225,1.0596731901,0.0,0.0,0.0,0.0098313243,0.0196067959,0.0,8.8776191893,0.738609324,9.0,1.9075620096,1.1783385109,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.009934959122744298,0.014175054269753322,0.028935963702362438,6.0,-5511.02222071156,False,0.05,0.017309984873507312,0.04006504087725571,0.014175054269753322,0.0424987019101363,0.028935963702362438,0.009934959122744298,0.014175054269753322,True,True,0.3829617801,0.0262143881,0.3523384037,0.5470882573,0.0374491258,0.5033405768,0.0313921715,0.0249660839,0.0022270512,0.2850479333,0.013925329,0.2881486714,0.0183568797,0.0041971142,0.0132679082,0.2903104918,0.0123662057,0.2897990644,0.35,0.0,0.35,0.0351397453,0.0232136035,0.0023384037,3.9526550173,3.632745923,0.6078412892,0.1605257408,0.082750575,0.1185656866,0.0,0.0,0.0,0.0,0.0,0.0,0.0002448512,0.0009318849,0.0005911845,0.0002448512,0.0009318849,0.0005911845,0.0,0.0,0.0
-0.05,0.075,0.0,-0.028616499748649698,0.02122604205413502,0.03944829627621497,6.0,-9757.09657579427,False,0.09013878188659974,0.03562932667267762,0.021383500251350305,-0.05377395794586498,0.0578696175567383,0.03944829627621497,0.0335347125646257,0.01203627734626915,True,True,0.0291707762,0.0412794273,0.023260845,0.5006215741,0.0962730688,0.5332297785,0.0004143828,0.0641820459,0.0221531857,0.5528748882,0.0696618143,0.5274428725,0.0619762449,0.0121591043,0.0456199721,0.5701952698,0.064735004,0.5277655721,0.0,0.0,0.0,0.0291707762,0.0412794273,0.023260845,5.708700749,3.21545701,9.0,0.8156237173,0.4921595893,0.1072243281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.06908519152243196,-0.05872493514604494,0.043192407548472644,6.0,-21554.134959172465,False,0.075,0.09067183518380054,-0.06908519152243196,0.016275064853955058,0.0709763441133139,0.043192407548472644,0.05872493514604494,0.06908519152243196,True,True,0.0093107991,0.0190777995,0.0,0.4418595922,0.0843046923,0.4059054703,-0.0387602719,0.0562031282,-0.0627296865,1.015920825,0.1390719994,1.0495043993,0.0329056858,0.00521871,0.0332285166,1.0208901602,0.1341602619,1.063400507,0.0,0.0,0.0,0.0093107991,0.0190777995,0.0,8.8128324885,1.0486746877,5.9792711559,1.1476547264,1.3550255707,1.4593163295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.447381088909395e-06,9.424091696215453e-06,4.058752053500333e-05,6.0,1797.6313932777723,False,0.0,9.534590516388714e-06,1.447381088909395e-06,9.424091696215453e-06,9.534590516388714e-06,4.058752053500333e-05,0.0,9.534590516388714e-06,True,True,0.559864194,0.0211274977,0.5353938602,0.5855202772,0.0301821396,0.5505626574,0.0570135181,0.0201214264,0.0337084383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.905e-07,6.556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.027455034724960827,0.03236372915328166,0.04713360729645544,6.0,-10689.826193691639,False,0.075,0.042440427618672484,-0.027455034724960827,-0.04263627084671834,0.05071124651853402,0.04713360729645544,0.03236372915328166,0.027455034724960827,True,True,0.0284312054,0.0392986966,0.0202009843,0.4961141146,0.0974548292,0.528858549,-0.0025905903,0.0649698862,0.0192390326,0.5528748882,0.0696618143,0.5274428725,0.0319353722,0.0070341817,0.021513693,0.5606958002,0.0667324099,0.5264309049,0.0,0.0,0.0,0.0284312054,0.0392986966,0.0202009843,5.9719915804,3.3143287151,9.0,0.6674059441,0.5167104063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.07624720743368751,-0.0699886739596824,0.04502014580058263,6.0,-22032.277622649206,False,0.09013878188659974,0.10349903924225819,-0.1262472074336875,0.005011326040317593,0.12634662945044037,0.04502014580058263,0.015939755843376896,0.10226424256661773,True,True,0.0095227629,0.0192183582,0.0,0.4415153684,0.0872060962,0.4216313958,-0.0389897544,0.0581373975,-0.0522457361,1.015920825,0.1390719994,1.0495043993,0.0607915698,0.0091897499,0.063778244,1.0258450623,0.1302875546,1.0712909698,0.0,0.0,0.0,0.0095227629,0.0192183582,0.0,8.7990277692,1.0786183898,9.0,1.432776066,1.3756011415,1.5800471754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.02995066289826445,-0.033762391953218535,-0.04144375571863127,6.0,-9577.804268195347,False,0.05,0.04513248628702201,-0.020049337101735554,-0.033762391953218535,0.039266716550047646,0.04144375571863127,0.02995066289826445,0.033762391953218535,True,True,0.3298052437,0.0422550168,0.2982193224,0.4711503481,0.0603643097,0.4260276034,-0.0192331012,0.0402428731,-0.049314931,0.6799168732,0.0729839628,0.7828057408,0.0143221464,0.002196442,0.0144499466,0.6820994717,0.0716132625,0.7840450406,0.35,0.0,0.35,0.0394261489,0.0252763409,0.0517806776,6.6746610662,3.3135878584,9.0,0.142436333,0.193852281,0.5140558062,0.0,0.0,0.0,0.0,0.0,0.0,0.0004947155,0.0009895839,0.0,0.0004947155,0.0009895839,0.0,0.0,0.0,0.0
0.05,0.075,0.0,-0.02897788977799458,0.02650233825475315,0.03626186854051028,6.0,-10179.16296236053,False,0.09013878188659974,0.03926947961146105,-0.07897788977799458,-0.04849766174524685,0.09267971875519175,0.03626186854051028,0.005977237199461796,0.03881191394940895,True,True,0.0293146359,0.0405128325,0.0173672819,0.4993675035,0.0971203281,0.5248104027,-0.0004216643,0.0647468854,0.0165402684,0.5528748882,0.0696618143,0.5274428725,0.055237732,0.0120270183,0.0361372083,0.5667614721,0.0649293741,0.5258546472,0.0,0.0,0.0,0.0293146359,0.0405128325,0.0173672819,5.6487498684,3.2383931357,9.0,0.9882162212,0.5393716373,0.3772647102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.075,0.0,-0.07421321580045463,-0.03100987323458611,0.06066774553022699,6.0,-21884.117101137304,False,0.125,0.08043142195354966,-0.17421321580045462,0.04399012676541389,0.17968131737154244,0.06066774553022699,-0.04076464869961204,0.06933582806794167,False,False,0.0091312237,0.0189676238,0.0,0.4409508473,0.086399019,0.4346275367,-0.0393661018,0.057599346,-0.0435816422,1.015920825,0.1390719994,1.0495043993,0.0619188421,0.0095842657,0.0682481676,1.025835648,0.1291954445,1.0644510984,0.0,0.0,0.0,0.0091312237,0.0189676238,0.0,8.7955867431,1.0578792255,9.0,1.4678051462,1.3569584814,2.7440737503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.03711449082381845,0.0005931331032479819,0.03215941318160365,6.0,-12233.20523601603,False,0.1,0.03711923000264785,-0.06288550917618155,0.0005931331032479819,0.06288830631544931,0.03215941318160365,0.03711449082381845,0.0005931331032479819,True,True,0.3526414399,0.0475934884,0.3208849706,0.4323449141,0.0679906977,0.3869785294,-0.0451033906,0.0453271318,-0.0753476471,0.9956726217,0.1021552027,0.8247336149,0.030553108,0.0046393157,0.0351130851,0.9965006057,0.1045543535,0.8212521672,0.4,0.0,0.4,0.0610898555,0.0278568287,0.0791150294,8.039252798,2.2850653001,9.0,0.3952106946,0.4558278471,0.6980548738,0.0,0.0,0.0,0.0,0.0,0.0,0.0031444118,0.0043712178,0.0104455788,0.0031444118,0.0043712178,0.0104455788,0.0,0.0,0.0
0.1,0.075,0.0,-0.027126054266408545,0.028667982148125815,0.04095229644658286,6.0,-10762.096062403081,False,0.125,0.03946740453221369,-0.12712605426640855,-0.046332017851874185,0.13530591100011943,0.04095229644658286,-0.004500054124251347,0.03921001827834578,False,True,0.0292392758,0.040515232,0.0220339467,0.4988433793,0.0973327712,0.5314770667,-0.0007710805,0.0648885142,0.0209847111,0.5528748882,0.0696618143,0.5274428725,0.0532824487,0.012251907,0.0340819135,0.5648109402,0.0645885134,0.5245892406,0.0,0.0,0.0,0.0292392758,0.040515232,0.0220339467,5.7441350903,3.1873675794,9.0,1.1775756203,0.5534100851,0.4791011554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.125,0.016573143224229345,-0.02812654734695833,-0.1442978638114151,6.0,-1517.6072618662313,False,0.0,0.03264615968213578,0.016573143224229345,-0.02812654734695833,0.03264615968213578,0.0192978638114151,0.0,0.03264615968213578,False,True,0.8835398283,0.0288817281,0.8787272702,0.5479140405,0.0412596115,0.5410389574,0.0319426936,0.0275064077,0.0273593049,0.6786415124,0.0115224165,0.6889231801,0.0148953059,0.0016326189,0.0135356188,0.6821062146,0.0125890317,0.6894011497,0.85,0.0,0.85,0.0369754513,0.0243287957,0.0287272702,0.516560959,1.4184487701,0.1865308195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.1,0.011350735878803317,-0.021175369024586693,-0.11824488271929486,6.0,-825.6490906636803,False,0.0,0.024025724928038665,0.011350735878803317,-0.021175369024586693,0.024025724928038665,0.01824488271929485,0.0,0.024025724928038665,False,True,0.8893981483,0.0272286635,0.880460042,0.556283069,0.0388980907,0.5435143458,0.037522046,0.0259320605,0.0290095638,0.5429132271,0.0092179315,0.5511385798,0.0121571563,0.0016641317,0.0107275508,0.5454530187,0.010065207,0.5511575937,0.85,0.0,0.85,0.0423587135,0.0223462212,0.030460042,0.3775098889,1.3374976074,0.1157569016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.01254818968390464,0.022159387213122744,0.12328644380710656,6.0,-844.0635196100603,False,0.0,0.02546557491996516,0.01254818968390464,0.022159387213122744,0.02546557491996516,0.023286443807106552,0.0,0.02546557491996516,False,True,0.8903643218,0.0186383087,0.882120192,0.5576633169,0.0266261553,0.5458859885,0.0384422112,0.0177507702,0.030590659,0.5429132271,0.0092179315,0.5511385798,0.014732503,0.0034287679,0.0117155472,0.5499345901,0.0088765601,0.5574765801,0.85,0.0,0.85,0.0403643218,0.0186383087,0.032120192,0.3726870247,1.3458448317,0.1902474481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.01766129372146002,0.027809491088025762,0.15065950927704744,6.0,-1475.7736820640612,False,0.0,0.03294372611728472,0.01766129372146002,0.027809491088025762,0.03294372611728472,0.025659509277047438,0.0,0.03294372611728472,False,True,0.8813911745,0.0190578112,0.877131262,0.544844535,0.0272254446,0.5387589457,0.0298963567,0.0181502964,0.0258392971,0.6786415124,0.0115224165,0.6889231801,0.0188248635,0.0043061495,0.0153763164,0.6868129895,0.0110062373,0.6962972283,0.85,0.0,0.85,0.0316842774,0.0185664366,0.027131262,0.492593237,1.4308178775,0.3055465852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,-0.1,-0.014611361308381822,-0.044416203330392166,-0.07733894600676143,6.0,-6532.580758696554,False,0.1,0.0467577907687138,0.08538863869161818,-0.044416203330392166,0.09624977265372867,0.022661053993238575,0.014611361308381822,0.044416203330392166,True,True,0.5102713767,0.0492235564,0.4914078797,0.5146733953,0.0703193662,0.4877255424,0.0097822635,0.0468795775,-0.0081829717,0.4112792403,0.0179495293,0.4022519588,0.0374969599,0.0063599613,0.0322493576,0.4162217388,0.0200720395,0.3902968466,0.5,0.0,0.5,0.0446381916,0.023149331,0.0085921203,5.5815977495,3.6516695785,1.8517527103,0.2610990154,0.1262169238,0.2858075144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.1,-0.01607544437776105,0.04462378984605317,0.08105739434718957,6.0,-7171.124821373285,False,0.1,0.0474310292126073,0.08392455562223895,0.04462378984605317,0.09505058472526615,0.018942605652810432,0.01607544437776105,0.04462378984605317,True,True,0.5150292973,0.0376131978,0.4786614593,0.5214704247,0.0537331397,0.4695163704,0.0143136165,0.0358220932,-0.0203224197,0.4174863451,0.019029206,0.402889967,0.0406816348,0.0098637332,0.0318060219,0.4237666131,0.0132207851,0.4035036862,0.5,0.0,0.5,0.0331663275,0.0232513903,0.0213385407,6.3796536586,3.4950657553,3.6864388243,0.2379161949,0.1269876318,0.2782609021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
