cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.07591642403454295,-0.07908982017178207,0.011340090179310888,6.0,-23282.455487091822,False,0.125,0.10962893364891112,0.024083575965457057,-0.004089820171782069,0.02442836998904054,0.011340090179310888,0.10818703133070359,0.017722001716699885,True,True,0.0054780344,0.013912883,0.0,0.4385327055,0.0669235646,0.4454893656,-0.0409781963,0.0446157097,-0.0363404229,1.015920825,0.1390719994,1.0495043993,0.0599567326,0.0119748742,0.0508862063,1.0247563344,0.1357931004,1.0680123568,0.0,0.0,0.0,0.0054780344,0.013912883,0.0,8.8314114035,0.9182532343,4.0596867592,1.963688697,1.1481910922,2.0909537407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.02709116563989136,0.017364068777395446,0.01890471175141369,6.0,-8460.017491542529,False,0.1,0.032178286782147826,0.07290883436010864,0.017364068777395446,0.07494804208420576,0.01890471175141369,0.02709116563989136,0.017364068777395446,True,True,0.4247628889,0.0525628277,0.3963616986,0.5353755556,0.0750897539,0.4948024265,0.0235837037,0.0500598359,-0.003465049,0.4225169441,0.0282973888,0.3788749874,0.0244911678,0.0033284677,0.019960003,0.4242925019,0.031350565,0.3759950101,0.4,0.0,0.4,0.0488820665,0.0314101115,0.0036383014,5.7585686117,3.5945297509,7.056645354,0.313918287,0.209033347,0.3023154636,0.0,0.0,0.0,0.0,0.0,0.0,0.0012977284,0.0022449712,0.0053162791,0.0012977284,0.0022449712,0.0053162791,0.0,0.0,0.0
-0.1,0.075,0.0,-0.02681538901438192,0.021533811700078804,0.04344881296962407,6.0,-9948.113336921078,False,0.125,0.034391425302349496,0.07318461098561808,-0.0534661882999212,0.09063454405710265,0.04344881296962407,0.034372598231552816,0.0011378159514338904,True,True,0.0354976414,0.0429413259,0.0226400538,0.514965745,0.0974858226,0.532342934,0.0099771633,0.0649905484,0.021561956,0.5528748882,0.0696618143,0.5274428725,0.0673689922,0.0133870646,0.0503957905,0.5744219278,0.066257514,0.5364935994,0.0,0.0,0.0,0.0354976414,0.0429413259,0.0226400538,5.7097784143,3.3391016336,9.0,0.9689682467,0.5224705362,0.3019804921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.07387678775697205,-0.0647680999337628,0.0405592197455266,6.0,-23510.420761027675,False,0.09013878188659974,0.09824808669037062,-0.02387678775697205,0.010231900066237198,0.025976773713395497,0.0405592197455266,0.0948697852788722,0.025542325255529526,True,True,0.0050451936,0.0128783614,0.0,0.4391164596,0.0669426497,0.4304912686,-0.0405890269,0.0446284332,-0.0463391542,1.015920825,0.1390719994,1.0495043993,0.0592867974,0.0118426392,0.0542533994,1.0245857678,0.135040616,1.0688649416,0.0,0.0,0.0,0.0050451936,0.0128783614,0.0,8.8689360153,0.7654633986,9.0,1.906904196,1.1576281357,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.010915545072730161,0.01130426254264777,0.024284827001074483,6.0,-5574.435478229403,False,0.05,0.015714180725316645,0.03908445492726984,0.01130426254264777,0.040686373254382076,0.024284827001074483,0.010915545072730161,0.01130426254264777,True,True,0.3934034513,0.0251714473,0.3639801531,0.5620049304,0.0359592105,0.5199716473,0.0413366202,0.023972807,0.0133144315,0.2866632561,0.0121737419,0.2869415283,0.0190599902,0.0042218532,0.0139260236,0.2915015412,0.0106503083,0.2884512842,0.35,0.0,0.35,0.0444565335,0.0232610827,0.0139801531,4.0676103088,3.7555244242,0.5631006857,0.156450776,0.0799607736,0.1155797907,0.0,0.0,0.0,0.0,0.0,0.0,0.0002016035,0.0007608409,0.0011360947,0.0002016035,0.0007608409,0.0011360947,0.0,0.0,0.0
-0.05,0.075,0.0,-0.025851266305176104,0.02823500205961234,0.04798105430152311,6.0,-9968.451621461203,False,0.09013878188659974,0.038281892728644525,0.0241487336948239,-0.04676499794038766,0.052631990000644904,0.04798105430152311,0.03783264426648191,0.005847592555341044,True,True,0.0367448056,0.044036322,0.0208750371,0.515993851,0.0999585759,0.5298214816,0.0106625673,0.0666390506,0.0198809877,0.5528748882,0.0696618143,0.5274428725,0.0635773353,0.0131030658,0.0446617045,0.572579163,0.066044156,0.5344671011,0.0,0.0,0.0,0.0367448056,0.044036322,0.0208750371,5.6571438159,3.2531780093,9.0,0.8139998632,0.4852130933,0.1365461084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.08493555059131591,-0.012075244879042575,0.06588370417241725,6.0,-22023.38031774465,False,0.075,0.08578962229278568,-0.08493555059131591,0.06292475512095742,0.1057051207902552,0.06588370417241725,0.012075244879042575,0.08493555059131591,True,False,0.0067276904,0.0152041383,0.0,0.4409652585,0.0683682013,0.3867336549,-0.0393564943,0.0455788009,-0.0755108967,1.015920825,0.1390719994,1.0495043993,0.032687898,0.006813049,0.0314453579,1.0194022173,0.1358189313,1.0579473972,0.0,0.0,0.0,0.0067276904,0.0152041383,0.0,8.7761271162,1.0545815638,9.0,1.2211497898,1.3885449684,0.5925707218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.447381088909395e-06,9.424091696215453e-06,4.058752053500333e-05,6.0,1797.6313969212324,False,0.0,9.534590516388714e-06,1.447381088909395e-06,9.424091696215453e-06,9.534590516388714e-06,4.058752053500333e-05,0.0,9.534590516388714e-06,True,True,0.5743978838,0.0239934184,0.5473798029,0.6062826912,0.034276312,0.5676854327,0.0708551274,0.0228508747,0.0451236218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.905e-07,6.556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.02722459060507078,0.030163680370024166,0.046141349305344935,6.0,-10541.190484129942,False,0.075,0.04063281859628605,-0.02722459060507078,-0.044836319629975835,0.05245449353082217,0.046141349305344935,0.030163680370024166,0.02722459060507078,True,True,0.0365825126,0.0441753757,0.0186926086,0.5125581254,0.1032662615,0.5267037265,0.0083720836,0.0688441743,0.0178024843,0.5528748882,0.0696618143,0.5274428725,0.0328637939,0.0075570736,0.0204185732,0.5616117398,0.0672506777,0.5293829441,0.0,0.0,0.0,0.0365825126,0.0441753757,0.0186926086,5.9763775142,3.4062703568,9.0,0.6596349085,0.5065371531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.06361576664289473,-0.03332647894113933,0.055757418342189835,6.0,-21913.998831207624,False,0.09013878188659974,0.07181657165430164,-0.11361576664289473,0.041673521058860664,0.1210174565395258,0.055757418342189835,-0.007558371627613166,0.0714177217678941,False,False,0.005080253,0.0134286362,0.0,0.4375864433,0.0675255881,0.3964319304,-0.0416090378,0.0450170587,-0.0690453798,1.015920825,0.1390719994,1.0495043993,0.0593487552,0.0115419532,0.0582081117,1.0248579895,0.1336207145,1.0641971827,0.0,0.0,0.0,0.005080253,0.0134286362,0.0,8.773392009,1.1244508327,9.0,1.4438167385,1.3572414193,1.3807156003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
