cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,0.0,0.0,-0.027369495106348365,0.012070578126244435,0.011157272985291419,6.0,-8322.39921400815,False,0.1,0.029913009187946933,0.07263050489365164,0.012070578126244435,0.073626687399397,0.011157272985291419,0.027369495106348365,0.012070578126244435,True,True,0.424332385,0.0525501109,0.3974419654,0.53476055,0.075071587,0.4963456648,0.0231737,0.0500477246,-0.0024362234,0.4226534046,0.0283207554,0.379645586,0.0244844297,0.003166448,0.0197705142,0.4244517753,0.0313164923,0.3766389489,0.4,0.0,0.4,0.0488040833,0.0311727536,0.0025580346,5.8091287874,3.6168717123,4.5794234363,0.3099314598,0.1894462375,0.2579371576,0.0,0.0,0.0,0.0,0.0,0.0,0.0012534194,0.0022337465,0.0056026813,0.0012534194,0.0022337465,0.0056026813,0.0,0.0,0.0
-0.05,0.0,0.0,-0.010962522368988883,0.011985486897867971,0.025492506333786153,6.0,-5667.70239956555,False,0.05,0.016242807419579487,0.03903747763101112,0.011985486897867971,0.04083597134844056,0.025492506333786153,0.010962522368988883,0.011985486897867971,True,True,0.3934652923,0.0250399681,0.3634660183,0.5620932747,0.035771383,0.5192371691,0.0413955165,0.0238475887,0.0128247794,0.2866653787,0.0121540979,0.2869933546,0.0190585488,0.0042097341,0.0139240185,0.2915143072,0.0106622212,0.2885192335,0.35,0.0,0.35,0.0445236155,0.0231058283,0.0134660183,4.0930884668,3.651825938,0.5530251469,0.1562533269,0.0798652444,0.1175448701,0.0,0.0,0.0,0.0,0.0,0.0,0.0001968232,0.0007720492,0.0010188108,0.0001968232,0.0007720492,0.0010188108,0.0,0.0,0.0
0.0,0.0,0.0,1.5431306103849304e-05,-4.98806727413937e-06,-2.137312510375189e-05,6.0,1798.6222432492386,False,0.0,1.6217460442437867e-05,1.5431306103849304e-05,-4.98806727413937e-06,1.6217460442437867e-05,2.137312510375189e-05,0.0,1.6217460442437867e-05,True,True,0.5743994565,0.0239918258,0.5473798029,0.6062849378,0.0342740369,0.5676854327,0.0708566252,0.0228493579,0.0451236218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,3.299e-07,1.9601e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.030306136199353444,-0.030030775575930355,-0.04242020888339101,6.0,-9779.948876113112,False,0.05,0.04266508376911566,-0.01969386380064656,-0.030030775575930355,0.035912334275152766,0.04242020888339101,0.030306136199353444,0.030030775575930355,True,True,0.3341642699,0.0437381729,0.2993015401,0.4773775284,0.0624831041,0.4275736287,-0.0150816477,0.0416554027,-0.0482842475,0.6837453868,0.0695527824,0.7826343775,0.013858028,0.0020110729,0.0132142613,0.6857224202,0.0681843743,0.7835476398,0.35,0.0,0.35,0.0398277544,0.0240322303,0.0506984599,6.760212045,3.2349408217,9.0,0.1387766446,0.1989009813,0.4920753299,0.0,0.0,0.0,0.0,0.0,0.0,0.0003880462,0.000803631,0.0,0.0003880462,0.000803631,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.04211609167910027,0.00489474872271883,0.038923195888629435,6.0,-12382.121191053458,False,0.1,0.042399572443374195,-0.057883908320899735,0.00489474872271883,0.058090493263191385,0.038923195888629435,0.04211609167910027,0.00489474872271883,True,True,0.3536600017,0.0427778796,0.3135031391,0.4338000024,0.0611112565,0.3764330558,-0.0441333318,0.0407408377,-0.0823779628,1.0004748056,0.0961364934,0.8127089143,0.0299660878,0.0047485348,0.0352658033,1.0013235348,0.0980159408,0.8121970296,0.4,0.0,0.4,0.0583933974,0.0238233829,0.0864968609,8.0257383653,2.2807417508,9.0,0.4254094335,0.5433862161,0.7543068525,0.0,0.0,0.0,0.0,0.0,0.0,0.0024585077,0.0035562912,0.0066354462,0.0024585077,0.0035562912,0.0066354462,0.0,0.0,0.0
0.0,0.0,-0.125,0.017002788387972114,-0.027802448501245126,-0.1485832747766073,6.0,-1674.1803808962486,False,0.0,0.03258943012129158,0.017002788387972114,-0.027802448501245126,0.03258943012129158,0.023583274776607294,0.0,0.03258943012129158,False,True,0.8814678823,0.0304290066,0.8741541346,0.5449541176,0.0434700095,0.5345059065,0.0299694117,0.0289800063,0.0230039377,0.6786415124,0.0115224165,0.6889231801,0.0157855949,0.0013864432,0.0148729468,0.6830228386,0.0126036969,0.6900701523,0.85,0.0,0.85,0.0347497205,0.0266197105,0.0241541346,0.5078002032,1.4176423479,0.1995403152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.1,0.010646414274887833,-0.019946308500133857,-0.11693514988557256,6.0,-849.2933945762254,False,0.0,0.022609762486480205,0.010646414274887833,-0.019946308500133857,0.022609762486480205,0.016935149885572556,0.0,0.022609762486480205,False,True,0.891158624,0.0292847364,0.8795804077,0.5587980342,0.0418353378,0.5422577253,0.0391986895,0.0278902252,0.0281718168,0.5429132271,0.0092179315,0.5511385798,0.0129446686,0.0014680033,0.0116058942,0.5462174745,0.0101018996,0.5516360998,0.85,0.0,0.85,0.043629857,0.0254570951,0.0295804077,0.3832855269,1.3435646431,0.1239709169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.012247417925516474,0.01968533045675918,0.12043196163221788,6.0,-815.9224471510046,False,0.0,0.023184293843765715,0.012247417925516474,0.01968533045675918,0.023184293843765715,0.020431961632217874,0.0,0.023184293843765715,False,True,0.9069235287,0.0204371828,0.8967691466,0.5813193267,0.0291959755,0.5668130666,0.0542128844,0.0194639836,0.0445420444,0.5429132271,0.0092179315,0.5511385798,0.0157524885,0.0037185652,0.012466996,0.5508434981,0.0088824415,0.5589582324,0.85,0.0,0.85,0.0569235287,0.0204371828,0.0467691466,0.3670966184,1.3418207595,0.180312238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.016389507472807787,0.027500990691870317,0.1464293548170037,6.0,-1383.846301184871,False,0.0,0.03201437871075371,0.016389507472807787,0.027500990691870317,0.03201437871075371,0.0214293548170037,0.0,0.03201437871075371,False,True,0.8976496528,0.0213156046,0.8920423612,0.5680709326,0.0304508638,0.560060516,0.0453806217,0.0203005758,0.040040344,0.6786415124,0.0115224165,0.6889231801,0.0202897943,0.0047154653,0.0164963417,0.6882798803,0.0110400786,0.6985086203,0.85,0.0,0.85,0.0480812542,0.0203233219,0.0420423612,0.4929536397,1.4272272415,0.2903522234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,-0.1,0.03311796197464361,-0.0034726667942094505,0.030249679688645337,6.0,-8787.389573179697,False,0.05,0.03329953182880421,-0.016882038025356393,-0.0034726667942094505,0.01723550470839726,0.13024967968864534,0.03311796197464361,0.0034726667942094505,True,False,0.4906298976,0.0293691333,0.4737873061,0.4866141394,0.0419559047,0.4625532944,-0.0089239071,0.0279706031,-0.0249644704,0.6440906182,0.0221019913,0.6715773344,0.0429772685,0.0067901057,0.039845027,0.6514514728,0.0265167294,0.6747366786,0.5,0.0,0.5,0.024960988,0.0180912655,0.0262126939,7.5642366307,2.8085757757,9.0,0.0378317919,0.0986660989,0.0562414529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
