cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.07337793779339657,-0.04157562958871908,0.04116457820010792,6.0,-23354.347622329195,False,0.125,0.08433774202876165,0.02662206220660343,0.033424370411280914,0.04273081714082676,0.04116457820010792,0.08364772798794871,0.010766259005062674,True,True,0.0073301015,0.0164740758,0.0,0.4401886536,0.0738120408,0.4712885786,-0.0398742309,0.0492080272,-0.0191409476,1.015920825,0.1390719994,1.0495043993,0.0621065617,0.0123393245,0.0571484528,1.0246110362,0.1328280008,1.0758777857,0.0,0.0,0.0,0.0073301015,0.0164740758,0.0,8.8573228626,0.7729687992,9.0,1.9518538288,1.1919422488,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.025384412912487855,0.01585622838913711,0.01620779230494344,6.0,-8526.509066346607,False,0.1,0.029929724316140265,0.07461558708751215,0.01585622838913711,0.07628175283213272,0.01620779230494344,0.025384412912487855,0.01585622838913711,True,True,0.4220234367,0.0548339442,0.3928396378,0.5314620524,0.0783342059,0.4897709112,0.0209747016,0.052222804,-0.0068193926,0.4215971227,0.0291795587,0.3763636649,0.0251275473,0.003320974,0.0210556444,0.4231696827,0.0325485348,0.3733363152,0.4,0.0,0.4,0.0505648625,0.0305775715,0.0071603622,5.8038557351,3.5220368412,5.9642192597,0.3190181171,0.2153514819,0.2860403993,0.0,0.0,0.0,0.0,0.0,0.0,0.0019398494,0.0031494494,0.0062538012,0.0019398494,0.0031494494,0.0062538012,0.0,0.0,0.0
-0.1,0.075,0.0,-0.027479862759800328,0.023690209354312364,0.03925445632422364,6.0,-9653.226321888664,False,0.125,0.036281798143816,0.07252013724019968,-0.051309790645687636,0.0888361689935,0.03925445632422364,0.036198015820427684,0.002464249827569698,True,True,0.0351181562,0.0440692634,0.014609047,0.5098622641,0.1027867529,0.5208700672,0.0065748427,0.0685245019,0.0139133781,0.5528748882,0.0696618143,0.5274428725,0.0684055694,0.0136292262,0.0499186479,0.5735750985,0.0654954547,0.5315083861,0.0,0.0,0.0,0.0351181562,0.0440692634,0.014609047,5.5902097158,3.2656432934,9.0,0.958949798,0.5396614798,0.2984108721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.09351451699089235,-0.01776394327602467,0.0924642845980211,6.0,-23811.612452883463,False,0.09013878188659974,0.09518677727895673,-0.043514516990892343,0.05723605672397533,0.07189909163724378,0.0924642845980211,0.06665301515617258,0.06795511856618854,True,False,0.0081292394,0.0180656163,0.0,0.4400387244,0.0760550167,0.460326748,-0.0399741837,0.0507033445,-0.0264488347,1.015920825,0.1390719994,1.0495043993,0.0613159455,0.0134379269,0.0545341633,1.0240991068,0.1321918954,1.0749349594,0.0,0.0,0.0,0.0081292394,0.0180656163,0.0,8.8974562418,0.6295565631,9.0,1.8629314329,1.2459639848,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.01094021122063782,0.01079585240923625,0.023863074015525454,6.0,-5546.429986904433,False,0.05,0.015370056954812557,0.039059788779362184,0.01079585240923625,0.04052428319823066,0.023863074015525454,0.01094021122063782,0.01079585240923625,True,True,0.3901892545,0.0251167349,0.3607619253,0.5574132207,0.0358810498,0.515374179,0.0382754805,0.0239206999,0.0102494527,0.2861534902,0.0127072417,0.2872682512,0.0194054716,0.0040549732,0.0143342717,0.2908934984,0.0114114598,0.2887633741,0.35,0.0,0.35,0.0412514624,0.023331168,0.0107619253,4.0606767145,3.6992395478,0.5365705311,0.1562391551,0.0767394134,0.108117823,0.0,0.0,0.0,0.0,0.0,0.0,0.0001767394,0.0007275215,0.0009522056,0.0001767394,0.0007275215,0.0009522056,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02614885366157486,0.025447242261032732,0.04198938336695964,6.0,-9617.033743206752,False,0.09013878188659974,0.03648732227097718,0.023851146338425142,-0.049552757738967265,0.05499411769629322,0.04198938336695964,0.03567815967051907,0.007641571110124762,True,True,0.0363731286,0.0450969925,0.007793773,0.5108104614,0.1052139259,0.5111339614,0.0072069743,0.0701426173,0.0074226409,0.5528748882,0.0696618143,0.5274428725,0.0649317336,0.0135374436,0.0433332287,0.5719780993,0.0650125041,0.5318981409,0.0,0.0,0.0,0.0363731286,0.0450969925,0.007793773,5.4326068307,3.2538605442,9.0,0.7988844365,0.4839400773,0.0848519714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.08765921378314868,0.015189350364496984,0.14947742502788172,6.0,-22082.24931612707,False,0.075,0.08896546591557428,-0.08765921378314868,0.09018935036449698,0.12577065110847505,0.14947742502788172,-0.015189350364496984,0.08765921378314868,False,False,0.0082994148,0.0183369331,0.0,0.4405024735,0.0758520127,0.4685712019,-0.0396650177,0.0505680085,-0.0209525321,1.015920825,0.1390719994,1.0495043993,0.0341355696,0.0071426194,0.0293921884,1.0200255122,0.133857885,1.0591486692,0.0,0.0,0.0,0.0082994148,0.0183369331,0.0,8.7714025214,1.0862944836,9.0,1.2271670635,1.3966044152,0.0634113404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.447381088909395e-06,9.424091696215453e-06,4.058752053500333e-05,6.0,1797.6313916736271,False,0.0,9.534590516388714e-06,1.447381088909395e-06,9.424091696215453e-06,9.534590516388714e-06,4.058752053500333e-05,0.0,9.534590516388714e-06,True,True,0.5697278057,0.0249864254,0.5425950248,0.5996111511,0.0356948934,0.5608500354,0.066407434,0.0237965956,0.0405666903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.905e-07,6.556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.027429136261550798,0.03445098273129114,0.05185276222457754,6.0,-10730.27321656233,False,0.075,0.04403666344316337,-0.027429136261550798,-0.04054901726870886,0.048954880425885736,0.05185276222457754,0.03445098273129114,0.027429136261550798,True,False,0.0357642753,0.0443359424,0.0049832758,0.506816871,0.1073356127,0.5071189655,0.0045445807,0.0715570751,0.004745977,0.5528748882,0.0696618143,0.5274428725,0.0335722292,0.0078784678,0.0196511392,0.5611309824,0.0664207128,0.5284795761,0.0,0.0,0.0,0.0357642753,0.0443359424,0.0049832758,6.0293102121,3.3748809396,9.0,0.6610759093,0.5059564283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.09375195291330879,-0.029306782440650422,0.07126765071628527,6.0,-22116.13756934616,False,0.09013878188659974,0.09822584268960427,-0.14375195291330878,0.045693217559349575,0.15083929891548886,0.07126765071628527,-0.027619509721672496,0.09426281798682512,False,False,0.0074700457,0.017324784,0.0,0.437909143,0.0753859887,0.489646662,-0.0413939047,0.0502573258,-0.0069022253,1.015920825,0.1390719994,1.0495043993,0.0607540114,0.0126043531,0.0561363921,1.0239339658,0.1308337374,1.0635061264,0.0,0.0,0.0,0.0074700457,0.017324784,0.0,8.8020678804,1.0073535618,9.0,1.4925922254,1.3148940603,0.7822201637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
