cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.05696148470561662,-0.0735198561222527,0.0192015572207002,6.0,-23516.511368242558,False,0.125,0.0930041933683903,0.043038515294383385,0.0014801438777472947,0.04306395969536133,0.0192015572207002,0.08968110143784491,0.024638994074432187,True,True,0.0085068354,0.0184767111,0.0,0.4415711405,0.078429812,0.4629584784,-0.038952573,0.0522865413,-0.0246943478,1.015920825,0.1390719994,1.0495043993,0.059190087,0.0096949404,0.0543720163,1.0276758385,0.1335233128,1.0674381256,0.0,0.0,0.0,0.0085068354,0.0184767111,0.0,8.8716074803,0.7698298925,9.0,2.0102359086,1.1650598776,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.02574646393096863,0.014750427953267892,0.016717500550397297,6.0,-8277.801669505898,False,0.1,0.029672470907445767,0.07425353606903137,0.014750427953267892,0.07570444335413537,0.016717500550397297,0.02574646393096863,0.014750427953267892,True,True,0.4166790166,0.0517431335,0.3878267867,0.5238271666,0.0739187621,0.4826096953,0.0158847777,0.0492791747,-0.0115935365,0.4207428629,0.0295626238,0.3727928996,0.0227627239,0.0030303337,0.0191994794,0.4226217328,0.0323883313,0.3708072007,0.4,0.0,0.4,0.0472219886,0.026937432,0.0121732133,5.7170865666,3.6379688376,6.705518505,0.3180821442,0.198982424,0.2646862763,0.0,0.0,0.0,0.0,0.0,0.0,0.0011968317,0.0021688918,0.0042812495,0.0011968317,0.0021688918,0.0042812495,0.0,0.0,0.0
-0.1,0.075,0.0,-0.026526882577825945,0.02681329808020237,0.04717050812031739,6.0,-10437.25558811937,False,0.125,0.03771774719194599,0.07347311742217406,-0.048186701919797625,0.0878649943130938,0.04717050812031739,0.037309484910382176,0.005534508917466328,True,True,0.0309934119,0.0404275668,0.0068032715,0.5038082074,0.0966348552,0.5097189592,0.0025388049,0.0644232368,0.0064793061,0.5528748882,0.0696618143,0.5274428725,0.0632149369,0.0118021868,0.0468231104,0.5707921006,0.0643867642,0.52949512,0.0,0.0,0.0,0.0309934119,0.0404275668,0.0068032715,5.9781912548,3.2512769617,9.0,0.9942387209,0.5357682013,0.3511365166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.06819956451214275,-0.08122003407673685,0.025685554417689493,6.0,-23609.917286317323,False,0.09013878188659974,0.10605599716693166,-0.018199564512142746,-0.006220034076736852,0.01923312175252404,0.025685554417689493,0.10540946507703934,0.011692698886255404,True,True,0.0077956747,0.0169393792,0.0,0.4413800142,0.0747421657,0.4487784132,-0.0390799905,0.0498281105,-0.0341477245,1.015920825,0.1390719994,1.0495043993,0.0582350287,0.0097061414,0.0611636601,1.0286126804,0.1321454124,1.078450799,0.0,0.0,0.0,0.0077956747,0.0169393792,0.0,8.8012124438,1.0171360978,9.0,1.932797854,1.188530949,1.7421642083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.010260614030300314,0.012350589742714205,0.025919753755171932,6.0,-5497.656088632471,False,0.05,0.01605668917528246,0.03973938596969969,0.012350589742714205,0.04161437088604851,0.025919753755171932,0.010260614030300314,0.012350589742714205,True,True,0.3838685052,0.0253070055,0.3546912372,0.5483835788,0.036152865,0.5067017674,0.0322557192,0.02410191,0.004467845,0.2850889629,0.0138300716,0.2878990769,0.0182834073,0.0038407748,0.0134755224,0.2899682034,0.0120062387,0.2890169024,0.35,0.0,0.35,0.0356238393,0.0227697659,0.0046912372,4.0373327894,3.7352109123,0.5543563107,0.1590508732,0.0789940298,0.1178520148,0.0,0.0,0.0,0.0,0.0,0.0,0.0003985916,0.0011881794,0.0020716331,0.0003985916,0.0011881794,0.0020716331,0.0,0.0,0.0
-0.05,0.075,0.0,-0.025916143731921013,0.03088248743012216,0.05200020079778733,6.0,-10181.186405025748,False,0.09013878188659974,0.04031593401876288,0.02408385626807899,-0.04411751256987784,0.050263177855113944,0.05200020079778733,0.04007147276961573,0.004433013182834803,True,False,0.0322391958,0.041867615,0.0080433673,0.5046973337,0.0996181059,0.5114905247,0.0031315558,0.0664120706,0.0076603498,0.5528748882,0.0696618143,0.5274428725,0.0596281702,0.0119825855,0.0450161323,0.5695907251,0.0641543707,0.5309374332,0.0,0.0,0.0,0.0322391958,0.041867615,0.0080433673,5.7976783212,3.3461314871,9.0,0.8212382434,0.4997376546,0.1776900266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.06476274942553079,-0.03114470356760231,0.06423174507775971,6.0,-21747.9636452115,False,0.075,0.07186241210443682,-0.06476274942553079,0.04385529643239769,0.07821445351293814,0.06423174507775971,0.03114470356760231,0.06476274942553079,True,False,0.0068471138,0.0157597394,0.0,0.4373500836,0.0742455427,0.4499714207,-0.0417666109,0.0494970284,-0.0333523862,1.015920825,0.1390719994,1.0495043993,0.0318343802,0.0048349681,0.034634836,1.0217077563,0.1348949939,1.0622611046,0.0,0.0,0.0,0.0068471138,0.0157597394,0.0,8.7968382336,1.0922854535,9.0,1.2073819226,1.3839746965,2.1804254446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.447381088909395e-06,9.424091696215453e-06,4.058752053500333e-05,6.0,1797.6314064821204,False,0.0,9.534590516388714e-06,1.447381088909395e-06,9.424091696215453e-06,9.534590516388714e-06,4.058752053500333e-05,0.0,9.534590516388714e-06,True,True,0.5608882613,0.0232177611,0.5339787066,0.5869832304,0.0331682301,0.5485410094,0.0579888203,0.0221121534,0.032360673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.905e-07,6.556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.02758918283302113,0.03436008651229649,0.04670882392488244,6.0,-10681.324626760761,False,0.075,0.044065616465974546,-0.02758918283302113,-0.04063991348770351,0.049119910196191253,0.04670882392488244,0.03436008651229649,0.02758918283302113,True,True,0.0321301884,0.0419137933,0.0022835256,0.5015019796,0.1025890959,0.5032621794,0.0010013197,0.0683927306,0.0021747863,0.5528748882,0.0696618143,0.5274428725,0.0308314781,0.0069134505,0.0196699612,0.5600917698,0.0665145928,0.5281286836,0.0,0.0,0.0,0.0321301884,0.0419137933,0.0022835256,6.0893663123,3.3392145921,9.0,0.663991396,0.5114217053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.07323695881537197,-0.039412888808156944,0.046863227149233154,6.0,-22032.341271002068,False,0.09013878188659974,0.08316867163017955,-0.12323695881537197,0.03558711119184305,0.12827232944420355,0.046863227149233154,-0.007831049692294166,0.08279917029442657,False,True,0.0084202751,0.0181946153,0.0,0.4435813953,0.0759527002,0.3607281409,-0.0376124031,0.0506351334,-0.0928479061,1.015920825,0.1390719994,1.0495043993,0.0588743394,0.0098393451,0.0598303042,1.027397908,0.131518528,1.070540905,0.0,0.0,0.0,0.0084202751,0.0181946153,0.0,8.8271734855,0.8909610583,9.0,1.4724527824,1.3420221947,0.6399012103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.029855245235024988,-0.029535689706598107,-0.037694477400712044,6.0,-9472.450226087807,False,0.05,0.04199634072735299,-0.020144754764975015,-0.029535689706598107,0.03575147704620648,0.037694477400712044,0.029855245235024988,0.029535689706598107,True,True,0.3327672139,0.0424926821,0.2989559229,0.4753817341,0.0607038315,0.4270798899,-0.0164121773,0.040469221,-0.0486134067,0.6821941413,0.0705755073,0.7826889753,0.0139346145,0.0021548925,0.0141519448,0.6844112984,0.0694668748,0.7843751311,0.35,0.0,0.35,0.0384754188,0.0249447208,0.0510440771,6.548476009,3.3251767039,9.0,0.1411542908,0.1972419307,0.5300529886,0.0,0.0,0.0,0.0,0.0,0.0,0.0002851393,0.0006730563,0.0,0.0002851393,0.0006730563,0.0,0.0,0.0,0.0
0.05,0.075,0.0,-0.028074671248839195,0.027080588153461402,0.042669439269126176,6.0,-10501.728091697476,False,0.09013878188659974,0.03900699194334001,-0.0780746712488392,-0.0479194118465386,0.09160744687159719,0.042669439269126176,0.0069593856932395805,0.03838114603865451,True,True,0.0331085365,0.0426474021,0.0136775102,0.5053236287,0.1014266447,0.5195393004,0.0035490858,0.0676177632,0.0130262002,0.5528748882,0.0696618143,0.5274428725,0.053559897,0.0120209556,0.03482778,0.5660422159,0.0644633808,0.5275757313,0.0,0.0,0.0,0.0331085365,0.0426474021,0.0136775102,5.8336773093,3.2981629264,9.0,1.0051812661,0.5471769157,0.2647189147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.075,0.0,-0.07059927659710401,-0.02672175217346276,0.08650359287862035,6.0,-22194.873639728845,False,0.125,0.07548715053076491,-0.170599276597104,0.04827824782653724,0.17729890690203295,0.08650359287862035,-0.04044636997360555,0.06373696769703262,False,False,0.0079721366,0.0178106973,0.0,0.4406687438,0.0768840374,0.46051013,-0.0395541708,0.0512560249,-0.02632658,1.015920825,0.1390719994,1.0495043993,0.0589853447,0.0089497874,0.0600889735,1.0277055697,0.1308102557,1.069516778,0.0,0.0,0.0,0.0079721366,0.0178106973,0.0,8.7623437195,1.2032164788,9.0,1.5505047341,1.2929811885,1.6109515031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.04233757765737592,0.008337070066751221,0.03843529024529646,6.0,-12320.47633035438,False,0.1,0.04315063405318925,-0.05766242234262409,0.008337070066751221,0.058262008957098904,0.03843529024529646,0.04233757765737592,0.008337070066751221,True,True,0.3545236654,0.0446395159,0.3608886294,0.4350338077,0.063770737,0.4441266134,-0.0433107949,0.0425138247,-0.0372489244,0.9973939073,0.1001676451,0.8905390501,0.0293963308,0.0047162319,0.0300870389,0.998954741,0.1025314598,0.890663743,0.4,0.0,0.4,0.0577750156,0.026885516,0.0391113706,7.8920846226,2.4825558661,9.0,0.4005653634,0.4621213267,0.8846088403,0.0,0.0,0.0,0.0,0.0,0.0,0.0023837612,0.0034633431,0.0055852988,0.0023837612,0.0034633431,0.0055852988,0.0,0.0,0.0
0.1,0.075,0.0,-0.02641025913385343,0.029495395541060482,0.04402854878783461,6.0,-10934.718946868883,False,0.125,0.039591415049741514,-0.12641025913385343,-0.045504604458939515,0.13435111700783328,0.04402854878783461,-0.0034309699824464556,0.03944247191316044,False,True,0.0332137101,0.0423555186,0.0111429049,0.5051514882,0.1014147011,0.5159184355,0.0034343254,0.0676098008,0.0106122904,0.5528748882,0.0696618143,0.5274428725,0.0519802506,0.0114459259,0.0351696685,0.5644888413,0.0644844491,0.5264299512,0.0,0.0,0.0,0.0332137101,0.0423555186,0.0111429049,5.9069476966,3.2401681948,9.0,1.1707424589,0.5655281845,0.4846088604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.125,0.016611064684468366,-0.02871980335975109,-0.14528008808218637,6.0,-1502.9239610697537,False,0.0,0.033177621599119515,0.016611064684468366,-0.02871980335975109,0.033177621599119515,0.02028008808218637,0.0,0.033177621599119515,False,True,0.8750813748,0.0293828903,0.8678395865,0.5358305355,0.0419755576,0.5254851235,0.0238870236,0.0279837051,0.0169900823,0.6786415124,0.0115224165,0.6889231801,0.0155913104,0.0012641718,0.014834729,0.6828424642,0.0126888463,0.6898600459,0.85,0.0,0.85,0.0290476724,0.0254688503,0.0178395865,0.5132581398,1.4182506565,0.2007994541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
