cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,0.0,0.0,-0.025040804994680158,0.02004923344295139,0.02325358104101786,6.0,-8548.225734168613,False,0.1,0.03207824303841405,0.07495919500531985,0.02004923344295139,0.07759415362961006,0.02325358104101786,0.025040804994680158,0.02004923344295139,True,True,0.4159188269,0.0512533624,0.3888285809,0.5227411812,0.0732190891,0.4840408298,0.0151607875,0.0488127261,-0.0106394468,0.420530242,0.0296497665,0.3735061586,0.0225763327,0.0031891636,0.0188168511,0.4224131604,0.0323405879,0.3717654645,0.4,0.0,0.4,0.0467462827,0.0263647731,0.0111714191,5.7535170444,3.5695313267,6.783988122,0.3244906452,0.2219785421,0.3298401331,0.0,0.0,0.0,0.0,0.0,0.0,0.0010467348,0.0019237496,0.0037334878,0.0010467348,0.0019237496,0.0037334878,0.0,0.0,0.0
-0.05,0.0,0.0,-0.010384678296888472,0.011564126160734755,0.024763512764628626,6.0,-5416.555636826436,False,0.05,0.01554254024254904,0.03961532170311153,0.011564126160734755,0.04126866520136566,0.024763512764628626,0.010384678296888472,0.011564126160734755,True,True,0.3838915899,0.0255085702,0.3544809325,0.5484165569,0.0364408146,0.5064013321,0.0322777046,0.0242938764,0.0042675547,0.2851428058,0.013774063,0.2879212797,0.0183011453,0.0038350177,0.0134934122,0.2899883725,0.0119577918,0.2889874876,0.35,0.0,0.35,0.0356557997,0.0229780539,0.0044809325,3.9844405667,3.7369321935,0.5395153974,0.1585386557,0.0814909191,0.1152730521,0.0,0.0,0.0,0.0,0.0,0.0,0.0004076959,0.0012028229,0.0022648335,0.0004076959,0.0012028229,0.0022648335,0.0,0.0,0.0
0.0,0.0,0.0,1.5431306103849304e-05,-4.98806727413937e-06,-2.137312510375189e-05,6.0,1798.6222528121734,False,0.0,1.6217460442437867e-05,1.5431306103849304e-05,-4.98806727413937e-06,1.6217460442437867e-05,2.137312510375189e-05,0.0,1.6217460442437867e-05,True,True,0.5608895892,0.0232162298,0.5339787066,0.5869851275,0.0331660426,0.5485410094,0.057990085,0.022110695,0.032360673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,3.299e-07,1.9601e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0303571987386074,-0.028483044636725314,-0.04307286368467459,6.0,-9761.355006338143,False,0.05,0.04162743502827184,-0.019642801261392603,-0.028483044636725314,0.034599472151642045,0.04307286368467459,0.0303571987386074,0.028483044636725314,True,True,0.3331026812,0.0416520188,0.3034172311,0.4758609732,0.059502884,0.4334531873,-0.0160926845,0.0396685893,-0.0443645418,0.6820348305,0.0705407698,0.7819963098,0.0140543008,0.0021904754,0.0143521754,0.6842135998,0.0694739817,0.7839048505,0.35,0.0,0.35,0.0375852048,0.0246528383,0.0465827689,6.7158490257,3.2600861682,9.0,0.1413194884,0.2012785665,0.542783624,0.0,0.0,0.0,0.0,0.0,0.0,0.0003067984,0.0006965513,0.0,0.0003067984,0.0006965513,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.04176176594049342,-0.0019199033594902682,-0.008746162887851128,6.0,-12226.624964238028,False,0.1,0.041805874268795506,-0.05823823405950659,-0.0019199033594902682,0.0582698715914121,0.008746162887851128,0.04176176594049342,0.0019199033594902682,True,True,0.3540349275,0.046407596,0.3349993154,0.4343356107,0.0662965657,0.4071418792,-0.0437762595,0.0441977104,-0.0619054139,0.9974764897,0.1016257629,0.8478329778,0.0298423026,0.0045571191,0.0332695767,0.9987398175,0.1035832387,0.8467121124,0.4,0.0,0.4,0.0590411625,0.0279391121,0.0650006846,7.9800255546,2.3461727443,9.0,0.3713260431,0.3860447536,0.2560074349,0.0,0.0,0.0,0.0,0.0,0.0,0.0024973339,0.003556477,0.0065904241,0.0024973339,0.003556477,0.0065904241,0.0,0.0,0.0
0.0,0.0,-0.125,0.016704339267985965,-0.027982658293338833,-0.14825846662005895,6.0,-1618.2628860101345,False,0.0,0.0325893251777594,0.016704339267985965,-0.027982658293338833,0.0325893251777594,0.023258466620058954,0.0,0.0325893251777594,False,True,0.8748784911,0.0295902245,0.8677866044,0.5355407015,0.0422717493,0.5254094349,0.023693801,0.0281811662,0.0169396233,0.6786415124,0.0115224165,0.6889231801,0.015457385,0.00125971,0.0148471175,0.6827342655,0.0126483786,0.6898675561,0.85,0.0,0.85,0.02924349,0.0252851537,0.0177866044,0.5096948475,1.4183588696,0.2004747391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.1,0.011533175327621542,-0.02073126971411254,-0.11865587948804597,6.0,-835.9361639048067,False,0.0,0.02372339935795328,0.011533175327621542,-0.02073126971411254,0.02372339935795328,0.018655879488045965,0.0,0.02372339935795328,False,True,0.8829175953,0.0279274171,0.8713613666,0.5470251361,0.0398963101,0.530516238,0.0313500907,0.0265975401,0.0203441586,0.5429132271,0.0092179315,0.5511385798,0.0127088206,0.0013179582,0.0116616953,0.5460285127,0.0101511088,0.5515217185,0.85,0.0,0.85,0.0359068276,0.0239626466,0.0213613666,0.3805898634,1.3375174122,0.1239486227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.012476154818995213,0.021469904028946565,0.12212934932484225,6.0,-857.1081774629739,False,0.0,0.024831657578174546,0.012476154818995213,0.021469904028946565,0.024831657578174546,0.022129349324842243,0.0,0.024831657578174546,False,True,0.8992786546,0.0199604532,0.8891481783,0.5703980779,0.0285149332,0.555925969,0.046932052,0.0190099555,0.0372839794,0.5429132271,0.0092179315,0.5511385798,0.0148566871,0.0035874075,0.011561648,0.5499565526,0.0089409219,0.5578093529,0.85,0.0,0.85,0.0492786546,0.0199604532,0.0391481783,0.3708415773,1.3414538522,0.1800359904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.0159903686399378,0.027806782419444964,0.14731429893488027,6.0,-1400.3309258682646,False,0.0,0.03207661200568819,0.0159903686399378,0.027806782419444964,0.03207661200568819,0.022314298934880267,0.0,0.03207661200568819,False,True,0.8919135429,0.0206752683,0.8863861591,0.5598764898,0.0295360976,0.5519802272,0.0399176599,0.0196907317,0.0346534848,0.6786415124,0.0115224165,0.6889231801,0.0192019997,0.0045747725,0.0153302597,0.6869953273,0.011055464,0.6969347,0.85,0.0,0.85,0.0422797614,0.0199156615,0.0363861591,0.4951163776,1.4282718904,0.2906405345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,-0.1,0.03161552147683604,-0.011017646658957941,0.016695778525213607,6.0,-8597.245130865964,False,0.05,0.03348028877046804,-0.01838447852316396,-0.011017646658957941,0.021433095634329727,0.11669577852521361,0.03161552147683604,0.011017646658957941,True,False,0.4866712616,0.0309620576,0.4744915541,0.4809589452,0.0442315108,0.463559363,-0.0126940366,0.0294876739,-0.024293758,0.6451617128,0.0210590616,0.671620369,0.0417631062,0.0060403015,0.0409456976,0.6533398402,0.0252445033,0.6773366928,0.5,0.0,0.5,0.0264738631,0.0208671715,0.0255084459,7.4246672859,2.9677462167,9.0,0.0367105182,0.0992195171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
