cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.04869827765704193,0.08363320915002542,0.05811130315401073,6.0,-22482.808993207138,False,0.125,0.09677828227187257,0.05130172234295807,0.15863320915002543,0.16672240929338106,0.05811130315401073,-0.011221303364381702,0.0961255339142455,False,False,0.468800538,0.0683397796,0.4463520635,0.4554293399,0.0976282566,0.4233600907,-0.0297137734,0.0650855044,-0.0510932729,0.8108743451,0.0457547544,0.7975267172,0.0984426001,0.0134411387,0.1061633229,0.790814664,0.0522368448,0.7738975286,0.5,0.0,0.5,0.0646747188,0.0382218872,0.0536479365,8.3894993252,1.8624473812,9.0,1.8126034648,1.3092422351,3.0,1.0,0.0,1.0,1.6837720152,1.3322956017,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07035506464334496,0.030788013515657835,0.004398911222323869,6.0,-15734.23873521852,False,0.1,0.07679672452135948,0.02964493535665505,0.030788013515657835,0.04274019148928308,0.004398911222323869,0.07035506464334496,0.030788013515657835,True,True,0.4777987595,0.074144764,0.456095903,0.4682839421,0.1059210914,0.4372798614,-0.0211440386,0.070614061,-0.0418134257,0.8047490593,0.0517162927,0.8110331893,0.047481863,0.0090075258,0.0383849815,0.7941209966,0.0528516152,0.7947020531,0.5,0.0,0.5,0.0678571616,0.0372256193,0.043904097,8.5835902289,1.3952185461,9.0,0.6787779535,0.7206026431,0.9142222289,0.0,0.0,0.0,0.0,0.0,0.0,0.0155534055,0.0079400092,0.0217245939,0.0155534055,0.0079400092,0.0217245939,0.0,0.0,0.0
-0.1,0.075,0.0,-0.0645523707239519,0.028600690622113567,0.004506999970935066,6.0,-23063.252946838256,False,0.125,0.0706045895827203,0.03544762927604811,-0.04639930937788643,0.05839032738422489,0.004506999970935066,0.06880231095242965,0.015850869936680282,True,True,0.4968416301,0.0637262571,0.4883645424,0.495488043,0.0910375101,0.4833779177,-0.0030079713,0.0606916734,-0.0110813882,0.8142425839,0.0528891352,0.8559067845,0.1156657168,0.0158739277,0.0993513316,0.8104312148,0.0477749969,0.8417031765,0.5,0.0,0.5,0.0538462293,0.034228566,0.0116354576,8.666468282,1.3210935594,9.0,1.8590435171,1.0449058765,0.9307246718,1.0,0.0,1.0,1.664137334,1.1081292559,0.6807246718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.034925498934273706,-0.0762015775350204,-0.018567415158128764,6.0,-30353.020497637703,False,0.09013878188659974,0.0838240472336768,0.015074501065726297,-0.0012015775350203983,0.015122313677253522,0.018567415158128764,0.08277672612912738,0.013209258343189345,True,True,0.0044597284,0.0121192713,0.0,0.414879102,0.0796740769,0.4561390793,-0.0567472654,0.0531160513,-0.0292406138,1.2707799137,0.1747256974,1.3118803501,0.1133440411,0.0188711214,0.1118468791,1.2825590676,0.1772279348,1.332239747,0.0,0.0,0.0,0.0044597284,0.0121192713,0.0,9.0,0.0,9.0,2.3063893396,1.1231293035,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03296528376824508,0.013622580081680014,0.012416718168540545,6.0,-11771.289942719715,False,0.05,0.035669098979406635,0.017034716231754926,0.013622580081680014,0.021811837271953956,0.012416718168540545,0.03296528376824508,0.013622580081680014,True,True,0.4355074827,0.0567435631,0.4118044823,0.5150106896,0.081062233,0.4811492604,0.0100071264,0.0540414887,-0.0125671597,0.4890790069,0.0296225944,0.4498945475,0.0257762721,0.0039964264,0.0210099202,0.4889566564,0.0322868062,0.4457581639,0.425,0.0,0.425,0.0506237376,0.0277033634,0.0131955177,7.8744532371,2.4305522596,9.0,0.3472477176,0.4612836458,0.2103717074,0.0,0.0,0.0,0.0,0.0,0.0,0.0025475311,0.003737929,0.0086036342,0.0025475311,0.003737929,0.0086036342,0.0,0.0,0.0
-0.05,0.075,0.0,-0.02834810591138472,0.05217655832129789,0.1074540541928725,6.0,-19691.700671333634,False,0.09013878188659974,0.05938020164178365,0.021651894088615283,-0.02282344167870211,0.03145972040062864,0.1074540541928725,0.059138220620430254,0.005355297271693034,True,False,0.0261501818,0.0420177005,0.014691618,0.4630673114,0.1238487377,0.5209880257,-0.0246217924,0.0825658252,0.0139920171,0.921458112,0.1161030183,0.8790714741,0.1214697319,0.0143504277,0.1182447746,0.9433635439,0.1049849713,0.8693948388,0.0,0.0,0.0,0.0261501818,0.0420177005,0.014691618,8.5678612608,1.3757888603,9.0,2.091711883,1.145527935,2.0915208156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.04117443232212208,-0.08555577441126037,0.010466628968622826,6.0,-26862.622659541685,False,0.075,0.09494800899523637,-0.04117443232212208,-0.010555774411260377,0.042505978996729754,0.010466628968622826,0.08555577441126037,0.04117443232212208,True,True,0.0044265333,0.0115505529,0.0,0.4197164811,0.0775220239,0.4036724865,-0.053522346,0.0516813493,-0.0642183423,1.2707799137,0.1747256974,1.3118803501,0.0614175386,0.0102572769,0.0638882145,1.276999442,0.1750322341,1.331643343,0.0,0.0,0.0,0.0044265333,0.0115505529,0.0,9.0,0.0,9.0,1.1301487226,1.4144669974,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.447381088909395e-06,9.424091696215453e-06,4.058752053500333e-05,6.0,1797.2385401324939,False,0.0,9.534590516388714e-06,1.447381088909395e-06,9.424091696215453e-06,9.534590516388714e-06,4.058752053500333e-05,0.0,9.534590516388714e-06,True,True,0.5639060503,0.0229423457,0.5374538101,0.5912943576,0.0327747796,0.553505443,0.0608629051,0.0218498531,0.0356702954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,8.041e-07,2.892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.013647727998052776,0.08242841308640741,0.1353121003232102,6.0,-18832.742464878676,False,0.075,0.08355060600290255,-0.013647727998052776,0.007428413086407418,0.01553839761658655,0.1353121003232102,0.08242841308640741,0.013647727998052776,True,False,0.0273238563,0.0436970654,0.0,0.4561839347,0.1330977048,0.4890113347,-0.0292107102,0.0887318032,-0.0073257769,0.921458112,0.1161030183,0.8790714741,0.060408951,0.0072860253,0.0541763753,0.9282938439,0.1076238077,0.8701928258,0.0,0.0,0.0,0.0273238563,0.0436970654,0.0,8.6806586734,1.1835376021,9.0,1.4760408638,1.3064024507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.04162882567506104,-0.07809130341524952,0.012991514316808747,6.0,-27180.76583886741,False,0.09013878188659974,0.08849412859719669,-0.09162882567506105,-0.003091303415249519,0.09168095686343954,0.012991514316808747,0.04188437422130199,0.07795453798379613,True,True,0.0038590287,0.010475859,0.0,0.4168077004,0.0728319161,0.3549188673,-0.055461533,0.0485546107,-0.0967207551,1.2707799137,0.1747256974,1.3118803501,0.1137136345,0.0173596605,0.1104416698,1.2836730907,0.1729220557,1.3364281654,0.0,0.0,0.0,0.0038590287,0.010475859,0.0,9.0,0.0,9.0,1.5401512898,1.4229133061,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
