cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_mixed_planar_fullscale_gate,std_mixed_planar_fullscale_gate,final_mixed_planar_fullscale_gate,mean_reward_mixed_planar_fullscale_deficit_penalty,std_reward_mixed_planar_fullscale_deficit_penalty,final_reward_mixed_planar_fullscale_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.1,-0.075,0.0,-0.06530207079919931,0.028199103290259996,-0.011647870455186412,6.0,-22595.383490212458,False,0.125,0.07113051298169015,0.0346979292008007,0.10319910329026,0.10887608190386688,0.011647870455186412,0.035322194665203456,0.061740525111727576,True,True,0.467376279,0.0666593166,0.457072939,0.4533946842,0.0952275952,0.4386756271,-0.0310702105,0.0634850635,-0.0408829153,0.8126810386,0.0451339917,0.8123886585,0.0979162136,0.0137894114,0.1050926074,0.7922307706,0.0504639607,0.7880371809,0.5,0.0,0.5,0.0633481899,0.0386623654,0.042927061,8.5896877759,1.5016619085,9.0,1.8161765347,1.2883290728,2.985474592,1.0,0.0,1.0,1.6854031509,1.3173327561,2.485474592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,-0.07088500619244027,0.019157572830680158,-0.012691927813593148,6.0,-15564.110389977523,False,0.1,0.07342817374594789,0.029114993807559733,0.019157572830680158,0.03485248142065434,0.012691927813593148,0.07088500619244027,0.019157572830680158,True,True,0.4767429383,0.0736990395,0.4920337685,0.4667756262,0.1052843422,0.4886196693,-0.0221495825,0.0701895614,-0.0075868871,0.8051273197,0.0490674866,0.8610222936,0.0475771498,0.0079274741,0.0428539105,0.7942465025,0.0507758632,0.8454279304,0.5,0.0,0.5,0.0683177273,0.0361265481,0.0079662315,8.3871640369,1.7496865089,9.0,0.6402979307,0.6439770755,0.5848776145,0.0,0.0,0.0,0.0,0.0,0.0,0.0149459841,0.0080632838,0.0209206308,0.0149459841,0.0080632838,0.0209206308,0.0,0.0,0.0
-0.1,0.075,0.0,-0.06963389654103104,-0.018303602263512773,-0.064935252670466,6.0,-22550.05214600686,False,0.125,0.07199931529749351,0.030366103458968965,-0.09330360226351277,0.09812065243682694,0.064935252670466,0.04472495587471717,0.05642321973542884,True,False,0.4932709664,0.0629966122,0.4947505917,0.4903870949,0.0899951603,0.4925008453,-0.0064086034,0.0599967735,-0.0049994364,0.814335923,0.0489183068,0.8648115993,0.1144252998,0.0143665378,0.0960853994,0.8089033206,0.0439201086,0.8526358604,0.5,0.0,0.5,0.0548648763,0.0316811993,0.0052494083,8.6394600639,1.4644443923,9.0,1.6328996192,1.219332111,0.0,1.0,0.0,1.0,1.4644630364,1.2492152883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,-0.075,0.0,-0.033317842603201385,-0.0868369138284491,0.04203864086049003,6.0,-30968.815801041997,False,0.09013878188659974,0.09300929114331104,0.016682157396798618,-0.011836913828449105,0.020454997051911117,0.04203864086049003,0.09073409354014815,0.02044633239553837,True,True,0.0039109679,0.0108364663,0.0,0.4116458803,0.0788566325,0.4369375892,-0.0589027465,0.0525710883,-0.0420416072,1.2707799137,0.1747256974,1.3118803501,0.1152198312,0.0207612127,0.1155835539,1.2852940067,0.1757444416,1.3505039215,0.0,0.0,0.0,0.0039109679,0.0108364663,0.0,9.0,0.0,9.0,2.3397384324,1.0768232087,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-0.03369718630990648,0.013816273202649236,0.01124053632247309,6.0,-11883.711781690474,False,0.05,0.03641963440803315,0.016302813690093523,0.013816273202649236,0.021369865217734627,0.01124053632247309,0.03369718630990648,0.013816273202649236,True,True,0.43409868,0.0550548114,0.4147078016,0.5129981142,0.0786497306,0.4852968594,0.0086654095,0.0524331537,-0.0098020937,0.489864338,0.0300869702,0.4522926509,0.0259754292,0.003629987,0.0212315004,0.4902559718,0.0328023008,0.4487467706,0.425,0.0,0.425,0.0497796034,0.0252152596,0.0102921984,7.8864113573,2.3767950457,9.0,0.3442470188,0.4770054837,0.2309950743,0.0,0.0,0.0,0.0,0.0,0.0,0.0019921027,0.0031024819,0.0066253459,0.0019921027,0.0031024819,0.0066253459,0.0,0.0,0.0
-0.05,0.075,0.0,-0.018034191381755483,0.06482555282210214,0.12771874683176768,6.0,-20695.922951754215,False,0.09013878188659974,0.06728732687129828,0.03196580861824452,-0.010174447177897852,0.03354597287297045,0.12771874683176768,0.06394168980446661,0.020953392623494365,True,False,0.0254611655,0.0417310271,0.0,0.4601970596,0.124187924,0.4675658038,-0.0265352936,0.0827919493,-0.0216227975,0.921458112,0.1161030183,0.8790714741,0.1218273842,0.0137216304,0.1124223024,0.9434066586,0.103351528,0.8689148426,0.0,0.0,0.0,0.0254611655,0.0417310271,0.0,8.6099768675,1.3610766426,9.0,2.159542012,1.1280823902,1.6430375286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.075,0.0,-0.04882811629570894,-0.04905489987628762,0.05290430030899854,6.0,-26611.579973072116,False,0.075,0.06921393026595066,-0.04882811629570894,0.02594510012371238,0.055293156551391935,0.05290430030899854,0.04905489987628762,0.04882811629570894,True,False,0.0040255895,0.0108051202,0.0,0.414209619,0.0759935702,0.3858170994,-0.0571935874,0.0506623801,-0.0761219338,1.2707799137,0.1747256974,1.3118803501,0.0631792873,0.0105382645,0.0631760284,1.2767147328,0.1742808338,1.3248698711,0.0,0.0,0.0,0.0040255895,0.0108051202,0.0,9.0,0.0,9.0,1.1708469051,1.4253457318,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.447381088909395e-06,9.424091696215453e-06,4.058752053500333e-05,6.0,1797.2385366793421,False,0.0,9.534590516388714e-06,1.447381088909395e-06,9.424091696215453e-06,9.534590516388714e-06,4.058752053500333e-05,0.0,9.534590516388714e-06,True,True,0.5634014713,0.0228484156,0.5372415692,0.5905735304,0.0326405938,0.5532022417,0.0603823536,0.0217603959,0.0354681611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,8.041e-07,2.892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.075,0.0,-0.025433705684757734,0.06708764191103164,0.11448223393216946,6.0,-18434.22129113236,False,0.075,0.07174695172647885,-0.025433705684757734,-0.007912358088968355,0.026636043163107782,0.11448223393216946,0.06708764191103164,0.025433705684757734,True,False,0.0263009712,0.0421344764,0.0,0.4534552061,0.1323092083,0.4934058757,-0.0310298626,0.0882061389,-0.0043960828,0.921458112,0.1161030183,0.8790714741,0.0600753031,0.007305925,0.0537510626,0.9277231026,0.1077518489,0.8722806573,0.0,0.0,0.0,0.0263009712,0.0421344764,0.0,8.659882768,1.1633820129,9.0,1.5379217663,1.3180507158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.075,0.0,-0.02720128391379883,-0.09747360189366429,-0.018562002219354373,6.0,-27376.126970280107,False,0.09013878188659974,0.10119788986280122,-0.07720128391379884,-0.02247360189366429,0.08040585190154935,0.018562002219354373,0.06601438162123079,0.07670146238403901,True,True,0.0028947959,0.008953485,0.0,0.4121035067,0.0735805961,0.4307113551,-0.0585976622,0.0490537308,-0.04619243,1.2707799137,0.1747256974,1.3118803501,0.1148283103,0.0174722931,0.1214628741,1.280351032,0.1704554142,1.3357368708,0.0,0.0,0.0,0.0028947959,0.008953485,0.0,9.0,0.0,9.0,1.5302561133,1.4183150507,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
